UCL_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
UCL212005,27,26,29,39,117,202,139,321,13,914,38,44,52,81,218,253,152,211,4,1053,53,57,62,93,369,495,214,254,20,1619,21,75,42,78,84,78,47,33,8,462,4,22,24,20,91,66,37,42,4,310,8,160,65,56,103,83,56,95,10,634,40,40,38,55,122,145,133,176,12,757,47,245,101,143,289,192,145,88,25,1282,3,13,4,8,18,23,6,10,34,116,243,685,411,573,1412,1536,938,1221,127,7142,26,44,34,56,97,95,62,92,4,501,91,144,277,342,247,240,118,162,13,1639,14,60,51,54,81,40,27,17,3,343,75,252,225,287,181,102,38,35,24,1214,63,195,210,233,288,189,51,41,6,1270,51,442,167,194,147,55,17,26,15,1113,0,11,4,6,7,0,3,3,0,42,30,243,110,112,129,61,39,14,8,758,4,9,5,3,8,3,0,6,36,69,348,1394,1086,1295,1174,794,354,398,115,6956
UCL213001,10,12,12,20,56,135,86,204,3,541,9,26,21,37,83,138,53,78,5,447,31,25,28,55,205,357,171,220,17,1103,14,32,13,17,48,66,22,36,4,237,10,7,15,11,66,55,32,49,0,240,5,53,12,11,43,27,24,46,4,223,21,20,36,44,128,145,92,226,16,723,12,90,40,38,82,107,61,58,13,497,0,5,3,3,11,21,8,9,21,83,109,260,173,237,711,1054,548,925,88,4096,8,16,20,27,59,49,35,57,3,282,41,78,119,125,142,115,85,82,6,804,5,27,29,30,33,28,12,11,3,171,30,142,133,139,109,72,24,34,12,696,42,87,114,147,215,174,52,29,12,872,21,213,86,69,41,46,24,11,4,520,3,4,7,12,22,13,3,8,0,74,6,105,42,38,18,14,6,8,3,239,3,0,3,3,7,13,6,0,15,48,160,674,552,584,649,525,238,243,63,3694
UCL213002,12,14,13,19,37,83,38,121,4,344,12,14,14,15,59,47,32,57,3,254,12,18,15,35,150,153,75,131,15,604,13,16,17,28,26,18,8,19,0,138,12,3,8,4,23,20,11,17,4,107,8,49,20,18,45,39,30,35,3,248,11,12,21,24,53,41,40,74,4,282,21,65,37,81,74,61,41,25,13,422,4,6,3,6,4,10,8,3,9,46,97,196,148,239,481,476,284,488,50,2449,0,19,13,19,27,31,23,33,4,169,28,49,74,93,79,81,30,47,3,487,7,11,21,14,39,16,12,6,0,125,33,81,96,134,76,39,21,11,10,492,23,68,54,83,101,62,12,19,3,431,25,108,62,64,35,26,14,15,4,343,0,0,5,4,0,3,0,3,0,20,18,71,63,60,52,13,12,10,12,295,8,3,3,3,0,0,0,0,18,38,141,407,387,476,405,263,120,146,51,2403
UCL213003,8,16,7,14,38,67,53,125,5,341,4,7,5,13,56,52,41,51,3,239,22,26,22,30,159,134,100,101,6,604,5,16,19,21,37,16,6,14,3,129,3,8,3,11,26,28,21,15,0,109,5,47,13,14,40,23,20,16,0,176,12,16,11,20,72,57,55,125,7,388,21,82,69,102,169,99,64,48,16,672,6,5,3,3,10,6,6,0,18,58,93,228,162,222,599,474,374,493,62,2711,8,13,8,13,34,33,18,31,0,167,20,24,64,64,66,52,40,25,0,361,6,23,25,24,23,11,4,5,0,126,16,119,83,133,108,35,14,26,10,550,21,73,66,69,100,36,12,10,4,398,18,134,63,54,53,24,9,5,5,370,0,0,4,0,3,4,0,4,0,15,13,110,69,78,67,35,10,14,10,398,3,4,4,0,3,5,0,3,23,42,109,499,379,446,467,228,113,125,60,2423
UCL213004,8,16,7,7,51,74,53,120,3,334,3,16,17,21,41,81,32,57,3,267,15,26,15,38,146,208,114,134,15,719,7,16,9,13,11,16,21,12,0,104,3,10,3,11,20,26,24,9,0,110,0,26,9,6,34,26,13,27,3,145,5,18,20,36,67,82,53,89,10,380,14,75,35,25,90,73,49,53,11,422,4,3,3,0,4,9,3,5,16,54,61,207,125,161,463,594,353,503,56,2533,4,6,11,27,33,36,16,36,3,176,35,48,81,84,60,54,38,57,3,460,3,23,12,21,27,20,8,4,0,129,25,92,89,106,55,28,21,17,6,431,25,87,56,66,96,49,28,12,7,417,19,86,49,40,46,31,7,10,3,298,0,3,7,13,4,6,3,0,0,40,15,72,45,50,45,12,8,12,4,253,5,3,3,3,0,0,0,4,19,35,127,440,347,392,382,252,138,142,40,2255
UCL213005,6,10,6,14,42,62,52,112,4,308,12,23,20,22,80,75,42,55,3,334,20,32,35,51,170,245,106,144,11,810,11,26,16,24,32,38,18,20,5,182,9,9,10,12,36,25,16,29,0,143,7,38,20,13,23,30,20,27,0,174,16,18,15,13,62,59,44,72,9,311,13,71,36,41,69,58,20,38,3,340,6,0,0,4,10,18,0,6,12,55,93,234,157,191,523,614,317,491,52,2657,4,21,12,28,34,40,14,32,3,188,14,57,97,89,102,89,39,39,5,534,4,26,26,25,31,12,4,8,10,142,26,134,128,132,72,35,17,24,9,581,22,71,106,83,123,73,31,21,8,529,16,103,79,65,47,15,9,16,3,367,0,5,7,4,3,9,0,0,0,29,3,81,56,35,20,10,0,4,3,206,0,6,3,4,5,5,3,0,8,35,103,500,512,482,438,287,109,144,45,2617
UCL213006,15,12,8,15,49,78,56,169,3,402,14,11,9,21,64,75,56,60,5,300,23,14,17,45,165,183,107,136,11,691,12,25,11,20,22,38,25,16,4,170,0,11,3,3,16,29,6,17,0,91,15,61,23,18,31,35,25,29,5,251,8,15,20,23,56,57,53,79,7,320,14,88,40,50,114,69,62,55,10,495,5,5,0,0,5,0,5,3,23,41,109,245,129,187,525,554,384,563,68,2763,11,12,19,26,44,48,27,49,0,223,19,59,88,112,93,110,49,56,3,591,7,17,16,28,32,25,21,11,4,149,43,102,101,142,116,48,30,29,7,614,23,63,59,83,128,58,24,13,5,459,28,132,74,80,40,35,10,15,0,424,3,3,0,0,3,4,3,3,0,26,17,85,36,58,36,13,6,11,9,269,3,0,0,0,6,0,0,0,26,35,150,468,400,531,488,342,174,192,49,2793
UCL213007,13,16,15,27,91,157,87,192,11,608,6,13,9,18,107,128,69,93,6,460,24,34,29,51,222,241,133,116,7,852,13,24,10,29,39,60,16,26,3,219,3,14,11,9,40,34,20,27,4,172,10,56,23,33,83,63,46,35,4,349,25,25,15,19,77,55,49,97,12,373,16,105,60,55,95,68,28,44,10,484,4,4,0,7,12,8,0,3,23,60,111,297,175,251,770,815,448,629,74,3571,10,24,19,47,51,30,35,47,7,278,53,65,126,160,143,138,69,83,4,844,11,27,25,26,31,12,16,9,4,159,48,120,118,150,81,49,22,25,17,636,26,88,103,116,187,94,30,22,7,677,34,162,98,83,73,31,17,13,3,508,0,5,5,0,6,0,3,3,0,30,14,125,49,49,27,11,0,6,8,286,0,9,0,6,6,3,0,0,14,34,185,630,546,642,608,369,195,213,63,3450
UCL213008,17,6,9,6,63,105,63,154,4,426,8,13,18,18,93,132,66,73,7,417,21,25,19,34,202,284,126,153,3,866,7,35,16,21,35,87,33,45,3,275,3,5,8,9,45,58,25,38,0,182,11,60,19,20,36,28,15,30,0,214,19,24,15,19,95,122,87,122,5,514,18,94,41,34,92,98,37,64,8,482,3,0,0,3,15,16,0,11,21,71,100,269,134,165,666,924,449,684,51,3455,10,9,12,23,46,38,20,31,0,185,30,60,89,122,136,104,47,61,5,656,13,34,25,29,37,13,10,4,3,176,22,123,128,145,82,51,16,23,6,603,33,75,113,96,156,114,40,26,3,650,25,189,95,63,65,26,9,12,7,494,3,7,5,3,19,15,5,4,0,69,8,70,43,44,40,13,12,6,0,235,5,0,3,14,11,4,0,3,12,57,151,572,502,536,598,388,158,173,41,3129
UCL213009,6,7,6,15,47,96,58,107,5,353,11,14,14,20,79,90,39,48,3,321,19,16,20,31,184,261,110,133,13,788,7,33,21,23,23,52,29,28,3,217,4,9,7,15,35,40,17,31,3,154,3,45,12,21,38,34,26,17,0,200,11,18,15,16,66,62,46,79,3,320,18,86,32,41,80,95,28,48,9,427,0,4,0,0,9,7,7,8,11,37,86,224,126,178,562,736,357,499,48,2815,9,11,23,22,41,35,28,27,3,205,45,51,94,107,103,88,41,33,3,547,11,27,29,25,27,14,13,4,0,156,34,139,139,124,95,43,13,21,4,609,36,61,125,117,147,106,30,16,3,630,17,134,82,66,65,23,18,8,3,426,0,4,4,3,0,11,4,3,0,29,4,57,41,35,26,4,4,3,3,184,0,3,3,4,0,4,5,0,13,30,147,483,530,511,504,332,149,123,32,2815
UCL213010,3,3,7,14,42,50,23,64,0,200,5,13,15,10,55,54,23,37,3,212,19,32,28,49,250,253,124,139,11,908,3,27,14,31,34,19,21,18,0,172,6,6,7,7,50,32,12,19,0,133,4,58,22,14,46,26,19,20,3,206,19,16,15,21,99,85,52,69,5,382,19,70,62,59,86,91,40,60,10,497,5,5,7,3,16,7,0,9,25,73,89,240,168,214,659,610,313,429,63,2777,7,14,22,9,42,28,11,8,0,146,16,45,74,71,78,65,26,30,4,422,5,28,13,28,29,16,8,4,0,131,27,124,130,139,91,37,13,10,12,590,30,74,84,86,145,70,19,17,0,528,14,165,66,75,41,17,15,10,15,425,0,3,0,0,4,4,4,0,0,16,19,89,54,61,25,6,5,9,0,262,3,8,3,0,6,0,0,3,23,46,125,548,454,469,460,241,109,107,60,2565
UCL213011,9,5,5,14,39,52,24,68,6,215,3,15,4,8,48,47,31,23,0,188,22,20,18,31,162,167,57,106,14,609,3,19,13,19,29,24,12,11,4,140,5,7,12,16,38,30,21,11,6,146,5,39,24,17,36,18,8,17,0,162,17,20,24,26,84,55,68,73,13,377,16,74,45,47,70,55,32,49,10,401,3,3,0,0,0,11,8,6,22,59,86,201,155,167,515,461,261,366,77,2294,3,3,0,22,35,19,16,20,0,119,18,26,45,70,49,35,27,35,3,309,4,10,16,12,22,10,4,6,0,92,22,74,93,92,57,27,11,35,10,415,32,57,48,85,130,53,14,6,6,422,14,127,71,59,47,23,9,9,6,368,0,7,3,4,4,6,0,0,0,28,7,84,57,49,27,6,11,8,3,252,3,0,0,4,3,3,0,0,15,27,103,392,339,393,382,178,98,127,42,2038
UCL213012,13,26,25,33,78,161,98,247,4,690,27,51,56,92,148,233,134,199,4,937,32,45,44,76,209,363,140,187,22,1115,13,58,32,35,38,69,40,37,3,317,5,12,5,23,47,40,27,33,0,195,5,58,40,37,29,51,32,50,3,303,4,21,12,23,29,50,22,54,7,212,20,114,38,41,48,56,24,46,12,392,4,4,3,8,8,11,0,14,20,76,128,380,256,367,637,1034,511,861,72,4243,15,40,44,47,58,68,46,71,0,393,79,159,293,249,184,177,86,122,12,1348,9,46,36,36,43,18,7,14,3,205,26,202,154,144,73,60,12,27,15,718,38,133,166,151,134,91,37,27,5,780,26,159,108,64,43,31,16,11,7,453,0,3,5,4,10,0,0,0,0,23,6,90,27,26,11,6,3,12,0,181,4,6,4,4,3,3,6,8,18,55,200,826,832,726,569,458,216,287,56,4160
