UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL201001,373438,744688,7120,40702,49811,232013,9502,43364,287045,1102060,353482,1418139,31260,132339,49543,174299,91407,295250,172206,601888,525687,2020024,1979,9516,11407,40601,4188,15041,52399,139383,69974,204541,8810,28388,20328,46737,63657,139463,92789,214584,162762,419126,22218,47228,1084106,3231067
UCL203001,15148,30036,212,1174,1570,7218,315,1428,9218,35659,11308,45483,888,3677,1486,5039,2940,9177,5317,17890,16625,63376,96,451,542,1946,241,832,2806,7452,3687,10683,336,1086,859,1866,2695,5775,3890,8729,7579,19407,677,1405,40024,114228
UCL211001,3561,7018,64,352,372,1743,80,384,2169,8429,2689,10907,173,692,274,878,544,1670,986,3239,3675,14148,22,93,143,526,74,255,863,2374,1099,3250,55,178,183,404,495,1020,735,1602,1835,4849,125,252,9188,26270
UCL211002,8950,17692,117,666,962,4443,206,918,5438,21270,6720,27300,459,1909,749,2441,1448,4540,2654,8891,9367,36187,59,268,329,1205,183,635,1956,5289,2527,7398,201,638,488,1085,1425,3015,2121,4733,4644,12132,384,787,23344,66799
UCL211003,9127,18095,163,890,935,4382,228,1043,5334,21037,6652,27359,404,1663,768,2545,1517,4738,2688,8945,9345,36306,58,292,384,1382,154,547,1965,5261,2566,7478,200,603,460,999,1429,3006,2078,4611,4646,12085,421,868,23536,67350
UCL211004,4252,8551,165,1007,557,2811,220,1043,3534,14029,4480,18893,299,1288,348,1165,1260,4098,1906,6550,6378,25437,71,387,228,892,138,530,1405,4150,1846,5959,157,517,221,516,1073,2405,1454,3440,3297,9402,228,471,14154,43861
UCL212001,3459,6878,65,363,343,1592,106,479,1693,6648,2204,9088,133,535,242,766,481,1492,852,2797,3058,11884,34,150,134,482,57,209,781,2189,1012,3022,65,211,148,328,525,1129,741,1663,1754,4688,139,291,8408,23737
UCL212002,4319,8583,106,610,594,2904,124,582,2631,10387,3450,14484,196,845,368,1196,750,2370,1315,4417,4768,18896,38,191,193,715,78,280,962,2672,1269,3857,90,290,223,482,699,1522,1014,2291,2284,6146,155,338,11528,33964
UCL212003,3031,6038,88,475,418,1907,122,553,2318,9052,2942,11987,349,1508,377,1339,947,3051,1680,5898,4619,17892,15,64,123,432,60,200,562,1469,754,2161,95,297,165,361,610,1341,867,1996,1622,4159,134,281,9415,28370
UCL212004,2574,5071,34,184,247,1144,61,256,1555,6106,1893,7689,109,446,217,692,425,1321,748,2456,2643,10145,18,68,100,384,44,150,530,1414,688,2009,41,132,134,287,324,669,500,1084,1193,3095,75,161,6484,18474
UCL212005,3158,6255,58,306,301,1364,77,351,1635,6503,2071,8517,183,746,242,779,556,1745,976,3268,3046,11789,25,98,110,388,40,151,557,1495,727,2133,58,195,153,332,421,899,635,1420,1369,3558,116,240,7689,21842
UCL213001,1609,3215,34,204,195,928,68,329,1119,4435,1429,5899,117,480,180,621,396,1287,692,2391,2122,8288,10,39,64,232,24,103,336,967,434,1340,41,133,82,184,309,658,430,974,869,2312,51,101,4645,13913
UCL213002,1407,2776,12,78,107,495,25,127,640,2495,790,3193,43,193,73,234,202,620,321,1054,1110,4249,5,35,62,208,25,75,257,730,350,1048,32,103,56,116,205,426,292,651,641,1699,49,100,3204,8828
UCL213003,1180,2350,19,100,122,580,32,139,614,2498,779,3318,46,200,83,256,222,686,349,1136,1132,4453,14,68,36,123,18,59,235,646,296,899,23,69,46,89,180,374,243,530,543,1427,54,115,2906,8352
UCL213004,1304,2598,20,123,117,560,40,162,733,2936,905,3784,43,186,105,341,204,641,353,1170,1258,4954,15,70,31,111,22,70,206,584,271,829,30,92,55,127,167,355,252,570,519,1401,29,58,3108,9012
UCL213005,1556,3071,25,129,126,588,33,155,690,2732,873,3611,74,307,121,409,291,900,487,1610,1359,5229,7,34,44,154,13,56,216,583,279,832,21,62,66,145,192,406,273,614,558,1445,31,67,3504,9804
UCL213006,1456,2869,21,117,134,615,39,176,641,2563,833,3477,50,205,107,371,215,645,372,1217,1208,4693,7,27,37,152,24,83,260,692,328,954,27,73,55,108,178,386,259,569,588,1524,41,73,3287,9160
UCL213007,1748,3444,29,138,132,593,41,160,912,3618,1106,4519,72,300,118,368,244,742,435,1407,1545,5922,4,21,50,173,21,72,338,917,414,1185,18,54,62,143,204,425,284,616,697,1802,69,136,4061,11310
UCL213008,1257,2480,31,161,173,771,41,168,1024,3955,1260,5058,108,451,147,498,286,914,544,1865,1804,6921,9,43,49,190,22,72,226,589,306,893,36,119,52,112,187,416,270,646,577,1542,43,93,3681,11040
UCL213009,1265,2508,22,114,143,644,22,112,870,3329,1054,4201,71,304,129,435,247,766,450,1505,1505,5704,10,38,45,155,17,55,215,595,276,838,21,68,72,160,152,327,243,557,526,1396,30,66,3322,9669
UCL213010,1545,3056,26,137,124,574,36,167,598,2327,788,3199,60,241,104,355,308,956,480,1547,1264,4750,19,83,68,237,29,105,417,1115,538,1542,41,136,73,148,323,665,432,955,973,2496,54,109,3832,10411
UCL213011,1332,2642,13,70,86,402,22,113,514,2026,633,2610,60,230,77,249,265,812,401,1296,1032,3907,11,35,46,195,43,165,404,1137,502,1533,20,64,63,139,274,590,363,792,866,2323,52,105,3280,8984
UCL213012,1908,3733,27,120,208,951,37,169,1365,5423,1632,6666,112,446,212,704,324,996,645,2153,2281,8812,6,46,50,167,15,50,267,685,339,941,33,103,65,143,201,409,304,651,647,1598,42,85,4873,14229
UCL213013,1089,2167,16,71,88,406,20,87,530,2034,647,2596,36,137,82,248,157,484,269,867,917,3467,5,24,29,103,18,59,201,526,255,706,13,33,61,138,174,372,246,544,501,1253,32,64,2541,6947
UCL213014,1409,2745,16,79,134,596,25,125,810,3133,980,3938,46,178,113,366,205,609,362,1144,1344,5087,5,32,55,187,20,84,246,672,329,978,16,61,83,167,180,366,279,592,602,1569,49,99,3408,9506
UCL213015,1045,2077,9,69,118,569,28,130,553,2166,709,2931,49,193,80,243,166,526,295,965,999,3892,3,18,44,154,13,42,205,579,262,798,22,61,40,91,123,260,187,413,453,1209,50,103,2545,7290
UCL213016,1674,3273,24,139,239,1089,28,98,1469,5805,1760,7132,95,392,196,665,239,728,529,1787,2292,8920,3,20,49,156,4,23,183,495,241,690,22,57,64,138,155,297,238,495,470,1184,37,72,4471,13452
UCL213017,2028,4002,29,158,164,777,52,235,1018,3997,1265,5162,73,295,137,462,268,827,487,1579,1755,6742,12,67,68,231,31,110,394,1052,502,1463,30,95,81,180,284,607,402,887,907,2342,77,156,4759,13243
UCL213018,1601,3171,26,159,160,760,39,189,758,3032,991,4146,88,383,136,455,237,752,467,1586,1456,5731,17,66,48,163,11,50,268,712,341,987,32,103,83,181,199,413,311,701,655,1690,42,92,3752,10679
UCL214001,815,1619,8,56,60,279,17,92,320,1256,411,1676,33,141,35,121,113,357,190,616,600,2298,3,7,15,59,15,52,136,380,170,502,10,22,44,88,111,234,161,348,330,853,36,70,1776,4837
UCL214002,1180,2311,10,50,73,327,17,65,372,1460,463,1905,28,105,63,203,147,459,241,777,701,2677,3,15,45,163,10,46,216,596,277,816,11,35,53,110,141,289,208,429,486,1251,43,78,2407,6316
UCL214003,1004,1978,13,49,77,363,21,97,483,1865,592,2382,34,140,59,192,133,405,233,740,828,3120,0,11,35,99,11,24,191,477,231,616,15,56,70,145,141,296,225,494,460,1110,43,84,2331,6285
UCL214004,629,1245,4,42,58,274,11,48,253,1000,323,1362,16,78,28,90,80,260,132,424,458,1784,3,14,23,90,18,50,101,286,151,442,7,31,19,47,68,151,99,233,249,676,13,25,1346,3727
UCL214005,125,250,4,29,8,49,6,18,58,223,81,316,5,17,10,40,18,70,34,120,111,438,0,10,4,22,0,0,15,26,18,66,3,12,4,10,6,8,13,34,37,100,3,5,280,794
UCL214006,861,1692,25,124,143,660,22,111,846,3400,1037,4296,66,269,136,461,181,571,385,1299,1423,5599,10,39,37,108,7,30,106,286,156,460,26,95,46,105,93,192,166,390,317,845,17,34,2615,8164
UCL214007,1052,2062,11,72,88,398,20,97,463,1808,585,2375,42,173,49,165,149,459,243,791,827,3164,6,23,27,86,11,39,148,401,191,552,19,49,40,84,121,248,177,389,366,939,19,44,2266,6213
UCL214008,908,1802,18,88,78,361,26,122,481,1870,601,2435,48,202,74,233,194,610,318,1055,922,3490,12,38,27,109,19,72,160,414,215,636,17,47,31,73,159,340,208,460,428,1094,16,26,2275,6417
UCL214009,718,1410,0,5,51,217,12,35,267,1073,327,1330,13,47,32,100,45,135,89,284,412,1617,3,10,22,72,5,23,67,193,98,291,4,15,14,24,64,114,80,156,175,453,17,41,1327,3523
UCL214010,609,1221,13,62,102,495,28,115,438,1761,583,2423,31,133,57,207,147,477,239,819,821,3248,5,32,29,101,15,53,117,307,163,491,11,45,31,78,89,181,136,298,302,787,27,55,1757,5308
UCL214011,669,1331,7,36,59,267,11,59,294,1161,373,1528,18,88,56,176,117,351,193,612,565,2138,3,17,23,91,6,25,112,292,149,423,13,46,21,48,86,187,127,285,271,710,19,41,1529,4217
UCL214012,790,1553,4,30,44,197,9,36,241,945,299,1207,18,72,39,132,112,330,169,538,470,1742,3,11,17,56,6,29,112,300,143,400,6,16,24,47,83,181,116,241,252,640,12,22,1525,3958
UCL214013,582,1146,3,30,59,268,16,63,303,1230,376,1581,19,85,37,125,59,190,119,403,498,1985,3,9,11,42,9,25,97,252,120,328,3,10,36,81,54,112,99,204,218,535,12,24,1308,3693
UCL214014,883,1767,14,77,58,277,16,53,282,1125,367,1529,26,110,43,142,118,363,191,614,556,2149,0,15,25,80,15,57,190,531,228,688,14,48,43,104,148,312,210,461,433,1150,20,39,1894,5109
UCL214015,1103,2181,6,36,41,186,14,65,238,957,299,1244,16,54,25,95,131,392,173,539,472,1775,4,15,7,27,5,31,100,271,118,342,10,40,28,54,97,193,131,291,254,637,24,44,1849,4639
UCL214016,564,1111,8,40,54,242,18,79,203,789,282,1145,17,76,34,116,122,374,175,563,456,1711,3,12,20,82,16,61,151,406,191,562,22,66,41,87,129,277,195,433,382,991,29,59,1429,3871
UCL214017,661,1308,7,50,44,200,10,48,241,943,308,1240,20,63,40,125,88,282,147,469,453,1710,3,12,13,49,9,33,101,257,126,346,6,19,21,50,78,174,104,246,228,593,26,55,1376,3667
UCL214018,664,1330,30,165,132,625,42,190,596,2361,799,3345,85,368,87,279,211,686,383,1338,1183,4682,12,54,32,103,22,65,156,469,218,684,11,39,35,88,117,249,166,383,385,1065,16,38,2251,7118
UCL214019,849,1684,20,95,57,269,21,93,354,1402,445,1861,36,151,54,179,128,392,217,726,668,2583,6,27,32,116,22,69,168,462,221,675,19,63,42,96,142,287,206,449,428,1124,28,56,1972,5440
UCL214020,1015,2029,11,54,51,232,25,106,384,1568,466,1961,27,94,55,168,107,330,185,600,656,2556,10,38,16,51,16,56,149,401,184,540,6,23,13,30,96,195,121,249,304,790,15,33,1995,5411
UCL215001,162,315,0,4,16,51,0,12,46,171,62,245,5,24,13,41,16,45,31,112,92,355,0,0,3,12,0,0,14,34,20,46,0,3,14,27,11,18,22,42,39,93,0,3,298,768
UCL215002,295,596,0,4,16,62,5,20,140,529,155,621,7,29,15,50,44,144,69,213,222,839,0,0,3,16,0,0,26,69,30,91,0,5,6,12,33,70,44,92,78,184,3,7,602,1627
UCL215003,334,655,3,11,32,142,5,25,134,522,171,701,9,27,23,68,44,137,78,232,249,935,0,0,3,14,0,3,27,57,32,76,3,13,8,23,32,54,45,86,75,160,3,9,656,1758
UCL215004,156,308,0,4,8,41,0,0,61,252,75,295,3,7,7,26,16,47,30,87,102,382,0,4,3,7,0,0,24,56,26,61,0,0,8,14,23,39,28,55,51,116,0,9,314,814
UCL215005,235,465,5,44,15,92,6,21,142,563,170,711,16,71,18,58,44,124,74,250,249,961,0,3,11,42,0,13,39,102,52,159,0,6,13,19,31,70,50,100,100,252,8,15,589,1695
UCL215006,286,575,0,17,29,137,3,20,146,561,179,736,9,41,24,87,55,157,90,283,270,1020,0,0,5,25,3,3,28,79,38,109,5,17,9,25,28,60,43,99,84,205,10,16,646,1810
UCL215007,445,891,10,73,77,347,15,54,482,1940,583,2424,30,132,38,127,85,280,152,533,737,2959,0,11,18,61,3,7,56,167,79,247,3,11,20,42,45,104,71,157,153,402,10,26,1345,4279
UCL215008,165,319,5,23,27,137,11,38,169,682,211,871,8,48,18,54,34,108,63,212,268,1082,0,3,3,18,5,7,30,83,43,115,3,6,0,3,5,15,10,22,56,143,0,8,489,1551
UCL215009,137,271,3,10,8,21,0,7,34,145,47,190,0,11,4,22,11,34,21,67,68,258,0,8,0,9,0,3,10,29,20,57,0,0,3,3,13,25,14,31,30,84,4,12,238,616
UCL215010,165,327,8,30,42,189,5,21,180,738,232,977,23,100,23,92,68,229,123,422,355,1397,0,0,6,16,0,0,19,38,22,61,3,12,3,7,21,42,23,59,48,117,3,6,567,1852
UCL215011,134,262,0,4,7,45,3,8,43,167,54,232,6,17,5,9,18,50,27,80,76,304,0,0,4,11,0,0,17,46,20,60,0,0,4,3,18,36,18,44,40,105,0,0,257,671
UCL215012,367,714,3,13,26,113,3,5,162,623,196,764,8,24,18,49,44,134,67,209,260,967,0,0,9,29,3,7,53,132,66,171,7,14,19,34,54,106,77,158,140,326,6,20,774,2027
UCL215013,137,271,7,29,17,88,10,35,211,831,241,987,13,56,10,38,30,107,57,201,294,1187,0,5,3,6,0,3,36,98,42,116,3,14,5,16,13,22,19,45,59,166,7,11,498,1631
UCL215014,123,247,3,19,10,53,8,28,92,345,110,448,9,37,10,31,40,136,58,202,167,651,0,0,0,3,0,8,11,40,16,48,3,12,3,5,20,38,26,61,48,105,3,3,338,1008
UCL215015,314,615,3,13,14,69,5,20,114,447,139,549,12,33,17,44,31,98,56,177,193,724,0,3,7,23,0,0,38,100,49,125,0,4,6,11,25,45,30,68,79,190,4,7,592,1539
UCL215016,369,728,13,49,41,175,16,66,235,935,296,1231,20,83,33,105,74,249,125,434,420,1667,7,13,13,40,12,36,78,220,107,316,5,28,25,56,78,170,114,254,219,566,16,33,1028,2989
UCL215017,190,377,5,50,32,171,9,38,118,491,167,746,16,71,15,49,45,139,75,262,247,1008,0,0,9,19,5,9,22,64,30,96,6,14,7,19,16,38,32,68,64,165,6,16,502,1566
UCL215018,359,709,3,19,20,86,3,18,138,575,164,697,8,32,13,55,59,173,81,261,251,961,3,9,11,30,5,22,48,148,68,208,8,12,16,28,61,122,79,164,142,366,7,14,760,2053
UCL215019,179,346,3,23,18,66,7,19,133,502,158,613,6,22,10,27,21,71,40,120,195,730,0,0,9,18,4,12,38,93,46,128,3,7,14,28,16,31,29,65,77,188,3,7,456,1280
UCL215020,182,365,7,22,9,51,0,3,46,193,61,271,0,11,6,14,17,52,25,76,84,344,3,8,4,16,0,3,17,62,24,93,0,3,0,0,25,42,21,49,49,137,4,12,323,854
UCL215021,142,290,3,9,13,40,0,11,82,321,92,390,4,15,14,33,26,75,41,125,134,518,0,6,6,15,0,3,12,34,22,58,7,20,3,12,20,41,27,72,51,129,0,0,332,937
UCL215022,473,922,5,17,33,168,8,27,215,823,258,1034,15,74,32,117,79,237,133,429,395,1462,3,20,25,83,4,31,120,328,159,464,15,51,28,62,75,155,122,271,280,733,22,44,1165,3167
UCL215023,171,346,8,28,15,81,0,12,75,306,102,430,11,35,14,38,42,124,63,201,161,633,0,0,6,21,0,0,22,60,21,77,3,7,0,3,25,52,30,60,50,138,4,12,394,1129
UCL215024,275,549,0,0,16,89,0,3,80,315,99,406,0,14,11,34,26,80,39,123,137,524,3,5,4,11,0,0,26,83,38,105,0,3,3,9,30,63,37,75,70,179,7,17,492,1266
UCL215025,134,260,0,0,10,52,0,0,55,207,67,261,0,3,3,20,9,40,18,61,83,323,0,5,0,5,0,4,18,42,21,56,0,7,3,10,12,28,18,44,38,100,7,9,259,694
UCL215026,698,1375,7,47,34,139,9,53,201,759,247,999,13,39,32,98,44,136,87,275,332,1271,5,15,17,47,11,36,93,247,130,354,0,3,25,47,59,132,85,188,209,541,10,23,1253,3207
UCL215027,297,597,3,13,17,75,13,42,142,555,167,688,7,17,10,42,52,170,69,225,244,910,0,9,8,25,10,24,49,123,57,176,8,25,4,14,53,105,68,143,127,322,4,11,668,1841
UCL215028,421,822,3,21,19,88,8,24,162,606,193,742,3,13,15,49,52,155,70,220,263,965,7,19,10,44,0,8,70,161,86,230,3,7,24,41,58,122,83,171,168,395,3,14,855,2196
UCL215029,203,399,7,26,23,105,3,18,137,511,165,660,10,56,23,60,58,186,93,301,257,961,0,5,4,17,3,17,40,116,53,152,3,14,4,13,51,115,65,143,115,296,13,22,582,1681
UCL215030,181,363,0,0,19,82,0,0,48,192,64,277,4,18,19,53,15,50,38,121,105,396,0,0,8,37,4,12,18,58,31,102,0,3,4,8,22,49,28,62,61,162,3,9,354,936
UCL215031,188,376,0,6,15,62,0,15,58,249,78,326,4,20,11,39,15,43,30,101,107,427,0,0,3,10,0,0,16,55,18,63,3,4,3,9,8,16,18,36,33,98,9,9,337,913
UCL215032,363,723,0,0,32,136,4,16,123,492,153,641,9,38,8,31,43,132,58,201,218,840,0,0,11,35,3,12,66,165,74,206,6,24,15,29,47,105,71,153,147,360,14,24,733,1947
UCL215033,224,448,0,7,39,184,3,15,353,1361,398,1571,11,51,14,42,31,94,56,190,459,1756,0,0,3,5,0,5,22,55,23,66,0,0,5,17,16,34,24,47,48,118,6,14,733,2339
UCL215034,149,299,3,12,10,41,0,9,38,150,48,210,4,13,3,21,17,42,26,79,73,291,0,0,4,13,0,0,14,34,18,46,0,3,8,13,16,35,29,58,41,100,0,0,273,695
UCL215035,121,248,3,26,26,122,6,28,82,358,120,535,12,52,6,23,26,81,47,158,160,689,4,4,8,19,0,3,14,38,24,71,0,0,3,5,16,30,20,35,38,111,4,5,331,1049
UCL215036,100,210,7,44,18,94,5,22,92,353,122,513,8,40,15,42,20,71,39,150,161,661,3,12,3,10,4,11,24,65,26,99,0,3,4,10,15,36,19,50,52,150,0,0,317,1018
UCL215037,242,477,0,5,4,22,3,22,57,204,64,249,6,21,7,27,31,105,48,152,112,405,0,0,3,12,0,0,38,99,41,114,3,8,4,10,35,73,45,90,88,201,11,15,444,1108
UCL215038,162,325,0,18,17,72,3,6,76,326,100,424,12,47,6,26,22,61,37,135,135,557,0,0,6,17,0,4,41,98,43,122,6,13,6,14,24,46,32,71,76,186,6,12,376,1074
UCL215039,156,306,0,0,11,63,3,14,50,199,66,274,6,12,4,12,22,63,30,95,98,369,0,0,3,11,0,4,32,92,40,106,3,3,3,9,19,38,26,51,66,159,10,23,323,855
UCL215040,415,822,5,46,43,199,14,73,152,619,219,941,14,45,23,77,73,222,106,345,323,1283,0,3,7,30,4,25,48,135,61,188,3,14,16,37,54,105,76,155,135,344,12,29,884,2476
UCL215041,183,360,7,32,26,133,11,40,167,656,208,861,17,69,21,65,57,175,90,312,304,1173,0,7,4,9,4,23,47,129,61,166,3,16,5,10,24,54,38,84,92,246,15,29,589,1811
UCL215042,173,349,8,30,18,70,3,7,105,412,125,523,10,49,6,31,25,77,45,163,176,685,0,4,6,21,3,11,37,103,47,140,0,4,0,5,28,57,29,63,81,204,12,21,438,1254
UCL215043,395,785,6,31,28,133,7,38,175,713,222,906,17,69,22,65,65,210,101,346,322,1255,3,16,15,53,5,25,73,215,102,313,6,26,23,46,58,135,86,209,185,518,9,21,913,2578
UCL215044,497,985,7,52,29,144,11,52,267,1016,316,1259,13,69,36,122,76,249,130,439,448,1693,3,9,13,65,5,22,82,228,109,317,4,21,32,74,88,187,130,283,237,597,17,32,1197,3312
UCL215045,152,306,3,11,15,78,3,18,104,402,129,512,11,29,3,17,30,82,38,136,170,642,0,0,14,44,0,4,23,69,34,112,0,8,8,12,23,51,33,76,74,187,5,6,400,1150
UCL215046,118,236,0,5,18,72,6,28,73,303,101,411,5,21,7,37,28,92,38,144,141,556,0,0,3,11,0,3,28,67,29,82,0,4,13,23,22,42,30,69,63,151,0,5,318,948
UCL215047,141,284,8,56,11,62,0,7,93,402,119,526,4,15,10,30,15,52,31,99,150,632,0,6,7,18,6,10,44,134,52,171,7,11,11,16,29,61,41,86,96,254,13,20,397,1192
UCL215048,129,247,0,8,6,30,3,13,42,170,54,215,0,0,3,9,17,51,22,59,75,276,0,0,3,11,3,9,3,11,13,34,0,0,3,13,11,21,15,31,28,61,5,13,227,596
UCL215049,333,653,5,35,43,207,7,31,204,848,263,1121,10,46,36,129,68,194,116,373,383,1490,0,0,9,30,0,4,15,54,27,92,3,9,10,17,21,50,33,76,64,167,0,3,783,2314
UCL215050,484,951,12,56,37,183,14,56,214,872,278,1165,18,79,33,101,72,227,120,404,395,1568,5,17,14,51,0,9,92,265,108,342,3,20,16,35,57,128,84,182,195,519,18,42,1092,3076
UCL215051,212,418,0,5,4,26,3,5,46,176,56,212,6,14,9,24,16,48,29,88,82,303,0,0,3,6,0,3,20,52,23,58,0,0,3,9,21,43,23,44,47,107,3,8,343,831
UCL215052,330,644,9,39,18,105,6,19,213,838,245,1014,9,48,15,55,60,182,87,279,332,1288,0,8,13,44,7,20,59,147,80,222,4,9,16,35,33,68,55,110,133,334,11,23,813,2290
UCL215053,206,416,4,16,9,47,0,6,89,353,103,426,3,11,16,45,43,124,57,181,161,603,4,29,6,28,5,22,44,123,70,199,3,9,9,27,43,80,52,117,121,312,10,11,500,1346
UCL215054,124,246,3,9,5,24,3,10,92,369,106,420,12,37,9,22,24,78,42,144,145,556,3,18,4,12,0,9,50,130,61,171,3,10,14,30,45,102,65,142,127,313,13,24,404,1146
UCL215055,169,336,0,0,16,84,6,23,98,405,119,509,8,32,13,48,38,123,57,202,181,712,0,0,10,26,0,3,30,76,38,107,3,15,4,10,27,51,33,78,71,183,3,4,427,1240
UCL215056,139,275,3,16,10,37,4,23,45,194,65,277,4,13,0,7,10,38,18,54,80,333,0,0,0,4,0,5,24,71,26,80,5,14,0,4,12,27,24,49,51,130,3,8,269,745
UCL215057,226,438,0,6,10,49,0,11,93,364,101,433,0,3,15,48,13,45,34,94,138,528,0,0,4,20,0,4,24,64,33,86,3,8,13,22,19,38,35,67,64,153,3,8,429,1123
UCL215058,323,646,3,27,34,160,7,40,121,472,166,694,12,39,24,78,42,127,75,247,237,943,0,0,7,37,3,9,58,157,71,207,4,14,14,26,40,87,63,129,132,336,11,31,710,1959
UCL215059,245,475,5,16,12,50,3,12,75,298,92,375,3,18,8,30,42,116,53,168,148,543,0,3,6,19,0,3,23,76,33,100,3,7,9,12,20,44,30,70,63,172,8,17,461,1198
UCL215060,169,336,5,31,18,78,3,11,60,265,90,388,4,13,7,27,17,58,30,99,117,482,0,7,11,39,0,3,28,69,40,120,0,6,8,15,29,58,37,82,72,199,9,20,364,1038
UCL215061,239,472,0,9,18,100,9,27,88,337,114,480,7,37,13,38,28,83,50,158,162,638,0,0,4,10,3,9,16,44,20,63,3,7,6,7,19,43,22,58,42,118,15,24,456,1253
UCL215062,443,874,7,54,35,156,7,39,159,614,206,862,16,60,29,84,64,207,105,358,315,1219,0,4,14,47,8,26,90,245,113,322,11,27,21,40,53,123,85,197,198,511,11,20,964,2631
UCL215063,228,449,0,3,18,97,4,14,75,298,102,413,6,22,8,29,24,82,42,135,147,546,0,0,9,36,4,10,51,139,65,186,0,0,3,9,38,81,41,90,106,274,4,10,480,1278
UCL215064,127,247,0,5,9,39,0,0,43,187,54,229,3,7,7,34,13,47,25,85,81,317,0,0,0,7,0,3,10,29,12,43,0,0,3,6,13,33,16,38,25,76,3,3,235,649
UCL215065,591,1166,0,13,22,101,5,23,112,416,140,556,8,23,21,61,48,158,76,245,220,802,0,12,5,24,4,19,41,109,60,160,7,12,7,6,35,70,45,91,99,257,3,7,913,2232
UCL215066,596,1163,4,19,37,172,8,34,142,555,188,782,17,65,40,136,45,135,108,332,293,1112,4,15,9,21,5,16,33,101,50,145,7,16,14,26,42,78,56,122,109,264,8,14,1003,2554
UCL215067,409,812,5,14,15,80,3,12,186,734,207,835,6,26,18,52,40,121,60,200,272,1035,3,10,6,32,3,8,39,94,52,140,3,8,7,13,28,69,41,88,91,228,10,11,776,2087
UCL215068,284,563,5,39,27,121,11,38,128,519,169,714,11,57,12,51,53,156,82,264,249,976,4,18,19,64,0,3,79,235,98,321,7,9,15,29,48,105,65,140,168,462,9,20,709,2027
UCL215069,300,595,10,44,45,212,11,45,230,918,297,1216,39,160,48,167,87,273,173,602,471,1816,5,23,15,37,3,7,32,88,50,147,4,17,10,22,35,77,52,111,105,261,7,13,879,2679
UCL215070,179,356,10,40,19,94,4,24,115,462,143,616,8,17,5,28,17,56,31,106,175,721,0,4,7,29,4,19,51,160,67,212,4,14,7,18,21,53,32,83,100,298,15,37,462,1410
UCL215071,357,709,4,25,21,125,4,24,107,456,144,630,14,47,25,70,55,170,94,293,233,920,0,6,10,33,3,12,47,130,65,185,4,14,13,22,42,90,56,130,119,314,12,20,721,1958
UCL215072,374,749,16,74,56,251,19,77,273,1079,360,1481,32,131,29,107,120,374,181,605,542,2088,0,8,10,36,9,29,48,149,71,226,11,31,16,36,39,87,68,152,136,373,8,14,1054,3228
UCL215073,155,305,0,3,12,60,5,18,69,259,85,344,3,15,4,19,31,84,38,122,125,467,0,8,3,9,3,3,12,41,17,58,3,3,9,15,19,35,28,60,47,118,8,11,334,904
UCL215074,256,495,4,29,13,68,0,5,122,468,144,569,8,22,12,38,35,104,51,170,194,740,0,8,11,34,0,0,48,119,61,161,7,10,13,22,29,63,48,98,109,261,11,14,569,1509
UCL215075,173,337,0,0,15,56,0,7,58,230,73,291,0,7,6,11,18,49,17,62,92,354,0,0,4,9,0,3,16,36,18,50,3,4,3,10,9,19,19,35,33,79,3,3,300,780
UCL215076,158,314,9,33,26,112,0,11,143,581,178,746,22,102,22,69,50,143,90,311,264,1059,0,0,10,32,0,9,20,54,33,97,3,10,7,18,26,48,34,76,65,165,8,13,499,1550
