UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL215022,331,29,23,5,0,0,9,395
UCL215023,134,12,14,0,0,0,0,161
UCL215024,123,10,5,0,0,0,3,137
UCL215025,72,7,3,3,0,0,0,83
UCL215026,292,20,21,5,0,0,0,332
UCL215027,198,13,20,5,0,0,0,244
UCL215028,241,11,8,0,0,0,0,263
UCL215029,223,23,10,3,0,0,0,257
UCL215030,87,12,3,0,0,0,3,105
UCL215031,91,4,10,0,0,0,0,107
UCL215032,188,13,9,0,0,0,0,218
UCL215033,407,26,21,0,0,0,0,459
UCL215034,63,3,3,0,0,0,0,73
UCL215035,150,7,3,0,0,0,0,160
UCL215036,145,7,8,0,0,0,0,161
UCL215037,92,11,0,0,0,0,0,112
UCL215038,109,12,15,0,0,0,0,135
UCL215039,74,7,12,0,0,0,0,98
UCL215040,278,14,17,4,0,0,0,323
UCL215041,235,34,29,3,0,0,0,304
UCL215042,153,10,5,3,0,0,0,176
UCL215043,277,31,17,0,0,0,0,322
UCL215044,397,34,16,3,0,0,5,448
UCL215045,145,15,10,0,0,0,0,170
UCL215046,109,17,12,0,0,0,0,141
UCL215047,116,14,11,3,0,0,0,150
UCL215048,65,0,3,0,0,0,0,75
UCL215049,347,18,11,4,0,0,3,383
UCL215050,347,16,25,3,0,0,6,395
UCL215051,74,3,7,0,0,0,0,82
UCL215052,302,17,12,0,0,0,0,332
UCL215053,136,17,9,0,0,0,3,161
UCL215054,119,11,16,0,0,0,4,145
UCL215055,159,15,4,3,0,0,0,181
UCL215056,66,4,6,0,0,0,0,80
UCL215057,116,13,9,0,0,0,3,138
UCL215058,209,17,10,0,0,0,0,237
UCL215059,129,10,8,0,0,0,0,148
UCL215060,102,4,9,0,0,0,0,117
UCL215061,143,15,4,0,0,0,0,162
UCL215062,267,28,16,3,0,0,0,315
UCL215063,118,7,9,4,0,0,3,147
UCL215064,69,6,4,0,0,0,0,81
UCL215065,179,18,8,3,0,0,0,220
UCL215066,269,18,6,0,0,0,0,293
UCL215067,246,18,7,0,0,0,0,272
UCL215068,196,32,20,3,0,0,0,249
UCL215069,422,26,13,3,0,0,0,471
UCL215070,145,11,5,5,0,0,0,175
UCL215071,196,20,17,3,0,0,3,233
UCL215072,476,31,25,3,0,3,5,542
UCL215073,105,12,7,0,0,0,0,125
UCL215074,168,13,9,3,0,0,3,194
UCL215075,74,6,10,0,0,0,0,92
UCL215076,232,23,15,3,0,0,0,264
UCL215077,151,10,6,0,0,0,0,171
UCL215078,177,20,17,0,0,0,4,208
UCL215079,375,26,17,4,0,0,0,427
UCL215080,151,11,9,0,0,0,0,177
UCL215081,109,4,10,0,0,0,0,130
UCL215082,121,16,4,0,0,0,0,147
UCL215083,290,38,14,0,0,0,4,354
UCL215084,207,15,16,3,3,0,0,245
UCL215085,117,25,10,0,0,0,0,155
UCL215086,148,16,5,0,0,0,3,173
UCL215087,413,27,22,3,0,0,0,466
UCL215088,114,15,9,0,0,0,0,137
UCL215089,239,15,4,0,0,0,3,260
UCL215090,421,28,20,3,0,0,0,470
UCL215091,425,49,32,5,0,0,3,515
UCL215092,81,5,4,3,0,0,0,97
UCL215093,251,31,7,0,0,0,0,292
UCL215094,295,15,18,8,0,0,3,345
UCL215095,97,12,3,3,0,0,0,119
UCL215096,102,11,6,4,0,0,0,125
UCL215097,76,7,10,0,0,0,3,96
UCL221001,90,6,3,0,0,0,0,95
