UCL_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL221067,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,3,0,7,13,0,3,0,20,14,10,3,0,27,6,8,3,0,20,9,6,3,0,17,4,11,0,0,10,3,6,0,0,11,4,12,0,0,16,3,3,0,0,10,0,10,0,0,10,0,0,0,0,0,4,0,0,0,5,7,6,3,0,16,0,3,0,0,3,70,82,35,3,192
UCL221068,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,13,0,3,0,14,3,0,7,0,4,15,0,3,0,22,9,3,3,0,20,16,12,3,0,30,14,16,5,0,34,5,9,0,0,18,8,9,3,0,16,10,6,3,0,20,3,5,0,0,10,0,3,0,0,5,0,0,0,0,0,4,0,0,0,4,9,3,7,0,22,9,0,0,0,9,120,74,42,0,235
UCL221069,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,8,0,7,0,9,4,3,6,0,14,23,3,0,0,26,14,12,4,0,25,16,14,9,0,33,16,30,5,0,58,12,15,3,0,36,10,21,3,0,32,23,40,4,0,64,19,38,0,0,50,13,17,0,0,28,0,8,0,0,15,6,18,0,0,21,15,29,5,0,46,5,3,0,0,7,183,248,47,0,481
UCL221070,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,4,0,3,0,6,0,0,6,3,12,15,0,6,0,22,11,3,5,0,21,13,14,4,0,35,9,8,0,3,21,3,5,0,0,11,0,12,3,0,18,8,13,3,0,21,0,4,0,0,3,0,3,0,0,3,0,0,0,0,3,0,9,0,0,10,9,12,0,0,25,3,0,0,0,3,87,80,39,8,215
UCL221071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,7,3,0,0,0,4,3,3,3,0,4,4,0,0,0,3,3,3,3,0,12,0,3,0,0,6,0,19,0,0,20,3,13,0,0,17,3,7,0,0,9,5,11,0,0,14,0,14,0,0,11,3,6,3,0,13,0,0,0,0,0,36,86,14,0,134
UCL221072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,3,0,4,0,4,14,3,3,0,21,5,4,0,0,18,15,8,0,0,27,12,10,0,0,20,6,9,4,0,21,3,8,0,0,9,9,8,0,0,17,7,10,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,9,4,0,0,14,0,5,0,0,5,96,60,23,5,187
UCL221073,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,16,0,4,0,20,15,0,3,0,15,17,0,3,0,24,8,5,4,0,15,5,7,0,0,12,9,3,0,0,11,11,12,0,0,24,3,4,0,0,7,3,0,0,0,3,3,0,0,0,3,3,3,0,0,9,3,8,3,0,16,0,0,0,0,3,101,48,24,0,181
UCL221074,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,17,14,0,5,0,20,22,3,4,0,31,13,3,0,0,20,13,3,0,0,15,8,3,0,0,8,3,3,0,0,6,6,4,0,0,8,8,6,0,0,11,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,4,12,4,5,0,19,5,3,0,0,8,108,40,25,0,172
UCL221075,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,3,0,3,0,9,3,0,7,0,7,16,0,3,0,20,6,5,0,0,15,13,8,0,0,21,3,4,3,0,7,6,3,3,0,7,0,9,0,0,12,3,3,0,0,12,3,0,0,0,3,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,9,6,3,0,14,8,0,5,0,10,81,49,28,6,155
UCL221076,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,4,0,15,3,4,0,0,9,5,4,0,0,10,5,9,8,0,18,5,3,3,0,20,0,4,0,0,7,8,4,0,0,14,8,3,0,0,8,3,5,0,0,8,0,0,0,0,0,3,0,0,0,3,3,6,0,0,10,0,0,0,0,0,63,52,23,0,130
UCL221077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,3,0,0,8,4,0,3,0,10,18,4,5,0,24,11,3,3,0,16,8,3,8,0,15,5,3,0,0,12,3,3,3,0,14,3,0,0,0,4,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,4,0,18,0,5,0,0,4,70,39,26,0,139
UCL221078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,12,0,0,3,0,3,11,3,3,0,19,9,0,5,0,20,18,0,0,0,14,10,9,0,0,19,3,6,0,0,10,0,0,0,0,3,9,9,0,0,21,8,10,0,0,16,3,8,0,0,8,0,0,0,0,0,5,3,0,0,5,9,10,3,0,19,0,0,0,0,0,90,58,22,0,169
UCL221079,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,9,0,9,0,3,3,0,11,0,0,7,0,7,10,0,3,0,16,4,0,5,0,14,8,9,5,0,21,7,6,0,0,17,3,9,0,0,8,7,7,4,0,21,10,12,0,0,29,8,15,0,0,22,7,4,0,0,13,4,7,0,0,8,3,15,0,0,21,5,24,0,0,32,0,0,4,0,3,85,124,47,0,255
UCL221080,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,7,0,9,0,0,5,0,9,17,0,5,0,19,16,3,4,0,20,6,9,0,0,14,3,3,0,0,9,3,7,0,0,10,4,0,0,0,3,4,7,0,0,15,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,3,0,0,0,4,68,38,28,3,136
