UCL_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
UCL212005,0,23,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,6,4,5,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,27,0,27,0,27,..,13,0,20,0,20,..,20,0,26,0,26,..,0,0,3,0,3,..,68,0,73,0,73,..,19,0,19,0,19,..,11,0,11,0,11,..,15,5,23,0,26,..,8,0,3,0,3,..,7,0,5,0,5,..,101,17,123,8,128,..,550,145,691,17,706,..,45,3,51,1091,1137,14207,593,147,736,1108,16050,27127,..,..,..,..,27127,..,21,0,19,0,19,..,58,7,57,3,64,..,3,0,3,0,8,..,32,11,42,0,42,..,136,191,330,0,332,..,9,19,29,0,29,..,179,220,401,0,397,..,3,0,6,0,6,..,22,0,22,0,23,..,42,4,41,0,45,..,28,0,29,3,35
UCL213001,0,0,..,4,0,4,0,4,..,36,0,34,0,34,..,0,0,0,0,0,..,15,3,18,0,18,..,0,0,0,0,0,..,4,0,4,0,4,..,9,0,9,0,9,..,5,0,5,0,5,..,0,0,3,0,3,..,10,0,15,0,15,..,4,0,4,0,4,..,23,3,27,0,27,..,24,4,26,0,26,..,3,0,3,0,3,..,8,0,8,0,8,..,3,0,3,0,3,..,13,0,20,0,20,..,82,7,89,3,96,..,455,55,511,6,514,..,12,0,12,487,506,7900,471,55,523,499,8921,15299,..,..,..,..,15299,..,22,0,22,0,22,..,24,3,26,3,33,..,0,0,0,0,0,..,11,0,9,0,9,..,22,11,34,0,36,..,0,0,0,0,0,..,37,12,43,0,46,..,33,5,45,0,46,..,33,0,39,0,39,..,18,0,23,0,23,..,41,0,41,0,41
UCL213002,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,23,0,26,0,26,..,0,0,0,0,0,..,17,0,17,0,17,..,0,0,0,0,0,..,44,0,46,0,46,..,5,0,4,0,8,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,12,10,30,0,30,..,30,8,35,0,37,..,246,52,292,6,305,..,23,0,25,702,726,5894,269,48,317,710,6918,11081,..,..,..,..,11081,..,8,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,10,4,10,0,10,..,29,25,56,0,53,..,9,3,9,0,9,..,45,29,75,0,76,..,4,0,4,0,4,..,12,0,12,0,13,..,9,0,9,0,9,..,36,0,38,3,43
UCL213003,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,3,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,3,0,3,..,13,0,13,0,13,..,3,0,3,0,3,..,10,0,6,0,6,..,0,0,3,0,3,..,27,3,30,0,30,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,7,0,7,..,51,11,59,5,66,..,190,51,241,5,249,..,14,0,11,383,397,5443,204,53,257,393,6092,10547,..,..,..,..,10547,..,3,0,3,0,3,..,49,9,60,0,60,..,0,0,0,0,0,..,11,3,14,0,14,..,30,32,59,0,60,..,0,0,0,0,0,..,44,32,77,0,83,..,3,0,3,0,3,..,12,0,12,0,12,..,3,0,3,0,3,..,12,0,12,0,12
UCL213004,0,0,..,0,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,8,3,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,4,0,4,..,14,0,14,0,16,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,21,0,21,0,24,..,11,0,11,0,11,..,3,0,0,0,0,..,3,3,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,30,4,32,3,32,..,217,30,247,3,246,..,13,0,13,421,440,5526,230,30,263,425,6213,10572,..,..,..,..,10572,..,13,0,13,0,13,..,16,0,13,0,13,..,3,0,3,0,3,..,7,0,11,0,11,..,17,14,23,0,23,..,4,3,9,0,9,..,30,13,46,0,46,..,8,0,11,0,11,..,47,0,47,0,47,..,16,0,16,0,16,..,26,3,34,0,32
UCL213005,0,0,..,0,0,0,0,0,..,9,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,15,0,15,0,15,..,10,3,13,0,13,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,3,0,3,0,3,..,44,7,47,0,47,..,222,21,244,0,252,..,22,0,22,307,337,5946,251,21,274,309,6528,11376,..,..,..,..,11376,..,15,0,15,0,15,..,3,0,5,0,5,..,0,0,0,0,0,..,9,0,12,0,12,..,23,3,30,0,30,..,0,0,0,0,0,..,33,4,35,0,35,..,15,3,23,0,23,..,22,0,22,0,21,..,16,0,16,0,16,..,49,0,48,0,48
UCL213006,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,3,0,3,0,3,..,14,0,14,0,14,..,0,0,0,0,0,..,38,0,38,0,38,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,35,3,44,3,42,..,178,22,197,3,195,..,32,0,33,484,517,6040,210,21,230,487,6755,11555,..,..,..,..,11555,..,3,0,3,0,3,..,8,0,8,0,8,..,6,0,6,0,6,..,4,0,4,0,4,..,20,4,24,0,24,..,3,0,3,0,3,..,29,4,31,0,31,..,3,0,3,0,3,..,3,0,3,0,3,..,15,3,19,0,19,..,25,0,25,0,25
UCL213007,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,12,0,12,..,0,0,0,0,0,..,18,0,18,0,18,..,10,0,10,0,10,..,47,0,45,0,45,..,9,0,8,0,8,..,5,0,5,0,5,..,4,0,5,0,5,..,7,3,14,0,14,..,4,0,4,0,4,..,65,21,91,3,97,..,314,48,367,7,367,..,12,4,22,420,439,7336,329,50,380,430,8147,14072,..,..,..,..,14072,..,6,0,6,0,6,..,15,0,15,0,15,..,4,0,4,0,4,..,20,3,22,0,22,..,42,6,47,0,46,..,0,0,0,0,0,..,63,8,69,0,68,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,20,0,19,0,19
UCL213008,0,0,..,17,0,19,0,19,..,8,0,11,0,11,..,3,0,3,0,3,..,4,0,4,0,10,..,8,0,8,0,8,..,3,0,3,0,3,..,13,3,17,0,17,..,43,3,49,0,49,..,7,0,7,0,7,..,58,4,63,0,61,..,3,0,3,0,3,..,111,8,116,0,114,..,11,0,19,0,19,..,6,0,6,0,6,..,7,3,12,0,12,..,6,0,6,0,6,..,10,7,18,0,18,..,42,11,51,4,55,..,472,41,507,4,514,..,14,0,11,280,287,6014,481,43,521,284,6820,11773,..,..,..,..,11773,..,16,0,16,0,16,..,5,3,12,0,12,..,0,0,0,0,0,..,11,0,13,0,13,..,31,4,39,0,39,..,0,0,0,0,0,..,48,6,55,0,55,..,82,0,82,0,82,..,26,0,26,0,26,..,12,0,12,0,12,..,29,3,29,0,29
UCL213009,0,0,..,0,0,3,0,3,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,0,16,..,8,0,8,0,8,..,12,0,14,0,14,..,0,0,0,0,0,..,36,0,35,0,35,..,10,0,10,0,10,..,0,0,0,0,0,..,5,0,8,0,8,..,9,0,9,0,9,..,7,0,9,0,9,..,51,11,62,5,69,..,324,39,361,7,374,..,17,0,17,208,223,5570,337,39,377,215,6162,10742,..,..,..,..,10742,..,13,0,13,3,12,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,12,0,12,..,33,13,51,3,53,..,0,0,0,0,0,..,43,18,62,3,64,..,16,0,19,0,19,..,21,0,21,0,21,..,9,0,10,0,10,..,30,3,34,0,36
UCL213010,0,0,..,0,0,0,0,3,..,46,3,52,0,49,..,0,0,0,0,0,..,10,4,15,0,15,..,0,0,3,0,3,..,4,0,4,0,4,..,16,7,22,0,22,..,26,0,29,0,29,..,5,0,5,0,5,..,18,3,21,0,21,..,6,0,8,0,8,..,60,3,64,0,64,..,7,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,5,0,9,0,9,..,66,24,92,4,95,..,431,85,514,3,520,..,18,3,23,540,565,6681,454,86,541,548,7767,13005,..,..,..,..,13005,..,3,0,3,0,3,..,28,9,31,0,31,..,0,0,0,0,0,..,14,11,22,0,22,..,24,17,41,0,41,..,9,3,13,0,13,..,54,27,80,0,80,..,31,4,34,0,34,..,87,0,83,0,86,..,7,0,11,0,11,..,54,0,59,0,60
UCL213011,0,0,..,0,0,0,0,0,..,32,3,40,0,37,..,0,0,0,0,0,..,15,3,19,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,4,6,7,0,7,..,17,8,25,0,25,..,6,3,7,0,7,..,36,0,36,0,36,..,8,0,8,0,8,..,63,4,74,0,74,..,12,3,9,0,9,..,0,0,0,0,0,..,4,5,12,0,12,..,0,0,0,0,0,..,0,4,3,0,3,..,56,19,75,3,77,..,566,142,709,9,723,..,26,0,27,620,646,5515,592,143,735,632,6883,10869,..,..,..,..,10869,..,9,0,9,0,9,..,68,14,86,4,90,..,4,0,4,0,4,..,13,3,13,0,13,..,46,19,67,0,67,..,6,3,10,0,10,..,66,21,94,3,92,..,12,4,20,0,20,..,24,0,24,0,24,..,11,0,11,0,11,..,41,0,41,0,41
UCL213012,0,4,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,0,16,..,9,0,9,0,9,..,0,0,0,0,0,..,3,4,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,47,3,47,0,47,..,304,24,331,3,332,..,24,0,19,385,403,8677,321,25,353,385,9419,16820,..,..,..,..,16820,..,6,0,6,0,6,..,4,0,6,0,6,..,0,0,0,0,0,..,10,0,10,0,10,..,34,15,45,3,46,..,3,4,13,0,13,..,48,19,68,3,67,..,3,0,3,0,3,..,39,0,39,0,40,..,28,0,28,0,28,..,75,3,80,3,83
UCL213013,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,11,0,9,0,9,..,16,0,16,0,16,..,4,4,8,0,8,..,34,3,35,0,35,..,7,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,6,0,6,..,14,3,18,0,18,..,124,21,143,3,149,..,17,0,17,384,404,4559,142,21,164,387,5109,8968,..,..,..,..,8968,..,5,0,5,0,5,..,5,0,5,0,5,..,7,0,7,4,4,..,8,3,6,0,6,..,8,3,14,0,14,..,0,0,4,0,4,..,19,7,23,0,23,..,5,0,5,0,5,..,14,0,14,0,12,..,0,0,0,0,0,..,15,0,15,0,15
UCL213014,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,17,0,17,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,16,0,15,0,15,..,4,0,4,0,4,..,25,3,25,0,25,..,15,0,17,0,17,..,57,3,64,0,64,..,4,3,4,0,4,..,6,3,7,0,7,..,5,0,9,0,9,..,0,0,0,0,0,..,15,6,26,0,26,..,46,15,62,3,60,..,366,80,447,3,453,..,14,0,16,489,504,6067,387,80,464,490,7021,11673,..,..,..,..,11673,..,20,0,20,0,20,..,13,0,13,0,12,..,4,0,4,0,5,..,14,3,20,0,20,..,50,31,81,3,83,..,0,3,3,0,3,..,67,42,104,3,107,..,22,0,22,0,22,..,28,0,30,0,30,..,19,0,17,0,17,..,13,0,13,0,13
UCL213015,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,17,0,17,..,11,3,17,0,21,..,14,0,14,0,14,..,13,0,14,0,12,..,55,8,61,3,61,..,8,0,8,0,8,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,11,11,3,17,..,80,31,110,0,114,..,363,95,463,14,475,..,19,5,21,537,563,4412,379,103,488,552,5449,8473,..,..,..,..,8473,..,8,0,8,0,8,..,17,0,25,0,25,..,0,0,0,0,0,..,5,3,11,0,11,..,40,19,56,0,56,..,0,0,0,0,0,..,45,25,70,0,70,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,6,0,6,0,6
UCL213016,0,5,..,11,0,7,0,7,..,3,0,4,0,9,..,5,0,5,0,5,..,6,0,6,0,6,..,9,0,13,0,13,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,18,0,18,0,18,..,21,0,21,0,21,..,0,0,0,0,0,..,3,5,10,0,10,..,0,0,0,0,0,..,3,0,3,0,3,..,69,14,80,0,75,..,378,37,415,3,420,..,7,0,7,385,391,7812,386,37,420,390,8625,15365,..,..,..,..,15365,..,17,0,24,0,20,..,13,0,9,0,9,..,3,0,3,0,3,..,7,0,7,0,7,..,8,8,19,0,19,..,0,0,0,0,0,..,20,8,23,0,23,..,22,5,22,0,22,..,36,0,41,0,41,..,53,3,53,0,53,..,94,0,95,0,96
UCL213017,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,5,0,5,..,17,0,17,0,17,..,3,0,4,0,4,..,17,0,17,0,17,..,4,0,4,0,4,..,42,3,44,0,44,..,7,0,10,0,10,..,7,0,6,0,6,..,3,0,3,3,3,..,3,3,7,0,7,..,3,0,3,0,3,..,44,7,47,0,54,..,423,87,509,9,516,..,35,0,35,735,768,8575,457,87,545,739,9862,16202,..,..,..,..,16202,..,16,0,16,0,16,..,16,3,17,0,17,..,0,0,0,0,0,..,15,7,19,0,24,..,37,7,43,0,43,..,3,0,4,0,4,..,50,12,65,3,65,..,10,3,11,0,11,..,12,0,12,0,12,..,15,5,17,0,17,..,31,0,31,0,31
UCL213018,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,9,0,9,..,5,0,5,0,5,..,14,0,14,0,14,..,0,0,0,0,0,..,26,0,27,0,27,..,10,0,10,0,10,..,9,0,9,0,9,..,3,0,9,0,9,..,0,0,0,0,0,..,11,0,9,0,9,..,45,9,53,0,61,..,329,47,375,3,381,..,9,3,12,418,431,6718,341,51,390,427,7535,12732,..,..,..,..,12732,..,17,0,17,0,17,..,10,3,12,0,10,..,0,0,0,0,0,..,10,4,17,0,17,..,46,38,84,0,84,..,4,0,4,0,4,..,60,39,103,0,103,..,9,3,16,0,16,..,33,0,41,0,41,..,18,0,18,0,18,..,39,0,39,0,41
UCL214001,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,0,18,..,6,0,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,34,0,34,0,34,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,7,4,9,0,9,..,15,0,12,0,17,..,151,34,178,3,181,..,11,3,12,173,183,3153,160,36,189,177,3522,6225,..,..,..,..,6225,..,7,0,7,0,7,..,13,0,13,0,13,..,0,0,0,0,0,..,0,3,5,0,5,..,22,36,55,3,58,..,0,4,4,0,4,..,25,39,66,3,69,..,7,0,7,0,7,..,9,0,9,0,9,..,0,0,0,0,0,..,5,0,7,0,13
UCL214002,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,7,0,7,..,7,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,18,0,18,0,18,..,4,0,4,0,4,..,6,0,6,0,6,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,26,6,32,0,33,..,139,18,158,10,167,..,6,0,6,372,380,4371,147,18,171,376,4922,8270,..,..,..,..,8270,..,0,0,0,0,0,..,7,0,13,0,13,..,0,0,0,0,0,..,8,0,12,0,12,..,17,9,25,0,25,..,9,0,12,0,12,..,32,7,44,0,44,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,3,8,..,35,0,37,3,39
UCL214003,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,11,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,16,0,16,0,14,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,20,3,22,3,26,..,159,37,195,7,194,..,12,0,12,431,445,4308,174,37,203,437,4947,8050,..,..,..,..,8050,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,9,8,11,0,11,..,19,44,71,0,71,..,3,3,3,0,3,..,32,55,84,0,84,..,6,0,6,0,6,..,20,0,20,0,20,..,21,3,24,0,24,..,39,0,39,0,39
UCL214004,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,10,0,10,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,24,3,25,..,238,55,295,4,299,..,10,0,11,194,207,2217,247,57,305,199,2723,4342,..,..,..,..,4342,..,3,0,3,0,3,..,96,32,130,0,130,..,0,0,0,0,0,..,0,0,3,0,3,..,25,20,43,0,43,..,0,3,3,0,3,..,25,25,48,0,48,..,0,0,3,0,3,..,4,0,4,0,4,..,6,0,6,0,9,..,10,0,6,0,6
UCL214005,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,19,22,482,9,0,9,19,511,951,..,..,..,..,951,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
UCL214006,0,0,..,5,0,6,0,6,..,10,0,10,0,10,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,12,7,14,0,14,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,7,0,7,0,7,..,28,5,32,3,39,..,200,34,237,8,242,..,14,0,14,277,290,4503,221,34,253,282,5034,8835,..,..,..,..,8835,..,25,0,26,0,26,..,9,0,9,0,10,..,0,0,0,0,0,..,7,3,9,0,9,..,25,16,40,0,41,..,0,0,0,0,0,..,33,20,52,0,54,..,14,0,11,0,11,..,6,0,6,0,6,..,19,0,15,0,15,..,25,0,25,0,28
