UCL_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL212005,..,197,159,46,31,34,17,14,0,495,..,77,170,139,260,438,420,460,262,2223,41,79,59,30,37,50,45,19,14,377,2519,1818,1765,1732,2001,1857,1422,943,395,14447,..,54,1126,1793,2111,2068,1717,826,216,9897,..,357,774,441,339,237,75,28,10,2258,..,51,215,366,388,159,78,69,41,1363,5043,..,..,..,..,..,..,..,..,5043,..,1289,..,..,..,..,..,..,..,1289,..,972,314,131,110,56,7,0,0,1583,..,117,59,30,36,57,43,23,25,407,..,97,76,26,19,7,3,0,3,233,..,438,424,99,65,78,38,21,4,1177,..,152,350,331,531,709,626,584,319,3603,94,162,135,70,75,88,74,35,20,757,5138,3694,3474,3283,3673,3470,2658,1588,638,27612
UCL213001,..,25,20,11,20,21,14,6,0,116,..,24,66,57,104,138,214,163,80,840,31,41,30,21,21,25,11,10,12,196,1696,991,1069,1149,1145,994,785,367,138,8328,..,23,814,1280,1293,1223,913,330,71,5955,..,144,513,321,228,109,57,12,3,1380,..,26,124,217,254,121,65,37,21,865,3381,..,..,..,..,..,..,..,..,3381,..,892,..,..,..,..,..,..,..,892,..,682,282,91,69,23,6,0,0,1163,..,69,31,20,27,56,34,18,8,275,..,47,41,12,17,14,6,0,0,132,..,48,58,28,40,37,26,17,0,246,..,43,155,161,238,261,329,209,106,1487,52,75,65,49,41,46,28,16,7,374,3438,2042,2084,2178,2203,1891,1460,633,219,16151
UCL213002,..,44,18,12,17,22,12,8,3,135,..,28,58,55,94,187,216,245,155,1037,27,36,19,6,19,31,35,16,9,197,1054,651,658,633,746,793,713,511,224,5980,..,28,496,520,664,807,818,470,114,3927,..,171,281,193,164,111,42,12,9,973,..,29,99,179,166,87,41,28,17,645,2050,..,..,..,..,..,..,..,..,2050,..,432,..,..,..,..,..,..,..,432,..,347,138,70,51,18,3,0,0,623,..,50,24,17,12,28,15,18,12,183,..,35,27,7,8,0,0,0,3,92,..,76,63,41,31,33,23,7,3,279,..,61,124,129,187,322,328,331,187,1669,53,65,45,33,35,50,56,29,12,368,2103,1293,1298,1200,1314,1455,1329,897,345,11234
UCL213003,..,49,35,13,21,18,13,3,0,151,..,20,49,24,88,174,187,212,134,892,24,23,20,8,12,16,23,20,6,148,983,633,619,579,698,708,579,441,191,5435,..,30,452,653,712,767,630,380,86,3714,..,156,250,158,154,90,21,8,0,840,..,36,104,140,133,58,26,30,23,540,2036,..,..,..,..,..,..,..,..,2036,..,431,..,..,..,..,..,..,..,431,..,353,123,55,38,18,4,0,0,589,..,55,32,5,27,31,27,12,7,191,..,27,21,8,4,5,3,0,3,71,..,119,120,68,48,44,19,11,0,419,..,58,147,104,185,281,298,276,165,1520,41,60,48,24,27,31,40,22,8,295,2076,1323,1301,1207,1320,1329,1062,743,290,10653
UCL213004,..,28,24,5,15,20,12,5,3,108,..,16,45,34,69,142,156,139,60,651,32,28,20,9,10,17,13,4,3,144,1144,605,726,632,689,686,626,352,105,5564,..,38,583,706,742,787,772,390,60,4080,..,136,353,170,132,101,36,10,0,941,..,24,89,128,146,55,24,30,22,521,2226,..,..,..,..,..,..,..,..,2226,..,488,..,..,..,..,..,..,..,488,..,350,133,51,43,29,3,0,0,607,..,32,8,3,14,26,33,24,12,153,..,35,12,11,5,3,5,0,0,72,..,47,56,23,28,40,20,9,3,226,..,31,113,93,144,231,235,198,77,1120,60,50,49,24,24,33,25,10,7,276,2283,1226,1398,1203,1284,1298,1159,670,179,10705
UCL213005,..,12,8,8,16,23,15,4,3,87,..,7,42,40,64,130,187,194,97,761,26,29,21,6,6,14,23,22,3,150,1035,597,608,706,833,886,743,490,161,6051,..,20,467,794,948,1096,933,528,100,4884,..,73,231,206,153,100,55,13,0,836,..,20,75,154,151,92,27,19,23,553,2092,..,..,..,..,..,..,..,..,2092,..,584,..,..,..,..,..,..,..,584,..,408,189,62,34,20,9,0,0,715,..,25,20,11,18,24,18,17,5,147,..,26,23,6,10,3,3,0,0,79,..,27,31,18,24,37,21,13,3,173,..,23,67,85,138,231,275,262,130,1211,51,61,28,22,18,26,30,28,9,279,2143,1259,1134,1351,1497,1629,1377,891,275,11544
UCL213006,..,40,47,16,18,23,13,7,0,168,..,12,71,40,107,181,201,189,92,892,14,24,23,11,11,15,20,12,5,137,1060,651,686,684,794,805,684,441,149,5949,..,20,444,669,814,886,795,455,90,4174,..,141,305,216,180,113,55,16,0,1022,..,40,99,152,159,67,27,21,14,585,2117,..,..,..,..,..,..,..,..,2117,..,511,..,..,..,..,..,..,..,511,..,369,118,49,31,17,3,0,0,597,..,35,17,5,15,40,27,16,3,157,..,41,35,13,12,9,4,3,0,105,..,83,90,31,36,43,31,17,0,333,..,42,126,118,207,306,313,253,124,1492,38,50,56,30,22,20,33,16,7,278,2153,1335,1291,1284,1486,1495,1284,795,243,11370
UCL213007,..,92,49,7,16,15,5,0,0,185,..,55,110,69,113,222,228,295,164,1262,25,30,30,11,9,30,30,12,12,183,1317,873,960,838,901,936,755,589,253,7410,..,35,665,925,1046,1055,877,543,137,5290,..,221,439,178,128,112,29,4,3,1121,..,41,127,188,165,85,29,30,24,697,2766,..,..,..,..,..,..,..,..,2766,..,537,..,..,..,..,..,..,..,537,..,416,138,36,47,33,6,0,0,676,..,68,36,14,14,25,20,21,6,220,..,53,20,7,12,4,0,0,0,93,..,158,112,16,30,22,14,4,3,360,..,111,228,156,232,388,352,393,211,2068,51,64,66,24,27,47,46,24,12,358,2814,1714,1831,1568,1708,1766,1377,1016,391,14191
UCL213008,..,7,12,11,16,9,13,0,0,74,..,8,42,42,53,100,116,88,52,505,24,30,25,7,8,14,17,10,3,128,1350,775,927,980,864,665,482,234,102,6381,..,21,766,1206,1058,880,631,244,53,4866,..,152,404,257,176,88,30,8,0,1116,..,21,85,163,182,71,25,21,15,575,2712,..,..,..,..,..,..,..,..,2712,..,736,..,..,..,..,..,..,..,736,..,489,234,62,34,9,4,0,0,829,..,52,34,11,20,26,23,16,16,199,..,38,36,11,15,7,0,0,0,107,..,23,52,29,34,24,15,3,0,183,..,19,100,110,139,170,179,115,70,906,40,60,39,22,22,26,20,14,3,247,2754,1610,1750,1873,1682,1300,933,416,150,12480
UCL213009,..,18,25,7,3,15,8,4,0,90,..,10,53,52,53,100,128,99,48,541,15,27,18,7,7,13,9,7,0,107,1142,681,867,783,747,644,522,284,81,5755,..,26,757,933,886,793,684,351,66,4487,..,106,376,189,139,90,31,12,3,941,..,23,82,128,176,68,31,12,11,522,2308,..,..,..,..,..,..,..,..,2308,..,620,..,..,..,..,..,..,..,620,..,382,153,55,28,16,0,0,0,631,..,47,25,7,23,28,14,14,7,163,..,26,23,11,5,8,0,0,0,78,..,35,50,12,26,22,20,6,0,171,..,24,120,90,115,159,196,143,68,923,34,54,49,23,11,16,17,13,3,215,2334,1346,1632,1445,1400,1190,992,559,160,11056
UCL213010,..,41,20,8,21,28,25,6,4,158,..,49,93,66,134,264,271,233,137,1252,38,58,32,18,12,23,31,12,13,225,1130,862,829,756,925,994,823,521,219,7048,..,39,485,620,808,1019,860,453,107,4395,..,218,320,213,180,117,48,17,0,1106,..,64,174,235,254,94,67,50,28,969,2220,..,..,..,..,..,..,..,..,2220,..,569,..,..,..,..,..,..,..,569,..,497,215,93,58,45,4,0,0,921,..,59,25,17,31,35,28,17,11,229,..,43,28,16,10,5,3,4,0,113,..,78,56,29,52,53,40,17,3,342,..,89,199,193,320,527,472,354,175,2330,70,119,61,35,35,42,43,20,10,439,2289,1785,1579,1461,1748,1945,1567,928,342,13631
UCL213011,..,56,37,12,22,30,13,0,0,172,..,45,74,74,126,205,207,210,104,1048,43,32,38,16,20,27,15,15,4,202,1020,740,771,650,793,823,670,455,163,6076,..,37,401,489,652,843,751,405,103,3691,..,199,273,164,163,100,30,18,0,949,..,57,171,219,206,92,53,39,26,866,2067,..,..,..,..,..,..,..,..,2067,..,432,..,..,..,..,..,..,..,432,..,422,181,81,66,22,3,0,0,779,..,54,32,13,30,33,22,18,8,201,..,50,31,15,21,5,4,4,0,122,..,89,89,32,49,48,35,11,3,361,..,79,199,204,332,449,387,318,142,2108,82,72,75,52,38,48,25,16,8,404,2144,1497,1460,1275,1549,1636,1313,824,290,11983
UCL213012,..,24,33,18,13,16,20,5,4,127,..,19,43,58,124,200,259,162,118,989,20,36,30,14,14,34,33,14,3,202,1760,739,819,1291,1235,1211,908,424,173,8572,..,11,635,1595,1438,1544,1160,444,88,6914,..,63,334,348,250,163,68,19,0,1246,..,9,45,184,217,114,30,23,31,641,3628,..,..,..,..,..,..,..,..,3628,..,841,..,..,..,..,..,..,..,841,..,451,226,66,32,31,4,0,0,807,..,36,25,10,9,30,22,20,14,158,..,23,25,11,9,4,0,0,0,70,..,42,66,34,32,36,37,10,5,253,..,43,91,138,230,350,369,226,156,1604,38,70,63,43,20,58,48,32,5,378,3666,1590,1510,2419,2233,2333,1730,767,299,16540
UCL213013,..,41,12,6,11,15,8,6,0,104,..,20,39,42,92,159,133,126,74,678,22,29,13,7,13,18,20,9,3,126,788,481,461,566,621,692,457,290,106,4461,..,16,289,527,647,725,537,285,71,3102,..,142,218,171,146,116,30,4,0,827,..,20,76,140,137,61,28,23,13,499,1565,..,..,..,..,..,..,..,..,1565,..,361,..,..,..,..,..,..,..,361,..,268,107,45,35,14,0,0,0,476,..,25,9,11,21,19,18,6,7,119,..,29,13,3,3,6,0,0,0,53,..,69,36,17,38,39,25,9,0,236,..,52,101,127,218,299,242,175,92,1309,33,52,35,24,25,23,35,17,4,258,1605,1032,878,1073,1267,1311,932,517,182,8803
UCL213014,..,51,46,13,23,21,7,5,0,158,..,36,65,61,117,181,200,204,128,999,15,27,31,12,22,24,24,16,6,180,1159,671,839,768,844,807,602,401,197,6281,..,23,653,831,818,883,700,335,105,4347,..,167,335,174,145,91,38,7,0,953,..,27,104,155,176,75,31,23,20,601,2354,..,..,..,..,..,..,..,..,2354,..,511,..,..,..,..,..,..,..,511,..,330,108,37,43,22,3,0,0,547,..,56,20,8,27,26,17,19,12,178,..,33,29,10,6,3,0,0,0,82,..,131,115,28,34,46,24,8,0,384,..,70,163,167,231,308,292,291,164,1687,43,70,55,35,46,39,36,29,8,349,2393,1428,1586,1437,1521,1490,1132,706,315,12010
UCL213015,..,47,27,13,14,8,11,0,0,132,..,25,59,36,71,113,138,197,99,739,15,22,24,9,9,8,20,7,7,118,889,580,625,564,573,522,446,389,162,4734,..,34,480,636,647,647,481,334,99,3352,..,145,256,98,88,45,23,12,0,675,..,25,82,117,119,43,26,23,11,451,1777,..,..,..,..,..,..,..,..,1777,..,402,..,..,..,..,..,..,..,402,..,273,92,38,31,19,3,0,0,462,..,50,30,19,20,16,15,11,3,173,..,27,15,8,5,0,0,0,0,59,..,107,102,49,47,33,29,6,0,367,..,57,128,92,143,208,221,247,141,1240,33,53,53,21,19,16,30,18,6,258,1810,1181,1244,1081,1122,1026,823,661,263,9222
UCL213016,..,42,106,13,16,19,0,3,0,208,..,14,41,60,60,141,151,121,61,651,19,28,31,14,19,23,21,14,4,172,1786,709,986,1301,1122,916,653,311,112,7902,..,7,717,1756,1487,1156,887,346,65,6426,..,53,425,366,230,150,47,7,0,1272,..,0,39,122,175,80,32,9,13,472,3696,..,..,..,..,..,..,..,..,3696,..,846,..,..,..,..,..,..,..,846,..,322,179,42,31,12,3,0,0,588,..,43,27,8,10,15,17,12,10,152,..,31,40,11,11,5,3,0,0,109,..,105,208,53,31,35,13,8,3,460,..,27,82,137,146,245,243,150,80,1108,33,60,72,38,42,53,36,19,3,354,3730,1493,1794,2532,2165,1756,1272,558,178,15476
