UCL_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL212005,9474,24115,1216,1861,314,572,1530,2430,558,796,75,96,0,0,0,3,643,896,7,26,7,20,0,0,3,4,23,51,54,98,11713,27589,1510,..,13224,27589
UCL213001,5324,14693,637,1206,72,144,713,1348,71,79,0,0,0,0,0,0,71,79,10,9,22,25,0,0,4,12,29,45,17,31,6161,16199,481,..,6644,16199
UCL213002,4469,10411,286,415,28,56,312,474,101,169,0,0,0,0,0,0,101,169,0,0,15,25,0,0,9,19,21,44,65,93,4969,11189,643,..,5617,11189
UCL213003,3996,9855,492,679,11,18,501,698,23,27,0,0,0,0,0,0,23,27,21,23,0,0,0,4,13,35,34,64,9,22,4569,10664,585,..,5147,10664
UCL213004,3793,9951,214,345,0,0,214,345,201,286,0,0,0,0,0,0,201,286,23,26,47,72,0,6,0,3,77,114,8,19,4294,10713,378,..,4670,10713
UCL213005,4477,11098,162,243,29,62,196,304,46,68,0,0,0,0,0,0,52,69,0,0,0,0,0,0,5,9,5,9,22,50,4746,11530,586,..,5337,11530
UCL213006,4147,10280,665,995,18,30,679,1019,42,68,0,0,0,0,0,0,42,68,3,7,13,16,0,0,4,8,20,28,15,41,4900,11439,697,..,5599,11439
UCL213007,5389,12913,433,600,11,27,446,625,392,564,0,0,0,0,0,0,392,564,5,6,0,0,0,0,7,8,9,19,27,40,6265,14164,809,..,7070,14164
UCL213008,4079,11373,481,1019,19,42,500,1063,26,32,0,0,0,0,0,0,26,32,0,3,0,0,0,0,0,0,0,3,4,7,4610,12484,349,..,4953,12484
UCL213009,3949,10619,298,442,5,20,306,456,4,5,0,0,0,0,0,0,4,5,0,0,3,6,0,0,0,0,3,6,3,6,4268,11095,389,..,4656,11095
UCL213010,5181,12144,797,1110,7,11,806,1116,262,341,0,0,0,0,0,0,262,341,21,19,0,3,3,3,0,3,26,30,13,23,6290,13655,976,..,7267,13655
UCL213011,4702,10814,304,394,46,73,346,472,452,636,0,0,0,0,0,0,454,641,0,0,0,0,0,0,9,11,10,12,14,32,5524,11966,840,..,6364,11966
UCL213012,5889,15317,335,549,237,466,569,1015,54,98,3,6,0,0,0,0,51,105,3,11,13,10,0,0,6,24,25,48,29,53,6558,16540,2809,..,9363,16540
UCL213013,3493,8127,167,227,19,34,192,262,213,288,6,6,8,5,0,7,225,305,8,15,0,0,0,0,16,28,28,40,19,37,3942,8776,748,..,4695,8776
UCL213014,4411,10777,386,534,83,119,466,654,283,418,31,68,0,0,0,0,312,489,20,37,14,25,0,3,4,10,43,69,10,20,5243,12008,777,..,6023,12008
UCL213015,3229,8087,248,393,11,8,259,404,356,580,0,0,0,3,3,0,362,586,20,23,3,8,0,0,6,15,26,45,52,116,3924,9245,426,..,4349,9245
UCL213016,5129,14243,244,412,299,685,539,1102,17,29,27,42,7,11,0,0,46,83,0,3,0,4,0,0,0,0,6,10,15,20,5740,15458,2387,..,8129,15458
UCL213017,6278,15120,1008,1428,49,75,1054,1502,59,87,0,0,4,3,0,0,64,92,6,14,3,3,0,0,10,28,28,40,20,35,7442,16789,878,..,8316,16789
UCL213018,4506,11626,291,416,36,48,325,460,510,777,0,0,0,0,0,0,510,777,14,21,16,24,0,0,6,8,37,54,16,41,5397,12961,592,..,5989,12961
UCL214001,2569,5904,118,150,0,0,118,150,100,164,3,5,0,0,0,0,108,171,12,22,5,10,0,0,16,30,38,56,13,13,2841,6302,419,..,3260,6302
UCL214002,3471,7585,65,95,0,4,61,103,299,406,38,48,41,54,0,0,372,516,4,0,13,13,0,8,3,7,23,31,24,46,3948,8280,482,..,4425,8280
UCL214003,3519,7808,237,336,3,4,244,339,28,33,0,0,0,0,0,0,28,33,3,3,4,3,0,0,3,11,11,15,35,64,3832,8267,560,..,4396,8267
UCL214004,1841,4360,107,182,0,3,112,186,120,160,0,0,0,0,0,0,120,160,5,9,3,3,0,0,0,11,9,19,4,18,2088,4742,289,..,2378,4742
UCL214005,342,875,0,0,0,0,0,0,46,81,0,0,0,0,0,0,46,81,0,0,0,0,0,0,0,0,0,0,3,3,392,965,39,..,437,965
UCL214006,2833,8375,354,601,9,19,362,619,3,5,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,0,3,9,23,3202,9022,296,..,3501,9022
UCL214007,3373,7562,132,173,6,13,140,181,96,130,0,0,0,0,0,0,96,130,3,7,4,3,0,4,14,31,20,44,17,26,3648,7941,626,..,4274,7941
UCL214008,2832,7113,284,476,20,40,308,517,10,16,0,3,0,0,0,0,13,20,6,8,39,59,0,0,3,3,47,72,10,15,3212,7739,300,..,3509,7739
UCL214009,1809,4062,127,187,38,76,166,269,32,43,0,0,0,0,0,0,32,43,0,0,0,0,0,0,0,0,0,0,6,22,2020,4394,1889,..,3908,4394
UCL214010,2028,5642,206,322,19,46,225,366,44,63,0,0,0,0,0,0,44,63,7,6,19,35,0,0,3,0,31,40,9,29,2342,6140,183,..,2523,6140
UCL214011,1959,4671,50,81,0,0,46,84,289,427,0,0,0,0,5,9,291,434,16,17,0,0,0,0,3,7,17,20,9,11,2321,5225,251,..,2571,5225
UCL214012,2106,4666,98,147,14,19,114,163,66,106,0,0,0,0,0,0,66,106,45,61,25,37,0,0,7,12,78,106,33,68,2400,5116,844,..,3245,5116
UCL214013,1751,4214,78,120,4,12,84,125,151,222,0,0,0,0,0,0,151,222,3,3,0,0,0,0,3,3,5,9,4,0,1991,4571,226,..,2215,4571
UCL214014,2821,6249,293,414,0,0,292,417,40,48,0,0,0,0,0,0,45,49,22,32,9,17,0,0,16,24,48,69,13,23,3215,6804,395,..,3602,6804
UCL214015,2628,5499,114,169,59,120,178,290,110,178,0,0,0,0,0,0,110,178,3,3,0,0,0,0,4,3,7,10,17,34,2940,6010,2900,..,5842,6010
UCL214016,2024,4738,27,39,3,3,34,42,215,297,0,0,0,0,0,0,215,297,9,15,6,8,0,0,4,4,23,24,8,18,2290,5118,268,..,2556,5118
UCL214017,2053,4588,49,70,0,0,49,70,150,202,0,0,0,0,0,0,147,201,3,3,0,5,0,0,4,5,9,17,16,39,2289,4918,276,..,2558,4918
UCL214018,2491,7523,132,256,10,14,138,276,40,78,0,0,0,0,0,0,40,78,0,0,0,0,0,0,0,0,0,0,5,15,2672,7888,173,..,2848,7888
UCL214019,2986,6703,144,182,0,3,142,178,30,34,0,0,0,0,0,0,30,34,9,13,79,108,0,0,3,11,91,128,11,21,3262,7074,424,..,3690,7074
UCL214020,2557,6066,78,115,19,50,100,162,184,282,0,0,0,0,3,3,191,284,3,9,0,0,0,0,3,17,4,24,61,100,2914,6639,663,..,3577,6639
UCL215001,417,939,0,3,0,0,0,3,4,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0,4,3,4,3,0,0,431,949,1154,..,1588,949
UCL215002,837,1908,99,127,0,0,98,128,17,27,0,0,0,0,0,0,17,27,23,24,14,18,3,4,7,8,45,59,0,0,1000,2116,172,..,1171,2116
UCL215003,908,2051,15,25,9,16,27,41,37,50,0,0,0,0,0,0,37,50,3,9,9,10,0,0,0,3,11,21,3,13,984,2175,1826,..,2811,2175
UCL215004,433,917,33,41,17,28,50,73,30,45,0,0,0,0,0,0,27,46,0,0,12,25,0,0,7,8,16,34,3,10,526,1083,826,..,1354,1083
UCL215005,781,1946,17,30,0,0,17,30,49,72,0,0,0,0,0,0,49,72,7,8,0,0,0,0,3,10,11,11,0,0,863,2069,82,..,947,2069
UCL215006,833,2051,4,8,3,10,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,842,2076,474,..,1316,2076
UCL215007,1538,4641,3,4,0,0,3,4,3,5,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,3,1552,4661,99,..,1649,4661
UCL215008,547,1646,5,12,0,4,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,1662,36,..,588,1662
UCL215009,350,759,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,8,4,5,0,0,0,0,3,14,7,17,0,0,373,781,63,..,433,781
UCL215010,626,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,9,13,632,1981,36,..,669,1981
UCL215011,458,919,0,0,0,0,0,0,16,24,0,0,0,0,0,0,16,24,0,3,3,4,0,0,0,3,6,10,3,4,482,954,83,..,570,954
UCL215012,1043,2348,48,67,0,0,48,67,70,95,0,0,0,0,0,0,70,95,3,5,0,0,0,0,3,11,11,18,13,15,1176,2541,188,..,1366,2541
UCL215013,532,1741,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,1748,23,..,558,1748
UCL215014,428,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,423,1168,18,..,445,1168
UCL215015,782,1771,53,79,3,10,53,87,63,101,0,0,0,0,0,0,63,101,0,0,0,3,0,0,0,8,3,5,4,3,912,1979,460,..,1371,1979
UCL215016,1298,3393,34,52,0,3,36,56,62,91,0,0,0,0,0,0,62,91,0,4,0,0,0,0,0,0,0,4,5,8,1400,3550,109,..,1505,3550
UCL215017,548,1621,60,100,0,0,60,100,28,33,0,0,0,0,0,5,29,35,0,0,0,0,0,0,0,0,0,0,0,3,643,1762,62,..,701,1762
UCL215018,1100,2468,73,89,5,7,79,97,24,37,0,0,0,0,0,0,26,40,0,0,0,0,0,0,3,6,3,6,0,10,1207,2617,148,..,1359,2617
UCL215019,630,1501,7,6,3,5,8,15,7,10,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,4,9,646,1534,994,..,1642,1534
UCL215020,573,1129,8,10,0,0,8,10,9,7,0,0,0,0,0,0,9,7,0,0,0,0,0,0,5,11,5,11,0,0,593,1153,110,..,702,1153
UCL215021,431,1052,4,7,0,0,4,7,22,29,0,0,0,0,0,0,22,29,5,4,7,8,0,0,3,11,21,26,9,22,485,1143,42,..,529,1143
UCL215022,1590,3810,0,0,9,19,9,19,45,67,0,0,0,0,0,0,45,67,0,0,0,0,0,0,0,0,0,0,25,29,1666,3930,210,..,1873,3930
UCL215023,554,1312,26,29,0,0,26,29,21,22,0,0,0,0,0,0,21,22,0,0,3,4,0,0,5,11,7,16,8,12,609,1387,70,..,678,1387
UCL215024,753,1573,4,10,0,0,4,10,31,38,0,0,0,0,0,0,31,38,4,4,0,0,0,0,3,3,8,8,0,0,794,1629,122,..,916,1629
UCL215025,447,949,0,0,0,0,0,0,12,17,0,0,0,0,0,0,12,17,0,0,0,0,0,0,3,8,3,7,0,0,470,974,110,..,581,974
UCL215026,1608,3555,249,344,43,93,296,437,74,106,13,19,0,0,0,0,83,126,0,0,3,8,0,0,0,0,6,8,15,46,2008,4171,3257,..,5267,4171
UCL215027,714,1622,64,74,0,0,69,74,0,4,0,0,0,0,0,0,0,4,6,4,0,3,0,0,231,526,239,534,33,76,1051,2315,134,..,1185,2315
UCL215028,1384,2853,39,56,7,12,49,65,30,31,0,0,0,0,0,0,30,31,4,9,3,4,0,0,4,3,7,19,17,46,1488,3013,816,..,2296,3013
UCL215029,778,1985,9,17,4,3,8,23,8,7,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,3,7,792,2028,50,..,845,2028
UCL215030,562,1190,4,9,3,7,11,15,13,12,0,0,0,0,0,0,13,12,0,5,0,0,0,3,0,0,0,8,9,12,595,1240,74,..,667,1240
UCL215031,501,1109,16,18,0,0,16,18,21,26,0,0,0,0,0,0,21,26,3,4,0,0,0,0,4,7,9,11,0,4,554,1174,86,..,638,1174
UCL215032,1106,2384,92,112,0,3,90,114,49,63,0,0,0,0,0,0,49,63,10,11,0,0,0,0,0,4,13,17,3,13,1255,2590,196,..,1454,2590
UCL215033,772,2392,51,110,0,0,51,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,2501,37,..,857,2501
UCL215034,434,890,31,37,0,0,31,37,38,39,0,0,0,0,0,0,40,39,13,15,0,0,0,0,0,0,13,15,3,3,523,987,114,..,636,987
UCL215035,402,1152,3,3,0,4,0,4,13,26,0,0,0,0,0,0,13,26,0,0,0,0,0,0,0,0,0,0,3,9,418,1187,51,..,470,1187
UCL215036,369,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,1119,25,..,393,1119
UCL215037,726,1449,4,10,0,0,4,10,15,25,0,0,0,0,0,0,15,25,0,0,13,14,0,0,7,12,23,29,5,11,769,1518,157,..,923,1518
UCL215038,598,1344,14,11,0,0,14,11,5,6,0,0,0,0,0,0,5,6,0,0,0,0,0,0,3,4,3,4,0,4,615,1377,61,..,677,1377
UCL215039,486,1041,0,3,0,0,0,3,34,39,0,0,0,0,0,0,34,39,0,3,5,10,0,0,0,0,7,8,3,6,529,1105,81,..,607,1105
UCL215040,1380,3071,0,0,0,0,0,0,57,75,0,0,0,0,0,0,57,75,12,16,0,0,0,0,4,8,18,24,0,0,1461,3170,232,..,1697,3170
UCL215041,771,2060,26,35,0,0,26,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,797,2103,42,..,840,2103
UCL215042,565,1429,18,21,0,0,18,21,0,12,0,0,0,0,0,0,0,12,0,3,0,0,0,0,8,16,10,20,0,0,587,1483,47,..,636,1483
UCL215043,1270,3022,107,145,0,0,113,145,15,32,0,0,0,0,0,5,20,34,6,9,0,0,0,0,3,8,10,15,3,3,1408,3222,220,..,1634,3222
UCL215044,1579,3791,156,246,0,3,155,249,71,110,0,0,0,0,0,0,71,110,0,0,0,0,0,0,27,57,27,57,4,4,1832,4205,236,..,2070,4205
UCL215045,529,1323,12,14,0,0,16,14,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,6,14,556,1357,30,..,583,1357
UCL215046,413,1075,13,22,0,0,13,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,3,11,0,3,433,1112,31,..,463,1112
UCL215047,497,1352,18,37,0,0,18,37,8,11,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,3,3,3,4,6,529,1410,34,..,563,1410
UCL215048,304,667,5,28,8,21,17,47,18,35,6,13,0,0,0,0,30,51,0,0,0,0,0,0,7,16,7,16,9,24,365,799,1363,..,1733,799
UCL215049,933,2552,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,15,15,18,0,0,0,4,22,30,0,4,959,2594,171,..,1130,2594
UCL215050,1590,3694,19,23,0,0,19,23,52,71,0,0,0,0,0,0,52,71,0,0,0,0,0,0,14,23,14,23,13,20,1680,3835,181,..,1868,3835
UCL215051,583,1118,5,9,3,8,7,15,22,21,0,0,0,0,0,0,22,21,0,3,0,0,0,3,0,4,9,9,0,3,627,1174,154,..,777,1174
UCL215052,1243,2881,41,53,0,0,41,53,19,21,0,0,0,0,0,0,19,21,10,10,10,13,0,0,0,4,22,26,5,6,1326,2987,189,..,1513,2987
UCL215053,712,1630,17,38,0,0,17,38,32,45,0,0,0,0,0,0,32,45,11,13,0,0,0,0,0,0,11,13,3,6,780,1735,54,..,830,1735
UCL215054,624,1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,1439,68,..,693,1439
UCL215055,561,1422,4,0,0,0,4,0,29,33,0,0,0,0,0,0,29,33,0,0,0,0,0,0,0,0,0,0,3,12,600,1476,70,..,666,1476
UCL215056,438,947,7,14,0,0,7,14,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,0,0,10,5,0,3,457,968,98,..,551,968
UCL215057,672,1425,0,0,0,0,0,0,19,32,0,0,0,0,0,0,19,32,0,0,0,0,0,0,0,4,0,4,30,53,721,1507,273,..,996,1507
UCL215058,1038,2362,59,79,6,12,61,84,0,5,0,0,0,0,0,0,0,5,3,7,3,3,0,0,3,7,11,19,8,15,1126,2491,177,..,1302,2491
UCL215059,641,1414,20,20,0,0,20,20,45,65,0,0,0,0,0,0,45,65,4,3,12,16,0,0,9,19,27,41,3,8,736,1549,148,..,884,1549
UCL215060,516,1202,8,11,0,0,8,11,41,57,0,0,0,0,0,0,41,57,8,5,8,12,0,0,4,14,21,33,0,11,588,1308,97,..,681,1308
UCL215061,670,1546,0,0,0,0,0,0,47,54,0,0,0,0,0,0,47,54,0,3,0,0,0,0,0,0,0,3,3,10,726,1612,160,..,888,1612
UCL215062,1274,2984,106,144,0,0,107,145,130,185,0,0,0,0,0,0,126,183,7,10,0,0,0,0,3,18,17,24,3,8,1530,3347,185,..,1710,3347
UCL215063,780,1640,0,0,0,3,0,3,55,65,0,0,0,0,0,0,55,65,0,3,0,0,0,0,3,4,6,7,3,21,848,1725,173,..,1019,1725
UCL215064,401,838,0,0,0,0,0,0,15,18,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,0,0,3,3,417,864,105,..,522,864
UCL215065,1175,2504,139,194,8,16,148,210,64,88,0,0,0,0,0,0,64,88,29,36,3,8,0,0,3,0,33,52,10,26,1428,2875,479,..,1908,2875
UCL215066,1367,2928,88,138,17,43,110,180,32,45,0,0,0,0,0,0,32,45,0,0,0,3,0,0,8,25,13,28,10,17,1526,3194,1771,..,3295,3194
UCL215067,1057,2412,41,51,17,35,59,90,18,23,0,0,0,0,0,0,18,23,4,3,3,3,0,0,7,18,15,32,13,26,1164,2585,764,..,1925,2585
UCL215068,995,2419,7,13,0,0,7,13,68,91,0,0,0,0,0,0,68,91,5,10,0,0,0,0,3,3,10,18,5,10,1084,2544,120,..,1203,2544
UCL215069,1002,2854,56,98,0,0,56,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1059,2963,75,..,1134,2963
UCL215070,600,1706,19,22,0,0,19,22,26,56,0,0,0,0,0,0,26,56,18,30,16,17,0,0,6,3,35,53,3,7,683,1843,91,..,771,1843
UCL215071,1003,2304,28,36,0,0,28,36,51,67,0,0,0,0,0,0,51,67,10,12,11,18,0,0,3,4,25,37,0,3,1110,2441,149,..,1259,2441
UCL215072,1172,3405,38,54,0,0,38,54,65,104,0,0,0,0,0,0,65,104,0,0,3,7,3,5,4,8,9,14,0,5,1290,3585,96,..,1380,3585
UCL215073,469,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,13,481,1103,43,..,521,1103
UCL215074,763,1738,19,36,0,0,19,36,74,88,0,0,0,0,0,0,74,88,3,0,3,3,0,0,3,14,6,16,0,3,871,1881,104,..,977,1881
UCL215075,401,851,22,38,36,62,56,101,18,29,0,0,9,9,0,0,25,35,0,3,0,0,0,0,0,0,0,3,3,3,485,995,369,..,855,995
UCL215076,598,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,602,1714,45,..,639,1714
UCL215077,881,1796,28,35,0,4,32,36,16,16,0,0,0,0,0,0,16,16,4,3,0,3,0,0,4,8,10,17,4,3,938,1868,153,..,1096,1868
UCL215078,688,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,6,692,1683,54,..,752,1683
UCL215079,1326,3324,135,195,0,0,135,195,23,34,0,0,0,0,0,0,23,34,3,8,3,5,0,0,6,16,9,27,3,8,1498,3583,148,..,1645,3583
UCL215080,672,1576,0,4,0,0,0,4,65,87,0,0,0,0,0,0,65,87,3,3,0,0,0,0,3,5,8,10,13,28,756,1702,154,..,908,1702
UCL215081,418,1046,6,5,0,0,6,5,48,65,0,0,0,0,0,0,48,66,7,8,7,14,0,0,8,15,17,32,4,7,494,1157,42,..,534,1157
UCL215082,325,945,3,3,0,5,3,11,0,4,0,0,0,0,0,0,0,4,6,5,12,14,3,5,0,0,20,30,0,0,352,988,19,..,371,988
UCL215083,1178,2939,50,68,3,7,57,81,41,55,0,0,0,0,0,0,41,55,0,0,0,0,0,0,0,0,0,0,3,5,1270,3079,116,..,1387,3079
UCL215084,511,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,9,8,0,0,520,1549,41,..,563,1549
UCL215085,712,1583,16,24,0,0,16,24,14,14,0,0,0,0,0,0,14,14,30,40,0,0,0,0,0,8,36,46,5,17,783,1689,213,..,998,1689
UCL215086,870,1881,0,0,0,0,0,0,35,35,0,0,0,0,0,0,35,35,4,3,0,0,0,0,4,8,11,12,21,40,934,1969,166,..,1107,1969
UCL215087,1234,3285,92,158,16,28,105,188,33,65,0,0,0,0,0,0,33,65,0,0,0,0,0,3,0,0,0,8,0,3,1375,3545,88,..,1468,3545
UCL215088,589,1359,0,0,0,0,0,0,6,9,0,0,0,0,0,0,6,9,0,0,0,0,0,4,0,0,3,3,3,10,601,1379,90,..,696,1379
UCL215089,464,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,1497,25,..,484,1497
UCL215090,1285,3293,64,89,8,10,65,102,4,5,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,6,4,9,3,12,1370,3420,148,..,1511,3420
UCL215091,1430,3845,6,17,0,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,1442,3876,102,..,1541,3876
UCL215092,438,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,990,58,..,495,990
UCL215093,739,2049,38,65,0,0,38,65,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,6,782,2121,58,..,839,2121
UCL215094,1022,2618,19,27,7,5,26,37,19,50,0,0,0,0,3,3,22,55,5,10,0,0,0,3,3,5,10,24,0,8,1082,2732,96,..,1181,2732
UCL215095,423,1020,16,17,3,3,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,440,1044,52,..,496,1044
UCL215096,667,1402,42,63,0,0,42,63,9,13,0,0,0,0,0,0,9,13,11,18,6,12,0,0,3,3,22,33,0,0,742,1513,130,..,879,1513
UCL215097,431,954,14,30,0,0,14,30,27,37,0,0,0,0,0,0,27,37,7,11,8,11,0,0,3,0,18,25,4,7,492,1048,97,..,591,1048
UCL221001,238,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,238,680,18,..,256,680
UCL221002,320,754,3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,0,0,325,767,37,..,365,767
