UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL214006,0,0,0,51,0,0,0,0,0,3,0,0,0,4,45,55,0,0,0,3,0,0,0,0,0,8,3,21,176,31,0,131,17,84,6,56,4,302,50,861
UCL214007,0,0,0,25,4,5,0,3,0,3,3,0,0,10,49,73,0,0,0,0,0,0,0,0,0,12,14,25,173,49,11,167,23,84,16,84,9,387,65,1052
UCL214008,0,3,0,13,0,0,0,0,0,8,0,0,0,11,30,48,3,0,0,3,5,0,0,3,0,3,10,28,143,47,15,123,11,82,11,80,13,334,52,908
UCL214009,0,6,0,25,0,0,0,0,0,0,0,3,0,11,32,49,3,0,0,0,0,3,0,0,0,8,3,21,67,37,4,71,8,37,9,65,9,378,40,718
UCL214010,0,0,0,18,0,0,0,0,0,0,0,0,0,18,25,50,0,0,0,0,0,0,0,0,0,10,7,20,97,16,3,81,9,62,0,54,5,243,33,609
UCL214011,0,0,0,6,0,0,0,0,0,0,0,0,3,12,23,39,0,0,0,0,0,0,0,0,0,11,4,14,86,31,4,67,8,60,3,55,6,311,29,669
UCL214012,0,4,0,11,0,0,0,0,0,0,0,0,0,10,43,63,3,0,0,0,0,0,0,0,0,7,12,27,73,35,8,57,3,35,0,60,9,435,68,790
UCL214013,0,0,0,11,0,0,0,0,0,0,0,3,0,5,20,35,0,0,0,0,0,0,0,0,0,8,3,14,82,28,0,84,8,38,6,43,9,254,30,582
UCL214014,0,0,0,5,3,0,0,0,0,4,0,0,0,14,26,47,0,0,0,0,0,0,0,0,0,18,12,35,87,42,3,83,9,56,6,59,3,482,49,883
UCL214015,0,4,0,27,0,0,0,0,0,0,0,0,0,27,33,61,0,0,0,0,0,0,0,3,0,17,7,35,66,45,9,84,6,85,4,102,12,630,52,1103
