SA3_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
20604,0,13,0,3,4,21,29,16,63,686,420,50,1165,62,68,134,1293,1127,28,2448
20605,0,10,0,0,0,13,24,15,52,894,602,60,1556,71,78,149,1706,936,23,2671
20606,4,7,0,0,0,7,15,3,30,489,312,29,824,29,41,63,885,634,11,1532
20607,3,7,0,0,0,7,37,25,74,652,452,46,1147,68,89,154,1304,1292,29,2627
20701,11,23,7,4,5,32,29,20,80,1713,1174,122,3008,92,100,197,3201,1849,36,5083
20702,0,7,0,0,3,7,22,15,52,968,714,65,1750,56,81,139,1882,1451,35,3368
20703,4,15,0,0,0,15,23,16,56,1093,869,76,2041,85,59,144,2182,1518,42,3744
20801,3,26,0,0,0,25,19,9,51,1065,770,80,1916,54,55,115,2036,1098,17,3151
20802,6,31,0,0,3,33,29,19,86,1570,1156,114,2833,103,87,193,3024,1618,36,4684
20803,3,26,0,0,0,23,28,16,72,1647,1217,105,2968,81,97,180,3151,1612,44,4797
20804,3,11,0,0,0,11,7,7,19,396,281,30,707,19,20,40,744,379,10,1132
20901,8,22,0,4,5,26,42,23,97,1571,1149,128,2855,81,112,189,3043,1851,40,4932
20902,11,26,3,3,5,30,62,28,123,878,775,65,1715,102,82,179,1895,1954,47,3897
20903,3,12,0,0,0,13,16,12,37,793,602,66,1457,28,43,68,1527,525,13,2066
20904,10,77,3,5,11,85,91,46,225,2606,2012,251,4869,238,222,459,5329,3909,99,9337
21001,4,15,3,0,3,22,24,10,60,768,514,63,1343,42,50,90,1436,985,27,2445
21002,0,11,0,0,0,11,8,3,22,266,262,26,559,26,6,35,591,273,12,867
21003,3,15,0,0,4,20,38,24,79,751,587,74,1416,65,71,138,1557,1473,51,3085
21004,3,13,3,0,3,17,11,4,33,627,476,62,1160,40,44,87,1245,598,14,1861
21005,8,49,3,3,8,51,85,55,192,1727,1265,177,3177,197,195,397,3569,3720,109,7398
21101,17,63,0,3,7,65,43,22,135,2140,1621,174,3931,114,141,256,4186,2148,44,6381
21102,3,8,0,0,0,8,7,3,17,237,195,15,451,6,8,16,464,252,4,721
21103,5,32,0,0,0,32,37,19,90,1622,1175,113,2903,74,98,170,3078,1529,46,4652
21104,4,7,0,0,0,7,17,5,32,701,500,43,1244,29,47,72,1316,865,12,2196
21105,19,68,3,0,7,73,45,27,141,1952,1842,169,3963,102,127,228,4186,2005,57,6241
21201,5,37,0,4,3,35,32,19,91,1223,1085,110,2422,89,117,204,2627,1337,46,4012
21202,11,28,3,3,6,39,39,30,111,1649,1131,116,2893,140,151,296,3187,2147,55,5391
21203,15,41,6,4,8,51,58,42,149,2127,1475,216,3822,215,188,397,4219,2488,76,6784
21204,6,38,8,3,8,46,78,63,187,1983,1485,206,3665,245,235,479,4143,4300,122,8570
21205,5,32,0,0,3,32,36,23,91,1822,1244,145,3208,118,140,258,3466,2662,52,6179
21301,14,59,6,9,17,74,125,70,275,2208,1667,244,4120,408,414,818,4942,4745,142,9831
21302,5,22,0,0,0,21,36,18,77,1153,722,77,1954,82,83,165,2117,1418,38,3578
21303,4,22,0,3,3,21,25,13,61,789,590,74,1450,100,94,196,1641,1396,35,3072
21304,5,35,4,9,11,43,69,48,159,1961,1454,180,3595,223,231,456,4048,2811,85,6948
21305,13,53,3,3,4,60,83,67,210,2767,1747,261,4777,318,288,597,5373,3429,133,8933
21401,11,46,5,3,7,58,77,43,179,2208,1778,197,4184,191,215,409,4586,2602,84,7275
21402,11,51,0,0,6,55,60,29,146,1712,1852,181,3741,133,159,293,4032,2267,79,6371
21501,4,14,0,0,3,16,37,15,66,481,507,65,1053,51,48,100,1151,976,29,2160
21502,6,11,3,0,8,18,47,25,88,598,533,52,1187,80,74,152,1339,1076,50,2461
21503,0,4,0,3,3,9,21,16,43,287,284,28,591,30,30,58,650,563,27,1244
21601,0,4,0,3,4,7,24,9,44,359,366,32,756,42,45,92,846,598,26,1464
21602,4,7,0,0,0,6,13,7,31,243,293,37,576,42,27,69,644,493,23,1164
21603,11,28,3,0,3,34,41,23,90,701,652,95,1454,65,93,163,1613,1144,37,2799
21701,3,5,0,0,0,9,27,11,40,335,362,41,743,31,36,60,806,537,15,1364
21703,3,8,0,0,0,7,22,14,51,310,387,44,735,36,30,60,794,572,30,1404
21704,7,17,0,3,4,23,13,17,53,454,584,62,1103,41,50,90,1194,709,33,1937
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
