SA3_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
20904,10,44,3,1625,401,82,35,453,55,386,20,128,50,358,1128,3096,44,6,36,62,9,41,9,14,13,57,101,388,5533,1118,288,8409,1068,6813,296,1807,459,3673,1323,30793
21001,5,27,0,1224,127,26,12,154,16,109,4,48,13,85,291,876,5,0,5,17,0,7,3,0,0,17,29,93,1620,246,67,2600,281,1390,76,380,88,823,330,7908
21002,4,3,0,562,87,17,8,99,10,54,8,27,4,25,226,567,7,0,0,4,3,3,3,3,0,3,7,34,848,176,35,1475,165,734,60,179,52,177,248,4148
21003,3,17,0,700,86,20,8,117,13,112,11,54,16,111,358,912,3,0,5,11,3,11,3,3,0,16,41,108,1424,343,78,2285,299,2129,83,639,155,1194,445,9069
21004,3,5,0,498,102,13,0,92,8,52,9,23,13,39,209,543,20,0,7,13,3,7,0,3,0,3,11,62,1114,179,33,1798,203,998,67,233,54,337,234,5254
21005,8,45,3,1031,232,53,31,235,35,298,15,145,63,383,874,2369,19,10,14,20,5,17,4,6,20,77,133,319,3603,713,171,4474,546,5273,186,1994,415,4517,1112,23002
21101,13,51,3,2212,362,60,17,442,44,250,21,87,26,166,877,2352,31,6,12,51,4,11,5,6,13,24,46,205,4483,815,137,6994,752,4291,194,1155,225,1615,955,21619
21102,5,21,0,1044,80,13,4,111,8,55,7,17,3,27,226,559,5,0,7,19,3,10,0,0,3,3,9,62,766,171,34,1448,105,744,31,165,29,265,241,3997
21103,6,8,3,1649,206,45,7,309,28,146,19,54,7,76,554,1464,18,3,10,21,7,8,0,0,3,11,25,108,2671,541,95,5253,587,2731,159,657,109,962,597,14363
21104,6,21,0,1169,84,28,7,134,13,79,3,24,9,67,397,839,13,0,4,20,3,10,4,0,0,11,15,77,1636,373,51,2672,252,1693,72,442,64,665,422,8346
21105,10,29,0,1655,359,78,24,580,39,220,24,85,27,126,803,2356,43,8,36,64,4,34,5,8,9,15,50,273,3529,824,219,7201,705,3585,236,865,216,1128,897,19396
21201,6,10,0,845,219,33,19,290,28,151,7,32,16,77,494,1366,22,4,11,31,3,10,0,4,5,12,34,132,2524,444,120,4379,457,2694,133,542,154,698,570,12707
21202,7,29,3,1519,321,52,14,315,37,240,20,75,42,189,784,2080,25,3,16,23,11,29,0,7,9,21,54,205,3759,675,150,5385,515,4268,156,1118,244,1847,886,19004
21203,3,19,0,1117,393,44,29,355,44,343,27,66,39,177,901,2420,15,5,21,39,7,24,3,5,13,20,92,240,5574,889,209,6852,806,5963,246,1425,328,1895,1060,25253
21204,3,62,3,1029,235,43,25,249,21,291,13,125,39,394,901,2345,21,11,26,26,7,23,0,3,12,45,104,274,4386,924,184,4369,477,5447,156,1890,363,4261,1085,23552
21205,9,77,3,3350,310,83,20,305,27,218,12,82,25,235,1220,2540,23,0,10,37,3,11,3,9,3,12,45,158,4923,995,148,6008,585,4633,158,1323,210,2286,1300,22576
21301,8,63,0,1102,253,67,48,283,53,336,20,151,61,444,890,2609,19,7,24,32,3,21,7,10,14,76,147,351,4014,939,223,4713,582,5411,186,1966,449,4180,1132,23797
21302,8,18,0,1809,161,23,14,172,15,110,4,48,9,115,494,1178,16,0,5,19,4,13,0,5,3,17,33,120,2167,362,91,3252,394,2145,108,555,123,1022,553,10774
21303,12,25,0,1272,76,8,8,82,12,66,3,29,13,79,362,736,3,0,5,8,3,8,0,3,3,10,21,66,1688,369,64,2364,381,1744,85,553,106,899,405,8661
21304,3,30,0,1392,330,59,28,323,27,253,25,95,40,167,765,2107,40,7,15,33,3,21,4,9,14,39,82,261,4694,689,204,5992,732,4961,205,1147,331,1806,908,21678
21305,16,35,4,2237,401,69,29,366,53,337,21,109,51,209,1309,2964,42,3,25,42,8,26,3,4,18,42,111,315,7250,1080,260,7923,1052,8591,277,1917,473,2643,1517,32996
21401,4,23,0,1123,266,46,15,302,31,189,17,70,29,118,652,1735,25,3,12,35,3,21,3,8,11,22,43,190,2962,567,143,5294,562,3156,170,724,175,1122,726,15607
21402,12,29,9,1949,331,99,14,506,41,195,23,98,30,120,775,2218,29,5,18,55,5,17,8,5,5,14,37,193,3097,826,158,6398,514,2948,180,849,182,1074,842,17072
21501,0,0,0,217,143,20,5,179,16,56,11,20,12,35,305,817,15,0,3,12,0,3,0,0,0,8,12,62,1117,251,50,1941,201,833,92,264,72,404,335,5554
21502,0,6,0,254,116,13,3,118,15,62,9,20,6,50,326,741,9,4,4,12,3,8,3,0,7,16,19,83,1124,193,60,1734,182,831,75,278,67,512,372,5432
21503,0,4,0,142,76,12,9,112,8,58,4,16,12,39,178,518,0,0,3,15,0,0,5,3,3,9,14,51,716,129,48,1211,125,597,47,156,47,296,219,3593
21601,0,0,0,164,110,20,10,124,11,46,7,12,3,29,212,571,10,0,5,12,0,7,0,0,0,7,15,54,815,155,57,1269,142,563,63,177,48,244,238,3770
21602,0,0,0,114,99,7,0,82,5,42,8,6,0,32,126,408,10,0,0,9,3,6,0,0,7,8,5,43,644,82,39,930,101,398,39,106,43,227,138,2747
21603,3,11,0,383,171,24,3,128,13,90,16,33,8,76,278,831,13,3,3,23,0,10,3,0,0,26,25,101,1444,264,63,2129,226,1097,87,363,99,723,324,6822
21701,0,3,0,164,93,20,0,120,10,42,3,15,7,28,201,538,0,0,7,5,3,3,0,0,3,3,8,36,642,176,50,1225,118,547,44,186,41,247,223,3503
21703,0,0,0,161,97,14,8,118,4,36,4,21,3,12,167,479,12,0,7,13,3,3,0,0,3,9,3,50,804,150,56,1382,120,512,40,156,49,216,188,3678
21704,3,4,0,319,122,14,9,141,6,57,11,17,4,24,239,645,5,0,6,9,4,7,0,0,3,3,10,48,975,255,66,2046,197,797,82,229,73,291,273,5282
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
