SA3_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
20402,16192,38616,1104,1581,52,77,1152,1660,501,695,38,48,40,53,0,6,578,808,34,55,40,65,8,13,31,72,112,207,77,169,18116,41456,2356,..,20472,41456
20403,23166,57956,1614,2551,130,279,1747,2834,569,908,15,34,28,69,0,3,613,1019,48,78,35,60,4,10,67,137,160,281,197,444,25872,62534,4222,..,30096,62534
20501,15981,41542,608,930,47,63,655,998,775,1153,0,0,0,0,0,0,775,1153,58,89,81,119,3,9,15,26,155,243,79,166,17641,44096,2131,..,19776,44096
20502,16152,36961,579,864,62,111,649,976,306,464,0,0,0,0,3,0,305,466,105,141,132,204,18,37,44,92,303,477,213,391,17614,39265,4949,..,22563,39265
20503,22236,51727,811,1133,151,290,965,1427,424,597,13,19,9,17,7,8,451,639,107,130,91,132,3,10,60,109,265,388,120,270,24037,54448,15636,..,39673,54448
20504,24773,60679,1604,2273,106,216,1710,2487,1453,2041,0,0,0,0,0,0,1458,2036,25,35,60,88,5,7,14,26,112,157,103,173,28158,65531,3812,..,31969,65531
20505,14866,35729,466,640,81,120,541,764,364,532,31,68,0,0,0,0,399,605,61,104,42,67,6,15,42,74,150,253,77,175,16030,37527,4832,..,20867,37527
20601,16496,45426,4074,8641,4493,10717,8572,19362,3618,6317,1268,2186,3758,6474,11,20,8652,14994,0,3,0,4,0,0,186,435,191,443,153,328,34058,80549,3446,..,37504,80549
20602,10199,28578,2659,5898,2528,5523,5187,11424,3346,5408,617,1078,726,1169,3,3,4693,7668,0,0,3,3,0,0,115,254,121,259,84,177,20277,48097,1973,..,22253,48097
20603,11394,32969,2275,4952,2752,6576,5032,11527,3325,6061,2953,5123,2672,5508,0,7,8951,16696,0,0,0,3,0,0,103,215,103,215,103,212,25578,61624,2571,..,28156,61624
20604,1657,4349,2377,5303,4875,12695,7253,17992,1689,3345,4800,8907,41048,81250,24,50,47554,93548,0,0,4,14,52,59,99,226,161,297,392,781,57012,116970,9720,..,66734,116970
20605,3975,10904,5788,13401,4974,12306,10764,25700,6591,11380,10800,17772,12262,21318,49,89,29702,50560,3,11,3,3,0,0,482,854,484,865,188,329,45114,88362,7142,..,52254,88362
20606,4454,12041,3022,6478,2780,6390,5800,12865,3270,5834,6829,11473,7790,12997,9,15,17895,30313,0,4,4,5,3,5,59,133,68,147,95,192,28314,55556,4984,..,33300,55556
20607,5237,13490,8248,18838,5889,14457,14140,33296,3651,6352,4324,7372,8788,16841,11,21,16771,30588,0,3,0,3,0,0,217,491,223,497,191,399,36553,78277,4090,..,40644,78277
20701,33568,102076,7711,16516,4558,11924,12272,28444,5665,10669,4426,8195,3530,6049,0,3,13622,24915,6,11,0,7,3,3,178,406,181,425,204,463,59849,156325,6488,..,66338,156325
20702,23154,66250,2397,5121,3576,10030,5974,15150,967,2086,479,913,1097,2110,0,4,2545,5106,0,4,0,9,0,0,17,40,15,53,136,240,31827,86802,3201,..,35027,86802
20703,23543,68186,5903,12366,3065,8536,8963,20908,1815,3520,1287,2381,904,1521,5,17,4013,7440,3,10,0,3,0,6,28,70,39,86,101,241,36658,96861,3708,..,40365,96861
20801,22051,63663,4545,8654,3789,9272,8336,17927,2108,3690,1042,1761,1135,1919,3,8,4296,7385,0,3,0,4,0,0,189,402,193,407,154,391,35037,89772,4253,..,39290,89772
20802,27989,81918,8519,18379,5040,13731,13558,32106,9728,18873,2324,4318,1094,1954,20,38,13163,25182,0,0,0,0,0,0,178,397,181,400,180,416,55064,140023,5273,..,60336,140023
20803,24623,70163,7469,14155,4530,11195,11993,25344,5730,10186,671,1135,726,1245,9,21,7138,12588,14,17,142,183,0,0,122,255,278,462,187,417,44224,108970,4235,..,48459,108970
20804,7443,22904,1935,4141,1332,3201,3266,7336,2558,4761,1300,2374,597,896,0,0,4448,8029,0,0,3,11,0,0,186,314,187,320,60,135,15406,38725,1702,..,17109,38725
20901,34541,94752,4420,8197,2541,6051,6962,14252,2139,4097,232,407,373,621,7,16,2749,5143,4,7,3,4,0,4,43,102,50,119,130,261,44431,114521,3946,..,48375,114521
20902,22009,60423,5726,11744,3309,8190,9034,19931,1361,2705,661,1108,1090,2045,0,0,3111,5858,0,0,0,0,0,0,192,429,192,432,110,231,34457,86881,3106,..,37562,86881
20903,19768,58706,335,566,345,826,684,1392,494,881,17,22,0,3,4,3,516,914,8,10,0,7,14,34,11,18,34,79,59,146,21059,61226,1490,..,22553,61226
20904,58212,177729,4979,12507,3271,8872,8248,21381,1422,3197,437,719,238,453,0,3,2106,4368,7,7,12,25,4,4,24,81,43,117,123,297,68732,203896,4847,..,73576,203896
21001,16156,44676,2154,4274,2209,5744,4364,10020,165,307,19,34,45,63,3,9,234,414,0,0,0,4,0,0,121,296,128,301,49,125,20932,55540,1822,..,22755,55540
21002,9212,26208,460,772,12,18,465,787,71,109,0,0,0,4,0,5,73,117,9,12,21,23,3,8,6,19,39,66,36,81,9827,27266,1044,..,10870,27266
21003,17790,49799,3278,6904,4188,10541,7468,17446,1162,2323,182,317,78,136,22,52,1440,2825,4,19,0,3,0,0,78,185,84,204,81,227,26861,70507,2495,..,29357,70507
21004,12190,34571,426,665,98,197,519,864,907,1545,0,0,0,0,0,0,907,1545,3,6,0,0,0,0,3,6,5,13,20,48,13641,37037,954,..,14601,37037
21005,40440,134350,3443,8667,1809,5137,5246,13805,1100,3031,3,10,102,237,4,8,1215,3290,13,22,174,222,0,9,137,427,325,678,131,346,47358,152463,3248,..,50607,152463
21101,45462,130817,4612,8745,1904,4570,6516,13311,920,1461,254,408,149,247,6,7,1322,2120,26,39,102,130,0,0,139,401,269,567,104,203,53669,147023,3650,..,57316,147023
21102,7736,23329,259,481,112,290,369,770,117,165,0,0,0,3,0,4,124,174,13,23,0,0,0,0,3,8,18,32,14,28,8262,24326,613,..,8871,24326
21103,35380,94736,2445,4638,922,2116,3371,6749,425,883,365,651,151,246,0,0,942,1780,0,3,3,16,0,0,19,54,29,74,101,226,39820,103566,3054,..,42871,103566
21104,16309,46399,3746,7348,1203,3198,4947,10548,242,465,80,156,255,434,10,11,587,1074,0,0,0,0,0,0,18,40,14,44,50,96,21908,58149,1651,..,23556,58149
21105,48290,132982,2139,3480,512,1049,2647,4531,179,318,49,87,8,12,8,14,243,429,115,156,95,127,18,44,39,101,264,430,198,462,51646,138836,4689,..,56329,138836
21201,28378,82953,1771,3456,556,1291,2330,4746,138,198,0,0,0,0,0,5,137,206,31,39,78,109,11,12,12,35,128,197,81,189,31055,88292,2427,..,33484,88292
21202,37037,114118,2905,6412,1133,3124,4043,9531,485,791,0,0,3,9,0,0,490,808,35,41,80,118,0,0,99,274,205,434,61,160,41836,125048,2827,..,44665,125048
21203,45421,148391,3571,8879,703,1993,4270,10873,419,817,38,61,11,24,4,7,470,920,11,11,17,23,3,12,20,54,55,104,72,171,50285,160462,2950,..,53239,160462
21204,43648,136116,7618,18360,2882,8662,10497,27024,4691,10502,588,1229,341,711,17,41,5635,12492,141,166,108,175,10,24,183,532,445,900,154,339,60375,176870,4317,..,64696,176870
21205,43073,125015,4697,11399,4013,11933,8712,23340,5418,12724,914,1724,1095,1870,8,14,7431,16333,3,12,3,3,4,3,38,85,41,105,206,475,59458,165259,5342,..,64801,165259
21301,47925,148685,4803,12226,2888,8538,7691,20763,2441,5445,149,283,108,250,34,71,2728,6046,5,13,23,28,3,3,78,238,109,279,112,280,58564,176054,4093,..,62654,176054
21302,20110,54938,4423,9465,3881,10234,8305,19695,1721,2949,200,310,301,518,0,0,2224,3781,23,38,20,21,5,10,75,166,122,234,103,224,30862,78872,2719,..,33583,78872
21303,15576,43640,2543,5416,4878,13250,7422,18667,3203,6273,1567,2955,2380,4266,36,81,7182,13572,0,5,14,28,0,0,162,381,174,417,131,235,30481,76524,2962,..,33445,76524
21304,41900,130183,3858,8696,1498,4185,5356,12885,267,503,47,98,93,190,4,6,411,797,47,66,82,114,4,7,24,71,156,261,106,256,47926,144383,3193,..,51115,144383
21305,57312,182432,7155,19096,2374,6613,9532,25706,1402,3084,42,65,81,145,4,3,1527,3299,107,147,6,20,0,6,18,50,130,229,87,204,68588,211870,5216,..,73806,211870
21401,39300,106024,6744,11602,1799,3806,8550,15408,1121,1774,136,199,71,99,9,9,1343,2079,26,51,363,471,0,4,46,118,436,645,67,127,49687,124287,4169,..,53858,124287
21402,48672,124336,4403,7306,1374,2900,5776,10204,2622,4084,52,86,23,49,8,13,2706,4236,133,180,299,406,14,31,22,59,472,669,167,311,57791,139762,27890,..,85684,139762
21501,21241,49255,788,1133,21,39,807,1174,812,1132,3,5,0,0,0,4,820,1141,57,84,27,43,12,23,80,159,181,317,165,344,23215,52227,4626,..,27837,52227
21502,16631,43192,1650,2714,61,113,1709,2828,1142,1748,0,0,0,0,0,0,1146,1745,109,161,87,164,7,15,23,40,224,377,106,239,19817,48391,2368,..,22180,48391
21503,12662,30605,312,479,8,18,322,499,577,882,0,0,0,3,3,0,579,886,86,149,35,59,10,27,50,109,189,355,122,287,13869,32632,2187,..,16063,32632
21601,12486,31117,768,1146,17,30,786,1173,442,642,0,0,0,0,5,9,446,648,63,84,39,58,4,12,27,60,124,211,52,133,13899,33281,1991,..,15885,33281
21602,9853,24107,310,460,25,57,329,520,497,706,0,0,3,3,3,3,496,709,38,53,35,67,4,11,24,57,105,184,108,217,10899,25737,2017,..,12917,25737
21603,19842,52369,2066,3569,97,196,2156,3766,144,226,21,30,0,0,0,0,166,258,113,154,141,195,12,18,41,117,303,487,53,141,22527,57021,2462,..,24988,57021
21701,13029,30110,354,486,24,45,380,537,360,478,6,6,8,5,4,10,371,499,27,41,20,28,3,9,49,106,100,180,116,218,13991,31540,2965,..,16958,31540
21703,12961,31262,625,853,39,69,667,921,190,277,0,0,0,0,0,0,188,279,26,40,26,58,4,12,39,91,103,205,111,253,14030,32917,4222,..,18255,32917
21704,15995,41002,1294,1965,334,612,1627,2576,588,846,75,96,0,0,0,3,666,945,21,45,72,120,3,6,35,70,129,247,104,229,18519,44998,3268,..,21784,44998
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
