SA3_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
20402,49,196,0,42,19,3,0,4,0,312,13,60,0,12,7,0,0,0,0,88,178,1131,26,138,167,29,3,27,15,1720,0,0,3,8,5,0,0,0,3,20,81,160,17,116,99,34,6,15,4,531,104,148,35,284,179,58,11,43,8,875,125,100,217,515,365,199,26,111,14,1667,19,6,11,36,55,36,3,27,0,190,20,14,27,82,60,34,4,22,0,268,10,22,0,12,16,8,0,3,0,72,25,43,19,52,39,31,9,42,10,269,674,2121,353,1317,1026,437,66,286,66,6338,3,4,0,0,3,0,0,0,0,11,13,62,0,0,0,0,0,0,0,79,94,281,9,17,25,8,0,0,6,441,0,11,0,0,0,0,0,0,0,17,81,273,3,49,23,5,5,10,0,453,20,82,3,11,6,0,0,0,0,127,417,1645,65,184,208,56,17,63,24,2684,3,0,3,13,5,0,0,0,3,35
20403,67,313,3,74,38,3,5,5,5,506,22,103,3,8,7,7,0,0,0,153,315,1668,44,262,286,102,14,66,21,2778,0,4,0,10,7,0,0,0,3,25,112,212,33,172,174,50,3,23,3,778,166,217,80,512,323,111,7,56,15,1481,214,171,372,814,628,317,45,194,17,2758,35,11,14,62,99,53,3,40,5,332,41,8,13,102,120,57,13,43,4,404,8,23,6,12,23,12,3,12,0,94,52,56,19,67,85,51,5,58,28,418,1134,3176,593,2123,1814,777,91,505,108,10329,4,22,0,3,0,0,0,0,0,30,24,120,0,0,7,0,0,0,0,158,201,479,17,38,38,13,0,19,4,805,15,30,7,0,5,0,0,0,0,53,133,458,14,86,41,10,5,7,8,763,41,118,5,11,16,8,0,0,0,198,650,2457,144,366,375,166,62,127,38,4379,0,7,3,14,10,0,0,0,4,39
20501,38,234,4,40,23,5,0,3,3,349,10,44,0,0,4,3,0,0,0,70,200,1097,31,145,168,41,9,45,16,1758,3,3,0,3,5,0,0,0,0,14,79,162,16,97,98,23,0,31,3,507,82,159,47,300,220,58,7,45,9,922,141,94,245,540,400,175,35,152,9,1795,22,7,10,43,52,27,0,32,3,203,23,8,20,90,55,34,5,26,5,264,3,12,0,10,15,9,0,10,0,61,37,28,12,44,55,30,8,26,16,253,675,2109,388,1343,1122,419,59,389,67,6571,0,16,0,3,3,0,0,0,0,29,13,98,3,3,0,0,0,0,0,116,89,319,15,24,27,5,3,4,4,486,0,28,0,3,3,0,0,0,0,39,70,330,4,51,34,10,3,5,3,513,10,54,4,5,7,3,0,0,0,99,423,1658,95,205,232,67,15,86,26,2811,6,3,0,9,5,3,0,3,0,25
20502,38,170,3,34,19,0,0,0,0,275,3,46,0,3,3,0,0,0,0,60,137,769,26,124,122,28,4,37,13,1255,0,0,0,6,3,0,0,0,0,12,65,123,18,105,91,11,3,12,0,437,87,132,31,225,148,48,10,38,10,727,104,82,202,499,296,156,13,145,7,1509,19,4,14,58,48,39,0,20,3,210,18,10,16,71,38,38,3,19,0,212,11,8,5,7,9,3,0,4,0,56,32,31,10,60,41,40,3,50,20,289,550,1526,315,1212,841,372,42,336,60,5243,0,4,0,0,0,0,0,0,0,11,14,36,0,3,0,0,0,0,0,63,61,167,3,15,17,9,0,8,0,283,6,19,0,0,0,0,0,0,0,26,55,216,7,44,23,7,3,5,3,366,12,55,0,9,3,3,0,0,0,80,265,1127,55,185,157,50,20,52,15,1930,0,3,0,6,3,0,0,3,0,13
20503,44,235,5,67,28,3,0,3,4,388,18,51,0,5,8,0,0,0,0,85,255,1116,47,179,178,85,6,57,16,1931,3,0,0,3,0,3,0,0,0,17,103,164,29,117,127,54,3,30,8,634,131,137,43,314,218,86,8,42,8,989,162,108,284,580,371,214,30,172,18,1953,23,9,13,53,51,40,0,29,0,225,40,14,15,103,69,37,0,32,0,321,18,15,10,11,16,17,0,11,0,87,59,40,26,83,54,69,3,45,27,400,923,2147,469,1537,1141,625,55,420,96,7406,7,14,0,0,0,0,0,0,3,27,17,65,4,4,0,0,0,3,3,99,110,299,8,14,21,13,3,7,7,482,4,20,0,4,0,0,0,0,0,26,65,333,13,79,34,8,6,9,4,553,29,62,3,5,6,0,0,3,0,109,540,1690,123,258,218,127,15,99,27,3096,8,8,0,5,0,3,0,0,0,22
20504,20,258,3,55,21,10,0,0,0,373,10,64,0,10,7,0,0,0,0,91,161,1467,46,193,232,62,3,30,13,2214,3,5,4,8,3,3,0,0,0,25,61,172,20,119,118,32,6,19,7,549,105,214,53,439,301,87,3,22,17,1245,139,134,333,816,689,292,20,178,25,2630,20,17,17,57,87,56,7,28,4,288,20,12,17,129,101,45,4,25,3,356,8,16,3,13,17,5,0,7,0,76,27,59,11,109,64,39,5,57,30,409,619,2689,508,1976,1664,641,49,366,113,8638,4,12,0,0,0,0,0,0,0,24,11,109,3,3,3,0,0,0,0,127,100,328,12,41,33,14,4,4,0,537,7,23,0,3,0,0,0,0,0,34,50,347,7,71,26,12,3,3,3,527,18,93,3,8,9,0,0,0,0,138,404,2172,153,262,316,97,26,65,24,3516,6,9,7,9,4,4,0,0,0,38
20505,25,154,9,38,14,3,0,4,0,250,7,41,0,5,3,0,0,3,0,58,140,936,34,117,128,33,0,16,10,1414,3,5,0,6,0,3,0,0,0,23,66,116,9,90,52,12,0,10,3,374,102,126,30,212,139,33,0,33,5,690,147,89,200,433,313,142,17,131,11,1475,21,11,10,32,50,26,6,18,0,167,26,9,18,85,46,16,3,13,0,216,12,11,3,12,7,6,0,10,3,68,36,33,14,43,29,28,3,27,17,234,615,1710,322,1088,793,315,35,278,52,5216,0,18,0,0,0,0,0,0,0,20,0,34,0,0,0,0,0,0,0,41,82,197,6,22,12,3,0,8,3,336,3,25,0,3,0,0,0,0,0,35,46,220,10,44,15,3,0,6,0,354,11,51,0,9,3,0,0,3,0,78,332,1346,87,156,162,38,19,51,15,2216,5,8,3,7,0,3,0,0,0,23
20601,177,888,13,102,140,25,3,8,9,1373,57,202,3,11,35,3,0,0,0,308,1010,4474,269,753,1161,542,22,175,91,8494,3,3,0,8,3,4,0,0,4,29,129,274,55,161,186,100,8,29,6,939,176,273,112,320,310,138,5,47,15,1404,133,145,222,366,347,166,22,49,17,1455,15,16,8,43,51,16,0,8,0,149,26,31,17,79,106,40,0,14,3,319,11,62,14,15,31,15,5,4,3,154,22,68,14,42,50,31,0,29,52,302,2275,8963,787,2079,2736,1156,70,401,253,18718,18,64,3,3,9,3,0,3,0,98,144,1245,16,14,38,14,3,7,10,1480,852,3076,142,250,452,138,35,100,69,5117,22,126,8,10,21,9,6,6,9,211,303,1382,37,130,194,45,13,15,15,2139,79,268,11,29,46,10,0,3,0,445,2213,8232,743,1186,1835,953,182,439,183,15963,9,3,3,6,3,3,0,3,4,45
20602,145,661,14,61,109,14,3,0,4,1007,38,136,3,6,19,3,0,4,3,217,803,2956,148,467,716,325,17,64,51,5545,3,0,0,0,0,4,0,0,0,11,82,188,46,95,130,63,3,22,3,632,89,156,76,211,189,79,0,16,6,822,71,95,128,205,211,78,5,38,3,831,3,3,12,24,21,14,3,5,0,83,13,18,7,40,42,26,3,11,0,171,6,38,10,8,13,10,0,0,3,91,12,32,10,19,25,17,0,14,33,152,1720,6008,481,1254,1649,666,35,178,137,12131,13,57,0,4,3,3,0,0,0,84,107,741,3,10,25,3,0,3,3,898,678,1990,58,141,236,77,15,49,34,3285,35,79,3,7,10,3,0,0,9,138,234,1014,31,90,147,22,8,4,9,1555,57,183,10,9,31,3,0,4,3,304,1685,5329,393,722,1086,527,98,184,105,10128,3,3,0,8,0,5,0,5,0,27
20603,144,570,9,62,90,10,3,9,6,900,30,105,0,7,19,0,0,0,0,167,852,3159,124,454,850,331,19,93,65,5941,3,5,3,5,4,0,0,0,0,21,96,226,36,123,193,56,5,13,6,756,150,200,60,240,299,106,4,24,17,1097,96,92,132,280,306,117,9,60,9,1104,10,12,6,29,41,21,0,10,0,134,25,23,8,71,109,37,0,12,4,295,7,44,3,13,35,7,3,3,4,122,16,55,15,31,40,26,0,13,36,246,1770,5861,423,1396,2205,772,51,268,175,12926,12,58,0,4,10,3,0,0,0,88,81,530,4,3,16,3,0,4,6,650,691,1828,66,120,339,101,20,78,34,3282,28,106,3,11,11,3,0,4,4,178,259,834,25,78,120,18,9,15,15,1366,55,143,7,16,22,0,0,3,0,252,1945,5762,363,698,1304,584,127,261,137,11184,3,5,3,6,4,8,3,0,0,30
20604,177,676,16,84,122,32,0,8,9,1118,38,168,0,10,29,12,0,0,5,268,1567,5945,403,1406,1668,934,37,435,152,12538,0,3,6,16,5,0,0,3,0,36,173,237,72,174,213,120,3,36,12,1043,236,277,165,441,299,189,6,67,29,1713,121,109,209,345,278,195,6,52,24,1338,15,21,11,53,42,22,0,14,0,181,43,49,24,77,83,32,4,19,3,343,44,93,16,50,39,25,0,24,5,303,30,70,16,71,52,28,0,30,46,344,3296,11380,1043,2962,3531,1873,74,779,358,25293,21,103,3,0,14,3,0,0,0,148,209,1739,19,13,52,12,0,3,22,2061,1559,5481,283,382,1000,444,49,199,130,9523,60,200,6,13,25,11,5,6,4,339,326,1116,29,111,199,43,7,24,14,1875,73,259,0,13,50,14,0,3,3,415,3631,12923,1107,2152,2710,1598,209,1025,342,25697,7,7,12,20,8,5,0,5,0,69
20605,252,802,21,93,121,30,0,12,9,1334,65,168,5,13,27,9,3,0,4,280,1982,5652,243,718,1434,662,14,147,124,10966,3,6,0,14,10,3,0,4,0,40,256,394,77,205,274,121,3,22,18,1366,339,411,112,395,448,219,4,30,19,1975,234,205,282,396,439,184,8,43,26,1822,24,27,11,34,49,33,0,12,0,189,76,72,21,94,148,56,3,12,14,492,44,79,3,17,37,30,0,9,3,225,56,95,20,44,73,25,3,12,55,385,4259,10602,829,2165,3455,1496,43,344,315,23499,27,93,0,0,12,3,0,0,3,150,158,981,3,20,40,3,3,0,18,1227,1691,3761,135,217,569,228,24,69,95,6781,85,173,3,20,32,10,0,9,3,330,406,1237,51,113,174,51,10,25,12,2085,100,240,6,13,41,15,3,5,4,427,4216,10883,700,1207,2173,1213,100,356,280,21128,11,7,7,20,9,3,0,5,3,60
20606,108,440,9,43,75,18,0,3,8,695,26,95,3,10,11,0,0,0,0,139,1322,3926,165,438,1004,516,13,69,113,7563,4,3,3,6,4,3,0,0,0,23,177,224,31,105,176,95,0,7,11,826,177,243,63,192,248,109,6,15,17,1062,128,93,149,187,216,98,3,21,15,913,14,15,0,17,32,16,0,3,0,112,36,34,7,46,76,38,0,5,0,258,28,53,3,15,24,16,0,0,7,153,27,54,8,28,32,22,0,10,28,215,2503,6836,479,1157,2160,1034,24,157,233,14576,20,73,0,0,10,0,0,0,0,103,96,719,3,0,9,0,0,0,15,848,910,2475,83,111,384,186,7,43,73,4273,33,108,0,3,17,9,0,0,0,169,194,742,13,53,100,31,0,5,16,1158,42,125,6,13,21,5,0,7,0,215,2937,7716,435,722,1546,1006,62,223,228,14868,6,11,5,14,4,5,0,3,0,43
20607,217,891,14,73,136,22,0,5,15,1377,63,182,0,20,35,9,0,3,0,304,1644,5867,288,756,1192,645,14,98,132,10633,6,3,0,3,0,4,0,0,0,23,178,301,38,127,188,101,6,20,11,971,199,302,97,269,288,149,8,39,18,1370,143,117,218,309,283,142,8,43,16,1286,9,15,4,26,34,24,3,13,0,129,40,44,21,62,68,50,0,15,0,291,15,67,6,20,25,9,0,3,0,154,27,54,7,42,36,17,0,18,37,240,3301,10906,744,1855,2662,1255,44,270,288,21331,18,76,0,5,12,7,0,0,0,126,173,1405,11,11,35,3,3,0,22,1668,1323,4031,104,215,516,148,16,44,101,6496,46,145,4,4,25,0,0,0,8,233,380,1424,30,98,188,46,0,12,21,2207,101,251,4,23,53,12,0,3,0,453,3577,11335,706,1251,1937,1126,122,277,256,20594,7,8,5,5,5,3,0,0,0,37
20701,331,1309,34,140,246,55,0,11,11,2136,65,236,3,14,46,9,0,0,3,373,2320,8236,281,967,2367,892,17,192,185,15460,3,6,0,12,4,3,0,0,0,33,336,553,75,262,478,184,10,24,26,1944,295,346,99,385,616,237,9,45,22,2060,184,171,241,448,436,221,9,46,12,1774,22,22,13,49,69,30,0,17,0,223,75,68,24,103,206,66,5,13,8,572,56,144,10,34,68,29,4,10,5,361,67,141,9,52,113,42,0,20,53,496,4893,15326,862,2640,5270,1940,61,411,405,31803,46,165,7,7,23,3,0,0,0,258,318,2267,9,15,73,19,7,5,18,2740,2521,5733,228,252,912,368,37,115,150,10322,134,324,3,15,49,12,4,3,10,548,682,2075,70,168,340,86,14,24,27,3494,120,326,7,20,57,14,0,0,3,547,6121,16461,897,1506,3407,1696,169,512,403,31175,13,12,4,13,6,3,0,0,0,63
20702,73,392,3,60,91,12,0,3,8,643,15,79,3,6,19,0,0,0,0,120,740,2979,177,456,1081,472,16,80,82,6083,0,4,3,3,3,6,0,0,0,22,95,250,49,171,270,104,6,34,10,990,167,174,63,296,331,154,4,36,10,1243,115,108,206,367,285,164,10,65,14,1328,14,4,8,35,49,27,0,11,0,145,38,28,24,86,142,53,6,22,3,403,28,51,7,21,51,23,0,11,0,193,38,76,13,69,72,54,5,15,35,377,1629,5391,590,1657,2671,1164,59,294,196,13654,15,42,0,0,13,3,0,0,0,71,77,605,12,5,19,5,3,3,3,739,792,1963,114,123,440,180,32,51,68,3766,30,111,7,4,23,6,0,3,0,185,175,613,22,77,117,32,6,15,12,1060,36,104,7,14,20,10,0,0,0,191,2125,5680,579,695,1576,889,152,260,181,12135,3,7,3,7,3,6,0,3,0,30
20703,129,713,13,100,116,39,0,9,10,1128,20,128,3,8,31,0,3,0,0,201,898,4007,163,624,1209,455,18,146,82,7603,3,3,0,8,4,3,0,0,0,22,139,320,54,180,262,102,10,43,6,1119,162,213,100,394,370,163,10,56,16,1484,114,116,178,391,332,153,15,65,16,1377,17,15,12,27,54,23,0,16,4,168,28,26,17,76,127,46,3,18,6,341,27,69,15,22,38,21,5,9,3,199,26,60,17,54,50,33,3,15,34,280,1985,7479,628,2035,3000,1146,70,401,215,16962,11,57,3,3,5,0,0,4,0,94,121,758,8,13,30,5,0,5,6,944,1002,2716,194,194,619,252,43,119,70,5213,53,121,3,14,26,5,0,6,3,225,278,1058,32,122,152,60,10,20,18,1759,65,181,11,17,43,0,3,3,0,319,2367,7432,633,940,1796,863,158,394,165,14750,6,4,5,8,4,6,0,0,0,35
20801,172,682,12,68,117,27,0,3,5,1088,28,119,0,8,22,4,0,0,0,185,1391,3980,137,458,1068,462,17,49,71,7622,4,3,0,6,4,0,0,0,0,21,203,421,55,191,342,118,8,15,17,1363,209,286,80,264,409,143,4,23,13,1424,132,113,157,339,316,166,5,45,15,1283,21,10,4,34,58,22,3,7,0,169,49,49,14,87,156,49,0,13,7,430,25,75,4,18,48,22,0,6,9,202,30,81,9,45,83,38,3,5,42,342,2852,7557,491,1594,2829,1126,39,167,205,16864,33,72,5,5,9,3,0,0,0,130,173,738,8,6,25,8,0,0,14,977,1454,2316,64,98,298,121,5,24,49,4421,87,165,4,7,21,10,0,0,6,296,373,1005,25,92,159,44,6,14,8,1714,53,150,4,22,30,14,0,3,0,270,3885,7728,404,710,1536,895,69,141,187,15559,4,4,0,5,4,0,0,0,0,31
20802,245,1066,18,110,193,47,0,3,15,1703,59,185,4,12,26,5,0,0,0,291,1655,6592,288,1018,1844,760,25,215,134,12537,4,11,0,5,6,8,0,0,0,35,281,571,89,309,485,165,14,32,17,1955,283,444,146,540,624,242,13,67,23,2371,175,179,352,642,551,253,26,92,26,2294,14,30,11,62,80,36,0,17,4,258,70,78,23,134,186,69,0,10,8,583,38,95,25,44,74,40,0,22,5,344,45,149,30,62,117,64,5,23,70,561,3609,12421,1056,3163,4768,1846,105,538,361,27867,37,104,7,4,7,9,0,0,0,165,193,1226,14,14,31,8,3,8,8,1505,1629,4363,220,305,866,351,71,152,120,8084,89,226,7,21,52,14,0,4,3,415,458,1638,53,158,260,70,16,12,24,2691,114,239,11,19,36,12,3,0,7,444,4577,12638,951,1492,2747,1515,237,551,316,25025,9,19,3,7,16,8,0,3,0,61
20803,123,713,15,111,101,26,3,4,3,1085,39,181,4,17,28,4,0,0,0,273,950,4197,165,608,1171,410,31,89,70,7684,4,8,0,12,7,3,0,4,0,36,225,425,71,269,468,134,16,38,23,1669,318,445,136,601,646,233,10,52,19,2466,237,224,429,792,763,297,40,117,38,2937,22,23,12,48,102,65,3,20,0,301,50,58,29,150,240,78,9,25,5,651,30,70,13,34,61,32,0,5,5,251,33,76,14,83,117,60,9,33,44,472,2388,7824,933,2832,3937,1403,124,411,236,20084,17,58,0,0,13,0,0,0,0,95,75,454,13,15,13,0,0,0,13,589,745,1909,92,135,324,106,24,44,35,3413,54,119,6,9,21,8,0,3,0,215,258,1037,31,138,129,41,10,14,15,1672,76,222,7,24,39,5,0,3,4,378,2395,7130,581,901,1630,762,155,239,122,13912,9,6,7,19,11,6,0,7,3,56
20804,70,284,6,32,79,13,0,4,3,493,10,53,0,8,9,4,0,0,0,82,614,2100,73,232,552,214,12,53,40,3892,0,0,0,0,0,0,0,0,0,5,81,143,17,69,142,59,0,5,3,519,83,105,38,95,134,67,3,14,11,547,39,41,51,102,116,54,3,25,9,440,5,7,4,3,17,13,0,5,0,60,18,24,7,34,49,25,0,9,0,168,7,31,7,4,12,12,0,0,0,80,19,37,10,13,25,13,0,10,5,123,1211,3758,224,648,1304,518,18,143,99,7926,12,36,0,3,4,0,0,0,0,55,50,458,3,3,14,3,0,0,8,550,587,1378,39,70,260,100,13,37,30,2513,23,90,4,4,13,11,0,0,5,146,162,464,10,42,99,21,3,6,7,820,25,64,4,4,13,6,0,0,0,113,1602,4178,220,344,805,421,56,141,107,7866,0,8,0,3,0,3,0,0,0,14
20901,146,981,21,143,141,16,3,5,3,1451,31,212,12,10,36,4,0,5,4,307,937,4809,230,641,1222,410,19,87,82,8438,7,3,0,12,3,3,0,0,0,30,192,423,56,284,414,112,12,38,16,1541,227,336,106,496,533,179,13,41,33,1963,159,177,326,778,624,242,19,106,32,2467,15,9,16,64,99,33,3,17,0,250,38,49,32,126,203,51,5,31,5,545,20,52,10,32,62,31,0,10,9,219,36,101,30,90,91,41,4,17,52,461,2206,9261,877,2775,3724,1181,86,386,256,20745,9,82,0,4,7,3,0,0,0,114,125,1021,12,15,28,3,3,3,5,1215,927,2685,132,148,406,128,39,88,58,4617,50,155,0,12,30,5,3,3,3,260,322,1438,54,190,202,36,8,21,12,2279,65,263,16,23,45,5,3,4,7,444,2481,8513,687,1014,1819,776,151,308,151,15900,10,9,4,22,3,4,0,0,0,55
20902,90,538,16,85,79,22,0,3,7,847,14,102,0,11,26,3,0,0,3,154,578,2808,167,562,880,341,26,205,58,5619,3,7,3,4,5,0,0,0,0,30,113,193,60,165,237,105,16,36,13,937,166,235,108,445,375,168,21,83,14,1614,121,145,231,550,410,218,36,96,24,1825,10,11,5,49,64,30,0,15,0,191,24,16,13,105,138,42,6,26,0,368,11,37,11,20,33,11,0,23,0,147,15,57,23,83,69,48,9,48,40,390,1375,5440,678,2253,2552,1082,106,603,186,14278,10,44,3,5,0,0,0,0,0,55,56,519,8,10,26,6,0,6,3,632,452,1756,141,240,377,203,82,186,36,3469,26,86,8,8,13,8,0,6,4,167,142,801,35,113,114,32,10,16,7,1274,35,135,3,14,30,3,0,0,3,225,1322,4940,588,869,1347,633,273,565,117,10647,7,4,10,13,10,3,0,4,0,55
20903,73,534,9,85,69,12,0,4,7,795,26,86,0,14,17,3,0,0,3,144,480,2419,105,340,605,171,11,44,32,4209,0,0,0,3,0,0,0,0,0,11,128,295,44,217,256,83,4,12,8,1052,137,211,80,321,330,105,9,23,18,1236,113,108,246,524,457,134,12,45,17,1654,12,14,15,27,72,29,5,5,0,176,27,11,15,121,103,42,3,18,3,340,15,31,0,12,37,10,0,6,3,114,25,38,17,67,88,38,0,10,15,301,1220,4608,557,1764,2143,650,53,173,114,11273,13,46,0,4,3,3,0,0,0,67,68,409,3,3,21,0,0,0,5,507,444,994,29,51,115,39,3,8,15,1696,20,76,3,7,10,3,0,0,0,128,187,767,31,112,93,20,0,7,14,1227,53,116,3,21,22,6,0,0,0,218,1352,4064,272,507,831,294,63,122,84,7578,4,3,4,3,3,0,0,3,0,24
