SA3_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
20402,21,21,35,52,66,58,26,14,0,295,620,661,1488,1902,2442,2085,461,75,15,9749,45,68,162,204,312,408,345,123,24,1705,0,3,13,21,17,12,3,0,0,68,71,171,325,464,570,444,76,6,0,2138,0,15,37,26,49,49,0,0,0,171,85,167,301,306,351,270,51,0,0,1533,31,28,86,105,123,104,24,0,0,498,307,211,319,347,401,306,81,17,0,1988,411,182,203,208,210,165,57,5,0,1442,8,40,104,138,271,225,72,4,5,860,9,15,27,36,34,38,7,0,0,163,3,16,45,71,80,40,8,0,3,274,6,10,37,42,31,38,18,0,0,184,13,41,107,156,153,137,41,8,0,647,17,42,99,136,159,140,38,0,0,651,4,30,149,282,411,344,48,3,0,1270,19,74,272,342,434,379,61,4,0,1574,44,159,494,605,815,845,129,13,3,3102,35,33,47,40,56,36,8,3,0,258
20403,37,39,63,89,87,69,36,10,3,432,1053,1183,2796,3103,3728,2898,615,72,16,15454,46,86,166,220,346,440,371,107,16,1805,0,0,25,21,25,21,6,0,0,96,137,264,631,637,782,568,80,0,3,3111,9,8,50,64,106,79,4,0,0,320,129,292,634,530,549,441,90,6,0,2677,25,45,120,142,180,123,32,4,0,665,493,372,570,550,670,489,133,12,3,3292,611,351,453,372,379,295,97,8,3,2566,26,70,196,273,359,341,116,3,3,1392,17,27,47,63,42,34,5,0,0,224,3,28,116,126,129,88,8,0,0,496,15,28,68,79,101,63,19,0,0,381,24,60,214,293,314,223,76,9,0,1202,28,63,167,197,261,242,52,5,0,1014,144,403,617,682,806,486,82,4,3,3228,55,112,453,621,624,600,98,6,0,2569,68,262,821,909,1198,1107,172,9,3,4556,51,31,69,72,91,55,15,0,0,380
20501,13,21,41,54,83,55,29,7,0,303,606,848,1870,1963,2437,1880,399,64,3,10068,51,93,293,342,374,408,283,101,18,1963,0,8,31,40,37,39,4,0,0,161,65,140,317,316,407,243,48,13,0,1553,3,15,69,74,135,122,18,0,0,437,140,305,633,459,480,345,68,0,3,2441,12,34,111,116,157,104,20,4,0,563,226,254,344,302,360,273,65,12,0,1843,445,220,176,154,167,126,27,0,0,1309,8,36,95,141,220,209,57,3,0,770,12,17,51,46,45,44,11,0,0,233,8,21,88,90,93,55,21,0,0,372,6,28,56,60,49,29,22,3,0,250,16,66,192,210,200,214,71,8,0,986,22,29,81,108,149,119,28,5,0,536,6,39,229,262,300,223,51,4,3,1109,41,87,354,454,561,488,81,5,0,2065,40,189,476,493,680,597,106,4,0,2590,32,33,47,46,50,54,11,4,0,270
20502,13,11,21,37,59,74,26,8,0,264,476,542,1252,1537,2140,1861,460,64,12,8345,26,73,213,199,276,350,262,103,15,1510,0,0,28,37,41,28,9,0,0,137,51,102,250,241,308,272,57,4,0,1294,4,17,33,43,67,48,10,0,0,218,53,135,308,287,329,307,51,4,0,1478,10,35,62,71,90,50,22,3,0,350,291,176,309,295,383,340,86,9,0,1893,315,155,199,228,265,247,66,10,3,1492,8,15,55,99,174,177,79,3,0,615,10,18,18,17,23,27,12,0,0,122,0,15,34,39,55,37,13,0,0,186,7,12,34,32,33,46,20,3,0,189,7,26,82,116,128,135,78,9,0,584,17,23,61,102,114,114,38,3,0,486,12,28,147,201,268,197,53,0,0,898,28,66,231,305,417,367,77,4,0,1498,19,136,349,448,722,682,127,5,3,2493,14,17,30,44,49,51,11,0,0,220
20503,31,29,44,79,95,94,34,12,6,423,663,716,1834,2282,2951,2633,660,103,17,11868,76,113,343,447,576,603,469,165,22,2808,0,3,38,35,44,35,8,0,0,159,90,87,229,292,420,320,84,4,0,1536,4,15,70,110,143,96,16,0,0,461,94,235,572,594,621,457,127,5,5,2710,16,34,103,112,190,166,38,6,0,658,394,242,381,464,557,480,105,4,3,2628,371,242,305,253,314,285,62,10,0,1837,10,18,82,135,240,255,90,6,0,841,11,7,28,40,51,60,3,0,0,196,3,16,64,83,83,56,14,0,0,325,8,13,63,63,102,61,28,0,0,341,12,38,180,195,274,232,96,13,0,1031,19,31,104,157,208,160,70,3,3,757,4,24,155,249,282,281,52,3,0,1056,28,65,308,443,484,425,62,5,0,1821,26,129,430,539,816,859,165,9,5,2984,54,43,99,128,141,144,47,3,0,665
20504,28,33,62,54,79,89,26,11,0,366,907,1459,2882,2772,3197,2394,458,52,6,14126,26,66,136,144,156,148,108,34,9,823,3,16,133,104,137,92,15,0,0,504,71,174,409,483,526,415,61,4,0,2149,18,67,295,329,629,506,62,3,0,1915,95,335,698,581,504,380,71,0,0,2670,16,48,108,130,112,65,19,0,0,495,553,479,694,580,596,423,78,22,0,3427,637,373,327,233,220,165,46,3,0,2004,19,44,152,193,269,252,58,3,3,993,20,56,72,49,55,46,7,0,0,292,10,53,135,118,127,55,11,3,0,507,6,35,74,85,75,64,18,0,0,360,19,78,258,206,210,177,51,10,0,1017,15,64,137,190,221,178,39,0,0,841,18,198,540,537,587,416,57,7,0,2361,30,141,413,501,600,499,95,3,0,2280,51,371,933,830,990,888,191,11,3,4279,37,37,57,54,46,38,15,6,0,293
20505,17,14,44,38,58,42,23,9,6,254,525,628,1521,1631,2024,1735,375,48,15,8504,57,153,390,391,415,498,308,77,23,2313,3,9,85,123,179,104,5,0,0,513,55,108,195,197,233,202,41,3,0,1032,3,17,60,97,119,86,16,4,0,399,71,185,390,339,339,278,66,7,0,1668,16,28,51,61,61,49,15,0,0,278,312,195,254,297,331,286,65,8,0,1752,266,153,174,144,160,147,34,0,3,1074,12,29,68,90,153,129,47,6,0,533,5,18,12,21,15,20,4,3,0,97,4,6,40,54,63,41,7,3,0,219,0,19,28,29,44,48,7,0,0,176,21,31,121,138,121,120,32,8,0,590,12,18,72,84,112,111,23,6,0,438,9,85,316,323,331,285,48,7,0,1411,33,64,266,310,413,328,50,0,0,1459,21,142,426,444,603,625,98,7,0,2360,23,18,32,35,44,36,16,8,0,199
20601,14,96,256,163,106,67,23,3,0,721,598,2811,8327,5477,3798,2185,400,24,8,23625,0,10,41,33,14,10,0,0,0,113,0,3,27,29,16,6,0,0,0,78,31,133,682,529,400,216,54,4,0,2052,0,27,171,120,59,48,4,0,0,434,33,232,907,553,468,244,44,6,0,2487,17,81,349,301,257,101,16,3,0,1130,315,972,1349,586,459,244,45,6,0,3974,384,1096,1539,485,252,119,36,3,0,3912,11,106,490,442,370,209,51,3,0,1671,29,108,612,480,270,84,16,0,3,1598,6,111,815,686,363,130,19,3,0,2131,9,62,217,136,87,55,16,4,0,583,30,413,2337,1767,815,330,101,7,3,5800,12,153,614,327,214,151,38,7,0,1520,13,112,893,928,732,404,66,6,0,3156,54,396,1892,1484,1236,846,147,6,3,6063,27,403,1969,1329,1034,692,145,9,0,5624,50,279,613,380,208,106,20,3,0,1662
20602,10,46,147,89,84,32,12,7,0,432,385,1344,4549,3658,3007,1525,245,25,5,14736,0,3,31,9,24,7,0,0,0,71,0,0,14,16,15,8,0,0,0,52,37,49,337,305,294,158,26,5,3,1219,0,7,94,90,55,19,6,0,0,281,14,133,440,336,258,151,26,4,0,1358,3,40,175,181,156,71,11,0,0,638,193,463,722,393,327,147,40,7,0,2284,231,468,675,255,151,78,10,0,0,1866,7,41,199,184,179,117,20,5,0,745,15,57,311,321,228,77,14,0,0,1027,7,47,399,473,312,76,9,0,0,1320,4,30,134,115,77,31,7,0,0,401,10,195,1212,1119,764,292,60,5,0,3652,5,68,251,209,163,96,24,0,0,818,6,56,508,565,551,273,38,4,0,2007,46,210,959,884,851,607,106,8,0,3666,21,227,1160,992,881,551,84,10,0,3931,61,130,336,238,151,81,12,0,3,1018
20603,21,62,145,112,126,54,25,0,0,550,744,1824,4840,3672,3484,2171,396,23,12,17167,3,6,29,9,23,20,9,3,0,102,0,3,24,24,22,3,3,0,0,82,53,116,416,462,412,256,65,4,0,1771,0,17,98,89,73,37,4,0,0,323,41,232,579,517,487,264,66,9,0,2189,12,92,225,236,218,125,28,0,0,932,421,687,761,445,424,271,68,10,0,3093,378,575,654,279,216,146,32,7,0,2289,14,100,408,395,438,282,51,3,0,1692,36,75,287,233,187,89,8,0,0,917,6,106,667,632,397,203,14,3,0,2027,13,54,165,161,124,63,19,5,0,602,25,283,1246,1072,816,492,96,12,0,4043,20,130,394,273,217,100,44,5,0,1181,11,88,547,556,621,406,54,7,0,2286,95,232,907,686,860,754,144,4,3,3682,22,292,1179,866,874,656,121,20,8,4033,85,218,315,185,125,78,34,3,0,1055
