SA3_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
21305,81,415,304,304,822,638,276,330,42,3209,123,407,386,374,972,988,274,415,1174,5107,2929,9822,9449,10250,23623,22504,8513,11147,2258,100495
21401,64,338,253,256,522,531,245,297,38,2543,102,282,210,246,690,715,233,375,575,3418,2187,7330,6219,7361,12687,12510,6218,7757,1150,63406
21402,72,362,286,370,437,457,226,364,23,2595,124,372,291,277,428,543,217,407,569,3219,2496,9558,7591,8653,10164,11852,6088,9845,1261,67498
21501,40,104,86,109,166,187,71,128,17,911,42,102,69,72,134,142,39,111,222,934,1150,3120,2576,3168,4055,4475,2015,4305,544,25418
21502,18,87,67,76,201,188,60,97,11,811,48,89,74,93,148,170,48,107,240,1019,848,2695,2093,2763,4435,3925,1930,3286,524,22501
21503,18,71,45,54,112,111,51,78,0,547,39,71,51,61,76,115,33,93,175,713,655,1893,1484,1778,2489,2664,1276,2814,409,15456
21601,23,71,56,70,136,129,62,91,5,644,44,61,35,44,95,94,34,83,179,670,745,1940,1592,2011,2554,2481,1491,2836,379,16022
21602,9,69,33,36,69,91,44,64,6,416,42,51,29,40,76,85,41,65,134,567,598,1410,1140,1352,1807,1952,1117,2118,309,11806
21603,37,146,109,120,263,226,105,131,15,1147,53,108,81,87,194,181,67,143,289,1199,1101,3129,2548,3285,5112,4881,2503,3709,607,26876
21701,14,72,51,66,98,94,49,71,6,537,41,66,42,42,77,75,33,76,153,612,743,2031,1720,1930,2238,2456,1417,2693,376,15595
21703,16,89,46,45,90,81,27,79,3,480,37,90,62,56,87,92,36,85,183,731,766,2278,1715,2022,2394,2306,1435,3418,391,16727
21704,25,144,81,80,142,161,53,91,10,780,41,86,49,68,123,138,51,105,189,852,1062,3200,2438,2913,3769,3753,2044,3629,482,23287
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
29999,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
