SA3_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
20402,39,0,0,0,39,4,0,48,1328,148,19,11,1504,0,11,7,1517,86,4,1611,2527,317,38,19,2905,17,4,15,2925,90,6,3024,200,28,35,3,265,0,0,0,269,7,0,271,42,0,0,38,86,0,0,0,89,0,0,93,4101,496,94,76,4764,19,9,34,4798,190,13,4994,15,7,3,0,33,6,0,6,40,0,0,37,86,13,0,0,100,5,0,5,111,0,3,111,106,22,11,0,132,14,0,14,144,3,3,154,4204,515,104,73,4898,31,9,41,4946,187,14,5148,1016,118,39,24,1203,58,4,66,1268,248,3,1518,17,0,0,9,20,0,0,0,20,5,20,44,5239,634,140,108,6128,88,16,106,6232,439,36,6710
20403,71,0,0,0,76,4,0,80,2269,305,46,27,2649,23,8,29,2676,147,3,2821,3980,513,77,51,4617,37,7,41,4657,174,9,4842,350,31,47,4,436,6,0,6,441,12,0,453,67,9,0,63,135,0,0,0,135,0,0,137,6670,856,173,143,7843,59,9,75,7916,328,17,8259,67,4,4,0,71,19,0,18,94,25,0,115,121,9,3,6,141,16,3,20,156,15,0,173,187,19,4,6,217,27,5,37,249,39,0,288,6861,869,175,150,8054,88,21,110,8168,365,17,8543,1774,231,68,66,2144,73,14,82,2231,299,6,2533,17,0,0,3,20,4,0,4,25,3,21,54,8653,1100,252,221,10226,165,33,199,10426,662,43,11129
20501,105,4,0,3,105,8,0,113,1365,154,30,8,1549,16,13,26,1581,107,3,1686,3113,341,39,33,3524,19,3,20,3546,108,0,3657,267,36,40,7,349,0,0,0,346,18,0,369,28,9,3,44,86,0,0,0,86,8,3,93,4771,539,111,90,5505,38,12,55,5558,240,6,5804,56,3,0,0,59,4,0,4,62,10,0,67,116,10,0,0,130,13,3,13,145,4,0,154,173,16,0,0,184,19,3,21,206,13,0,225,4938,553,111,90,5690,53,15,70,5768,251,6,6024,1588,256,51,47,1943,47,23,74,2013,237,0,2251,3,0,0,8,15,0,0,0,13,4,4,23,6532,804,158,147,7648,103,44,146,7792,493,11,8298
20502,23,0,0,0,23,0,0,28,878,125,28,8,1046,18,11,28,1070,80,5,1158,2019,322,60,33,2429,26,9,36,2466,137,0,2607,168,32,38,3,240,0,0,0,240,10,0,247,23,6,0,26,50,0,0,0,56,4,0,63,3087,491,121,67,3767,43,17,66,3825,234,4,4070,22,19,0,0,43,4,0,4,45,6,0,56,32,8,0,3,43,4,0,3,45,0,0,52,58,28,0,3,82,7,0,13,94,9,0,104,3136,514,124,73,3850,51,23,73,3924,247,4,4174,934,160,26,34,1145,43,8,56,1199,265,0,1465,6,4,0,4,11,0,0,0,11,0,20,35,4077,679,147,108,5010,99,32,125,5136,511,27,5674
20503,64,0,0,0,66,4,0,73,1539,223,27,11,1798,13,12,21,1819,112,3,1934,3233,540,62,43,3876,64,9,70,3952,156,11,4122,211,35,59,3,298,0,3,4,304,14,0,322,35,9,0,54,103,0,0,0,103,7,5,115,5017,809,147,113,6075,78,20,101,6176,299,19,6496,23,9,0,0,41,9,0,10,47,8,0,56,76,21,3,0,94,16,0,16,110,13,0,115,97,30,3,0,130,20,0,24,153,15,0,176,5116,833,149,113,6213,103,23,123,6332,313,19,6667,1432,316,45,67,1855,63,20,83,1939,247,12,2189,21,3,0,0,27,0,0,0,27,0,27,56,6571,1154,197,173,8092,163,39,203,8295,560,57,8913
20504,116,8,0,8,123,26,3,148,1520,198,16,8,1744,66,16,82,1819,114,0,1941,3785,368,77,36,4265,100,11,113,4382,208,4,4590,342,44,40,7,433,17,0,17,448,11,0,462,46,3,0,35,88,3,0,3,89,8,0,93,5697,610,135,86,6521,184,29,216,6743,340,3,7081,64,25,0,0,98,29,4,36,133,11,0,143,162,33,3,3,201,24,12,41,235,12,4,257,222,57,8,3,291,58,12,72,369,28,7,400,5919,668,144,88,6815,249,45,291,7107,365,6,7484,1777,246,51,71,2137,179,31,204,2347,467,5,2818,7,0,0,9,14,0,0,0,14,6,24,49,7702,916,190,164,8973,425,69,492,9472,843,40,10347
20505,38,0,0,0,38,4,0,41,1129,118,26,12,1289,20,4,23,1313,68,8,1390,2207,208,72,16,2505,43,12,56,2561,110,3,2679,182,35,22,0,243,6,0,6,249,15,0,260,37,3,0,37,77,0,0,0,78,0,0,82,3553,364,117,71,4111,67,18,87,4200,200,7,4403,25,16,0,0,36,6,0,7,51,5,0,60,80,9,5,0,91,14,5,21,114,4,0,120,99,25,6,0,133,22,6,31,164,13,0,174,3657,388,121,72,4238,92,28,122,4360,207,7,4579,1256,132,49,40,1482,55,9,64,1547,223,3,1773,14,7,0,3,22,3,0,3,24,0,17,44,4930,522,173,115,5748,152,37,189,5933,432,28,6392
20601,316,3,3,7,330,58,0,382,2205,368,32,10,2612,64,14,78,2695,180,6,2880,4147,596,56,25,4824,50,29,80,4899,147,4,5053,444,54,53,3,552,6,0,12,561,6,0,564,47,6,3,17,76,0,0,0,72,21,0,100,6841,1016,141,56,8055,125,43,171,8230,350,18,8597,79,12,0,0,87,31,3,30,118,0,0,121,161,29,0,3,195,16,3,21,212,23,0,241,232,47,0,3,278,50,3,50,336,27,0,364,7072,1064,141,57,8337,171,49,223,8564,379,18,8956,1832,324,32,60,2247,56,25,86,2329,417,10,2756,13,0,0,9,21,0,0,0,19,0,23,43,8914,1386,173,129,10605,230,78,311,10915,797,43,11755
20602,243,4,0,4,253,36,0,283,1713,316,25,13,2072,32,12,47,2112,130,0,2244,3333,470,33,22,3858,38,15,51,3911,99,3,4008,264,43,22,0,338,0,0,0,338,7,0,343,16,6,0,23,45,0,0,0,46,4,0,48,5324,831,79,65,6305,75,21,97,6402,238,4,6645,29,6,0,0,39,3,0,3,44,0,0,44,121,16,0,4,141,8,3,6,152,3,0,153,154,20,0,4,178,10,3,12,193,7,0,200,5478,856,86,71,6483,92,22,114,6599,240,4,6849,1101,172,19,10,1308,53,8,61,1361,181,0,1542,5,0,0,8,19,0,0,0,19,0,12,25,6590,1023,100,92,7810,139,33,170,7978,424,12,8414
20603,451,12,0,13,467,45,4,517,2595,276,21,7,2894,60,16,79,2976,136,3,3117,4106,399,33,21,4560,58,11,67,4633,135,3,4766,380,32,60,4,472,4,0,4,476,4,0,481,37,0,0,47,90,0,0,0,90,6,6,101,7117,709,113,83,8022,128,29,154,8173,276,13,8463,56,19,0,3,84,26,10,33,117,3,3,126,142,28,0,0,172,13,4,18,190,15,0,205,204,49,0,3,257,35,13,52,306,19,3,332,7323,758,115,88,8277,166,40,203,8482,301,17,8797,1819,260,26,47,2151,84,12,99,2252,270,0,2519,6,5,0,12,28,3,0,3,29,14,19,60,9148,1020,138,148,10457,255,56,309,10762,579,36,11380
20604,166,5,0,4,172,41,3,215,1541,173,22,7,1748,58,10,72,1816,125,11,1954,1502,262,12,13,1786,33,3,39,1826,68,3,1897,257,37,53,7,355,4,0,4,357,19,0,377,10,3,0,32,51,3,0,3,48,0,0,52,3309,472,90,65,3930,102,22,118,4052,210,15,4280,104,6,0,0,111,13,3,13,126,8,0,136,100,18,0,3,120,18,4,23,138,9,0,151,203,21,0,3,232,31,4,36,262,22,4,285,3510,496,91,63,4162,128,28,153,4315,235,21,4569,1557,327,33,35,1954,85,41,124,2080,426,4,2505,6,0,0,7,19,0,0,0,19,16,31,58,5079,832,120,111,6132,213,63,279,6416,667,50,7137
20605,226,3,0,3,228,44,0,273,2387,316,26,13,2742,63,11,77,2823,206,4,3029,3309,421,33,21,3783,46,13,62,3841,123,4,3964,444,54,44,4,542,7,0,12,553,13,0,568,30,0,0,36,67,0,0,0,67,0,3,71,6167,792,97,76,7136,124,25,150,7287,333,8,7629,79,6,0,3,86,15,0,18,103,5,0,112,127,12,0,4,146,11,0,11,163,4,0,165,207,25,0,9,239,32,5,30,266,15,0,283,6371,821,103,79,7370,154,26,178,7550,348,8,7908,1777,217,17,31,2038,47,10,58,2103,220,0,2322,12,0,0,15,30,0,0,0,30,0,6,40,8155,1033,120,130,9442,200,38,243,9684,569,18,10267
20606,253,3,3,6,262,31,0,288,1188,116,9,3,1317,22,3,22,1342,66,3,1405,1586,177,23,18,1793,18,5,29,1827,62,0,1888,198,10,9,3,217,3,0,3,224,11,0,235,29,0,3,21,50,0,0,0,47,3,7,58,2994,301,42,36,3379,41,13,59,3436,144,9,3585,48,3,0,0,50,6,0,6,62,4,0,63,69,8,0,0,71,0,3,10,83,11,0,94,109,11,0,0,124,13,3,18,142,17,0,155,3104,314,42,36,3496,58,22,75,3573,165,9,3742,1324,150,17,29,1520,40,5,45,1571,162,3,1731,3,0,0,3,9,0,0,0,9,0,10,22,4432,470,60,74,5034,93,32,124,5156,327,17,5496
20607,215,10,3,13,225,33,0,259,1960,256,14,15,2240,50,12,63,2303,132,4,2436,2602,381,26,11,3012,46,6,51,3067,90,3,3161,322,32,35,6,391,7,0,7,398,9,0,411,46,3,4,41,93,0,0,4,94,0,0,96,4930,665,70,74,5744,95,23,119,5857,234,10,6103,44,8,0,7,61,25,0,25,85,9,0,96,79,26,3,0,112,20,17,35,148,20,0,164,129,34,3,6,171,48,17,66,238,27,0,262,5056,702,72,86,5916,141,38,181,6097,263,10,6361,1127,218,32,41,1423,74,40,107,1530,392,9,1936,10,3,0,7,19,0,0,0,19,6,27,52,6190,926,106,133,7360,214,72,291,7649,658,42,8350
20701,1726,58,9,64,1791,195,4,1994,7739,853,58,46,8688,217,43,259,8948,513,4,9472,11896,1153,91,80,13221,176,36,213,13433,337,10,13770,759,94,111,3,969,8,0,7,975,14,0,991,131,19,3,105,258,6,0,6,263,15,12,290,20524,2115,267,226,23129,400,85,483,23620,879,25,24526,199,19,0,3,225,55,3,55,282,15,0,300,490,37,0,3,529,33,13,44,576,20,0,595,686,56,0,3,750,92,14,100,850,34,0,888,21205,2175,268,234,23880,490,96,586,24472,918,28,25414,5948,651,126,55,6781,196,53,248,7033,800,10,7843,30,9,0,28,74,0,0,0,75,7,32,104,27189,2828,397,321,30734,683,153,840,31572,1724,71,33364
20702,814,29,9,34,847,127,3,980,3255,432,30,16,3727,139,23,164,3888,269,5,4163,4943,752,42,53,5796,92,28,122,5917,237,7,6156,354,39,40,0,436,5,0,5,440,19,3,461,52,12,0,74,136,4,0,4,139,17,9,161,8602,1228,114,143,10088,241,54,299,10387,537,23,10942,135,18,0,3,151,30,0,34,182,7,0,199,286,35,5,5,336,54,5,65,395,23,0,427,425,52,5,6,490,86,12,93,586,33,0,618,9025,1288,117,154,10581,326,67,394,10968,575,22,11565,3307,480,37,75,3906,145,15,162,4066,572,4,4633,26,4,3,17,45,0,0,0,45,0,23,71,12361,1772,162,237,14532,468,85,554,15083,1141,47,16274
