SA3_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
20402,67,11,18,3,97,43,3,25,0,73,30,12,60,6,105,20,8,90,0,125,278,46,168,9,500,127,59,220,5,419,919,129,254,20,1317,603,205,233,26,1063,625,391,210,25,1249,533,449,122,29,1137,347,403,81,6,840,338,380,60,11,792,561,688,67,7,1329,287,468,24,5,786,152,228,3,3,386,56,134,16,0,209,151,214,10,0,375,383,582,173,7,1145,151,50,65,7,268,5681,4455,1909,166,12208
20403,63,18,29,3,118,68,11,33,0,105,40,11,84,6,148,24,9,145,0,182,345,49,210,9,610,197,81,344,12,634,1087,146,347,25,1596,694,288,349,19,1351,861,500,317,31,1712,796,710,262,24,1789,513,634,152,11,1309,559,629,97,10,1294,971,1160,131,18,2281,501,873,43,8,1425,251,479,6,3,731,92,275,15,0,379,209,367,12,0,588,550,940,279,21,1789,194,70,56,8,326,8017,7233,2908,195,18362
20501,85,20,32,4,141,54,12,22,3,90,43,20,73,0,134,21,10,80,0,112,292,41,121,7,467,151,42,216,6,416,863,95,224,20,1203,515,218,218,17,980,604,399,227,16,1253,475,494,160,20,1144,304,461,130,7,900,337,484,71,12,905,575,811,86,5,1482,329,583,31,5,944,157,313,8,0,475,108,179,7,0,293,205,373,12,0,594,334,664,190,9,1191,141,76,36,3,253,5598,5298,1939,137,12970
20502,86,12,18,3,124,65,12,14,0,97,54,15,54,4,127,40,7,88,0,142,374,36,145,9,571,213,55,221,0,492,1159,140,233,16,1551,621,237,207,26,1083,747,401,186,24,1354,619,442,122,11,1190,294,394,65,10,766,296,308,58,9,668,479,526,47,8,1058,220,302,20,5,544,112,137,0,0,251,54,90,5,0,156,108,141,12,0,259,430,571,169,9,1187,186,47,54,3,282,6159,3871,1724,128,11881
20503,111,28,23,3,158,93,9,27,0,124,62,25,67,0,152,49,10,117,0,183,462,59,215,15,759,261,107,330,7,700,1361,166,302,27,1853,817,336,287,28,1471,901,553,266,18,1741,723,609,145,15,1490,387,541,91,6,1027,445,516,83,6,1052,653,782,68,13,1503,338,478,26,4,840,182,249,7,0,436,83,151,16,0,256,175,260,14,0,449,515,752,276,5,1556,243,76,61,8,382,7852,5711,2410,162,16135
20504,90,31,36,7,166,64,13,24,4,109,48,26,124,3,200,30,13,217,3,258,411,82,318,15,828,222,74,558,17,869,1216,215,459,18,1910,621,330,406,41,1397,689,500,376,27,1598,678,590,209,23,1494,402,550,170,12,1138,438,588,116,13,1152,829,1084,139,24,2073,456,756,69,12,1297,278,460,16,0,759,173,296,23,0,495,269,596,24,3,901,497,925,336,14,1774,208,85,106,12,411,7628,7200,3740,237,18801
20505,66,18,22,0,109,53,6,14,3,77,29,11,50,6,99,9,8,85,0,95,226,47,126,3,403,138,53,184,10,387,755,110,201,14,1077,445,196,183,21,846,531,335,175,20,1063,446,355,122,18,931,279,347,51,3,683,317,355,61,3,739,499,588,59,8,1154,255,414,17,6,686,149,227,5,0,385,87,165,20,0,271,191,324,12,0,528,374,683,150,6,1211,132,51,41,0,224,4965,4292,1570,134,10962
20601,133,52,53,12,251,60,16,26,11,118,49,27,68,18,153,36,22,64,3,123,347,59,109,33,542,164,109,179,20,476,758,163,212,30,1171,391,238,271,72,971,531,405,328,68,1331,586,441,219,71,1317,413,429,200,60,1098,521,498,138,46,1201,1217,1167,229,85,2701,1008,1000,85,51,2146,614,837,37,31,1524,460,601,45,18,1118,797,1500,41,17,2354,607,901,257,21,1790,118,63,40,7,231,8823,8524,2602,659,20614
20602,53,22,28,7,113,38,10,11,3,63,30,13,61,4,104,10,12,49,10,71,197,25,71,5,297,70,40,117,9,239,437,79,130,26,683,195,122,160,23,502,269,214,190,26,701,317,256,131,35,742,233,252,99,28,610,287,287,104,25,696,632,680,139,34,1479,526,624,47,25,1222,376,534,30,13,957,261,452,59,12,776,547,1487,33,17,2074,353,561,139,11,1064,58,45,22,5,131,4883,5699,1618,319,12523
20603,91,27,52,28,196,48,9,36,6,99,27,32,103,14,182,25,10,86,4,127,191,57,131,28,405,104,66,154,13,344,405,124,184,42,751,299,182,178,41,707,403,263,208,53,931,401,273,186,48,903,319,312,144,36,820,319,355,113,23,808,828,866,188,55,1932,621,805,79,38,1546,407,637,27,10,1088,307,648,55,5,1018,681,2101,59,23,2858,442,834,207,16,1510,103,71,73,6,256,6009,7676,2279,508,16474
20604,680,60,191,463,1392,134,22,68,81,306,129,29,142,87,389,87,21,112,39,265,264,63,133,84,545,234,84,168,72,558,498,110,170,132,906,546,168,188,134,1033,819,232,237,184,1472,875,273,140,148,1431,716,338,114,88,1249,831,266,108,81,1286,1931,705,171,148,2956,1456,449,67,95,2069,1056,409,34,51,1549,858,422,97,32,1403,2182,1289,70,47,3599,1109,624,192,48,1968,105,44,63,19,226,14515,5607,2448,2040,24614
20605,106,35,57,24,234,41,15,36,6,100,41,35,82,13,168,30,10,97,5,146,215,32,122,23,397,117,48,194,26,392,444,89,215,35,782,360,125,209,35,728,545,230,263,80,1115,658,272,185,54,1172,543,254,161,43,996,667,281,161,45,1156,1767,712,240,91,2808,1544,632,65,62,2306,1113,514,34,30,1683,934,638,138,20,1734,2356,2536,74,37,5005,1033,855,282,20,2197,117,71,52,6,248,12634,7379,2671,673,23349
20606,117,23,71,27,237,30,13,26,6,79,33,14,60,9,113,14,4,44,9,68,120,29,71,15,242,94,29,69,12,205,280,46,97,29,450,202,79,117,32,428,358,111,130,52,656,383,140,103,51,681,349,125,81,27,580,400,148,75,26,652,1104,322,138,70,1632,890,292,56,59,1290,664,222,23,27,934,596,356,99,11,1060,1801,1534,87,25,3443,641,610,175,12,1437,73,48,30,8,157,8143,4135,1532,518,14326
20607,88,31,81,13,219,47,15,56,13,131,60,39,155,17,279,29,8,122,9,167,206,92,174,32,504,104,73,222,18,411,382,111,206,38,733,265,119,218,58,655,403,194,206,71,877,491,186,154,67,900,411,211,141,36,799,551,208,115,36,911,1387,601,185,72,2253,1271,545,75,48,1940,1022,491,26,39,1583,792,493,81,22,1388,1996,1881,73,29,3986,842,645,257,23,1761,85,55,74,15,221,10424,6011,2627,657,19724
20701,295,166,329,72,863,121,42,102,27,296,91,64,133,35,324,45,50,124,14,233,301,89,176,25,589,244,168,269,30,711,710,215,270,62,1252,681,336,373,83,1472,944,573,440,103,2056,1029,617,365,102,2107,661,648,321,63,1691,797,769,283,43,1887,1872,1786,532,117,4314,1491,1687,225,61,3460,1023,1445,92,24,2590,744,1785,241,22,2795,2416,8386,227,27,11058,1023,3063,504,28,4619,237,221,80,15,550,14723,22119,5083,949,42882
20702,346,112,208,27,692,174,47,49,8,284,86,65,95,12,260,43,58,93,10,203,503,104,128,19,758,252,166,216,15,646,1142,293,255,39,1726,738,459,287,40,1522,867,635,361,46,1904,764,741,275,39,1825,443,769,220,25,1456,504,764,175,24,1464,854,1640,249,40,2785,580,1270,133,21,2008,376,971,72,12,1436,256,795,72,10,1140,619,2087,92,17,2808,571,1536,336,20,2466,208,118,52,4,375,9337,12624,3368,415,25747
20703,373,103,213,50,745,122,41,61,11,233,94,54,115,22,288,68,29,99,13,206,426,100,161,17,696,232,152,219,28,625,921,232,281,44,1481,623,368,323,54,1369,847,619,391,58,1919,734,611,300,56,1701,431,619,244,43,1338,460,681,212,48,1398,910,1646,340,58,2948,608,1394,138,28,2164,411,1095,52,12,1569,282,870,93,10,1246,591,2609,81,14,3286,573,1413,359,23,2365,119,92,56,3,275,8824,12715,3744,582,25864
20801,119,50,106,4,275,60,19,24,7,113,38,16,70,5,133,18,16,74,3,111,219,34,128,9,390,138,57,195,6,393,544,93,203,25,873,429,124,259,34,843,662,265,293,39,1253,635,307,238,31,1213,427,364,221,18,1031,469,423,171,16,1083,1074,1157,313,29,2573,781,1168,107,21,2070,507,983,57,11,1554,521,1365,147,3,2037,1611,5045,144,13,6809,634,1854,364,12,2853,176,140,51,7,374,9061,13462,3151,294,25968
20802,303,93,175,31,594,143,36,43,21,243,98,45,117,23,276,60,26,120,10,219,443,81,182,18,723,262,158,292,26,731,1177,268,319,53,1823,737,405,411,73,1627,1008,753,486,73,2313,1047,771,399,81,2295,688,883,315,51,1940,783,1003,290,50,2134,1673,2232,447,96,4453,1316,1978,150,48,3494,820,1752,63,34,2667,630,1477,141,18,2260,1337,4820,113,18,6290,807,2154,533,28,3522,255,197,86,15,547,13589,19126,4684,760,38161
20803,162,55,85,9,304,95,30,34,8,162,64,39,105,8,214,44,29,113,4,187,393,61,214,23,692,197,96,331,17,640,1130,183,383,34,1730,746,330,513,44,1634,910,606,532,57,2102,858,840,432,59,2194,550,798,402,27,1775,645,998,306,34,1987,1428,2339,437,54,4247,1104,2002,146,31,3287,648,1467,64,19,2209,442,1069,81,3,1591,710,2325,67,6,3110,727,1626,492,18,2857,205,137,72,22,439,11060,15027,4797,486,31371
20804,83,24,37,11,153,41,6,21,15,79,18,9,25,0,53,16,5,17,9,46,95,7,32,9,146,52,23,65,9,140,227,35,70,17,351,151,60,86,14,319,253,87,97,29,467,236,125,85,18,462,180,157,82,15,433,247,177,58,18,507,477,393,121,35,1030,380,339,54,19,787,255,337,27,14,635,205,486,55,0,752,607,2123,68,5,2801,283,679,129,10,1103,53,46,19,3,131,3856,5141,1132,255,10387
20901,186,79,88,10,359,90,19,51,7,171,70,29,117,23,237,45,30,138,4,216,391,70,226,27,716,202,122,330,31,685,1151,235,419,52,1859,835,341,462,73,1703,1074,684,542,65,2364,894,795,447,63,2194,629,908,374,41,1944,710,991,277,40,2021,1439,2409,409,56,4321,1055,2012,165,36,3266,664,1473,82,18,2236,412,1078,75,3,1572,766,2786,87,14,3653,684,1711,539,33,2975,203,169,97,15,481,11497,15931,4932,610,32968
20902,236,75,88,19,418,112,23,45,15,193,73,56,114,29,280,42,33,136,8,218,491,125,211,30,854,194,217,334,34,780,1171,321,397,67,1949,546,527,445,80,1598,661,775,442,81,1957,656,870,327,64,1921,436,795,233,36,1501,454,733,184,41,1414,967,1480,238,71,2755,716,1072,99,27,1913,369,695,47,11,1114,234,471,55,5,764,315,861,38,11,1221,508,1021,342,22,1897,201,129,123,14,467,8382,10264,3897,685,23224
20903,80,27,30,0,135,55,16,14,0,78,31,17,37,6,93,18,7,45,0,75,152,29,79,8,259,103,46,152,6,307,422,83,123,8,637,350,173,172,15,706,514,330,222,23,1086,495,444,184,9,1131,285,548,181,12,1028,377,611,128,15,1129,764,1413,192,17,2384,545,1315,85,12,1955,343,1040,50,3,1437,225,754,47,3,1025,452,1922,39,0,2419,369,1306,249,7,1931,87,90,37,0,212,5663,10155,2066,144,18029
20904,535,195,213,27,978,149,94,81,15,337,151,151,246,14,569,85,88,285,9,465,1020,387,522,39,1971,437,530,896,44,1901,2498,958,984,77,4521,1197,1487,992,91,3765,1374,2421,1001,87,4878,1521,2600,849,109,5078,947,2729,620,59,4350,1051,2669,466,75,4257,2101,5146,607,103,7959,1219,3295,263,48,4822,598,1846,97,24,2569,288,1086,82,5,1461,354,1625,74,8,2060,924,3096,835,40,4891,396,388,225,11,1017,16859,30793,9337,871,57856
21001,119,33,46,3,202,66,15,19,6,107,55,27,47,3,126,24,10,43,0,76,369,40,85,16,510,125,72,161,14,373,903,138,171,29,1245,456,216,226,28,933,476,367,287,43,1171,395,470,224,23,1116,249,458,213,24,945,276,504,135,19,933,557,1157,203,30,1946,403,943,117,18,1493,240,693,34,6,971,177,567,35,7,787,274,1224,68,5,1573,329,876,257,12,1476,186,93,60,8,344,5668,7908,2445,299,16320
21002,40,14,5,4,66,20,9,6,0,36,16,9,22,3,46,10,7,31,0,47,102,13,39,0,157,59,29,64,0,153,275,49,74,3,402,239,70,93,9,411,294,165,104,7,577,275,210,61,4,549,173,287,62,0,529,170,304,51,3,517,370,641,72,4,1088,247,508,30,0,787,168,360,12,0,538,104,309,9,0,421,202,562,12,0,774,193,567,100,3,868,62,34,22,0,123,3031,4148,867,42,8094
21003,138,73,71,10,292,68,17,23,9,115,53,42,99,17,214,38,52,99,4,192,391,147,174,20,723,146,182,232,12,573,954,313,291,39,1597,421,477,362,56,1319,522,699,355,58,1623,516,737,264,44,1564,322,738,194,40,1295,350,661,159,44,1221,793,1289,236,46,2362,580,894,91,35,1599,348,638,28,16,1019,185,405,25,5,617,240,700,28,0,962,366,912,277,24,1573,189,108,79,15,391,6617,9069,3085,484,19259
21004,49,17,21,3,92,26,7,10,0,52,18,16,43,3,86,14,5,52,0,74,133,15,101,7,252,71,38,173,3,289,385,67,184,14,653,236,162,199,11,610,346,252,198,22,824,306,363,181,18,867,215,418,121,14,768,244,458,92,13,807,511,953,139,15,1615,334,650,64,3,1055,140,447,27,5,619,93,271,18,3,393,102,498,9,3,617,196,543,178,4,925,78,62,33,3,176,3502,5254,1861,148,10761
21005,326,261,179,11,789,116,80,86,11,292,97,185,265,14,560,65,124,305,3,498,625,606,467,25,1728,326,704,650,33,1711,1484,1097,764,55,3401,729,1572,810,72,3185,892,2171,797,99,3955,837,2105,634,54,3628,586,1797,426,52,2863,605,1740,319,43,2707,1195,3154,413,53,4811,597,1872,215,40,2723,302,1113,69,17,1502,174,699,60,0,934,196,1031,73,6,1302,567,2369,692,32,3657,259,319,192,17,788,9971,23002,7398,644,41017
21101,326,87,120,3,534,136,24,51,5,218,109,50,137,11,304,68,32,153,10,255,550,141,264,17,964,377,215,522,20,1137,1684,399,599,42,2724,1072,659,697,61,2488,1383,1216,721,66,3386,1197,1521,585,60,3370,863,1553,455,47,2923,864,1701,346,42,2959,1829,3631,501,77,6032,1142,2723,213,41,4116,637,1718,102,27,2486,346,1170,61,9,1582,486,2212,93,7,2800,795,2352,615,26,3787,279,205,135,9,636,14129,21619,6381,576,42710
21102,44,19,25,3,92,20,11,12,0,36,9,4,10,0,24,8,4,17,0,28,78,14,24,0,116,48,17,42,10,114,195,39,51,3,290,157,65,72,3,299,200,132,62,7,402,167,148,67,3,391,124,164,47,9,341,151,207,58,3,414,240,411,53,5,710,175,417,22,0,609,123,338,22,0,481,111,335,13,3,462,230,1044,25,0,1305,151,559,88,3,804,56,62,17,3,139,2281,3997,721,63,7056
21103,183,58,92,6,332,76,21,32,13,145,77,38,110,5,237,32,20,123,0,178,343,96,224,17,679,216,128,361,34,731,1042,266,410,28,1736,766,396,494,36,1696,964,740,507,65,2280,878,911,434,47,2265,568,956,326,27,1881,657,1122,257,31,2077,1356,2357,352,53,4118,932,1953,181,37,3100,567,1245,73,9,1898,344,828,49,7,1219,448,1649,65,4,2158,582,1464,481,22,2554,175,108,90,15,384,10201,14363,4652,451,29663
21104,187,46,63,4,305,74,13,25,8,121,44,37,60,7,151,21,26,54,3,108,243,58,87,7,392,132,85,139,15,366,649,159,165,12,985,463,276,215,30,981,592,410,281,28,1313,520,474,189,20,1193,307,480,162,23,969,329,564,136,24,1049,608,1226,184,30,2046,465,1091,85,13,1657,294,736,37,10,1080,169,588,42,4,800,320,1169,26,12,1531,343,839,210,12,1395,110,77,32,0,212,5874,8346,2196,257,16667
21105,184,48,84,3,316,116,31,33,8,185,104,38,150,7,300,60,29,179,0,275,495,72,300,7,879,392,147,568,13,1117,1674,253,597,42,2573,1215,568,695,54,2528,1445,1139,700,49,3339,1299,1504,548,54,3406,853,1601,439,29,2921,971,1633,311,22,2942,2075,3296,455,68,5900,1168,2458,188,25,3839,647,1373,59,9,2083,308,914,41,8,1265,510,1655,65,8,2239,857,2356,690,29,3926,352,273,141,7,777,14726,19396,6241,445,40816
21201,135,57,58,8,257,61,14,23,0,99,47,37,98,3,187,28,19,142,0,188,297,76,228,8,614,171,108,470,14,764,1011,227,426,14,1677,609,475,429,23,1532,724,890,447,36,2097,748,1170,352,29,2306,519,1115,256,14,1897,626,1233,178,21,2057,1165,2152,242,39,3602,641,1500,93,22,2266,303,799,50,5,1165,154,485,29,9,681,251,845,25,3,1126,497,1366,363,21,2243,177,132,91,4,400,8173,12707,4012,275,25163
21202,234,127,119,8,487,115,35,56,3,207,90,87,157,15,352,57,45,199,4,306,472,199,281,17,975,272,282,461,26,1040,1446,512,481,40,2480,826,808,556,42,2232,965,1395,600,54,3017,863,1544,488,64,2960,600,1475,364,30,2471,643,1539,282,39,2503,1315,3005,396,47,4759,735,2094,150,21,3007,331,1207,88,19,1646,194,848,55,8,1101,317,1519,52,9,1898,583,2080,496,33,3190,242,205,111,7,565,10314,19004,5391,487,35199
21203,361,152,161,6,686,103,44,65,12,224,99,102,194,9,402,43,70,241,3,359,433,226,363,17,1037,273,392,715,22,1398,1317,670,678,32,2703,776,1233,754,51,2808,1034,2050,760,67,3913,1147,2429,611,63,4246,766,2450,444,63,3728,847,2278,320,63,3514,1810,4491,433,75,6804,880,2705,188,34,3808,422,1400,76,16,1918,187,768,41,4,994,242,1117,47,3,1413,664,2420,544,33,3658,274,240,149,11,682,11673,25253,6784,593,44296
