SA3_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
20601,16,40,66,241,67,427,22,178,16,1074,233,897,496,1156,625,989,104,475,75,5058,1852,6738,1819,1628,1993,1181,334,825,287,16668,2044,4943,998,676,1397,514,264,326,156,11310,1352,2818,729,596,1206,411,255,329,107,7803,598,1502,404,341,672,221,226,295,53,4317,111,305,80,80,119,56,64,92,22,922,14,25,10,0,7,5,3,12,6,89,3,4,3,0,3,0,0,3,0,15,6216,17269,4603,4720,6086,3808,1279,2539,725,47253
20602,3,24,31,187,30,291,15,107,5,704,120,442,253,547,307,465,53,186,50,2421,1023,3624,888,871,976,592,142,317,120,8547,1440,3249,488,459,795,327,121,182,100,7158,1141,2372,449,380,760,256,151,217,75,5800,472,1225,253,194,424,135,112,186,46,3042,73,206,38,41,73,24,21,56,14,552,5,15,6,10,9,3,3,11,6,70,0,3,0,0,0,0,0,0,0,15,4283,11150,2407,2698,3370,2106,617,1255,415,28301
20603,18,35,57,311,92,574,25,178,17,1302,151,625,350,724,471,731,92,308,56,3504,1168,3735,888,941,1290,642,215,475,172,9525,1543,2897,600,477,1064,416,196,255,129,7578,1543,2212,569,532,1146,405,211,270,115,6994,823,1534,360,313,798,268,153,228,58,4521,138,306,106,64,144,64,49,81,22,971,12,26,10,3,13,9,11,16,3,101,0,4,0,0,3,0,0,3,5,17,5386,11384,2951,3351,5001,3104,948,1811,567,34507
20604,30,159,73,499,119,496,20,243,28,1662,426,2082,753,2347,1097,1537,140,912,148,9441,3371,13433,2474,3023,3204,1984,316,1572,476,29857,2366,5047,792,733,1268,532,158,348,189,11437,1725,2406,350,397,880,341,123,239,139,6599,1061,1714,216,231,550,224,103,151,78,4340,369,695,51,56,180,77,24,56,35,1534,59,112,3,6,26,13,3,13,9,234,8,18,0,3,7,7,0,0,3,49,9407,25655,4723,7298,7323,5216,894,3517,1118,65152
20605,9,46,35,243,38,297,16,131,14,826,265,916,409,945,602,752,86,261,73,4304,3185,8396,2005,1824,2472,1519,217,649,316,20579,3484,5667,931,850,1564,870,145,288,232,14037,2537,3582,608,582,1259,648,148,293,153,9806,1320,2377,348,324,834,336,146,225,98,5996,383,752,87,110,284,128,41,81,45,1912,36,80,13,10,26,10,7,8,14,211,7,15,3,0,3,3,0,3,3,39,11226,21834,4434,4884,7081,4568,798,1940,948,57711
20606,14,42,35,212,43,177,6,69,9,602,269,931,263,731,559,679,36,192,56,3711,2304,6788,1064,1103,1668,1209,122,335,241,14832,1708,2870,388,362,738,438,46,123,88,6766,1277,1748,232,274,599,318,59,115,96,4718,816,1318,139,162,470,232,46,110,71,3359,359,698,59,60,231,136,16,37,58,1665,75,138,4,3,33,19,3,3,20,302,17,20,3,0,7,5,0,0,11,65,6836,14549,2183,2903,4352,3218,334,985,652,36011
20607,13,45,37,237,51,333,11,119,13,856,278,1135,355,1119,599,799,72,262,66,4690,3077,10257,1631,1829,2280,1472,212,517,355,21637,2463,4915,695,570,1100,489,148,269,190,10851,1555,2916,471,434,817,324,158,288,125,7097,901,1924,271,260,539,228,118,190,61,4489,259,692,80,68,188,54,28,56,36,1460,16,49,11,3,16,5,4,10,0,119,8,15,4,0,0,0,0,0,3,28,8584,21938,3557,4519,5603,3702,752,1718,847,51224
20701,59,175,104,1058,262,1241,39,433,51,3410,407,1913,602,1736,1210,1895,159,574,134,8629,2329,7787,1476,1437,2141,1393,209,598,267,17640,3975,7255,810,697,1861,890,139,314,260,16203,5039,7639,965,923,2395,1119,205,339,288,18912,2713,5478,629,602,1769,690,173,296,189,12535,786,1865,205,211,687,230,68,137,87,4277,121,238,22,17,66,37,4,29,45,570,18,37,3,3,3,7,0,3,7,82,15439,32381,4814,6688,10399,7498,999,2727,1324,82260
20702,21,82,83,299,89,691,24,254,25,1565,178,648,382,533,461,898,68,269,62,3497,1092,2953,888,644,1079,783,165,335,175,8118,1714,2890,830,561,1142,618,154,311,150,8374,1834,2527,996,807,1542,765,282,518,135,9411,1177,1736,692,527,1064,565,265,455,93,6577,369,578,193,176,329,198,89,142,47,2118,74,93,30,10,42,40,12,22,12,334,3,8,0,0,6,0,0,3,4,31,6464,11512,4087,3566,5752,4557,1056,2319,711,40019
20703,35,86,109,499,113,825,30,371,27,2091,199,823,525,948,546,1072,137,513,69,4828,1122,3976,1159,1030,1335,915,227,616,180,10567,1933,3970,921,585,1273,569,201,365,139,9969,2062,3433,967,761,1590,653,283,445,176,10362,1048,2174,631,562,1058,388,248,441,81,6635,209,560,148,124,278,116,50,121,29,1639,16,59,22,18,26,11,3,19,21,200,4,10,3,0,3,3,0,3,5,30,6624,15098,4486,4533,6219,4553,1177,2891,739,46322
20801,37,65,76,621,108,733,31,307,27,2005,165,588,340,808,515,778,78,205,41,3516,995,2417,701,540,752,559,86,183,91,6316,2820,3764,581,543,1076,657,77,154,133,9802,3661,4417,787,738,1672,847,142,246,171,12680,1941,3090,525,483,1247,577,155,230,137,8392,585,1034,167,184,447,241,53,99,65,2876,74,120,15,21,43,31,4,17,18,348,10,5,0,0,10,4,0,3,16,50,10287,15500,3187,3941,5867,4428,636,1441,695,45993
20802,29,114,110,639,142,952,36,378,34,2441,268,1093,595,1197,732,1283,139,553,89,5945,2224,6980,1888,1639,2261,1498,317,838,303,17946,3750,6946,1380,1031,2107,982,273,446,277,17184,3498,5528,1305,1133,2403,1050,373,529,216,16036,1723,3506,1001,778,1700,678,360,494,160,10403,446,1018,240,216,500,282,110,183,63,3057,47,101,18,12,62,35,13,42,21,360,14,9,3,0,12,3,0,8,18,67,12002,25294,6546,6636,9911,6784,1628,3463,1174,73440
20803,22,59,248,503,117,1075,51,426,33,2537,229,607,744,859,532,991,145,392,61,4565,1452,3758,1871,1098,1506,958,319,490,164,11612,2748,4632,1778,1138,2162,969,395,510,220,14545,2639,3364,1673,1197,2445,1040,568,704,224,13849,1319,1987,1040,755,1710,690,507,607,119,8741,281,457,230,158,437,201,128,190,37,2123,31,48,30,10,34,18,13,23,10,221,4,12,0,0,5,0,0,5,12,49,8732,14926,7613,5714,8943,5942,2121,3358,887,58234
20804,10,29,14,226,57,224,4,107,13,676,93,436,163,456,270,418,38,155,41,2067,593,2171,409,384,616,408,68,190,75,4916,1118,1895,238,195,456,257,43,70,59,4339,1162,1747,216,192,623,296,36,86,72,4423,622,1191,148,146,420,180,49,88,36,2886,178,454,44,37,158,84,27,38,22,1048,28,49,6,5,19,15,3,7,10,147,7,7,0,0,3,0,0,0,0,20,3825,7972,1247,1649,2616,1879,265,737,326,20517
20901,28,66,233,442,124,1029,42,428,36,2436,210,761,800,961,624,1002,145,463,66,5032,1362,4577,1922,1210,1627,880,317,543,172,12618,2403,5086,1576,1113,1872,711,346,526,210,13855,2277,3689,1374,1149,2221,744,476,647,205,12793,1401,2796,979,837,1766,562,384,589,126,9446,288,713,243,196,460,187,124,186,41,2440,29,76,19,12,36,22,10,34,21,265,3,0,5,0,7,3,0,3,4,32,8016,17774,7159,5933,8735,5146,1838,3416,889,58915
20902,15,37,121,226,58,723,30,266,23,1492,185,496,485,848,490,933,145,611,79,4282,1137,3662,1768,1417,1532,983,514,1087,189,12293,1463,3300,1249,846,1442,598,457,697,156,10202,1095,1868,1026,789,1382,590,558,742,143,8190,502,917,566,440,720,326,437,594,88,4597,87,132,125,76,122,68,88,123,26,844,6,15,9,3,9,0,5,17,11,78,0,3,3,0,3,3,0,4,6,19,4492,10432,5352,4647,5760,4219,2233,4145,725,42006
20903,28,47,283,426,109,728,40,395,36,2084,135,397,690,610,352,604,85,254,35,3167,520,1414,989,500,611,348,128,211,64,4790,1365,2275,988,582,1017,367,176,254,91,7119,1726,2349,1168,829,1544,530,276,433,115,8971,1204,1753,795,560,1166,429,286,330,77,6593,277,437,167,105,252,97,77,119,23,1544,38,33,8,11,11,11,0,18,5,134,0,8,3,0,0,0,0,0,3,13,5294,8717,5089,3619,5064,3121,1073,2008,448,34422
20904,53,88,513,475,169,1939,95,866,79,4264,379,903,1638,1411,1051,1996,530,1106,165,9181,2361,5412,4812,2933,3676,2223,2044,2170,468,26104,2951,4563,3532,2411,3661,1743,2104,1963,406,23331,2257,2596,2755,2107,3397,1595,2109,2165,347,19333,1193,1473,1586,1358,2033,896,1504,1606,191,11851,214,246,252,192,313,136,256,312,71,1986,34,16,23,11,20,13,12,36,10,175,3,3,7,0,3,3,3,3,9,36,9442,15305,15117,10896,14311,10550,8655,10237,1752,96259
21001,7,34,93,184,77,535,25,177,24,1153,111,319,386,417,323,564,79,172,42,2411,609,1721,848,509,766,430,208,280,96,5461,1191,1687,765,460,1074,450,276,335,115,6349,1163,1429,779,525,1217,493,353,369,106,6434,598,915,453,326,856,314,308,319,75,4168,135,211,126,71,233,78,79,104,35,1079,19,24,10,0,16,12,13,18,15,132,3,0,0,0,0,0,0,0,6,9,3837,6344,3460,2489,4561,2884,1329,1774,509,27192
21002,5,5,107,128,33,250,16,179,10,741,44,82,303,201,102,159,52,124,14,1082,196,478,503,242,285,121,105,139,31,2091,551,888,506,284,450,180,170,170,35,3240,677,846,524,412,619,227,205,214,55,3784,407,600,359,239,416,178,148,177,40,2566,146,172,80,51,102,44,49,51,10,712,28,8,9,4,3,5,3,8,3,59,7,0,3,3,0,0,0,0,3,10,2058,3088,2391,1566,2012,1166,754,1065,201,14291
21003,3,22,118,141,40,449,18,229,15,1041,108,327,484,479,361,640,150,478,60,3094,968,2888,1560,1035,1265,719,593,845,198,10072,1159,2410,1066,720,1203,489,453,530,124,8147,829,1222,833,637,1106,419,465,585,88,6182,384,620,466,363,599,214,348,375,61,3423,51,75,88,65,85,50,72,87,25,595,10,9,5,9,8,4,0,18,14,80,3,6,0,0,0,0,0,0,10,15,3518,7581,4609,3443,4681,2975,2097,3152,592,32659
21004,11,18,154,186,39,461,24,222,17,1120,80,173,453,321,238,364,109,224,29,1988,391,771,892,459,630,315,257,261,52,4034,555,794,670,451,724,272,329,261,50,4114,639,685,590,547,900,386,410,327,74,4551,396,549,387,356,603,251,296,219,36,3097,70,98,61,66,100,63,61,65,16,589,7,7,3,3,5,0,0,6,0,39,3,3,3,0,0,0,0,0,5,14,2155,3087,3214,2383,3238,2115,1481,1584,288,19536
21005,45,45,298,346,141,1334,94,588,83,2972,299,650,1122,1084,804,1423,543,878,192,6998,1484,2982,2872,2027,2381,1348,1732,1612,375,16810,1517,2484,2159,1682,2102,898,1651,1459,295,14252,1403,1413,1888,1503,2089,901,1885,1688,244,13022,748,777,959,740,1237,514,1133,1045,145,7293,142,155,159,114,178,95,187,211,35,1283,11,15,10,6,12,6,4,11,9,81,3,0,0,5,0,3,0,0,0,10,5642,8527,9477,7510,8941,6519,7236,7496,1379,62727
21101,59,94,418,634,159,1714,75,740,54,3952,390,910,1345,1202,888,1585,288,703,121,7415,1619,4571,2803,1566,2295,1430,610,917,259,16073,2502,4264,2513,1348,2554,1127,830,971,251,16360,2642,3337,2582,1665,3240,1335,1162,1365,269,17603,1709,2442,1714,1174,2514,972,1038,1239,186,12990,321,534,362,206,488,237,241,310,39,2731,29,34,24,7,33,14,3,39,29,212,6,4,6,0,4,0,0,3,8,31,9282,16191,11766,7812,12175,8411,4239,6274,1215,77364
21102,13,16,61,179,44,304,16,154,14,802,73,190,175,235,139,291,35,104,23,1261,219,567,233,144,227,159,38,64,27,1664,571,790,233,144,330,158,41,60,33,2356,850,974,417,248,557,224,79,136,56,3538,524,723,246,156,393,162,70,115,35,2421,150,205,63,35,135,53,25,28,17,703,24,40,17,3,14,11,3,11,3,115,3,0,0,0,0,0,0,0,4,13,2409,3509,1444,1141,1837,1351,295,675,200,12870
21103,36,57,316,492,118,1179,40,530,34,2803,219,627,1015,838,560,970,184,482,68,4962,1298,3622,2166,1212,1564,903,396,697,166,12033,1947,3606,1748,1054,1832,817,444,695,179,12317,1868,2660,1670,1240,2214,899,555,821,176,12106,1149,1873,1001,813,1572,663,492,643,90,8297,278,430,216,158,358,184,115,193,43,1980,27,39,20,12,30,14,14,26,15,188,6,3,0,0,0,0,6,0,5,23,6831,12924,8150,5819,8248,5642,2238,4088,780,54714
21104,15,45,77,271,66,522,18,264,19,1298,92,381,327,386,287,523,76,249,33,2360,692,2317,752,511,821,535,175,315,93,6218,1239,2712,685,484,1015,417,157,261,93,7062,1003,1850,713,592,1063,437,249,373,73,6351,588,1104,469,387,738,253,194,320,52,4110,155,307,98,106,211,114,63,117,24,1200,17,30,10,10,12,11,9,25,13,130,3,4,0,0,0,0,0,0,0,10,3817,8752,3136,2739,4214,2808,953,1930,404,28750
21105,55,57,749,740,148,1378,69,903,62,4159,317,550,1716,1219,615,1070,266,840,105,6707,1348,2869,3500,1519,1750,1065,629,1124,208,14002,2428,3455,2733,1561,2095,993,795,1237,247,15552,2763,3038,2792,1821,2767,1154,1137,1451,289,17210,1912,2471,1890,1301,2093,903,929,1180,178,12855,548,672,359,254,474,245,233,323,67,3175,79,63,35,18,26,20,21,44,23,332,12,7,6,3,3,0,0,5,4,41,9463,13184,13782,8431,9966,6821,4083,7110,1191,74031
21201,45,27,434,362,105,852,54,602,47,2520,194,316,1049,697,459,730,232,591,66,4327,954,1817,2338,1111,1419,950,736,1001,157,10479,1383,1860,1778,977,1583,758,889,881,152,10261,1494,1409,1559,981,1627,743,939,947,149,9842,872,891,901,562,918,463,681,622,88,6002,268,206,141,91,199,106,166,167,33,1375,92,13,15,3,12,6,7,20,12,181,6,8,3,0,6,3,0,5,9,36,5317,6557,8206,4779,6324,4610,3707,4831,705,45037
21202,34,60,379,488,166,1361,78,608,61,3231,283,632,1177,904,738,1290,356,705,122,6211,1278,2716,2281,1146,1730,1059,842,1104,245,12403,1806,2942,2134,1255,2120,969,986,1143,207,13574,1936,2219,2141,1413,2328,1019,1361,1382,211,14015,1135,1418,1290,833,1630,656,990,1031,140,9120,233,261,228,101,283,134,160,236,36,1667,24,24,16,8,18,3,7,25,12,142,5,3,0,0,0,0,0,3,3,16,6733,10280,9641,6148,9024,6494,4783,6244,1029,60378
21203,62,57,483,499,150,1578,119,798,71,3815,340,607,1496,1116,811,1395,546,1052,161,7524,1856,3354,3682,2321,2837,1663,1763,1980,355,19803,2324,3476,3272,2145,2985,1341,2096,2111,356,20111,1792,1809,2415,1703,2654,1067,2198,1935,272,15851,841,976,1305,898,1425,591,1379,1264,131,8813,151,152,214,130,231,103,213,227,38,1453,31,16,7,6,12,5,12,32,8,136,4,0,0,0,0,0,6,7,3,30,7393,10448,12871,8826,11115,7753,8333,9407,1392,77534
21204,42,64,224,335,103,1230,80,601,54,2732,278,832,1187,1077,895,1702,583,1483,225,8252,1720,4331,3607,2245,2637,1757,2004,2845,485,21632,1724,2991,2784,1708,2067,1130,1849,2292,367,16918,1407,1711,2137,1415,1810,957,2101,2594,311,14434,883,1036,1432,936,1353,589,1518,1866,202,9815,203,273,286,186,362,165,258,392,61,2183,19,33,18,8,18,11,11,38,20,178,4,0,7,0,0,0,3,3,5,24,6283,11268,11674,7902,9253,7534,8405,12120,1734,76174
