SA3_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
20402,12,151,536,583,707,638,234,88,53,2999,4,51,353,367,511,373,123,29,14,1817,0,27,202,322,383,312,71,29,12,1362,0,3,86,196,241,200,58,17,9,810,0,3,87,187,299,225,59,16,3,884,4,8,40,99,121,128,52,25,12,490,398,186,319,415,514,631,680,537,429,4104,2660,2107,4177,5076,6300,6968,5953,3290,1631,38158
20403,27,339,1069,971,1121,991,360,101,39,5024,8,104,747,786,826,645,221,39,17,3397,7,48,398,589,665,522,121,17,13,2381,3,11,232,404,489,325,75,10,14,1553,3,7,200,419,519,365,72,24,4,1610,5,11,47,136,209,156,76,23,3,670,526,348,723,736,797,862,733,544,324,5591,4403,3840,7875,8340,9695,9941,7542,3754,1576,56959
20501,8,181,667,585,677,592,235,82,19,3044,0,73,486,424,470,366,131,21,4,1980,0,28,312,331,389,341,78,16,3,1502,0,8,183,245,311,247,55,12,3,1070,0,3,182,310,410,301,61,26,7,1310,8,10,60,130,207,179,72,19,12,694,317,204,380,460,559,598,620,404,225,3762,3018,2537,5283,5443,6509,6744,5739,2933,1111,39320
20502,11,116,467,442,565,555,318,122,39,2635,0,34,264,273,328,327,138,43,17,1426,0,16,152,214,302,265,67,17,14,1047,0,3,72,113,182,157,57,7,6,599,0,7,60,146,225,165,49,24,9,681,9,5,42,82,110,107,50,30,8,440,337,206,388,394,580,725,886,617,376,4515,2302,1823,3826,4288,5789,7234,7532,3811,1395,37995
20503,10,132,651,665,810,717,365,139,59,3553,0,46,421,429,510,446,164,47,11,2068,0,11,249,350,467,393,114,34,10,1630,0,0,133,243,308,230,65,12,3,992,0,5,119,299,366,265,92,20,3,1163,4,15,58,149,193,175,68,35,16,712,416,202,479,505,734,908,1067,725,419,5462,3199,2278,5426,6360,8215,9763,9358,4624,1954,51170
20504,14,318,1023,747,839,688,271,94,25,4023,0,113,705,608,596,453,137,27,4,2641,4,67,455,509,556,467,88,24,5,2172,0,21,290,410,455,369,64,12,6,1622,0,42,383,536,712,586,91,13,3,2363,12,20,160,225,405,294,56,20,12,1206,566,520,837,705,931,1016,907,697,412,6591,4397,4768,9040,8315,9688,10072,7593,4220,1759,59863
20505,13,166,545,449,504,551,241,78,32,2592,4,75,358,368,341,322,122,24,14,1629,0,33,236,273,329,247,66,17,9,1203,0,9,148,225,232,193,41,10,3,857,0,13,209,285,313,246,63,8,4,1137,5,11,98,188,266,176,49,20,13,824,345,290,680,674,604,666,552,409,179,4411,2510,2135,4853,4934,5720,6470,5065,2536,1029,35249
20601,12,504,3030,1402,1003,644,237,49,17,6903,3,173,2229,1258,875,509,131,29,3,5216,3,70,1735,1328,886,458,100,6,3,4586,0,30,952,1085,691,360,62,13,3,3196,0,16,1250,1822,1165,534,77,22,3,4887,3,14,346,1089,673,276,46,15,7,2478,292,540,1552,993,679,541,394,366,214,5580,3336,7836,21113,14286,10233,7390,4798,3654,1680,74327
20602,0,218,1457,909,661,429,137,43,15,3871,0,79,1200,735,558,354,90,11,5,3036,0,31,941,772,600,352,69,11,5,2783,0,8,484,623,480,288,32,9,6,1941,0,3,722,1187,900,391,53,4,0,3264,3,20,229,938,773,242,58,7,4,2273,186,262,842,664,483,364,273,303,198,3575,2165,3509,10493,8883,7320,4799,2966,2403,1089,43625
20603,9,369,1695,877,754,602,286,74,38,4699,0,144,1404,772,731,536,160,24,13,3783,0,59,1035,831,733,527,119,21,11,3347,0,27,606,719,599,378,89,26,8,2447,3,23,890,1322,1149,667,112,25,10,4196,3,18,312,1106,1070,504,83,22,10,3136,331,394,1159,799,680,569,419,323,302,4971,3604,5177,12574,9750,8997,7221,4278,2597,1480,55664
20604,121,1291,4858,1215,697,449,365,94,38,9131,49,554,4141,1182,630,451,234,85,18,7335,39,211,3458,1315,652,442,206,66,26,6409,20,120,2011,1181,562,342,182,65,27,4510,54,153,3034,2358,1151,771,320,92,33,7970,26,122,984,1617,1406,1062,517,138,58,5922,1145,3149,5301,2236,1380,1093,847,417,425,16011,10594,29759,44424,16038,9788,7801,5288,2299,1255,127245
20605,7,565,3609,1464,1051,766,453,125,44,8091,3,244,3136,1404,856,604,327,71,27,6667,4,109,2529,1641,1010,688,292,54,15,6344,4,43,1638,1302,836,495,208,44,17,4582,5,45,2546,2801,1729,935,360,63,20,8504,7,39,904,2770,2222,1269,503,113,37,7864,334,764,3208,1991,1496,1210,876,500,276,10650,2896,6555,26249,18115,13486,10205,6946,3197,1433,89081
20606,19,564,2565,693,459,398,333,130,51,5206,6,265,2309,652,413,311,255,92,33,4342,13,106,1964,794,463,379,239,94,36,4088,4,55,1293,605,377,253,181,75,33,2871,0,47,1927,1393,725,522,380,183,79,5250,3,33,746,1444,1433,1047,702,268,131,5803,274,554,1941,926,638,590,535,446,267,6170,2233,5863,18297,8806,6556,5653,4872,3049,1352,56683
20607,19,611,3775,1084,692,563,352,88,17,7196,0,292,3482,1140,639,433,249,43,13,6298,0,107,2781,1280,711,531,219,38,11,5672,0,37,1708,1113,596,391,159,19,4,4033,0,38,2635,2116,1264,715,257,34,14,7060,6,22,946,1916,1433,820,290,50,16,5505,335,773,2672,1393,1048,866,607,380,179,8252,2749,7114,26691,14137,9960,7803,5358,2759,1083,77659
20701,20,872,3078,1450,1736,1534,1078,448,244,10467,12,346,2547,1379,1429,1270,777,327,154,8232,11,152,2080,1569,1678,1341,730,270,131,7949,3,35,1164,1276,1433,1138,479,177,98,5789,10,50,1752,2984,3055,2100,888,313,158,11300,11,58,716,3941,5248,2899,1127,362,181,14546,734,822,1531,1227,1442,1187,1061,927,1005,9943,11910,13346,22544,20736,24102,18983,13951,8031,4829,138430
20702,4,345,1460,965,1162,937,566,254,76,5780,3,117,1058,888,855,642,339,161,56,4113,0,47,793,871,909,609,291,118,33,3681,0,15,443,681,712,479,187,68,26,2611,0,15,596,1288,1154,723,249,88,29,4139,3,9,230,847,914,563,218,92,43,2922,305,256,584,510,617,585,646,775,619,4891,5499,5548,10813,11096,12391,10890,9717,7372,3004,76324
20703,10,465,1834,1235,1165,934,478,216,109,6449,7,143,1306,965,964,705,247,106,66,4508,10,63,878,976,1090,681,222,72,58,4050,3,24,551,865,819,531,132,50,26,2997,4,17,725,1577,1470,865,197,64,36,4962,5,22,250,1110,1247,604,143,47,29,3465,427,507,762,597,696,595,564,718,666,5531,6909,9671,14963,12877,13303,10767,7817,6015,3273,85602
20801,13,320,1080,828,1118,1058,783,305,153,5652,7,113,854,761,1029,851,536,177,83,4410,8,49,696,921,1164,885,441,163,80,4405,0,19,442,757,903,670,318,100,48,3258,6,18,708,1765,2042,1224,586,176,92,6614,6,21,404,2631,3421,1846,669,216,105,9312,442,322,603,806,1049,868,766,635,704,6184,6178,4919,7980,12418,15855,12636,9718,5344,3624,78669
20802,22,552,3164,1896,1802,1526,694,240,151,10049,3,233,2374,1734,1502,1123,443,134,78,7627,9,90,1891,1865,1574,1117,378,95,75,7083,4,42,1132,1473,1304,859,263,80,48,5197,3,37,1572,2992,2584,1297,374,89,62,9014,9,27,555,2595,2374,1120,369,99,99,7265,504,681,1520,1243,1208,1019,909,790,798,8682,8183,10485,23363,21297,19961,15819,11009,6832,4405,121353
20803,18,455,2156,1832,1886,1415,536,178,97,8574,3,159,1768,1643,1444,979,300,75,27,6390,6,54,1341,1689,1410,883,232,50,35,5691,0,22,710,1325,1102,697,130,25,16,4022,0,16,968,2234,1769,844,179,41,14,6080,4,17,256,1155,1129,447,130,48,23,3206,439,429,966,1076,1065,886,939,907,876,7594,6274,6263,14515,18027,17215,13503,10022,6327,3393,95538
20804,4,234,888,407,412,384,244,106,55,2736,3,96,716,370,335,264,173,89,39,2096,3,47,553,450,402,324,160,77,42,2060,0,13,337,347,341,225,137,49,32,1480,3,13,464,741,709,503,188,88,54,2741,6,10,197,1161,1342,686,268,130,48,3837,165,219,416,325,352,281,258,246,202,2466,2451,3695,6376,5354,5566,4338,3305,2085,1121,34286
20901,20,480,2234,1714,1671,1448,695,235,78,8572,4,167,1843,1516,1361,1048,422,111,50,6521,3,68,1405,1615,1335,1024,325,79,27,5876,3,20,798,1270,1076,740,183,53,12,4153,0,16,990,2078,1654,1132,271,64,23,6227,3,13,268,1223,1256,731,236,76,22,3818,486,440,1002,961,992,850,889,774,706,7096,6834,7410,16248,17375,16224,14542,11511,6470,3253,99850
20902,11,355,2221,1533,1238,735,197,68,47,6403,3,128,1532,1179,861,472,100,21,10,4303,9,34,1049,1156,751,359,63,7,5,3433,0,18,515,805,528,285,45,7,5,2205,0,17,602,1130,781,319,52,11,5,2926,11,12,134,442,334,131,43,16,10,1123,524,659,1544,1131,999,784,763,778,678,7863,4771,7837,17970,14050,11795,8793,6444,5343,2649,79654
20903,13,312,833,810,1125,961,389,80,17,4539,3,103,690,737,913,757,275,35,9,3529,0,48,516,767,988,686,167,29,11,3213,0,16,285,606,719,555,126,20,4,2331,3,20,357,1076,1188,812,185,19,3,3662,7,9,108,619,910,550,125,23,4,2350,377,237,356,477,630,567,433,232,163,3466,4873,4133,6019,8606,10755,9465,5692,2030,720,52287
20904,30,850,4864,3834,3229,1980,429,113,44,15369,10,275,3270,2851,2170,1248,222,29,13,10085,3,124,2056,2300,1637,887,127,33,11,7179,4,38,1080,1454,1089,602,92,8,3,4371,4,54,1045,1874,1266,616,89,14,3,4962,11,15,253,543,465,244,67,23,6,1637,1165,1056,2468,2014,1755,1566,1387,946,438,12787,12705,14478,36186,31737,26716,21235,14594,7626,2440,167708
21001,9,231,986,817,864,694,292,85,28,4004,0,89,803,740,707,473,152,33,13,3021,0,38,613,696,651,418,85,23,14,2530,0,11,344,524,540,313,70,17,8,1821,0,8,432,885,768,374,95,11,3,2590,3,3,133,483,514,262,55,29,17,1498,274,204,467,471,476,439,624,551,321,3822,3273,3294,6922,7986,8086,6625,6258,4338,1713,48500
21002,0,111,355,409,482,374,180,48,4,1965,3,40,280,337,360,255,86,22,5,1393,0,21,246,326,382,276,84,7,3,1349,0,10,118,280,278,175,38,8,0,916,0,0,150,460,489,298,69,21,7,1491,0,5,49,263,336,184,52,19,0,909,193,91,159,287,335,314,299,145,94,1920,1952,1412,2623,4039,4657,4009,3040,1116,411,23263
21003,8,274,1806,1189,920,554,149,57,39,4987,3,115,1238,934,714,378,68,18,26,3498,0,37,935,882,667,306,48,9,9,2897,0,20,497,675,423,192,42,7,6,1860,0,15,670,965,517,245,32,11,8,2471,8,6,128,353,215,92,29,16,7,839,351,393,1135,881,668,535,534,644,528,5676,3745,4981,14141,11273,8848,6388,4692,4766,2626,61453
21004,14,243,784,688,720,560,172,28,16,3228,4,88,577,524,544,364,71,9,3,2179,0,32,358,422,455,279,48,13,3,1607,0,13,197,278,327,213,18,0,3,1050,0,22,220,400,422,270,47,11,3,1399,0,6,55,143,182,121,21,10,0,544,229,190,304,341,352,349,304,177,84,2332,2673,2680,5137,5294,5699,4911,3109,1491,625,31617
21005,26,659,3071,2390,2137,1261,301,71,20,9931,8,210,1861,1582,1374,807,129,20,3,5988,3,88,1146,1161,1060,509,95,11,5,4081,4,41,589,778,637,364,59,6,0,2474,4,27,579,959,721,359,58,14,0,2723,3,24,181,287,288,172,47,14,7,1031,1121,942,2113,1634,1621,1205,967,562,203,10372,11482,12056,26377,22311,20972,15172,9628,4493,1280,123772
21101,27,736,3091,2324,2694,2136,693,155,58,11924,0,246,2315,1834,1838,1395,356,63,18,8074,0,96,1479,1792,1682,1135,254,42,22,6494,0,32,775,1294,1206,814,129,28,16,4292,3,26,858,1769,1695,1079,164,36,17,5645,9,13,194,648,796,509,105,33,16,2312,555,534,1115,1070,1130,1084,1012,848,715,8063,9911,10195,20341,20762,22077,19902,13668,7118,3105,127080
21102,3,123,280,251,360,351,180,65,17,1645,0,42,226,219,335,278,116,33,9,1258,0,30,175,252,335,268,73,34,9,1176,0,7,94,190,264,187,82,16,0,836,0,4,96,383,477,312,97,29,8,1415,5,0,52,354,580,354,101,32,9,1479,134,96,118,177,263,219,184,163,131,1493,2068,1684,2053,2945,4342,3572,2588,1366,668,21275
21103,20,492,2251,1718,1709,1328,571,151,81,8323,0,159,1699,1401,1350,935,296,51,22,5925,0,65,1223,1376,1190,833,181,42,27,4940,0,27,667,990,927,597,128,19,8,3353,4,22,756,1606,1300,765,148,38,13,4658,0,10,177,604,691,391,100,30,14,2024,452,343,815,802,817,699,700,646,577,5853,6649,6600,15221,15525,15100,12669,9618,5392,2639,89423
21104,5,218,1103,866,765,680,293,124,37,4097,4,74,791,742,648,445,183,56,23,2969,0,29,619,747,620,377,140,41,11,2593,3,4,392,623,513,278,104,25,9,1956,0,5,461,1138,843,443,110,34,14,3056,0,3,127,535,452,226,82,34,6,1478,181,196,407,401,358,338,349,354,304,2885,3484,3485,7993,8890,8056,6637,5843,3752,1691,49819
21105,17,649,2668,2253,2562,2059,777,148,64,11186,8,218,1823,1765,1809,1381,369,49,20,7449,0,79,1272,1500,1577,1196,259,48,16,5947,0,40,570,1130,1175,757,141,23,9,3841,8,19,680,1540,1562,918,211,26,16,4966,7,18,152,560,696,478,155,54,18,2140,851,612,1121,1259,1474,1333,1279,833,490,9253,9693,8881,17828,19655,21559,19614,14366,6308,2531,120450
21201,13,470,2071,1652,1543,1059,286,67,26,7188,7,174,1341,1254,1085,604,171,24,11,4665,0,62,867,1021,938,451,95,19,3,3457,0,26,419,661,632,335,61,15,0,2154,0,26,429,798,822,413,82,20,0,2589,4,13,99,283,348,222,69,22,5,1064,629,464,888,875,957,807,681,443,251,5999,6244,5945,13717,13234,12505,9651,6925,3124,1177,72532
21202,26,625,2400,2195,2227,1544,405,96,37,9556,5,199,1582,1540,1527,985,187,37,21,6075,0,78,951,1253,1253,786,126,21,11,4480,0,34,526,888,846,507,83,17,3,2905,0,28,522,1227,1155,688,141,19,10,3787,11,28,128,471,612,299,106,31,11,1690,719,652,1089,977,1114,888,801,620,399,7256,9510,9246,17243,18219,18600,15095,9398,5035,2043,104387
21203,36,692,3826,3504,2812,1580,303,58,20,12823,6,252,2271,2483,1752,973,131,23,13,7902,3,91,1422,1804,1321,659,81,16,10,5403,0,35,753,1154,829,399,45,16,3,3243,4,34,720,1317,919,444,60,5,3,3506,19,21,153,367,298,175,49,25,8,1120,1009,864,1852,1743,1481,1178,900,580,310,9928,11440,11424,27187,26650,21144,15001,8891,3913,1407,127067
21204,23,653,3883,2740,2246,1596,474,124,43,11782,3,234,2147,1744,1290,886,239,49,26,6606,8,86,1382,1252,952,666,170,28,26,4571,0,29,666,815,579,389,92,15,8,2593,0,26,625,1006,669,401,79,14,10,2825,12,25,157,361,254,165,56,33,18,1080,910,1039,2385,1740,1587,1476,1464,1187,738,12530,10918,14638,32445,25174,22244,19950,15439,9095,3755,153660
21205,37,743,3388,2234,2187,1514,820,330,133,11388,6,303,2250,1769,1710,1096,478,161,74,7844,6,120,1694,1750,1629,1011,346,124,32,6725,13,58,966,1417,1273,833,208,71,29,4875,11,34,1229,2590,2186,1232,337,113,46,7776,15,30,319,1316,1421,797,214,90,49,4246,706,933,1577,1224,1179,1007,1006,1105,1007,9742,11985,17233,25796,22362,22081,17651,14702,10743,4926,147473
21301,23,760,3679,2864,2408,1671,360,75,21,11859,4,247,2110,1848,1488,980,181,19,7,6888,8,72,1352,1270,1155,659,113,14,3,4632,3,44,678,832,682,421,66,7,4,2744,7,18,626,1100,795,487,64,9,3,3113,8,19,165,329,303,159,46,14,4,1054,1184,1201,2484,1893,1864,1753,1565,947,491,13382,11719,14661,30495,25245,23719,21109,14427,7321,2699,151396
21302,14,362,1690,1217,1243,938,267,89,33,5854,0,116,1287,1102,994,613,144,33,10,4297,0,35,967,1107,952,623,118,23,11,3848,3,27,546,904,727,435,84,13,7,2729,3,19,831,1586,1259,680,121,24,6,4528,5,11,229,1015,920,349,87,22,9,2650,362,350,841,815,828,743,629,587,338,5496,4411,4715,11899,12809,12130,9837,6595,4162,1910,68456
21303,9,392,2471,1353,920,622,136,36,13,5952,3,113,1763,1197,753,389,68,20,9,4315,3,58,1297,1240,694,375,41,10,11,3718,0,18,823,873,585,275,27,3,0,2615,0,18,1085,1708,897,340,40,10,3,4097,3,21,339,948,476,175,36,9,3,2006,349,638,1563,1129,835,619,439,391,355,6320,3635,7258,19006,14058,9900,7247,4024,2589,1379,69093
21304,25,647,3246,2950,2362,1372,321,72,17,11019,11,240,2103,2395,1638,917,181,23,7,7521,4,102,1387,1872,1298,693,124,13,3,5497,0,31,763,1368,938,442,59,7,0,3624,3,31,803,1697,1068,519,78,9,3,4210,12,23,199,545,409,187,50,10,3,1432,929,954,2150,2064,1562,1173,963,496,188,10469,10122,9628,23056,25353,19354,14525,9426,3581,1209,116252
21305,34,765,5681,4449,3126,1793,401,95,37,16380,4,299,3436,3205,2198,1147,219,22,10,10526,3,110,2298,2863,1797,941,146,19,8,8178,4,40,1372,2028,1228,596,78,15,3,5363,3,45,1547,2907,1701,798,108,21,6,7133,5,20,345,1080,763,320,81,19,8,2649,1161,1201,3249,2586,1846,1380,1056,564,328,13364,12978,13836,42089,37246,25929,18402,10769,4546,1490,167288
21401,17,574,2657,2218,2358,1764,500,146,62,10293,4,198,1874,1689,1565,1037,269,52,25,6710,3,62,1191,1417,1264,866,171,37,7,5028,0,42,618,1001,925,527,102,21,8,3241,5,28,617,1183,1086,670,126,19,14,3744,6,18,136,420,515,293,98,25,9,1519,762,722,1445,1412,1471,1323,1175,944,669,9927,8009,8512,18484,18569,18833,16105,11710,6187,2713,109114
21402,35,487,1853,1891,2254,2002,1074,409,166,10168,9,211,1272,1498,1745,1357,645,175,67,6981,5,73,834,1331,1608,1113,413,142,47,5577,4,37,494,1027,1147,856,306,94,42,3999,0,19,478,1368,1511,1091,392,165,37,5070,3,14,175,844,1160,789,496,208,66,3755,853,551,934,1231,1515,1658,2035,1696,1081,11550,8945,7409,13493,17916,21250,21007,20899,12178,5059,128156
21501,10,214,689,620,871,809,280,103,53,3653,0,67,431,455,565,439,152,48,13,2177,0,30,259,323,412,358,93,36,7,1530,0,16,137,186,305,268,49,24,5,993,3,7,125,226,315,227,71,35,19,1020,8,7,54,105,128,163,57,36,21,575,391,249,638,677,750,814,798,619,404,5351,3342,2831,6005,6148,8052,8883,7271,4346,2119,48998
21502,4,165,759,631,780,630,206,62,36,3271,5,79,433,521,453,371,114,26,7,2006,0,23,280,376,440,298,54,15,6,1493,0,11,119,231,268,193,21,13,4,865,0,3,101,241,270,187,46,11,4,868,10,8,55,115,120,113,50,17,4,505,484,343,684,568,686,788,737,522,266,5086,3518,3153,6535,6168,7079,7111,5493,3169,1419,43642
21503,9,159,473,375,526,467,148,66,34,2261,0,35,266,205,297,238,59,21,7,1134,0,16,167,177,231,214,60,12,9,875,0,7,59,121,128,109,32,9,3,467,0,7,62,128,140,117,22,12,3,495,0,5,40,67,92,77,45,10,8,344,344,236,457,415,609,685,630,513,257,4145,2241,1842,3837,3851,4986,5412,4425,2844,1276,30716
21601,9,136,454,468,634,508,156,65,38,2459,0,43,287,284,322,305,71,18,3,1322,0,22,175,221,325,208,46,15,3,1022,0,10,84,162,200,126,35,3,3,621,0,8,92,164,199,140,29,11,8,649,6,5,30,69,76,86,37,23,12,347,310,144,283,352,451,486,520,474,303,3324,2341,1759,3541,3955,5073,5380,4569,2751,1164,30536
