SA3_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
20502,31,31,87,72,167,327,816,712,342,2587,3,7,4,9,23,26,31,28,4,132,175,187,369,396,600,723,949,672,408,4483,956,1814,3820,4279,5788,7230,7531,3811,1395,36629
20503,36,37,80,73,188,355,918,871,592,3141,0,0,20,19,23,23,31,32,20,162,180,171,455,480,747,914,1102,812,424,5286,1234,2275,5424,6355,8217,9759,9361,4619,1951,49186
20504,42,90,178,194,296,619,1073,1046,555,4091,3,6,41,30,40,39,49,71,31,315,336,442,782,683,920,1003,980,855,451,6447,1958,4755,9032,8312,9678,10064,7588,4215,1761,57372
20505,16,31,72,77,160,283,679,550,313,2187,3,9,18,12,21,24,25,13,5,125,179,271,670,666,633,671,603,478,199,4362,989,2130,4847,4931,5713,6466,5069,2532,1028,33706
20601,13,21,64,75,177,481,1276,1723,786,4609,3,15,43,34,78,166,276,422,205,1246,181,468,1425,900,633,519,406,387,198,5121,1607,7807,21093,14285,10226,7390,4797,3652,1674,72529
20602,3,11,35,42,82,199,684,1038,466,2565,5,8,17,21,34,64,138,275,101,667,105,222,773,609,443,341,282,301,178,3252,829,3504,10491,8879,7313,4794,2960,2398,1090,42261
20603,14,17,56,97,143,273,550,782,466,2411,4,16,50,66,73,96,108,197,118,735,213,346,1011,742,601,555,409,368,275,4520,1495,5168,12558,9731,8986,7210,4269,2594,1479,53500
20604,28,102,217,120,136,197,250,271,191,1517,19,94,170,94,101,104,77,85,54,789,1018,3031,5218,2197,1383,1100,844,460,421,15677,9099,29662,44367,16021,9776,7792,5275,2293,1253,125549
20605,7,24,88,65,139,222,488,583,365,1982,3,14,45,30,52,43,71,120,43,426,237,707,3018,1902,1419,1190,927,522,258,10180,1282,6544,26231,18112,13484,10199,6941,3193,1430,87422
20606,6,10,30,39,56,108,242,392,204,1090,4,7,29,14,17,37,49,103,40,291,193,492,1820,864,602,555,501,469,255,5745,1133,5847,18292,8799,6555,5653,4869,3049,1353,55544
20607,17,27,104,143,240,362,514,663,313,2385,3,16,58,93,118,142,144,262,131,967,239,707,2532,1297,1019,863,640,407,191,7907,1351,7102,26676,14114,9951,7794,5351,2757,1082,76183
20701,30,29,62,66,116,228,652,986,766,2933,4,18,82,52,124,104,107,186,84,759,411,642,1367,1039,1178,1012,934,861,763,8214,4181,13307,22530,20720,24083,18959,13937,8027,4826,130573
20702,17,18,49,77,163,470,1250,1668,833,4540,3,15,66,56,80,147,201,334,145,1052,169,194,476,408,543,534,667,803,572,4355,2077,5520,10802,11082,12364,10870,9685,7365,2998,72756
20703,33,49,84,91,169,343,703,996,685,3147,9,33,113,108,108,136,148,198,92,949,265,417,723,505,580,568,573,677,582,4888,2945,9636,14944,12865,13292,10757,7807,6010,3271,81528
20801,19,11,43,51,84,154,370,536,575,1838,3,3,25,29,32,52,44,66,36,284,231,267,523,656,865,750,715,617,597,5219,1977,4909,7975,12409,15850,12630,9709,5334,3619,74415
20802,27,45,79,104,156,372,980,1310,1115,4182,10,23,69,59,69,88,141,226,128,806,291,538,1361,1048,963,865,792,785,602,7248,3021,10460,23351,21282,19957,15800,10990,6826,4398,116078
20803,22,32,66,125,213,379,1027,1189,805,3849,7,17,51,52,79,96,108,126,60,595,228,335,841,907,878,849,908,976,884,6808,2392,6252,14505,18019,17197,13495,10011,6325,3389,91576
20804,8,7,16,17,27,56,208,302,194,836,0,0,22,9,21,16,25,59,16,178,82,182,374,279,273,226,238,232,138,2030,917,3694,6375,5354,5566,4336,3305,2085,1115,32736
20901,24,27,112,139,216,392,1188,1480,984,4569,7,26,57,64,120,107,118,156,75,730,264,335,831,794,833,805,885,823,660,6235,2561,7390,16232,17367,16215,14522,11503,6463,3250,95502
20902,25,44,158,217,361,801,1871,2295,1020,6797,9,34,93,104,154,236,343,558,195,1730,334,614,1442,1050,973,740,804,825,687,7470,2455,7808,17959,14030,11776,8778,6437,5340,2649,77226
20903,13,11,32,30,60,155,395,298,190,1189,0,3,17,14,19,27,20,26,9,137,182,162,281,389,521,464,367,226,108,2698,1783,4124,6012,8605,10750,9462,5691,2030,719,49182
20904,58,118,436,587,898,2139,3824,2990,1076,12118,12,40,185,239,330,484,632,753,247,2917,620,879,2236,1822,1615,1559,1499,976,336,11536,5498,14417,36140,31677,26679,21205,14578,7620,2439,160250
21001,5,14,41,66,137,344,1326,1494,628,4064,3,7,27,23,43,87,185,251,107,740,124,157,406,413,406,410,634,570,320,3444,1217,3287,6927,7987,8076,6621,6248,4323,1697,46381
21002,11,8,19,22,57,102,254,174,102,749,0,3,7,4,4,9,0,3,3,35,95,79,135,256,310,305,270,175,87,1713,709,1410,2623,4041,4659,4007,3034,1114,410,22006
21003,35,45,137,229,330,532,1239,1906,1071,5522,4,17,87,96,131,181,256,343,158,1274,222,338,1028,800,623,563,583,743,569,5465,1670,4962,14120,11258,8829,6368,4687,4759,2626,59277
21004,16,16,52,47,80,169,386,325,193,1277,9,5,18,18,6,19,21,20,11,127,111,143,277,298,287,325,293,194,99,2028,1172,2678,5136,5294,5696,4909,3107,1492,625,30100
21005,128,226,867,1206,1525,1805,2472,1510,447,10177,28,92,317,380,610,755,705,543,192,3609,642,784,1872,1433,1451,1165,1003,657,226,9233,5128,11989,26300,22241,20928,15140,9610,4486,1275,117091
21101,27,51,170,172,373,734,1363,1310,695,4902,7,30,81,87,129,171,160,156,70,900,302,360,884,865,941,995,1014,947,797,7103,3777,10181,20329,20735,22054,19878,13650,7110,3101,120826
21102,4,8,14,11,20,67,175,205,137,643,0,4,3,4,11,9,11,37,24,117,64,53,86,117,179,180,158,155,131,1132,683,1673,2053,2939,4336,3570,2581,1367,667,19871
21103,76,76,268,280,267,364,791,797,638,3565,9,31,132,113,132,140,87,64,28,736,230,256,684,702,702,647,684,724,576,5194,2516,6579,15218,15521,15089,12656,9613,5389,2641,85215
21104,25,22,47,68,150,233,520,653,407,2120,0,21,63,52,107,132,104,120,41,637,81,150,341,324,291,281,339,366,252,2422,1250,3477,7979,8884,8041,6626,5833,3749,1687,47531
21105,55,76,245,253,335,577,1302,1093,652,4594,7,22,54,68,101,59,60,72,33,482,379,444,908,999,1222,1210,1206,902,544,7819,3838,8862,17817,19650,21560,19609,14363,6310,2530,114524
21201,72,79,182,178,251,400,825,660,361,3015,5,6,44,45,60,26,47,30,11,274,351,366,750,819,844,775,651,487,249,5276,2640,5935,13703,13226,12496,9644,6919,3122,1176,68858
21202,58,115,329,377,525,894,1341,1144,618,5408,13,82,260,356,284,246,216,185,61,1696,397,484,902,799,933,865,865,780,506,6521,3783,9185,17202,18190,18582,15073,9387,5034,2041,98471
21203,101,150,518,640,710,996,1286,876,437,5722,23,113,421,528,439,334,221,131,49,2256,577,681,1599,1545,1356,1185,882,633,365,8817,4800,11370,27152,26600,21104,14981,8879,3907,1407,120193
21204,100,273,1022,1308,1662,2227,3035,2584,1174,13377,34,369,986,1048,1254,1309,989,805,354,7144,534,882,2132,1565,1451,1465,1512,1301,689,11526,4755,14494,32338,25070,22150,19904,15404,9077,3754,146937
21205,30,51,120,168,320,749,1880,2306,1214,6835,13,44,130,120,174,276,324,437,169,1679,469,818,1421,1091,1014,971,956,1165,1031,8932,5906,17188,25769,22342,22046,17622,14671,10726,4916,141186
21301,71,178,710,1045,1625,2740,3991,2870,1076,14303,24,110,479,571,913,1030,783,787,362,5065,703,1040,2321,1765,1749,1742,1774,1136,576,12807,5164,14541,30405,25169,23641,21054,14395,7304,2699,144370
21302,17,28,95,144,267,569,1315,1325,657,4410,11,17,48,45,90,142,206,273,124,948,192,270,742,723,725,678,648,661,404,5047,1766,4696,11887,12801,12120,9826,6583,4155,1912,65742
21303,23,47,159,196,359,607,838,900,516,3643,4,32,112,129,210,286,216,261,128,1383,257,583,1454,1069,783,662,487,417,319,6031,1723,7218,18977,14030,9882,7230,4018,2578,1374,67041
21304,80,84,297,386,627,1181,1718,896,348,5628,12,31,118,152,222,222,217,159,45,1181,525,805,1920,1836,1457,1141,1019,586,252,9537,4253,9596,23033,25327,19324,14512,9406,3575,1209,110230
21305,119,187,547,607,739,1153,1775,1236,536,6898,26,50,260,345,348,346,272,207,89,1937,672,984,2931,2331,1705,1372,1117,660,273,12048,5375,13758,42014,37182,25889,18352,10749,4537,1490,159348
21401,69,88,237,252,395,591,1230,1001,624,4491,7,29,56,69,81,62,71,68,25,467,480,590,1310,1237,1359,1303,1222,1111,707,9314,3459,8489,18465,18559,18826,16091,11698,6181,2709,104479
21402,69,73,178,188,300,583,1554,1640,1048,5640,14,16,38,52,69,72,85,86,35,468,435,447,833,1056,1332,1517,1939,1779,1100,10430,3581,7399,13483,17913,21238,21001,20890,12172,5060,122735
21501,38,43,120,153,231,449,1022,1123,793,3971,0,14,29,32,71,63,42,24,10,280,201,224,612,645,745,840,862,719,470,5306,1298,2823,6007,6149,8044,8881,7268,4336,2120,46918
21502,36,61,143,153,258,495,933,901,505,3493,9,15,52,70,76,72,71,78,23,470,263,302,650,515,718,798,797,640,362,5049,1523,3136,6526,6166,7072,7112,5486,3159,1423,41601
21503,16,24,75,93,147,319,665,743,465,2555,9,12,31,48,58,33,27,55,24,291,192,218,475,408,609,703,690,545,289,4135,831,1824,3829,3848,4976,5406,4421,2844,1276,29268
21601,14,30,70,80,132,306,655,637,392,2326,0,7,15,5,14,18,23,18,3,98,142,128,280,335,449,527,562,527,317,3269,958,1756,3538,3951,5075,5380,4566,2747,1164,29135
21602,15,27,60,63,105,233,589,533,302,1930,3,4,9,8,17,13,16,29,14,109,116,111,228,251,342,491,546,446,233,2767,730,1377,2695,2916,3762,4228,3960,2377,933,22980
21603,42,76,217,261,282,510,956,941,492,3787,13,38,124,152,131,91,90,89,50,780,318,293,800,756,837,846,887,643,361,5736,1721,3533,7809,7742,8519,7879,6147,3485,1486,48322
21701,26,34,52,70,138,279,611,633,427,2284,3,0,9,20,24,15,6,11,9,93,136,143,243,285,437,505,543,436,235,2957,886,1638,3132,3798,5162,5602,4484,2456,1137,28301
21703,23,20,61,100,109,247,648,688,390,2291,0,5,17,24,41,52,31,8,3,178,146,150,286,293,462,538,585,473,233,3166,889,1826,3561,3923,5131,5542,4555,2597,1053,29072
21704,26,25,76,80,113,302,675,671,465,2430,3,3,28,16,24,15,20,5,3,125,218,227,393,456,584,602,640,547,337,4006,1325,2920,5594,5896,6843,6728,5217,2853,1342,38715
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
29999,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
