SA3_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
20804,9741,10704,20442,919,1039,1950,231,275,512,4504,4613,9117,156,189,339,76,93,173,90,114,201,48,39,91,15,13,25,33,41,70,0,0,0,5141,5374,10523,1885,2292,4178,91,69,160,8043,8769,16813,941,1091,2033,18722,20561,39286
20901,33801,36277,70078,2373,2476,4848,470,426,898,11815,12399,24213,413,373,789,135,150,290,141,171,314,66,73,138,65,67,128,93,76,174,0,0,0,13204,13739,26941,2788,2929,5715,266,258,525,18626,19400,38022,2857,3166,6020,55279,58843,114118
20902,22438,24253,46689,1686,1642,3330,456,500,957,9122,9359,18478,351,357,708,162,158,323,175,148,317,70,110,188,52,66,121,70,84,158,3,0,6,10463,10784,21247,4999,4858,9858,270,261,536,17427,17551,34970,3494,3645,7134,43349,45447,88798
20903,20880,21070,41953,1270,1296,2565,137,156,295,5725,6000,11723,162,174,335,41,54,92,68,87,152,29,32,66,14,23,41,29,38,68,0,0,0,6211,6564,12778,613,691,1310,79,72,149,8179,8623,16799,1420,1469,2889,30476,31165,61639
20904,51642,52778,104423,3806,3961,7775,766,788,1553,26493,27280,53770,625,696,1326,293,272,564,233,237,466,116,120,235,107,87,194,70,95,164,5,0,5,28698,29570,58270,6588,6929,13522,394,328,725,39496,40795,80286,5582,5931,11513,96717,99508,196221
21001,17238,18422,35660,1307,1355,2662,128,135,269,5403,5600,11002,129,152,284,52,42,97,65,56,121,23,22,45,36,21,53,20,24,46,0,0,0,5866,6061,11924,896,911,1809,95,82,170,8162,8396,16562,1476,1618,3094,26875,28437,55313
21002,8517,8526,17042,1122,1177,2301,122,125,249,2690,2804,5500,111,86,196,36,38,72,42,27,70,7,13,25,14,14,32,13,11,15,0,0,0,3035,3116,6153,139,169,309,61,57,118,4355,4522,8873,859,883,1747,13737,13924,27662
21003,17725,19172,36891,1971,1911,3882,323,334,657,7342,7386,14727,237,218,454,106,115,220,121,121,246,40,51,91,35,22,61,42,63,101,0,0,0,8241,8311,16553,3814,3179,6993,197,213,409,14221,13610,27829,2545,2651,5199,34495,35423,69923
21004,10969,11302,22267,1711,1895,3601,110,114,225,3312,3699,7010,130,142,271,52,39,88,57,76,136,15,16,36,14,20,36,12,3,14,0,0,0,3700,4121,7816,366,420,788,95,77,179,5878,6508,12388,1019,1056,2073,17857,18869,36726
21005,40770,41561,82329,3323,3336,6661,649,660,1310,16323,16180,32505,328,337,670,178,177,349,147,154,299,51,55,103,53,41,92,36,36,72,0,0,0,17768,17635,35405,6336,6244,12576,301,247,550,27723,27466,55190,4942,4826,9764,73429,73852,147283
