SA3_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
20605,49309,51563,100872,2468,2424,4893,3529,3361,6893,1415,1479,2896,2968,3584,6555,12568,13679,26249,8993,9124,18115,6715,6773,13486,5097,5105,10205,3472,3474,6946,1505,1687,3197,565,868,1433,46709,48976,95686,2598,2589,5185,179,176,357,9,11,18,7,10,13,196,197,393,28472,29954,58428,15547,16332,31878,34473,35484,69961,9754,11009,20764,35752,37749,73497,519,506,1027,3144,3029,6172,1160,1193,2352,1270,1477,2746,2341,3389,5727,30390,33160,63554,2932,2800,5731,2797,2443,5240,922,825,1749,986,1152,2140,184,250,429,42428,45023,87450,6736,6155,12884
20606,29556,32911,62467,1151,1122,2274,1688,1813,3504,1011,1221,2233,2534,3327,5863,8814,9480,18297,4423,4384,8806,3256,3302,6556,2574,3086,5653,2242,2628,4872,1337,1712,3049,529,830,1352,27809,31082,58890,1743,1830,3571,111,87,200,3,5,10,0,5,5,122,90,212,16905,18774,35680,9804,11121,20924,20340,22213,42557,6463,7844,14312,21552,23852,45402,264,271,530,1492,1624,3119,831,1000,1830,1259,1711,2975,1630,2105,3726,20238,22625,42862,1415,1603,3024,1239,1350,2595,438,478,918,513,706,1216,101,193,295,25964,28965,54926,3286,3587,6869
20607,42415,45041,87453,2046,1979,4030,2859,2906,5770,1333,1415,2749,3143,3970,7114,12874,13818,26691,7197,6946,14137,5093,4872,9960,3710,4092,7803,2537,2827,5358,1182,1574,2759,445,640,1083,40122,42766,82889,2297,2274,4571,184,175,354,14,8,20,4,4,10,196,188,385,26372,27242,53612,11871,13478,25350,29678,30453,60138,8875,10650,19530,32794,34818,67612,377,392,767,2514,2585,5098,1046,1167,2206,1457,1917,3371,2743,3804,6551,27524,29595,57116,2094,1866,3964,1932,1634,3570,773,803,1575,971,1541,2515,322,647,967,37427,40124,77551,4961,5022,9984
20701,80145,87085,167231,4004,3737,7742,10757,10302,21064,5968,5940,11910,6813,6532,13346,11111,11426,22544,9568,11168,20736,11276,12823,24102,9034,9949,18983,6483,7468,13951,3508,4526,8031,1627,3208,4829,76545,83508,160051,3606,3572,7183,159,140,291,9,11,18,0,5,8,164,150,317,52094,55319,107415,24145,27604,51744,55226,58665,113886,21098,24482,45581,65670,70778,136446,1104,1032,2139,10167,9800,19970,5463,5457,10922,4361,4080,8436,3263,4269,7538,49623,53896,103517,4489,5463,9952,3712,4505,8221,1907,2072,3985,1448,2238,3682,348,415,762,73879,80237,154120,4848,5638,10484
20702,43519,46853,90369,2278,2126,4406,4974,4669,9642,2858,2635,5499,2884,2659,5548,5350,5464,10813,5279,5820,11096,5812,6578,12391,5076,5816,10890,4364,5353,9717,3463,3908,7372,1178,1818,3004,42024,45252,87279,1492,1603,3093,70,66,132,3,7,13,3,0,8,77,72,147,22771,23485,46260,18894,21257,40154,20914,21563,42477,20989,23420,44410,35122,37322,72441,533,511,1047,4682,4371,9050,2547,2399,4942,1687,1550,3237,1412,1913,3326,23789,25155,48948,3218,3445,6665,3332,3810,7134,1566,1743,3306,1991,2815,4812,416,633,1054,41280,44055,85335,1616,2209,3823
20703,49118,52920,102040,2697,2562,5264,5727,5454,11177,3399,3510,6909,5063,4615,9671,7470,7491,14963,6146,6729,12877,6289,7010,13303,5078,5689,10767,3499,4324,7817,2543,3474,6015,1211,2063,3273,47266,51011,98272,1858,1910,3770,104,81,184,8,10,19,0,3,3,113,99,205,27593,29136,56733,19349,21427,40777,28700,30107,58809,18414,20661,39073,36456,39650,76108,679,650,1328,5427,5176,10602,2979,3167,6145,3420,3112,6536,2506,3016,5526,28355,30619,58974,3447,3639,7080,3227,3512,6734,1548,1788,3340,1421,2137,3566,408,550,954,45885,49324,95208,2718,3230,5939
20801,46229,50862,97087,2546,2445,4994,6757,6673,13429,3212,2964,6178,2538,2381,4919,3745,4232,7980,5693,6721,12418,7489,8364,15855,6058,6581,12636,4573,5141,9718,2377,2968,5344,1228,2393,3624,43795,48654,92449,2428,2210,4641,92,82,178,11,3,14,0,0,0,104,86,189,32033,34914,66948,11670,13161,24830,37437,40433,77872,6420,7807,14225,39508,43440,82944,753,680,1434,6346,6276,12624,2842,2658,5497,1414,1334,2747,951,1661,2613,25590,28012,53602,3437,4158,7592,3053,3772,6829,1327,1482,2813,944,1311,2258,124,162,284,42488,46612,89101,2418,3313,5731
20802,71759,76673,148437,4547,4531,9074,9306,8701,18005,4192,3993,8183,5184,5302,10485,11340,12021,23363,10438,10857,21297,9529,10436,19961,7656,8156,15819,5155,5856,11009,2813,4018,6832,1603,2801,4405,68984,73952,142942,2771,2720,5498,107,132,236,8,11,15,3,3,9,116,141,264,41995,44173,86170,26110,28716,54827,45756,48173,93933,22603,25024,47627,56994,60879,117872,1165,1124,2285,8754,8197,16951,3677,3589,7268,3145,3359,6510,2841,3789,6630,41113,45149,86269,4559,4811,9370,4488,4550,9037,1906,1920,3831,1984,2734,4710,347,462,810,67005,71429,138441,3596,4293,7883
20803,56283,60527,116817,3646,3555,7198,7221,6859,14085,3155,3123,6274,3315,2946,6263,6947,7573,14515,8668,9356,18027,8304,8908,17215,6507,6996,13503,4541,5481,10022,2758,3576,6327,1235,2161,3393,53762,58099,111860,2520,2432,4955,221,236,453,22,12,38,7,8,16,249,259,503,38456,40704,79161,14601,16393,30998,42812,45394,88203,10529,11931,22467,47903,51374,99274,845,839,1685,6789,6430,13219,2598,2684,5282,1393,1378,2775,1370,2296,3666,26263,29838,56100,5801,5509,11311,5881,5850,11732,2292,2377,4669,1771,2470,4239,254,344,595,52201,56084,108279,3017,3469,6491
20804,19816,21548,41367,1093,987,2079,2533,2472,5004,1237,1217,2451,1703,1998,3695,3125,3252,6376,2580,2773,5354,2649,2921,5566,2047,2289,4338,1543,1757,3305,903,1174,2085,411,709,1121,18896,20646,39545,922,904,1825,40,48,86,0,0,0,0,0,0,42,47,89,13303,14172,27474,5526,6282,11803,14369,15292,29662,4505,5257,9761,16121,17383,33507,312,256,571,2385,2338,4715,1106,1116,2221,1142,1375,2516,809,1096,1910,12315,13526,25843,1078,1268,2349,908,1071,1978,442,453,896,422,578,993,71,108,178,18374,19913,38288,1112,1377,2483
20901,59222,62644,121865,3950,3796,7747,7354,6911,14267,3518,3308,6834,3825,3582,7410,7975,8269,16248,8488,8887,17375,7782,8436,16224,6847,7691,14542,5455,6058,11511,2839,3627,6470,1188,2066,3253,56706,60180,116883,2522,2466,4984,329,335,669,14,8,25,4,8,13,350,354,703,42563,44526,87093,13713,14891,28609,44089,45811,89897,12461,13967,26429,51241,53971,105217,809,868,1682,6919,6488,13405,2964,2874,5840,1895,1869,3762,1886,2599,4481,29065,31763,60819,5545,5416,10962,5535,5534,11068,2467,2477,4945,2071,2918,4994,310,420,735,55195,58473,113665,3382,3569,6952
20902,46313,48341,94653,2963,2893,5854,4723,4424,9147,2420,2355,4771,3844,3991,7837,9126,8848,17970,6972,7080,14050,5727,6063,11795,4294,4498,8793,2922,3525,6444,2336,3010,5343,996,1646,2649,44659,46664,91324,1655,1670,3331,379,411,795,10,12,23,8,13,21,399,432,837,25173,26503,51676,17489,17990,35480,22717,23893,46610,20346,21052,41395,34253,36453,70701,490,506,998,4242,3943,8184,1902,1965,3863,2118,2226,4345,2602,3059,5659,22796,24044,46841,3325,2875,6196,3531,3336,6864,1731,1776,3507,2912,4043,6954,714,1016,1732,42172,43913,86082,3859,4223,8091
20903,32237,32886,65123,1761,1719,3485,4777,4573,9350,2565,2310,4873,2129,2006,4133,3006,3015,6019,4055,4550,8606,5173,5580,10755,4661,4800,9465,2869,2825,5692,983,1054,2030,258,462,720,30748,31504,62249,1489,1378,2869,122,153,269,6,10,12,0,0,0,132,155,287,25769,26267,52038,4909,5023,9934,28116,28426,56540,2728,3073,5798,29187,29711,58902,442,455,892,4497,4283,8783,2113,1995,4110,926,934,1861,661,1103,1759,14292,16277,30566,3889,3679,7573,3858,3132,6994,1453,1253,2703,746,790,1534,69,62,137,30195,30772,60964,1185,1334,2519
