SA3_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
20402,85,113,206,74,89,158,86,354,440,111,637,745,473,1269,1735,392,652,1042,1287,544,1831,1035,592,1627,1238,476,1720,1113,282,1400,840,186,1027,787,125,913,1344,129,1471,793,20,814,389,5,397,216,63,277,392,7,398,1154,84,1233,258,429,681,12066,6047,18116
20403,95,153,243,100,87,190,131,420,555,148,745,891,565,1501,2062,596,816,1412,1553,701,2250,1293,756,2053,1673,687,2364,1741,442,2187,1293,295,1587,1291,180,1474,2297,227,2521,1452,51,1498,766,13,774,402,80,489,625,19,642,1800,108,1911,318,450,763,18149,7725,25872
20501,118,104,229,81,75,155,113,284,392,101,438,538,420,988,1405,383,497,878,1160,438,1600,945,479,1425,1229,411,1640,1127,249,1368,884,195,1076,910,121,1037,1476,154,1623,946,16,964,496,5,500,311,72,381,628,9,640,1203,57,1262,249,276,525,12781,4862,17641
20502,112,149,259,88,108,198,115,376,490,124,638,765,538,1405,1941,465,657,1121,1507,495,1997,1064,497,1566,1311,385,1698,1179,224,1410,760,155,917,669,87,755,1073,95,1168,566,21,590,264,3,268,163,60,226,279,9,287,1190,58,1255,283,433,709,11745,5868,17614
20503,147,207,355,115,126,245,141,559,698,161,839,1001,722,1862,2576,661,902,1559,1798,725,2530,1422,658,2083,1727,578,2303,1495,361,1851,1019,236,1251,1063,135,1198,1513,151,1662,858,21,876,445,8,450,267,91,357,479,11,486,1559,89,1652,364,542,910,15942,8097,24037
20504,146,248,395,95,160,260,183,710,890,212,1061,1279,760,1894,2660,806,891,1698,1850,768,2617,1352,762,2112,1611,692,2302,1491,453,1953,1134,349,1487,1157,269,1428,2068,343,2411,1305,45,1344,786,26,806,518,153,663,923,17,943,1804,121,1925,390,601,989,18585,9570,28158
20505,103,121,224,73,87,166,79,349,429,83,529,616,385,1072,1455,353,505,861,1039,439,1476,835,442,1283,1041,418,1461,933,244,1174,680,176,858,729,126,859,1177,146,1322,692,27,721,391,7,393,276,86,363,543,10,558,1226,60,1282,214,325,534,10857,5172,16030
20601,215,378,595,100,180,277,128,672,802,107,793,897,479,1333,1806,404,802,1211,1064,743,1806,864,985,1846,1243,1260,2498,1237,1103,2341,1065,985,2057,1209,802,2007,2680,1230,3905,2200,352,2552,1596,203,1794,1164,441,1608,2506,203,2710,1816,959,2776,218,353,570,20285,13775,34058
20602,97,148,246,55,98,155,87,343,430,61,515,574,263,805,1070,213,500,714,625,482,1103,460,599,1063,675,774,1451,693,635,1332,604,559,1161,705,424,1129,1478,663,2146,1228,181,1412,963,115,1079,791,259,1043,2160,111,2270,1081,454,1537,130,238,365,12360,7918,20277
20603,167,295,457,98,135,228,171,448,619,110,657,765,368,938,1303,312,594,908,705,617,1320,672,747,1424,884,841,1730,873,760,1636,801,645,1443,791,514,1303,1899,789,2690,1554,137,1690,1112,80,1196,1026,346,1376,2953,73,3023,1523,332,1855,243,359,605,16273,9309,25578
20604,1308,6262,7568,264,900,1169,371,1431,1801,241,1299,1536,490,1434,1929,522,1374,1895,790,1468,2257,963,1899,2865,1385,2430,3816,1371,2136,3507,1257,1926,3183,1301,1592,2890,2986,2949,5936,2142,640,2782,1615,403,2023,1464,1613,3074,3741,621,4367,2007,1663,3668,216,542,761,24441,32569,57012
20605,217,629,844,89,241,334,159,747,907,137,1126,1263,372,1515,1879,349,1053,1402,739,1173,1910,700,1561,2259,1066,1976,3042,1146,1842,2985,983,1820,2805,1126,1485,2611,2762,2634,5394,2309,411,2722,1720,270,1988,1769,1634,3400,5127,306,5438,2212,906,3116,239,574,812,23214,21896,45114
20606,222,547,768,68,144,211,106,408,512,65,587,650,218,836,1052,195,615,805,429,656,1083,406,976,1379,611,1193,1802,658,1153,1805,562,1141,1707,651,905,1556,1581,1777,3352,1280,334,1611,962,225,1193,1080,1184,2265,3537,306,3843,1451,721,2173,153,397,549,14222,14088,28314
20607,198,398,599,114,194,308,262,703,965,160,880,1043,469,1188,1654,371,727,1106,686,761,1442,620,1015,1632,798,1285,2083,839,1221,2054,764,1240,2002,887,951,1837,2172,1970,4135,1927,523,2455,1626,399,2025,1442,1208,2654,4213,661,4875,1802,1222,3024,220,435,651,19572,16977,36553
20701,726,800,1527,247,266,517,303,713,1020,210,871,1081,522,1553,2077,651,1365,2022,1151,1128,2284,1368,1308,2677,1944,1551,3488,2020,1356,3377,1662,1226,2886,1874,961,2834,4213,1680,5895,3494,280,3770,2634,159,2794,2814,1062,3874,11229,182,11405,4646,594,5238,523,556,1081,42244,17609,59849
20702,491,386,875,221,136,356,228,360,587,180,527,704,651,1055,1709,572,665,1233,1574,539,2109,1401,546,1946,1795,555,2350,1726,402,2120,1431,372,1800,1444,280,1723,2745,402,3147,2013,50,2060,1475,27,1499,1160,205,1365,2955,44,2997,2491,138,2622,352,255,607,24893,6930,31827
20703,551,947,1495,175,264,434,243,561,808,171,776,948,617,1524,2143,557,1039,1594,1350,827,2180,1277,897,2169,1834,928,2760,1658,706,2365,1345,545,1892,1402,449,1848,2926,682,3608,2207,125,2332,1625,81,1701,1292,255,1545,3393,46,3439,2402,365,2768,257,376,633,25273,11381,36658
20801,248,259,506,102,139,241,120,371,493,107,653,758,363,1190,1549,373,868,1244,840,679,1514,821,763,1582,1222,765,1986,1170,606,1777,993,525,1524,1072,395,1472,2522,754,3282,2062,38,2101,1564,34,1596,2029,592,2623,6896,52,6941,2865,158,3018,369,457,833,25736,9300,35037
20802,476,829,1310,207,295,505,233,768,1004,195,1005,1200,644,2125,2773,666,1411,2076,1683,1209,2891,1548,1420,2963,2213,1618,3838,2218,1282,3501,1906,1089,2995,2087,874,2962,4436,1308,5740,3535,210,3746,2726,127,2854,2305,602,2903,6453,119,6574,3542,505,4051,529,656,1186,37603,17459,55064
20803,250,321,573,136,183,326,190,578,768,158,1004,1165,633,2076,2709,567,1251,1816,1634,1043,2677,1547,1187,2733,2032,1303,3337,2157,942,3098,1753,833,2585,1954,558,2509,4194,756,4946,3288,106,3398,2249,63,2307,1615,278,1886,3218,33,3259,2870,237,3108,427,598,1026,30881,13346,44224
20804,142,381,523,71,77,145,50,198,246,44,272,316,136,431,570,122,373,495,313,304,622,292,368,663,439,442,881,451,411,862,427,394,825,501,240,746,996,450,1449,787,67,854,650,47,703,762,299,1054,2843,50,2892,1119,158,1270,127,165,293,10274,5136,15406
20901,293,349,644,143,145,289,203,576,776,176,920,1102,625,1748,2379,618,1037,1661,1762,962,2720,1614,974,2587,2259,1080,3335,2120,819,2933,1899,776,2675,2000,535,2536,4286,811,5095,3294,94,3391,2257,44,2295,1628,311,1939,3784,46,3825,3001,251,3253,465,526,990,32420,12007,44431
20902,306,428,729,168,195,362,229,746,977,177,1028,1199,763,1789,2553,689,830,1516,1770,797,2569,1470,928,2394,1818,1071,2889,1848,821,2665,1495,667,2161,1406,503,1914,2800,650,3447,2017,165,2183,1186,72,1259,802,166,967,1319,62,1377,1936,421,2358,434,500,933,22630,11829,34457
20903,109,94,206,74,57,128,83,161,241,56,234,291,227,486,713,261,316,572,596,288,879,667,299,964,1023,311,1337,1084,240,1327,992,198,1193,1090,147,1239,2346,192,2535,1953,20,1978,1451,6,1456,1038,96,1130,2504,5,2510,1938,62,2004,201,150,354,17686,3373,21059
20904,620,504,1128,282,181,464,443,636,1071,354,1032,1383,1661,2029,3692,1634,897,2532,4032,1025,5054,3392,1353,4748,4589,1429,6019,4851,1037,5889,4258,685,4941,4190,516,4702,7947,510,8458,4969,113,5076,2689,46,2735,1596,116,1717,2341,40,2374,4975,276,5250,931,563,1496,55740,12987,68732
21001,164,159,329,92,86,178,109,244,353,62,422,488,473,850,1320,330,446,775,1166,395,1556,882,369,1246,1117,417,1530,1073,327,1402,916,259,1172,908,191,1101,1929,256,2182,1510,44,1551,980,22,1008,801,91,898,1644,10,1658,1494,95,1584,327,276,607,15968,4963,20932
21002,59,53,109,36,30,62,32,92,125,40,138,183,144,302,449,141,158,300,373,142,512,392,161,552,546,164,708,541,114,656,515,104,618,515,86,599,1071,103,1171,784,6,786,553,3,551,423,55,473,817,6,827,867,31,898,115,106,221,7966,1858,9827
21003,230,265,494,98,117,219,173,452,621,151,719,873,630,1423,2054,501,624,1122,1463,527,1991,1194,572,1765,1528,677,2204,1481,536,2023,1265,443,1702,1203,342,1545,2366,464,2829,1683,120,1803,1087,54,1139,659,114,774,1047,30,1083,1607,223,1827,365,419,787,18729,8137,26861
21004,71,80,154,44,41,86,63,129,195,58,218,275,206,514,724,246,274,518,587,253,846,553,290,852,791,371,1161,849,259,1105,766,179,949,792,109,899,1589,141,1725,1069,6,1076,631,7,640,404,38,443,677,5,687,928,56,988,162,155,322,10510,3138,13641
21005,524,324,845,238,130,366,436,569,999,367,777,1141,1376,1332,2702,1421,612,2029,2947,612,3555,2824,882,3704,3620,872,4493,3457,562,4022,2786,404,3190,2661,274,2933,4790,300,5095,2840,61,2898,1628,35,1660,1052,73,1119,1526,23,1555,3712,188,3899,718,433,1150,38918,8446,47358
21101,347,376,726,162,155,321,252,521,769,195,914,1107,830,2034,2858,981,1080,2063,2480,1038,3511,2338,1203,3543,3206,1196,4402,3252,835,4090,2818,593,3417,2862,466,3335,5951,577,6528,4191,92,4286,2531,53,2585,1671,175,1840,3045,38,3078,3831,243,4075,594,551,1142,41538,12132,53669
21102,69,56,121,30,26,58,18,66,80,22,94,114,106,212,318,96,132,233,259,101,358,280,115,389,376,138,513,379,89,465,325,67,385,401,50,447,690,95,784,602,7,611,486,3,491,470,46,515,1346,9,1351,809,16,824,129,62,199,6886,1373,8262
21103,246,274,519,116,148,267,198,431,626,146,763,909,588,1739,2332,631,1076,1707,1630,875,2504,1605,1013,2618,2142,1063,3206,2184,788,2967,1853,636,2488,2045,445,2486,4089,516,4604,3145,103,3244,1946,37,1990,1262,142,1399,2290,19,2316,2571,203,2771,374,484,853,29064,10750,39820
21104,203,181,381,89,78,171,120,304,426,92,417,511,343,880,1226,325,591,917,890,428,1320,909,512,1424,1260,468,1729,1156,341,1499,952,320,1273,1027,233,1261,2053,293,2342,1693,55,1749,1105,31,1138,817,117,929,1592,20,1615,1412,129,1537,200,260,459,16240,5670,21908
21105,251,285,534,157,167,326,246,571,814,211,935,1146,751,2156,2908,972,1196,2167,2396,1016,3412,2333,1113,3448,3156,1150,4312,3278,728,4000,2831,564,3396,2869,396,3266,5792,476,6269,3917,59,3980,2151,24,2172,1323,165,1491,2476,35,2505,3966,199,4170,732,591,1329,39807,11837,51646
21201,192,178,369,84,67,152,152,306,460,161,452,610,522,1059,1580,646,571,1219,1532,514,2043,1436,706,2140,1985,737,2725,2242,445,2687,1851,354,2212,2029,200,2230,3579,290,3866,2316,39,2354,1219,18,1235,730,65,797,1241,12,1249,2269,128,2397,384,351,729,24566,6491,31055
21202,306,264,565,167,104,269,276,387,666,226,611,842,794,1383,2173,848,673,1522,2212,588,2800,2023,821,2843,2758,789,3555,2796,533,3326,2411,389,2802,2449,265,2715,4674,344,5019,3053,72,3132,1744,34,1775,1196,117,1314,2125,38,2165,3222,196,3422,526,418,946,33811,8024,41836
21203,374,257,635,161,65,231,264,362,625,245,521,763,793,1215,2014,1083,618,1703,2325,674,3001,2421,894,3320,3543,929,4475,3934,669,4604,3581,452,4035,3435,304,3743,6739,321,7062,3970,66,4036,2102,38,2140,1121,99,1213,1717,32,1751,3728,190,3915,612,414,1031,42166,8123,50285
21204,764,575,1342,294,218,512,553,933,1490,437,1503,1936,1673,2774,4445,1613,1281,2895,3891,1226,5115,3421,1301,4722,4415,1262,5675,4021,830,4846,3266,586,3852,3010,398,3407,5310,509,5816,3263,160,3421,1729,96,1826,1076,154,1231,1641,125,1759,4119,451,4575,761,738,1506,45260,15121,60375
21205,887,1273,2160,363,350,713,419,768,1187,323,1087,1412,1133,2109,3242,1022,1244,2265,2653,1107,3758,2407,1170,3585,3344,1229,4571,3014,932,3948,2525,791,3311,2608,581,3185,5388,916,6305,3965,238,4202,2683,129,2812,2073,330,2399,4605,108,4717,4123,525,4645,505,526,1033,44047,15408,59458
21301,752,535,1282,333,209,544,676,906,1580,493,1214,1703,1760,2256,4021,1596,951,2547,3725,938,4669,3250,1138,4383,4210,1105,5315,3947,761,4708,3212,545,3758,3022,379,3395,5234,462,5694,3383,131,3517,1911,76,1987,1145,117,1258,1743,54,1800,4418,356,4771,1002,646,1645,45807,12759,58564
21302,236,259,494,121,125,242,179,449,632,122,736,859,554,1381,1936,492,605,1097,1304,530,1833,1150,709,1858,1421,812,2237,1448,568,2013,1289,527,1814,1298,390,1688,2709,556,3269,2057,86,2142,1551,48,1599,1173,251,1431,2622,59,2681,2080,193,2269,366,410,775,22165,8698,30862
21303,243,400,642,111,194,302,215,630,840,159,796,961,476,1158,1635,498,605,1105,1079,685,1761,980,816,1801,1341,1050,2385,1245,852,2093,1165,696,1861,1205,549,1754,2443,874,3312,1959,228,2182,1410,126,1531,1099,289,1388,2141,122,2262,1574,514,2088,229,344,576,19553,10933,30481
21304,422,265,688,172,108,279,286,483,769,262,660,920,881,1413,2296,1070,759,1827,2387,715,3107,2221,913,3135,3179,1027,4204,3305,723,4025,2880,509,3388,2873,317,3190,5717,398,6114,3664,64,3724,2165,19,2182,1306,103,1410,1952,27,1975,3377,149,3527,648,521,1166,38766,9157,47926
21305,571,435,1010,250,141,392,433,607,1040,394,743,1137,1151,1521,2676,1497,877,2372,2904,932,3836,3384,1246,4636,4511,1427,5933,4790,1085,5869,4312,768,5081,4182,542,4727,8430,739,9164,5306,146,5453,3207,65,3280,2119,195,2318,3262,46,3307,4767,289,5061,758,535,1295,56237,12346,68588
21401,265,394,662,142,171,310,231,716,949,244,1187,1432,835,2665,3503,1031,1402,2429,2350,1206,3557,2202,1550,3756,2916,1519,4435,2958,1031,3991,2572,696,3268,2433,462,2898,4894,528,5426,3201,93,3291,1757,48,1805,1063,161,1228,1714,20,1733,3327,303,3627,608,800,1403,34757,14930,49687
21402,344,461,810,199,222,422,235,806,1036,259,1415,1680,1068,3283,4350,1083,1966,3046,3284,1427,4709,2770,1481,4244,3539,1415,4948,3368,840,4208,2673,636,3303,2708,463,3164,4855,502,5359,3243,55,3295,1973,18,1994,1346,336,1688,3093,30,3122,4184,218,4400,853,1152,2002,41053,16738,57791
21501,144,154,301,101,122,220,138,505,646,115,853,968,579,1893,2476,545,859,1408,1608,721,2326,1320,751,2074,1587,559,2145,1542,339,1884,942,249,1195,996,156,1156,1536,211,1748,873,38,908,469,18,489,219,98,314,450,21,469,1505,88,1587,326,574,899,15003,8210,23215
21502,117,141,256,92,89,177,136,404,531,138,689,822,497,1315,1804,482,635,1114,1396,558,1949,1080,580,1660,1276,500,1779,1280,288,1568,916,208,1127,923,128,1047,1506,137,1638,849,27,874,437,19,452,240,75,308,421,8,430,1390,86,1480,359,419,776,13527,6292,19817
21503,110,126,237,79,75,151,95,261,363,86,503,588,420,1056,1475,317,498,809,1014,434,1448,796,368,1169,952,372,1323,917,167,1077,570,140,713,643,82,727,918,107,1020,481,19,499,238,8,243,133,46,179,261,4,264,915,58,974,248,363,608,9175,4696,13869
21601,108,118,225,63,46,109,76,253,331,81,420,503,352,944,1293,320,430,742,1042,365,1404,730,398,1125,950,360,1315,985,171,1153,639,120,761,679,91,777,1097,108,1202,587,17,600,326,8,330,144,39,186,284,8,288,962,46,1009,222,321,540,9639,4254,13899
21602,74,77,148,54,57,105,80,216,300,59,351,408,333,794,1125,259,348,609,848,288,1136,602,304,905,760,237,991,725,130,858,503,91,598,507,61,566,777,65,833,416,17,436,219,6,225,103,28,138,205,7,210,759,43,801,205,312,516,7471,3428,10899
21603,163,141,309,80,91,167,129,392,519,140,681,817,550,1243,1797,581,679,1258,1423,584,2006,1118,686,1810,1511,575,2091,1420,367,1792,1084,275,1360,1076,158,1242,1875,206,2080,1169,54,1225,565,21,585,313,76,392,626,18,646,1521,111,1631,356,459,818,15698,6825,22527
21701,54,120,175,57,76,135,83,333,419,81,478,554,338,1060,1394,330,497,829,952,366,1321,758,414,1166,923,357,1287,842,213,1050,650,150,803,590,105,698,974,135,1107,611,18,634,323,4,331,175,56,230,313,3,318,953,44,998,211,348,555,9214,4778,13991
21703,114,103,219,83,95,183,93,284,384,90,460,547,359,992,1351,331,503,828,868,393,1261,755,453,1205,1013,395,1406,880,210,1090,589,154,740,653,80,731,1060,109,1175,564,23,584,293,4,302,135,65,205,319,9,325,894,65,965,219,319,532,9311,4724,14030
21704,113,113,227,74,80,154,99,354,451,106,553,660,405,1042,1450,417,639,1056,1061,530,1590,920,556,1482,1156,498,1658,1199,298,1503,892,233,1126,955,153,1116,1583,154,1741,984,45,1031,492,28,518,295,87,381,546,29,572,1142,113,1251,227,337,566,12658,5862,18519
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
