SA2_MAINCODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
204031071,294,274,318,229,184,207,215,277,36,2041
204031072,716,379,369,235,253,168,183,315,48,2649
204031073,763,1090,1026,890,923,752,538,861,120,6955
204031074,1152,1869,1996,1504,1369,1138,839,1183,186,11239
204031075,417,443,326,216,256,157,139,246,34,2248
205011076,889,972,1174,721,746,600,577,980,126,6782
205011077,599,420,452,261,289,154,198,339,47,2748
205011078,572,544,566,382,381,279,251,407,51,3434
205011079,1163,1611,1322,937,989,720,459,1031,129,8357
205021080,0,0,0,0,0,0,0,4,0,4
205021081,628,894,867,747,651,680,360,803,99,5729
205021082,680,422,515,379,372,263,263,519,59,3479
205021083,0,0,0,0,0,0,0,0,0,0
205021084,475,504,527,490,402,370,156,472,67,3452
205021085,516,329,283,287,218,163,147,323,41,2304
205021086,279,357,319,296,226,217,117,236,38,2086
205031087,938,443,478,313,325,248,205,513,51,3508
205031088,23,7,0,3,3,0,5,6,0,50
205031089,753,475,635,415,413,354,350,530,78,4012
205031090,914,725,745,478,519,452,335,558,56,4781
205031091,527,639,774,527,412,480,150,462,75,4049
205031092,0,0,0,5,0,0,0,0,0,12
205031093,1251,1266,1359,1010,843,956,484,1088,147,8395
205041094,556,752,892,531,636,492,399,517,95,4857
205041095,431,757,1181,836,765,695,449,833,138,6085
205041096,354,518,721,568,585,543,414,678,86,4472
205041097,1214,2186,2023,1338,1740,1173,808,1218,212,11911
205041098,204,268,408,224,265,195,229,243,41,2088
205051099,5,0,0,0,0,0,0,3,0,17
205051100,326,252,278,174,162,134,87,207,44,1670
205051101,982,817,1072,692,643,446,553,773,98,6065
205051102,454,226,286,166,174,137,165,216,22,1848
205051103,698,1245,986,783,662,633,289,761,99,6155
205051104,491,265,283,226,184,175,162,323,36,2144
206011105,2003,6131,1291,1575,1777,1099,296,714,229,15111
206011106,946,2727,559,652,790,506,110,272,90,6655
206011107,908,2589,765,763,1004,576,218,428,130,7390
206011108,1696,4400,1427,1284,1734,1137,498,862,207,13246
206011109,663,1416,563,447,789,493,149,262,71,4851
206021110,814,1864,395,442,611,380,112,217,82,4921
206021111,2107,5717,1055,1258,1554,956,237,485,202,13574
206021112,1367,3569,957,993,1203,768,266,554,129,9806
206031113,1208,2684,591,782,1005,600,215,411,116,7609
206031114,2296,4436,1384,1384,2283,1462,396,756,260,14671
206031115,563,1753,284,507,601,370,154,303,82,4631
206031116,1321,2505,683,675,1119,672,182,335,105,7599
206041117,720,2630,426,862,722,572,121,358,89,6501
206041118,1137,2388,372,436,684,467,74,215,119,5898
206041119,596,1463,113,217,353,162,21,61,46,3031
206041120,8,9,3,0,0,7,0,5,0,38
206041121,948,2714,405,556,807,423,114,239,88,6294
206041122,1843,5279,1547,2341,1560,1403,200,1389,282,15847
206041123,1258,4085,718,1083,1142,807,183,502,171,9952
206041124,353,1467,162,492,387,283,40,258,54,3503
206041125,657,1535,177,209,391,259,24,66,53,3377
206041126,1888,4078,791,1088,1272,832,117,423,213,10711
206041127,0,0,0,0,0,0,0,0,0,0
206051128,1885,3251,413,508,981,609,77,213,154,8083
206051129,1733,3644,737,848,1062,740,115,255,148,9276
206051130,2205,3177,598,572,1118,707,152,270,134,8931
206051131,5,3,0,3,0,0,0,3,0,13
206051132,1291,2470,380,457,787,413,60,163,94,6116
206051133,2564,5600,1407,1526,1931,1206,235,634,264,15372
206051134,1544,3689,908,975,1214,885,154,400,157,9924
206061135,899,1902,262,385,638,452,45,155,81,4828
206061136,2195,4815,893,1112,1433,1035,137,352,188,12157
206061137,2313,5277,712,968,1475,1105,119,316,204,12487
206061138,1434,2556,323,435,800,627,36,164,179,6545
206071139,860,2179,396,472,541,378,78,182,92,5171
206071140,728,2372,260,462,586,380,73,118,77,5039
206071141,749,1990,375,455,479,320,73,188,85,4711
206071142,898,2411,324,526,496,374,83,202,104,5427
206071143,1156,3194,488,656,766,430,84,160,111,7038
206071144,3368,7407,1381,1565,2205,1530,300,714,292,18752
206071145,827,2385,335,385,540,299,67,156,95,5084
207011146,706,1401,253,295,459,292,56,151,52,3659
207011147,1306,2619,429,557,938,728,106,252,143,7076
207011148,1664,3237,634,743,1194,1043,149,390,182,9234
207011149,1949,4060,548,842,1298,913,108,298,149,10156
207011150,1704,3316,470,581,1072,706,85,218,117,8263
207011151,2071,5179,717,1146,1564,1097,148,494,194,12610
207011152,1425,3347,480,677,999,695,102,270,120,8107
207011153,2375,4967,672,976,1483,1066,137,362,217,12255
207011154,612,1176,209,269,402,298,41,110,37,3159
207011155,1622,3081,407,602,987,678,62,190,116,7747
207021156,777,1348,518,457,704,584,141,300,93,4921
207021157,1370,2557,934,820,1224,1029,244,577,187,8942
207021159,1467,2192,704,599,1126,871,168,355,119,7602
207021160,979,1754,611,506,801,652,145,344,99,5883
207021424,1051,1985,656,585,1078,783,165,355,102,6754
207021425,825,1684,665,603,820,640,192,390,105,5923
207031161,1547,3372,994,894,1384,924,280,564,152,10104
207031162,690,1531,500,434,651,428,124,285,53,4705
207031163,1170,2745,969,951,1125,914,198,614,171,8852
207031164,1079,2778,815,786,1132,787,215,462,133,8186
207031165,658,1400,415,594,622,582,135,395,88,4895
207031166,547,1232,479,452,636,492,147,401,80,4471
207031167,929,2037,313,421,669,411,79,174,62,5098
208011168,1439,1993,470,536,882,714,86,215,93,6422
208011169,2553,3921,512,763,1193,954,88,253,219,10461
208011170,1610,2557,471,592,945,732,114,205,100,7322
208011171,991,1616,564,536,767,535,120,250,63,5435
208011172,1892,2751,597,824,1082,784,138,271,104,8438
208011173,1803,2668,572,691,998,711,102,249,119,7916
208021174,1904,3538,965,946,1491,995,244,492,138,10709
208021176,1276,3153,872,813,1230,864,212,458,169,9049
208021177,1842,4086,653,863,1203,815,138,352,201,10149
208021178,1548,3127,629,770,1111,799,141,307,131,8562
208021179,1086,2317,420,482,760,508,84,213,94,5965
208021180,522,1231,393,367,530,386,104,213,55,3805
208021181,770,1610,467,424,670,464,133,276,70,4867
208021182,958,2418,647,685,906,627,182,415,108,6946
208021426,1118,2089,745,719,1021,709,215,386,108,7104
208021427,973,1728,757,577,1000,608,181,353,99,6278
208031183,681,1084,558,450,736,554,232,296,88,4672
208031184,3,4,0,0,0,0,3,4,0,22
208031185,948,1200,840,533,964,590,241,382,102,5812
208031186,901,1653,1017,699,1096,610,294,485,110,6862
208031187,285,485,431,289,411,294,172,219,30,2612
208031188,1547,2922,1397,1026,1629,1196,372,608,147,10847
208031189,962,1694,854,651,998,608,207,328,101,6400
208031190,1081,1882,764,636,985,658,184,317,107,6605
208031191,650,1077,530,407,667,419,148,266,74,4229
208031192,0,0,0,0,0,0,0,0,0,0
208031193,1672,2926,1212,1022,1464,1017,266,452,134,10168
208041194,1989,4055,575,794,1308,923,116,344,158,10262
208041195,1836,3914,672,854,1314,958,147,393,169,10260
209011196,499,889,637,534,689,453,213,387,107,4408
209011197,1332,2768,1499,1104,1693,992,312,593,142,10436
209011198,1016,2619,653,594,973,591,161,346,109,7057
209011199,547,1624,778,721,717,453,354,569,122,5888
209011200,980,2334,465,524,809,483,92,233,80,5994
209011201,738,1518,246,245,558,384,41,127,48,3897
209011202,1206,2321,1098,828,1290,636,195,393,119,8078
209011203,1195,2629,1147,897,1330,733,263,444,109,8747
209011204,507,1070,642,482,680,425,210,334,66,4404
209021205,581,1143,468,574,649,683,217,495,64,4879
209021207,1074,2434,1588,1358,1626,1050,780,1310,222,11445
209021208,1018,2214,1533,1017,1467,1022,612,1137,197,10217
209021428,1066,2708,1104,1111,1233,888,410,814,158,9491
209021429,751,1930,656,585,788,577,209,390,88,5976
209031209,1970,3576,1461,1217,1799,1068,278,582,132,12071
209031210,219,453,342,229,218,135,80,133,17,1840
209031211,242,262,402,240,227,107,139,196,36,1847
209031212,414,640,489,246,361,190,90,184,46,2657
209031213,781,1151,703,480,799,569,174,285,66,5004
209031214,664,968,449,341,463,277,81,171,46,3467
209031215,1019,1668,1237,866,1193,768,231,457,102,7534
209041216,395,809,364,366,530,418,178,251,53,3369
209041217,247,490,377,302,398,315,184,317,47,2681
209041219,628,1029,1364,867,1051,881,962,1289,192,8266
209041220,908,1489,1355,935,1421,1125,673,864,154,8925
209041221,493,1017,870,681,861,607,487,576,85,5669
209041223,502,857,1125,810,878,753,970,1231,171,7299
209041224,815,949,1490,819,1202,758,812,733,142,7706
209041225,454,532,788,401,524,357,257,322,69,3703
209041430,1281,1821,1818,1238,1649,1082,563,779,172,10401
209041431,474,770,898,682,847,714,632,736,106,5852
209041432,283,418,527,430,505,381,417,498,83,3543
209041433,416,866,642,612,731,549,544,527,94,4967
209041434,861,1407,1211,971,1224,795,619,679,126,7889
209041435,687,1174,851,653,970,702,449,460,108,6049
209041436,604,940,852,665,937,707,421,554,88,5762
209041437,391,757,585,465,589,401,502,423,67,4180
210011226,466,758,503,365,605,371,225,246,71,3608
210011227,0,0,0,0,0,0,0,0,0,0
210011228,581,805,541,334,678,462,205,269,68,3942
210011229,1435,2560,1491,1000,1893,1211,653,817,232,11297
210011230,556,873,426,340,592,362,129,214,70,3563
210011231,797,1347,505,443,792,483,123,237,64,4784
210021232,918,1436,955,674,925,544,275,389,66,6188
210021233,284,500,214,152,166,101,46,87,31,1583
210021234,265,415,383,269,325,171,91,137,29,2092
210021235,591,734,834,471,593,345,331,452,78,4427
210031236,430,1058,399,338,487,319,153,287,67,3537
210031237,415,926,724,589,558,468,456,589,118,4842
210031239,1445,3072,1468,1116,1838,1038,498,832,182,11483
210031438,805,1798,1469,1055,1222,814,729,1157,175,9226
210031439,205,336,172,133,252,147,81,85,13,1433
210031440,216,394,380,213,318,185,193,193,41,2136
210041240,734,1070,1053,757,1002,676,438,502,66,6294
210041241,1423,2024,2154,1626,2237,1435,1044,1082,217,13240
210051242,201,405,631,595,364,328,545,668,96,3838
210051243,259,393,700,620,414,396,627,674,136,4215
210051245,776,1215,1200,869,1473,874,716,780,161,8073
210051246,1149,1371,1233,671,1375,1020,555,671,193,8237
210051247,273,456,646,600,500,480,618,625,110,4308
210051248,14,13,7,7,3,5,3,4,0,58
210051249,596,1029,1063,958,909,818,926,968,170,7428
210051250,265,419,453,356,482,282,305,341,71,2982
210051441,250,358,583,439,528,376,502,511,58,3596
210051442,515,751,711,591,748,487,610,537,102,5051
210051443,601,877,1124,871,1033,773,899,915,138,7244
210051444,535,992,813,776,837,504,783,625,104,5961
210051445,203,245,303,165,276,171,159,180,26,1730
211011251,551,1111,1003,690,834,537,383,561,89,5760
211011254,892,1639,1028,764,1094,833,424,575,123,7366
211011255,629,693,528,309,659,449,153,232,52,3702
211011256,970,1703,1200,766,1365,957,443,610,119,8123
211011257,585,903,575,396,671,534,189,302,40,4191
211011258,792,1201,774,476,957,704,290,398,97,5683
211011259,851,1618,878,650,1068,755,303,490,97,6705
211011260,1137,2228,1003,802,1365,950,380,606,145,8617
211011446,1093,1964,1895,1180,1613,1051,669,1061,162,10694
211011447,699,1327,1109,720,1036,649,426,602,131,6691
211011448,823,1403,1344,820,1162,787,464,655,133,7590
211011449,270,407,442,232,353,200,116,183,35,2245
211021261,1365,2200,760,654,1112,854,173,409,116,7642
211021262,1043,1315,688,493,720,496,115,269,81,5225
211031263,630,1076,1130,640,960,626,397,600,93,6139
211031265,1441,2259,1378,1013,1556,1193,285,579,128,9840
211031266,936,2020,1147,903,1247,787,342,652,120,8159
211031267,1316,2754,1346,1036,1386,932,370,688,112,9948
211031268,759,1282,599,475,733,541,98,257,76,4821
211031450,753,1560,1237,868,1084,658,389,656,105,7306
211031451,729,1458,901,642,940,690,252,465,107,6179
211031452,271,503,413,243,332,221,108,192,40,2323
211041269,625,1365,537,452,688,526,173,343,70,4772
211041270,1060,2682,888,808,1180,718,256,503,106,8196
211041271,724,1703,644,546,802,493,207,396,81,5602
211041272,666,1463,527,454,734,467,159,336,86,4894
211041273,740,1534,535,488,809,600,163,345,66,5289
211051274,714,1300,863,591,678,430,206,386,72,5241
211051275,636,827,915,572,810,581,203,433,56,5040
211051276,890,1028,1202,726,716,516,396,722,144,6333
211051277,456,673,828,502,678,389,286,425,54,4292
211051278,1167,1356,1763,1013,1375,1025,532,971,127,9332
211051279,467,424,540,294,337,237,148,288,53,2785
211051280,406,649,659,348,505,307,149,304,62,3383
211051281,1273,1916,2060,1306,1655,1162,599,1038,163,11182
211051282,834,1456,713,542,531,339,130,318,82,4940
211051283,604,826,997,605,679,466,305,447,92,5023
211051284,616,1342,835,614,698,428,227,387,69,5217
211051285,572,520,861,433,514,321,271,442,76,4010
211051286,819,871,1542,886,790,624,628,952,145,7249
212011287,901,1235,1148,721,1173,809,373,581,108,7053
212011288,666,530,829,401,546,340,379,417,87,4191
212011289,1209,1655,1899,913,1210,735,559,818,117,9111
212011290,532,312,661,329,408,337,407,477,69,3541
212011291,803,1078,1580,961,1231,975,782,1036,142,8590
212011292,1204,1741,2088,1446,1753,1412,1207,1508,192,12545
212021293,1622,2241,1604,1098,1775,1264,520,754,139,11022
212021294,1619,2616,1844,1257,2001,1319,761,1024,183,12630
212021295,211,280,796,440,353,320,548,779,95,3819
212021297,341,595,704,530,600,439,518,639,94,4455
212021299,595,692,629,319,670,456,199,288,67,3919
212021453,561,935,891,517,816,537,455,585,99,5384
212021454,625,1129,941,626,861,658,526,639,115,6136
212021455,640,973,1125,659,1022,836,539,728,119,6648
212021456,524,814,1103,693,914,663,719,809,125,6365
212031300,708,815,1578,1052,1159,889,1071,1225,162,8643
212031301,1238,1977,1810,1463,1727,1147,1119,1204,221,11913
212031302,877,1297,1472,1089,1348,993,1019,1091,143,9343
212031303,636,587,880,406,741,432,332,434,56,4509
212031304,614,884,1232,891,929,687,960,943,113,7257
212031305,605,974,1834,1300,1357,922,1565,1808,243,10605
212031306,746,1380,969,740,1052,682,699,752,133,7151
212031308,454,431,801,364,596,372,342,479,68,3906
212031457,800,1098,1051,697,1052,788,453,568,98,6605
212031458,721,1004,1243,820,1153,840,770,906,149,7608
212041309,518,1021,749,493,831,633,383,587,103,5321
212041310,426,1047,796,556,653,522,484,817,103,5407
212041311,666,1149,2136,1145,929,884,1443,2080,306,10741
212041312,696,1242,1585,966,1200,906,931,1191,163,8881
212041313,694,1044,764,421,862,664,248,368,73,5136
212041314,1325,2042,1497,1016,1687,1219,1207,1626,232,11846
212041316,258,452,467,305,424,310,353,426,75,3063
212041317,510,1082,1200,904,694,781,1058,1647,226,8099
212041318,367,568,673,531,535,529,729,1062,135,5123
212041459,364,748,765,701,630,436,639,931,135,5350
212041460,461,874,1039,863,802,652,921,1395,200,7204
212051319,1243,2609,898,784,1185,844,266,519,139,8500
212051320,637,2396,875,905,982,804,406,770,130,7896
212051321,1344,2945,768,764,1228,919,256,541,163,8935
212051322,1181,2618,825,732,1174,852,246,583,159,8372
212051323,1018,2308,607,609,967,692,181,403,115,6894
212051324,1250,2685,834,639,1188,790,248,516,152,8308
212051325,1155,2187,1086,713,1412,935,470,698,151,8813
212051326,1249,2826,1240,953,1440,1011,422,787,145,10070
212051327,1436,2635,834,732,1333,888,289,480,154,8778
213011328,235,526,445,388,379,261,365,536,88,3219
213011329,419,753,513,363,637,477,511,606,101,4375
213011330,867,1609,1415,1210,1583,926,1510,1488,291,10888
213011331,248,392,471,367,512,404,518,585,80,3587
213011332,543,967,884,584,922,634,581,643,98,5851
213011333,260,459,734,546,570,491,746,988,142,4945
213011334,400,746,1108,820,724,654,954,1367,196,6961
213011335,318,621,857,716,622,514,916,1340,189,6093
213011336,335,749,568,448,531,346,391,665,89,4120
213011337,290,581,615,503,478,418,554,809,170,4412
213011338,473,964,892,744,906,667,965,1151,204,6963
213011339,515,839,777,625,887,627,579,641,109,5606
213011340,1177,1582,1278,818,1566,1150,623,747,150,9089
213021341,856,1551,775,578,944,505,346,367,98,6025
213021342,800,1538,1267,949,1426,836,938,989,162,8906
213021343,703,1114,838,542,791,551,450,508,111,5601
213021344,1725,2962,986,765,1300,682,351,453,153,9381
213021345,237,485,358,247,359,221,237,221,51,2416
213021346,1570,2469,642,625,1012,652,146,294,136,7559
213031347,754,1640,907,916,960,732,674,1028,190,7802
213031348,890,2387,827,967,985,772,410,835,162,8246
213031349,983,1770,639,718,945,722,279,493,118,6665
213031350,811,1819,425,442,631,357,156,291,80,5019
213031351,720,1613,612,606,729,511,344,611,111,5861
213031352,1424,2735,768,683,1054,623,241,434,99,8059
213041353,1035,1472,1536,1072,1359,878,937,849,168,9307
213041355,1110,1668,1593,1000,1740,1218,843,884,181,10243
213041356,633,738,1281,951,1137,805,1022,901,156,7612
213041357,902,1205,1493,1192,1510,945,1153,1031,183,9624
213041358,654,880,1198,980,1157,832,956,810,163,7637
213041359,56,41,119,75,95,83,125,100,23,721
213041360,1045,1521,1191,813,1468,922,804,830,176,8777
213041461,148,286,257,240,283,202,275,296,51,2035
213041462,262,507,369,292,414,253,294,302,41,2739
213041463,1216,1848,1186,933,1477,979,813,771,172,9400
213051361,771,1270,1370,1072,1444,1054,1102,980,176,9253
213051362,644,1161,1188,962,1280,875,1021,1014,170,8315
213051363,416,933,509,401,519,351,393,527,108,4163
213051365,1439,2733,1803,1954,2393,1391,2094,1448,299,15548
213051366,980,2080,1127,1210,1450,836,1334,926,211,10155
213051368,716,850,745,505,790,502,446,522,91,5172
213051369,903,1585,1400,1312,1696,1066,1206,1067,160,10398
213051464,1156,1427,612,482,873,580,309,328,125,5889
213051465,1515,2739,1254,1074,1675,1052,716,731,193,10943
213051466,987,1893,745,647,1054,651,352,442,108,6880
213051467,605,1014,1119,955,1108,826,1108,1067,157,7956
213051468,549,809,980,649,967,573,639,571,96,5816
214011370,819,1136,1783,1174,1478,1137,1063,1206,172,9975
214011371,965,1884,1658,1323,1251,1113,617,1016,184,10012
214011372,606,993,1340,998,882,822,688,1012,135,7462
214011373,1318,2079,1261,921,1174,1047,300,557,112,8770
214011374,1470,1776,2491,1438,1971,1454,714,1171,189,12678
214011375,822,1370,1370,898,1056,737,537,710,134,7631
214011376,950,1139,1013,738,1089,768,452,613,117,6882
214021377,619,813,864,529,592,529,216,429,77,4666
214021378,561,606,360,197,250,183,65,200,56,2475
214021379,1081,1337,2144,1463,995,930,583,1096,143,9767
214021380,1328,2043,1668,1285,1324,1118,393,874,148,10171
214021381,1682,2348,911,750,1077,879,142,377,119,8290
214021382,1406,2017,1275,938,1097,959,200,569,120,8583
214021383,964,1158,1354,795,735,743,211,658,124,6748
214021384,778,1075,1499,999,798,961,373,903,113,7507
214021385,1126,1322,1866,1026,1248,974,569,999,160,9292
215011386,328,429,421,604,278,307,201,612,66,3248
215011387,524,183,133,129,115,83,54,171,19,1420
215011388,936,1351,1069,877,896,901,427,806,96,7364
215011389,542,218,238,159,165,117,99,188,32,1760
215011390,801,380,305,264,254,172,205,445,47,2868
215011391,392,163,145,162,125,105,83,246,28,1453
215011392,533,417,421,524,309,300,244,606,57,3405
215011393,496,149,112,116,80,47,72,210,19,1296
215011394,737,339,275,327,214,163,174,321,49,2599
215021395,510,493,518,318,442,382,219,319,60,3272
215021396,301,254,305,236,245,191,186,250,31,2001
215021398,604,162,157,141,116,103,145,284,21,1745
215021399,383,302,340,244,231,285,210,408,54,2453
215021469,696,1278,934,908,744,795,432,1062,113,6964
215021470,787,1075,778,722,744,782,377,702,111,6075
215031400,740,350,261,218,216,176,165,326,41,2486
215031401,860,282,337,225,262,216,209,439,35,2878
215031402,226,218,225,180,167,160,109,212,22,1521
215031403,253,121,113,93,109,79,126,268,57,1227
215031404,651,785,666,523,560,538,254,606,75,4666
215031405,687,296,352,257,249,223,181,382,46,2683
216011406,775,1001,991,866,655,770,408,862,93,6424
216011407,803,595,686,441,456,420,332,770,64,4584
216011408,507,170,234,149,163,161,138,265,20,1810
216011409,329,173,223,160,148,142,164,227,25,1596
216011410,442,172,200,147,128,91,136,259,28,1613
216021411,343,268,311,206,239,229,186,521,51,2365
216021412,318,138,137,88,118,89,97,185,17,1187
216021413,1192,604,703,534,478,423,433,946,109,5415
216021414,353,390,495,389,286,293,170,405,54,2839
216031415,306,407,454,393,390,359,263,544,59,3169
216031416,964,1799,1049,856,946,861,491,986,121,8068
216031417,1229,1472,1319,1034,1147,1050,611,1240,154,9262
216031418,477,305,268,154,217,162,127,259,22,1997
216031419,892,620,569,389,466,338,294,721,76,4370
217011420,887,447,490,362,335,296,423,527,84,3849
217011421,569,746,694,529,527,505,259,515,62,4400
217011422,414,663,707,528,451,383,596,626,76,4446
217011423,1061,396,317,230,238,160,140,326,36,2894
217031471,183,223,207,168,142,136,99,209,23,1398
217031472,546,626,756,695,528,562,416,1083,106,5312
217031473,767,309,312,261,215,151,202,375,51,2648
217031474,654,256,257,232,179,168,176,350,39,2312
217031475,1192,329,382,230,207,222,235,586,60,3458
217031476,317,237,240,172,130,104,80,287,28,1603
217041477,1080,351,345,239,240,190,200,444,58,3151
217041478,958,693,592,439,399,316,304,580,87,4357
217041479,983,1775,1444,1109,1184,1264,589,1382,119,9849
217041480,683,1201,780,716,615,662,315,866,98,5931
297979799,0,4,7,0,0,0,0,3,0,23
299999499,178,405,297,277,182,134,200,307,57,2033
