SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
215011387,0,0,0,15,0,0,0,0,0,0,0,0,0,4,21,28,5,0,0,0,0,0,0,0,0,3,0,7,98,20,6,65,4,42,3,25,10,116,28,417
215011388,0,12,0,55,7,0,0,0,0,0,0,0,0,20,82,112,3,0,0,5,3,0,0,0,0,20,13,47,351,91,18,261,32,139,20,117,27,658,114,1830
215011389,0,0,0,16,0,0,0,0,0,5,0,0,0,4,15,27,0,0,0,0,0,0,0,0,0,3,0,7,91,24,8,76,6,30,6,26,6,113,18,407
215011390,0,6,0,21,3,0,0,3,0,3,0,3,0,10,37,70,0,0,0,0,0,0,0,0,0,12,11,28,153,34,16,153,5,65,14,49,10,362,59,926
215011391,0,0,0,10,0,0,0,0,0,0,0,0,0,4,13,27,0,0,0,0,0,0,0,0,0,13,0,24,79,26,8,69,10,31,0,30,9,169,21,462
215011392,0,0,0,20,0,0,0,3,0,3,0,4,0,15,42,70,3,0,3,0,0,4,0,0,0,15,4,32,150,51,17,150,17,71,13,83,15,398,57,1015
215011393,0,0,0,14,0,0,0,0,0,0,0,0,0,6,22,31,3,0,0,0,0,0,0,0,0,5,3,10,82,16,8,69,9,39,0,23,0,93,31,375
215011394,0,3,0,16,4,3,0,0,0,3,0,0,0,15,39,62,0,0,0,4,0,0,0,0,0,8,4,25,148,35,9,146,14,51,11,47,6,337,57,861
215021395,0,3,0,16,3,0,0,0,0,4,0,0,0,3,28,37,0,0,0,3,0,3,0,0,0,5,6,22,133,28,6,114,13,71,10,44,11,253,44,733
215021396,0,3,0,9,0,0,0,3,0,3,0,0,0,8,28,41,0,0,0,0,0,0,0,0,0,7,10,18,85,29,7,54,5,48,3,37,10,186,36,495
215021398,0,3,0,17,0,0,0,3,0,0,0,0,0,0,16,30,3,0,0,0,0,0,0,0,0,7,4,17,112,22,11,90,11,45,6,25,8,125,27,473
