SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
204011059,20,55,25,19,0,137,7,5,46,60,69,8,207,0,0,0,3,12,3,23,0,0,3,15,58,7,79,0,3,0,4,26,8,46,35,41,227,272,722,91,1397
204011060,21,57,16,20,0,118,8,14,31,30,42,5,127,0,0,4,3,7,0,15,0,0,7,3,38,3,49,0,0,4,0,15,14,40,61,48,242,249,641,79,1325
204011061,0,0,0,0,0,4,0,0,0,3,4,0,6,0,0,3,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,4,9,25,3,44
204011062,11,39,22,11,0,97,5,0,45,36,19,4,120,0,0,0,0,4,3,12,3,0,4,0,43,7,56,3,0,5,5,20,16,45,38,25,203,181,422,84,946
204021063,48,118,37,54,12,291,24,26,124,122,166,32,502,0,0,4,3,26,3,38,0,3,7,17,87,4,115,0,3,11,9,50,19,84,98,93,446,454,1239,170,2503
204021064,8,51,10,20,3,109,14,10,40,39,37,7,147,0,0,0,6,8,3,12,0,0,0,0,35,3,41,0,0,4,7,22,8,46,44,51,225,209,531,64,1125
204021065,6,37,10,16,0,81,3,16,40,38,41,10,144,0,0,0,0,4,3,12,0,0,11,8,37,0,57,0,0,9,3,15,15,43,40,42,214,176,530,73,1077
204021066,78,256,70,92,13,559,82,101,389,252,324,46,1203,0,4,15,12,30,4,64,9,3,18,35,163,4,232,3,0,13,30,86,32,160,219,247,1103,893,2357,219,5040
204021067,50,144,62,39,7,338,37,54,181,145,159,27,600,0,0,9,14,7,5,38,4,3,15,10,81,7,110,3,0,15,18,59,19,110,125,167,704,629,1370,163,3152
204031068,44,69,17,19,3,190,35,28,116,89,60,18,346,3,5,8,4,3,0,23,4,0,4,3,22,3,40,4,0,12,3,17,8,50,132,130,406,287,489,72,1509
204031069,43,131,35,40,8,289,21,40,90,78,70,9,318,0,10,21,19,35,3,88,0,3,6,9,42,3,65,5,0,16,10,36,7,75,125,143,602,454,1033,127,2478
204031070,17,18,11,15,0,84,11,13,68,41,47,10,196,0,0,0,7,4,0,14,0,0,3,3,34,0,41,0,0,0,9,30,8,45,37,44,178,181,468,60,973
204031071,13,44,9,18,5,105,13,18,66,51,77,8,228,0,0,0,3,6,0,5,0,0,5,7,48,0,56,0,0,6,5,20,6,43,40,44,234,218,605,70,1216
204031072,30,74,31,28,8,190,17,14,75,84,101,3,302,0,0,0,3,9,0,14,0,0,3,3,72,0,81,3,0,4,9,30,15,58,55,66,316,296,858,120,1717
204031073,64,164,80,88,13,465,50,57,242,195,290,24,856,0,0,7,6,18,0,30,0,0,15,36,160,3,210,0,0,9,15,66,26,114,166,185,858,847,2214,180,4447
204031074,108,305,110,128,7,750,116,99,428,293,418,45,1393,4,0,6,10,20,7,53,8,3,12,50,217,11,307,3,3,29,28,132,50,253,347,306,1440,1405,3566,291,7344
204031075,36,76,24,29,5,203,17,22,78,57,81,10,265,0,0,10,3,3,0,19,0,0,0,10,51,3,60,7,3,10,5,25,7,53,92,105,340,238,709,80,1563
205011076,77,213,88,89,9,531,26,38,174,141,236,28,653,0,0,8,15,17,3,46,7,4,21,30,172,4,239,4,4,15,24,92,25,169,133,174,755,726,2320,206,4318
205011077,27,69,32,42,3,199,14,16,92,57,63,10,253,0,0,3,9,10,0,20,3,0,7,8,70,4,88,0,0,6,12,31,13,69,80,84,367,289,890,96,1803
205011078,32,109,36,29,3,240,18,26,117,77,110,12,363,0,0,4,5,25,0,33,3,0,8,18,71,3,107,3,0,10,8,50,10,82,87,95,423,368,1117,117,2205
205011079,132,357,104,122,17,842,80,66,280,188,234,31,879,3,0,5,15,20,5,57,4,9,25,45,164,12,256,0,3,18,30,90,23,162,327,294,1259,966,2402,232,5484
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,47,161,64,91,14,402,50,57,196,177,236,26,744,3,0,6,12,19,0,39,0,0,11,30,143,7,195,0,0,13,16,58,25,110,118,136,683,629,1834,223,3622
205021082,37,85,27,53,7,218,17,25,83,90,125,19,353,0,0,11,8,6,0,28,0,3,0,7,66,3,88,0,0,11,20,42,14,89,58,104,337,380,1082,143,2098
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,36,100,33,41,0,228,19,30,108,86,136,18,393,0,0,3,4,19,0,30,0,0,5,15,75,11,105,0,0,10,13,46,14,92,69,88,370,368,1176,129,2208
205021085,41,88,27,36,11,209,16,11,58,66,77,16,243,0,0,16,5,6,3,34,0,0,4,7,36,5,50,0,3,5,5,23,18,53,41,64,269,235,627,117,1357
205021086,31,76,23,40,3,195,16,26,86,62,90,9,283,0,0,4,3,17,0,25,0,4,3,6,35,3,56,0,0,7,7,32,9,60,60,78,274,229,687,66,1391
205031087,27,84,30,25,0,189,18,25,91,68,82,16,304,5,3,19,11,22,4,64,0,0,3,13,67,0,85,4,0,13,8,38,16,86,95,99,431,378,1045,127,2180
205031088,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,5,9,0,26
205031089,29,96,40,28,11,218,23,23,91,70,141,16,362,0,3,9,3,16,3,30,0,0,4,8,108,7,131,0,0,8,9,68,34,123,75,89,425,385,1346,165,2482
205031090,52,148,40,59,9,336,27,38,148,130,147,17,500,3,0,6,6,12,0,27,3,0,9,9,87,4,110,0,0,11,23,52,17,102,97,137,599,497,1477,171,2976
205031091,51,165,33,26,0,297,26,27,113,85,106,16,376,7,4,52,50,56,12,186,0,0,14,12,75,0,94,3,0,7,14,39,21,85,109,127,605,504,1214,161,2713
205031092,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,12
205031093,103,228,73,85,15,558,64,70,261,179,308,49,922,4,5,26,25,50,5,115,0,0,18,42,164,7,233,12,3,30,29,106,39,220,231,237,1024,861,2592,338,5277
205041094,45,148,56,67,7,393,34,33,178,110,140,23,511,0,0,4,3,15,0,25,0,0,12,10,84,4,117,4,0,10,10,64,13,106,142,139,634,530,1566,168,3183
205041095,46,128,85,85,7,376,28,30,166,152,288,34,703,0,0,5,10,22,5,39,0,5,9,28,137,9,185,0,0,4,20,95,35,155,88,108,526,615,2228,228,3788
205041096,39,76,41,62,12,234,24,20,118,103,185,34,481,0,0,5,3,10,0,25,0,3,9,13,87,7,112,0,0,6,4,69,23,106,54,87,426,420,1460,170,2622
205041097,115,369,94,101,20,797,153,107,554,292,367,61,1532,0,4,14,14,31,4,61,6,4,19,46,253,10,339,4,3,25,8,117,50,207,369,326,1737,1271,3728,341,7775
205041098,10,54,22,25,4,134,6,15,55,41,86,13,219,0,0,3,0,3,0,8,0,0,3,6,33,0,44,0,0,4,9,32,6,49,29,39,198,200,767,69,1306
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8
205051100,16,43,24,19,4,107,13,15,43,37,46,14,154,0,0,3,0,8,3,9,0,0,0,7,32,0,37,0,0,5,3,25,12,47,30,40,213,192,537,83,1089
205051101,54,190,37,85,17,412,22,44,164,130,213,26,600,3,3,14,14,21,0,50,3,3,11,17,140,9,175,0,0,11,22,99,36,175,108,146,669,567,2063,233,3777
205051102,11,43,17,23,4,105,9,10,37,41,39,6,148,0,0,6,0,5,0,11,0,0,8,3,36,0,49,0,0,4,5,26,4,41,24,32,197,200,634,62,1143
205051103,78,201,78,71,4,472,87,68,270,146,209,40,814,3,0,3,11,16,0,32,0,3,11,25,109,7,158,0,0,11,16,75,19,124,207,204,930,715,1777,185,4017
205051104,21,49,13,24,5,119,12,14,63,51,92,3,227,0,0,0,6,3,0,7,0,0,4,3,38,0,47,0,0,10,3,20,4,43,33,48,206,181,676,72,1226
206011105,254,697,102,67,30,1862,419,168,673,143,125,30,1562,104,23,279,52,50,16,525,61,20,132,51,92,16,373,58,10,137,48,58,47,359,2517,901,5574,1361,1495,289,12134
206011106,125,302,53,27,10,802,147,88,313,64,46,7,673,28,9,105,18,17,3,182,23,15,66,32,52,3,185,18,10,67,18,19,15,156,1093,432,2523,598,675,102,5423
206011107,141,364,41,44,12,907,168,83,356,119,81,19,834,22,11,97,24,29,8,187,37,7,72,27,57,4,203,22,10,66,28,35,35,188,1049,450,2471,743,884,171,5767
206011108,281,595,111,76,32,1553,254,147,623,193,192,33,1442,26,16,156,47,33,5,283,47,21,83,63,135,14,347,51,9,127,58,73,46,360,1610,780,4058,1415,1783,290,9931
206011109,72,201,52,33,6,475,83,59,189,75,70,5,484,8,8,40,16,17,8,86,4,3,27,17,56,3,113,10,4,41,18,40,15,120,425,244,1341,544,777,95,3427
206021110,92,209,49,24,8,555,155,65,275,61,56,15,621,23,10,48,13,24,0,116,14,7,35,21,35,3,112,11,7,51,14,22,17,123,725,342,1712,483,545,80,3887
206021111,282,639,103,58,10,1688,448,187,787,167,123,36,1753,60,40,216,39,37,6,402,64,30,119,46,90,8,355,42,13,118,43,61,50,328,2261,1003,5009,1247,1313,233,11069
206021112,221,467,80,41,15,1154,262,118,546,143,106,9,1190,17,28,129,37,30,4,238,28,11,71,36,92,14,248,29,11,102,57,54,31,284,1288,652,3403,1058,1166,190,7754
206031113,118,283,56,43,16,715,158,86,393,118,88,19,857,17,18,95,33,37,7,209,19,7,46,24,60,0,163,24,11,58,24,30,32,170,917,437,2541,816,1012,151,5879
206031114,209,602,129,84,15,1333,273,124,647,193,152,38,1424,24,7,98,37,56,3,218,19,10,85,56,125,12,307,35,8,114,53,81,48,344,1451,695,4497,1614,2100,296,10647
206031115,50,188,33,20,5,486,113,46,240,48,65,9,519,15,8,69,13,11,3,117,18,7,33,9,18,0,97,21,4,55,15,25,20,143,765,251,1680,407,457,98,3655
206031116,132,283,66,40,15,735,134,70,372,89,73,30,769,12,9,64,17,32,3,132,19,8,33,30,64,4,164,23,3,71,25,46,9,178,881,414,2462,835,979,154,5720
206041117,55,239,20,11,6,696,153,50,305,61,45,22,634,28,13,82,18,15,4,164,28,5,35,20,20,3,121,37,0,73,17,20,25,175,1304,266,2427,485,427,139,5041
206041118,22,97,27,16,8,265,63,28,155,37,19,10,309,16,0,40,16,18,4,90,13,3,30,16,30,0,97,21,8,74,19,27,16,167,970,199,2358,588,499,174,4794
206041119,26,105,9,0,3,262,118,43,208,29,17,11,418,15,8,37,12,9,0,78,10,0,23,9,12,0,55,21,5,35,19,3,11,93,589,165,1286,256,167,69,2541
206041120,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,3,0,28
206041121,86,268,47,24,7,649,185,82,342,64,59,10,740,23,25,95,25,29,3,201,18,7,46,16,38,5,137,27,3,80,13,22,10,155,1037,386,2463,597,591,107,5175
206041122,64,322,49,29,11,886,212,57,457,70,48,21,867,45,9,147,44,22,8,278,31,13,112,75,70,15,314,103,10,237,89,43,50,534,2763,437,6388,1484,946,370,12389
206041123,84,358,44,28,10,978,255,93,555,89,74,20,1081,44,19,113,32,22,3,232,34,12,73,47,53,6,209,49,11,111,42,31,30,272,1812,463,3919,883,744,195,8020
206041124,35,166,12,18,0,483,127,21,221,27,17,5,422,19,3,52,12,9,0,94,12,0,27,9,14,0,58,19,3,28,7,10,7,76,713,126,1190,189,226,44,2481
206041125,36,119,11,11,3,288,118,40,202,17,14,9,393,8,10,52,16,3,7,94,10,3,23,7,11,0,52,14,3,57,14,11,6,108,618,173,1442,292,219,63,2805
206041126,61,229,42,24,12,603,178,52,359,61,43,16,709,58,14,174,93,75,4,416,35,9,78,39,50,8,222,52,6,151,46,32,30,315,1927,411,4204,1055,875,215,8685
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,62,204,41,13,6,532,223,73,385,66,40,24,805,25,15,109,30,19,4,196,14,3,47,16,34,3,123,56,8,120,35,36,28,288,1366,376,3177,778,667,191,6557
206051129,118,357,64,38,11,859,207,96,487,119,75,32,1013,41,10,113,42,36,3,248,21,16,65,52,85,4,242,38,8,104,35,44,28,261,1203,513,3466,1046,1136,195,7561
206051130,80,221,64,37,18,572,145,56,304,81,61,13,653,25,8,99,35,36,3,205,14,6,59,36,92,13,216,33,11,112,43,52,39,286,1182,452,3084,1030,1093,214,7059
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6
206051132,54,172,39,19,7,403,136,41,235,44,26,19,508,20,13,97,29,17,0,176,20,10,48,22,39,4,136,35,9,62,19,23,17,162,1014,317,2413,585,551,120,5005
206051133,160,450,91,58,10,1161,319,120,628,181,116,50,1410,48,21,192,78,69,10,424,38,8,107,82,164,13,403,57,12,213,71,77,56,486,2128,693,5407,1773,1957,373,12339
206051134,129,383,89,52,15,932,199,104,458,142,100,15,1025,37,13,112,48,32,11,253,21,7,69,64,91,8,264,43,9,104,51,45,28,269,1264,489,3587,1162,1197,194,7887
206061135,55,137,27,12,7,362,140,41,287,59,31,23,584,11,0,44,14,12,3,79,13,3,28,19,21,4,79,16,3,89,20,20,16,163,736,232,2005,493,378,114,3958
206061136,103,360,72,33,17,848,239,115,638,118,96,24,1225,36,12,181,52,57,6,345,18,6,80,69,111,3,290,41,22,151,46,37,37,334,1498,539,4956,1270,1269,226,9755
206061137,90,309,47,30,15,836,286,80,593,66,66,24,1115,36,16,171,46,30,10,311,26,4,77,53,92,6,256,80,15,173,44,52,33,401,2002,512,5276,1111,1081,259,10252
206061138,39,159,34,15,6,384,201,50,415,81,25,33,806,16,4,68,17,10,5,120,9,5,30,24,47,0,116,52,9,120,37,17,34,261,990,251,2628,648,492,188,5197
206071139,67,172,29,15,3,438,116,48,308,52,36,9,567,17,10,63,22,10,5,123,15,7,36,20,38,12,132,20,8,66,19,13,13,137,772,265,2115,518,466,95,4240
206071140,88,253,26,11,6,685,164,38,291,41,16,5,564,24,9,66,16,9,4,136,10,3,31,8,22,3,81,20,6,74,13,21,8,147,1034,285,2065,360,331,70,4145
206071141,39,150,18,18,3,388,102,38,238,48,44,8,477,18,8,64,16,16,4,128,19,4,33,16,29,3,108,22,5,49,20,18,12,129,739,232,1837,445,487,79,3814
206071142,62,169,38,19,4,519,179,46,280,48,40,4,606,33,11,106,12,13,7,186,31,3,39,15,26,4,115,31,12,80,18,16,14,177,1020,281,2154,449,436,104,4444
206071143,113,272,31,21,3,777,257,88,384,60,41,16,851,24,22,108,21,16,3,201,26,15,75,20,43,3,182,32,14,89,18,28,9,188,1333,484,2858,546,519,99,5842
206071144,203,544,87,47,12,1315,427,168,1014,191,136,48,1982,47,24,249,62,62,9,455,44,15,121,71,155,5,404,59,18,203,59,73,51,474,2387,948,7622,1772,1918,318,14968
206071145,96,239,37,30,3,663,209,89,355,44,31,9,732,36,11,71,10,13,3,147,23,5,39,18,31,0,117,15,14,63,11,9,10,125,995,391,1957,403,430,69,4239
207011146,53,145,30,15,8,363,72,43,207,59,32,14,426,8,3,29,10,5,0,56,13,3,16,16,32,0,74,12,4,41,12,24,8,105,560,237,1315,374,336,60,2883
