SA2_MAINCODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201021011,..,19,10,10,20,35,24,0,3,117,..,7,23,55,79,187,174,103,65,691,5,14,12,14,21,28,24,13,3,125,624,271,275,524,654,786,599,239,111,4086,..,8,163,416,612,752,676,234,43,2904,..,32,136,246,257,192,63,8,7,948,..,7,16,78,96,58,30,22,16,328,1233,..,..,..,..,..,..,..,..,1233,..,236,..,..,..,..,..,..,..,236,..,196,97,37,35,20,7,0,0,384,..,14,4,5,8,17,19,13,10,81,..,12,14,7,6,5,5,4,0,54,..,29,25,21,46,56,42,9,3,239,..,15,39,92,181,323,303,168,79,1192,13,25,29,31,36,54,45,18,3,253,1243,571,528,930,1280,1479,1200,468,165,7861
201021012,..,3,3,3,9,14,6,3,0,36,..,3,14,13,20,37,48,23,8,172,8,15,8,0,5,8,5,0,3,57,506,279,207,342,462,370,265,87,29,2541,..,3,169,407,591,503,375,115,13,2178,..,17,66,104,120,69,18,7,4,407,..,0,18,51,51,25,11,6,13,183,996,..,..,..,..,..,..,..,..,996,..,261,..,..,..,..,..,..,..,261,..,215,67,40,26,9,3,0,0,357,..,10,3,3,4,19,19,10,4,80,..,13,7,3,3,3,3,0,0,35,..,13,6,9,15,20,11,3,0,77,..,11,28,40,74,94,116,56,21,431,22,33,11,7,17,12,9,3,3,120,1024,567,377,656,911,760,562,199,58,5119
201031013,..,3,3,4,12,12,7,0,0,46,..,0,4,6,27,58,56,44,19,208,3,5,4,0,4,6,6,3,0,35,231,121,102,158,205,289,241,92,33,1480,..,5,67,171,214,329,335,105,18,1251,..,15,44,50,50,49,14,3,0,227,..,4,12,26,31,12,5,7,7,103,463,..,..,..,..,..,..,..,..,463,..,90,..,..,..,..,..,..,..,90,..,77,25,16,11,8,0,0,0,143,..,7,0,0,6,10,4,3,4,46,..,5,4,3,3,3,0,0,0,23,..,6,10,10,20,27,17,6,0,95,..,3,12,28,62,121,111,86,26,454,4,15,9,8,13,13,12,3,3,88,473,234,189,314,410,575,510,211,52,2967
201031014,..,4,5,6,3,14,3,5,0,42,..,5,12,14,28,42,71,33,20,221,12,6,4,4,14,3,7,0,0,45,336,149,163,183,267,301,260,86,42,1792,..,3,123,214,275,376,332,94,25,1451,..,21,63,60,76,55,22,5,0,307,..,3,25,21,32,30,10,3,7,127,631,..,..,..,..,..,..,..,..,631,..,149,..,..,..,..,..,..,..,149,..,98,44,31,15,8,0,0,0,193,..,0,0,3,0,9,9,8,3,35,..,8,3,0,3,3,0,0,0,19,..,4,9,6,9,25,10,10,0,80,..,13,24,37,65,117,144,65,30,502,23,9,15,12,16,13,14,6,3,112,653,315,296,381,502,633,545,200,79,3612
201031015,..,3,0,4,5,3,0,0,0,22,..,0,7,7,25,44,38,27,9,155,9,8,4,8,3,3,8,0,0,48,408,217,194,267,331,316,213,67,30,2043,..,12,172,330,376,407,308,73,15,1697,..,31,98,93,101,49,32,3,0,397,..,10,15,32,50,22,11,5,7,155,819,..,..,..,..,..,..,..,..,819,..,211,..,..,..,..,..,..,..,211,..,148,54,26,7,5,3,0,0,241,..,8,0,8,10,11,6,10,12,68,..,11,6,0,3,6,4,0,0,30,..,12,3,10,10,13,9,3,0,50,..,5,23,37,69,106,92,45,12,394,11,19,22,7,9,18,15,0,0,102,835,463,391,542,633,646,466,149,51,4172
201031016,..,21,9,9,10,22,13,8,0,91,..,18,40,18,65,140,176,168,105,717,11,16,17,3,6,7,15,10,3,89,582,367,358,347,462,532,568,377,144,3727,..,21,176,298,423,540,612,369,67,2496,..,93,148,111,84,60,44,15,0,555,..,26,72,100,110,54,30,42,12,440,1163,..,..,..,..,..,..,..,..,1163,..,272,..,..,..,..,..,..,..,272,..,211,78,57,41,24,0,0,0,413,..,29,11,12,10,14,12,11,3,100,..,31,12,5,0,3,0,0,0,54,..,43,38,28,33,42,39,8,3,236,..,36,73,65,154,237,305,255,145,1260,26,34,25,24,19,18,20,15,7,187,1193,795,626,698,869,995,1069,717,231,7187
201031017,..,3,7,10,14,19,15,3,0,67,..,8,5,17,29,66,87,61,29,295,8,11,0,5,6,10,10,3,0,55,346,210,163,240,364,419,379,165,54,2339,..,0,97,215,386,506,464,185,31,1885,..,35,93,76,102,91,38,8,0,434,..,4,23,47,63,36,25,22,17,232,730,..,..,..,..,..,..,..,..,730,..,191,..,..,..,..,..,..,..,191,..,152,64,33,32,23,0,0,0,307,..,8,0,5,10,18,17,11,4,72,..,17,7,4,6,0,0,0,0,36,..,10,13,17,34,30,39,12,3,148,..,10,17,39,103,182,191,97,39,676,13,22,13,22,23,27,23,7,0,152,743,455,331,454,748,900,786,345,95,4859
202011018,..,130,84,32,32,35,12,3,3,326,..,50,135,105,149,231,213,142,106,1137,26,56,29,9,18,24,19,11,7,193,1066,914,960,793,849,838,630,347,169,6562,..,40,495,655,719,769,632,342,63,3710,..,241,458,191,159,91,36,7,5,1180,..,46,122,218,238,132,53,40,24,872,2096,..,..,..,..,..,..,..,..,2096,..,508,..,..,..,..,..,..,..,508,..,352,172,82,53,35,0,0,0,700,..,110,51,15,34,42,36,23,12,313,..,58,35,18,9,10,3,0,0,131,..,258,209,71,67,74,24,15,3,710,..,106,288,253,335,427,365,225,143,2143,60,100,74,44,36,43,27,16,12,418,2161,1810,1902,1543,1654,1615,1185,668,258,12792
202011019,..,72,45,13,25,28,14,3,0,196,..,32,56,57,89,185,163,154,69,808,19,50,25,11,8,11,12,7,10,149,1057,762,730,655,678,726,553,328,112,5603,..,43,459,528,582,704,612,310,50,3280,..,162,331,212,145,72,14,8,0,946,..,55,132,198,180,82,47,38,19,757,2170,..,..,..,..,..,..,..,..,2170,..,443,..,..,..,..,..,..,..,443,..,377,161,74,49,26,11,0,0,695,..,81,30,20,27,36,29,5,10,231,..,50,35,16,13,10,4,0,0,134,..,122,104,29,49,56,33,6,3,404,..,64,129,144,218,308,278,226,102,1466,44,90,58,34,27,22,29,8,7,318,2206,1480,1438,1258,1295,1305,1055,606,190,10826
202011020,..,162,59,3,9,18,19,0,3,277,..,19,89,67,100,221,204,207,139,1062,12,57,29,11,19,9,13,15,13,179,927,869,720,662,845,886,698,506,224,6332,..,23,432,716,905,963,863,510,116,4529,..,168,278,124,151,71,30,10,0,829,..,28,87,145,179,90,29,33,21,610,1988,..,..,..,..,..,..,..,..,1988,..,638,..,..,..,..,..,..,..,638,..,336,134,46,39,29,9,0,0,599,..,70,38,10,20,23,20,21,13,212,..,38,26,11,3,3,3,0,0,84,..,322,144,32,28,38,22,5,4,598,..,51,171,171,212,338,311,280,192,1726,34,101,56,26,27,28,16,26,12,333,2019,1782,1360,1268,1562,1590,1306,886,360,12135
202011021,..,268,69,5,14,6,3,0,0,374,..,50,59,47,69,124,141,95,82,680,16,35,17,5,9,5,4,7,6,101,752,836,567,549,529,501,366,228,136,4455,..,30,346,559,508,567,384,203,81,2673,..,149,246,129,97,42,10,0,0,684,..,18,67,123,135,58,16,16,12,452,1535,..,..,..,..,..,..,..,..,1535,..,383,..,..,..,..,..,..,..,383,..,227,92,30,31,15,3,0,0,391,..,48,24,3,8,19,18,12,0,141,..,50,14,13,0,6,0,0,0,80,..,480,145,28,33,13,14,0,0,712,..,84,126,116,143,222,200,140,111,1142,19,74,41,14,19,18,4,11,11,200,1550,1529,1100,1027,967,963,649,387,220,8403
202011022,..,111,75,15,27,33,25,0,0,296,..,38,108,103,154,261,311,294,172,1437,45,51,32,16,18,30,42,18,3,253,1598,1132,1342,1062,1107,1148,1032,676,250,9339,..,67,902,1036,1024,1240,1092,664,138,6157,..,305,592,294,216,109,56,19,0,1593,..,53,180,225,271,159,56,44,24,1022,3157,..,..,..,..,..,..,..,..,3157,..,686,..,..,..,..,..,..,..,686,..,552,247,113,77,36,4,0,0,1032,..,111,58,19,34,38,49,36,12,360,..,73,51,17,18,9,6,3,0,175,..,207,183,54,58,57,52,15,3,633,..,84,248,251,327,479,470,381,215,2454,84,89,88,52,44,53,54,35,10,517,3245,2232,2548,2079,2063,2180,1843,1201,406,17799
202011023,..,0,0,0,0,3,3,0,3,9,..,0,0,3,6,20,17,7,3,63,9,18,4,3,0,6,3,0,0,48,631,276,277,397,336,267,139,39,15,2377,..,3,289,579,550,418,232,61,5,2128,..,17,109,60,58,38,15,3,3,309,..,3,20,48,35,18,3,3,0,128,1245,..,..,..,..,..,..,..,..,1245,..,311,..,..,..,..,..,..,..,311,..,186,70,22,3,3,0,0,0,283,..,10,3,0,5,0,12,7,7,45,..,11,5,6,0,0,3,0,0,28,..,0,7,3,8,6,3,3,3,29,..,5,10,12,22,46,33,17,9,158,18,22,11,7,5,12,7,0,0,76,1262,581,524,735,685,540,307,86,24,4741
202011024,..,13,9,3,0,3,0,0,0,30,..,3,22,6,24,34,61,40,8,203,10,12,9,3,7,12,3,6,0,63,989,483,405,667,580,484,303,149,24,4085,..,8,423,941,846,741,481,186,39,3662,..,31,119,122,98,55,19,3,6,452,..,3,32,91,85,39,7,9,3,271,2083,..,..,..,..,..,..,..,..,2083,..,578,..,..,..,..,..,..,..,578,..,285,81,22,11,9,0,0,0,411,..,18,3,4,7,11,8,8,7,64,..,24,7,4,8,0,0,0,0,39,..,31,35,5,7,5,0,0,0,79,..,4,33,28,48,62,89,57,13,329,28,21,20,12,13,18,15,4,0,126,2109,998,752,1218,1120,942,616,274,62,8092
202011025,..,54,40,9,15,17,5,8,0,148,..,6,67,38,56,100,106,71,28,471,16,30,26,4,0,15,9,7,0,111,1268,711,967,702,680,634,414,180,62,5625,..,32,827,794,785,770,514,209,32,3974,..,194,428,183,148,74,29,5,7,1052,..,36,113,153,157,80,24,12,13,583,2513,..,..,..,..,..,..,..,..,2513,..,507,..,..,..,..,..,..,..,507,..,391,139,46,33,11,4,0,0,620,..,52,31,6,17,24,25,13,10,170,..,42,37,13,12,3,0,0,0,109,..,116,86,20,23,29,17,16,0,303,..,33,130,83,118,181,160,110,37,839,38,50,42,19,11,26,10,8,0,206,2550,1439,1829,1318,1292,1199,776,364,99,10880
202021026,..,0,6,5,6,12,3,0,0,37,..,3,6,6,21,38,37,20,8,143,6,13,4,9,5,3,10,0,4,55,720,370,345,443,555,463,283,88,30,3303,..,12,265,596,795,710,459,130,17,2975,..,35,171,144,109,75,23,4,0,572,..,7,24,31,62,30,14,13,9,188,1473,..,..,..,..,..,..,..,..,1473,..,409,..,..,..,..,..,..,..,409,..,226,84,24,22,9,0,0,0,360,..,14,9,0,9,13,9,4,5,75,..,16,11,3,3,0,0,0,0,34,..,4,17,6,18,26,15,7,0,77,..,8,31,23,55,81,82,42,14,336,14,28,10,19,16,11,19,3,7,116,1483,764,634,838,1090,950,622,201,46,6626
202021027,..,12,39,24,21,19,15,7,3,144,..,9,16,45,88,207,260,178,109,910,13,16,16,13,12,28,25,11,9,138,738,372,385,562,699,733,664,387,167,4719,..,10,214,448,584,628,570,372,93,2917,..,71,181,237,193,162,89,23,0,945,..,13,43,102,178,85,28,25,18,485,1462,..,..,..,..,..,..,..,..,1462,..,355,..,..,..,..,..,..,..,355,..,230,101,35,45,15,11,0,0,430,..,27,15,7,4,37,22,18,3,132,..,21,32,14,4,7,0,0,0,86,..,36,78,55,52,48,41,12,5,324,..,24,43,95,191,347,377,252,143,1469,23,32,21,24,25,38,49,17,11,235,1482,814,729,1014,1276,1359,1181,712,271,8849
202021028,..,15,7,7,25,30,24,12,0,112,..,3,6,17,64,125,127,71,35,453,12,19,12,9,15,28,16,4,0,103,565,334,239,420,643,712,566,225,68,3774,..,8,154,429,637,795,688,252,62,3028,..,42,120,173,217,197,92,19,0,845,..,3,17,59,93,63,28,15,13,288,1158,..,..,..,..,..,..,..,..,1158,..,323,..,..,..,..,..,..,..,323,..,205,109,38,30,7,6,0,0,395,..,28,6,8,15,15,25,18,15,125,..,11,9,11,11,6,3,0,0,56,..,19,11,13,39,61,42,15,0,206,..,7,20,51,158,299,264,135,58,990,28,29,23,20,27,50,34,5,3,218,1186,676,466,801,1216,1497,1179,455,147,7622
202021029,..,6,3,3,6,18,19,3,0,55,..,0,3,15,39,51,63,58,19,245,5,3,8,5,4,11,9,3,0,47,301,165,148,213,290,370,318,165,38,2001,..,11,104,211,319,401,415,200,36,1686,..,24,52,51,79,71,35,9,0,324,..,6,29,43,35,35,10,11,10,177,599,..,..,..,..,..,..,..,..,599,..,147,..,..,..,..,..,..,..,147,..,107,45,35,20,15,0,0,0,221,..,12,3,4,5,13,13,16,9,78,..,8,8,0,0,3,4,0,0,28,..,5,8,14,19,31,27,6,3,113,..,3,24,33,99,141,138,108,32,567,6,12,19,10,6,19,17,5,0,97,608,336,280,400,586,729,667,342,82,4034
