SA2_MAINCODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
204031073,1393,130,116,6,0,0,9,1650
204031074,2145,211,146,19,3,3,11,2539
204031075,518,26,28,0,0,0,3,578
205011076,1503,147,97,11,3,0,9,1768
205011077,576,40,29,10,0,0,3,654
205011078,695,74,36,3,0,0,7,824
205011079,1803,123,90,13,3,0,15,2044
205021080,0,0,0,0,0,0,0,0
205021081,1134,103,67,11,5,3,11,1328
205021082,678,57,42,8,3,0,3,795
205021083,0,0,0,0,0,0,0,0
205021084,694,63,26,0,0,0,13,796
205021085,427,39,27,13,0,0,4,508
205021086,379,32,19,6,0,0,3,446
205031087,658,51,37,8,0,0,7,753
205031088,9,3,0,0,0,0,0,9
205031089,831,75,49,8,0,0,4,971
205031090,1019,85,51,8,0,0,13,1179
205031091,791,51,42,7,0,0,3,891
205031092,3,0,0,0,0,0,0,3
205031093,1626,137,105,18,0,0,14,1905
205041094,1089,105,50,9,3,3,12,1272
205041095,1227,123,104,19,0,0,10,1476
205041096,868,85,71,13,4,3,16,1059
205041097,2411,242,129,19,5,0,15,2824
205041098,483,44,32,3,0,0,3,573
205051099,0,0,0,0,0,0,0,0
205051100,340,32,19,3,3,0,8,394
205051101,1274,93,73,9,3,0,19,1476
205051102,411,31,23,3,0,0,3,472
205051103,1279,116,77,6,0,0,11,1494
205051104,368,49,24,6,0,0,0,454
206011105,1759,87,26,15,0,0,3,1884
206011106,782,44,15,3,0,0,4,850
206011107,1195,49,11,8,4,0,0,1269
206011108,2866,117,59,28,3,0,5,3074
206011109,1367,49,24,9,0,0,0,1445
206021110,992,35,18,3,0,0,0,1049
206021111,2498,136,35,22,0,0,5,2691
206021112,1829,87,33,13,0,0,8,1962
206031113,1524,93,26,7,3,0,0,1647
206031114,3356,134,48,13,0,0,3,3557
206031115,688,27,17,5,0,0,4,744
206031116,1634,62,19,11,0,0,3,1730
206041117,460,34,15,5,0,0,4,510
206041118,606,27,8,4,0,0,0,645
206041119,249,13,0,0,0,0,0,262
206041120,4,0,0,0,0,0,0,4
206041121,899,46,4,3,0,0,0,955
206041122,803,31,4,3,0,0,4,850
206041123,960,45,29,6,0,0,4,1045
206041124,286,13,0,0,0,0,0,307
206041125,299,20,5,0,0,0,0,329
206041126,647,36,10,3,0,0,0,693
206041127,0,0,0,0,0,0,0,0
206051128,1351,86,19,5,4,0,3,1467
206051129,1165,73,19,7,0,0,0,1258
206051130,1341,96,21,5,0,0,3,1465
206051131,0,0,0,0,0,0,0,0
206051132,725,49,8,0,0,0,0,790
206051133,1129,77,32,0,0,0,3,1240
206051134,1079,50,19,0,0,0,0,1157
206061135,777,40,16,3,0,0,0,830
206061136,1029,64,23,3,0,0,3,1122
206061137,862,79,9,0,0,0,0,953
206061138,1119,75,25,6,0,0,9,1235
206071139,453,31,0,3,0,0,0,489
206071140,612,41,3,0,0,0,0,658
206071141,318,38,9,7,0,0,0,375
206071142,494,33,11,0,0,0,0,546
206071143,914,65,13,6,0,0,0,998
206071144,1856,124,36,18,0,0,4,2033
206071145,855,43,12,3,0,0,0,914
207011146,1129,43,17,10,0,0,3,1203
207011147,1992,84,32,26,0,0,0,2140
207011148,2979,126,41,30,0,0,0,3182
207011149,2755,114,38,26,3,0,0,2938
207011150,2416,90,33,16,0,0,0,2562
207011151,1993,99,25,10,0,0,0,2134
207011152,1538,54,23,7,0,0,3,1626
207011153,2821,121,44,19,0,0,4,3007
207011154,907,28,13,0,0,0,0,947
207011155,2238,97,31,19,0,0,4,2384
207021156,1407,56,21,19,0,0,3,1506
207021157,2353,123,31,21,0,3,3,2535
207021159,2265,110,36,26,3,3,13,2451
207021160,1771,76,29,21,3,0,3,1914
207021424,2209,82,31,20,0,0,3,2350
207021425,1750,62,29,23,3,0,0,1864
207031161,2738,114,42,15,0,0,0,2915
207031162,1377,56,29,8,0,0,6,1474
207031163,1955,85,26,18,0,0,5,2093
207031164,2223,88,32,19,3,0,3,2369
207031165,1003,45,25,5,0,0,6,1083
207031166,1245,40,25,7,0,0,3,1325
207031167,1366,64,16,0,0,0,0,1444
208011168,1854,88,39,15,0,0,4,2003
208011169,2722,135,51,10,0,0,3,2920
208011170,2172,106,34,14,0,0,3,2324
208011171,1391,67,33,9,0,0,0,1494
208011172,2327,129,42,4,0,0,4,2511
208011173,2074,96,34,5,0,0,9,2212
208021174,3022,145,50,26,4,0,10,3257
208021176,1877,68,27,14,0,0,3,1987
208021177,2226,82,17,22,0,0,0,2348
208021178,2116,104,35,5,0,0,4,2264
208021179,1239,55,16,7,0,0,0,1319
208021180,917,32,12,6,0,0,0,974
208021181,1144,38,8,3,0,0,4,1199
208021182,1576,68,13,10,3,0,5,1663
208021426,2055,106,40,16,0,0,3,2219
208021427,1746,102,37,0,0,0,3,1890
208031183,1434,71,31,18,0,0,0,1561
208031184,3,0,0,0,0,0,0,3
208031185,1218,103,46,7,4,0,3,1385
208031186,1319,119,43,3,3,0,7,1493
208031187,667,50,31,9,0,0,3,760
208031188,2574,127,65,22,3,0,8,2792
208031189,1558,105,34,5,0,0,5,1709
208031190,1385,100,26,10,0,0,0,1524
208031191,1047,68,40,9,3,0,0,1168
208031192,0,0,0,0,0,0,0,0
208031193,2416,143,72,9,3,0,0,2639
208041194,2216,97,30,9,0,0,0,2359
208041195,2636,102,25,11,0,0,3,2779
209011196,1144,56,27,15,0,0,3,1246
209011197,2673,136,69,11,3,0,0,2900
209011198,1803,69,29,11,0,0,5,1917
209011199,1206,69,46,13,3,0,7,1345
209011200,1451,55,16,8,0,0,3,1538
209011201,1100,44,15,7,0,0,3,1165
209011202,1917,109,34,13,0,0,3,2081
209011203,2356,120,42,18,0,0,5,2542
209011204,1090,56,30,8,0,0,3,1191
209021205,1115,42,21,18,0,0,3,1201
209021207,2496,130,54,36,4,0,8,2731
209021208,2637,108,58,33,0,0,10,2840
209021428,1791,86,41,33,4,0,5,1955
209021429,1434,62,27,14,0,0,3,1536
209031209,3346,197,66,22,0,0,6,3629
209031210,474,35,11,6,0,0,0,525
209031211,439,37,19,0,0,0,0,505
209031212,641,43,28,9,0,0,0,720
209031213,1441,67,34,12,0,0,0,1561
209031214,961,55,30,7,0,0,3,1055
209031215,1958,117,65,20,0,0,3,2161
209041216,926,37,19,12,0,0,3,989
209041217,617,41,10,8,0,0,0,681
209041219,2664,94,54,50,3,0,8,2881
209041220,2539,119,55,21,4,3,5,2742
209041221,1537,80,35,18,3,3,7,1688
209041223,2311,87,64,49,4,0,9,2526
209041224,1948,154,135,22,4,0,9,2280
209041225,945,60,46,8,3,0,0,1068
209041430,2954,202,132,22,0,0,7,3321
209041431,1727,90,51,36,0,0,6,1913
209041432,947,45,39,23,3,0,6,1074
209041433,1696,51,32,24,0,0,0,1807
209041434,2191,151,100,18,3,0,5,2464
209041435,1904,97,64,19,3,0,0,2081
209041436,1621,93,58,18,3,0,4,1799
209041437,1383,51,29,20,0,0,0,1484
210011226,810,38,15,4,0,3,0,870
210011227,0,0,0,0,0,0,0,0
210011228,1070,50,24,11,0,0,3,1160
210011229,3203,149,80,30,3,0,9,3476
210011230,866,68,19,0,0,0,0,956
210011231,1349,51,29,5,0,0,0,1442
210021232,1715,91,55,8,0,0,4,1873
210021233,414,21,14,3,0,0,3,456
210021234,542,28,20,3,0,0,0,600
210021235,1082,69,51,13,4,3,7,1222
210031236,836,31,14,4,0,0,0,890
210031237,1623,46,34,27,0,0,0,1735
210031239,2672,117,48,13,0,0,4,2857
210031438,2306,97,53,21,5,0,4,2492
210031439,385,11,14,0,0,0,0,419
210031440,620,30,16,9,0,0,0,677
210041240,1613,114,71,14,0,4,10,1827
210041241,2989,256,139,25,4,0,15,3428
210051242,1287,62,40,22,0,0,7,1412
210051243,1810,66,43,52,4,0,4,1974
210051245,2058,114,68,18,0,0,9,2261
210051246,2586,95,60,25,0,0,6,2771
210051247,1880,92,34,32,3,0,10,2048
210051248,3,0,0,0,0,0,0,8
210051249,3251,123,73,61,0,0,3,3510
210051250,592,38,23,11,0,3,0,667
210051441,1038,68,45,14,3,0,6,1177
210051442,1751,94,51,34,0,0,4,1939
210051443,2245,126,65,36,0,4,11,2484
210051444,2061,75,60,34,0,0,4,2236
210051445,469,29,11,4,0,0,0,520
211011251,1254,91,38,14,0,0,7,1412
211011254,1943,127,53,25,4,0,4,2157
211011255,1060,48,38,9,0,0,5,1158
211011256,2189,120,56,17,0,0,5,2399
211011257,1247,66,35,9,0,0,3,1364
211011258,1664,82,49,11,0,0,0,1813
211011259,1774,99,49,23,0,0,4,1943
211011260,2356,127,47,31,0,0,7,2572
211011446,2181,199,98,21,3,0,10,2521
211011447,1464,115,46,11,4,3,3,1654
211011448,1789,156,78,8,0,0,7,2033
211011449,525,48,25,4,3,0,0,605
211021261,2241,95,38,22,0,0,5,2403
211021262,1447,87,45,5,0,0,3,1591
211031263,1413,101,44,18,4,0,3,1577
211031265,2585,164,77,10,0,0,4,2845
211031266,1837,115,48,20,0,0,3,2019
211031267,2404,137,51,17,0,0,3,2619
211031268,1319,59,33,10,0,0,3,1426
211031450,1408,117,65,14,0,5,3,1614
211031451,1430,112,57,21,3,0,3,1629
211031452,574,45,11,3,0,0,3,630
211041269,1278,75,14,17,0,0,0,1388
211041270,1999,86,35,9,3,0,4,2147
211041271,1455,59,23,12,0,0,0,1553
211041272,1424,75,41,15,0,0,0,1557
211041273,1579,68,34,22,3,0,8,1713
211051274,1299,84,42,8,0,0,0,1434
211051275,1170,86,61,7,4,0,7,1329
211051276,1358,140,71,13,0,0,0,1589
211051277,907,72,41,14,0,0,8,1043
211051278,2101,194,79,19,8,0,4,2407
211051279,663,56,34,7,0,0,0,758
211051280,785,90,24,16,3,0,4,922
211051281,2621,213,120,36,0,0,14,3004
211051282,1120,95,32,12,0,0,3,1262
211051283,1179,100,67,11,3,3,4,1367
211051284,1187,95,51,11,3,0,0,1344
211051285,961,77,46,6,3,0,0,1102
211051286,1531,151,114,15,6,4,11,1829
212011287,1739,145,67,17,0,3,4,1976
212011288,1004,81,33,4,4,0,8,1142
212011289,2244,163,117,13,4,3,10,2557
212011290,781,92,63,13,0,0,0,951
212011291,1926,185,134,17,3,0,10,2280
212011292,3209,283,227,48,11,3,21,3803
212021293,2804,182,83,25,0,0,6,3106
212021294,3930,243,156,40,3,3,7,4388
212021295,991,85,38,21,4,3,5,1147
212021297,1288,84,47,27,3,0,8,1455
212021299,1124,71,19,15,3,0,5,1238
212021453,1616,100,33,26,9,0,3,1781
212021454,1833,69,49,26,4,0,3,1983
212021455,1854,124,65,26,0,3,5,2075
212021456,1623,115,55,30,0,0,5,1831
212031300,2048,191,127,39,4,0,15,2423
212031301,3501,224,179,45,3,6,9,3974
212031302,2696,201,129,40,3,0,7,3072
212031303,1103,81,68,15,3,3,0,1271
212031304,1969,143,94,30,3,0,10,2246
212031305,3233,178,105,92,7,7,12,3641
212031306,2458,114,59,44,0,0,8,2677
212031308,885,95,56,9,0,0,5,1049
212031457,2002,120,83,34,0,0,6,2247
212031458,2346,145,109,45,0,3,6,2646
212041309,1498,56,33,25,3,0,5,1625
212041310,1453,63,24,28,0,0,5,1583
212041311,3084,123,51,63,7,3,13,3346
212041312,2617,149,70,41,3,3,11,2892
212041313,1346,91,44,7,0,0,3,1494
212041314,3600,162,81,89,7,6,12,3950
212041316,844,52,36,13,0,0,3,943
212041317,2263,119,58,94,6,0,10,2559
212041318,1453,87,53,55,9,0,13,1665
212041459,1179,71,26,23,3,0,6,1317
212041460,1902,139,73,58,4,3,12,2188
212051319,1949,90,35,19,0,0,7,2103
212051320,1475,62,19,19,0,0,7,1583
212051321,2966,96,51,49,3,0,3,3170
212051322,2573,110,24,34,3,0,4,2746
212051323,2038,69,27,23,3,0,3,2167
212051324,2402,85,40,28,4,0,3,2565
212051325,2494,105,56,41,3,0,8,2696
212051326,2503,121,30,27,0,0,10,2692
212051327,2687,96,33,29,0,0,7,2853
213011328,656,36,33,14,0,0,0,734
213011329,1371,79,47,45,7,3,9,1562
213011330,3232,162,112,87,9,7,20,3628
213011331,1080,66,19,17,0,0,8,1192
213011332,1636,59,42,26,0,0,9,1768
213011333,1488,84,58,43,4,0,8,1691
213011334,1895,120,63,45,3,3,17,2147
213011335,1646,115,73,59,3,3,17,1914
213011336,958,56,30,14,0,0,3,1062
213011337,1199,69,41,36,6,0,8,1357
213011338,1939,96,66,54,4,4,16,2172
213011339,1543,85,47,21,3,0,0,1696
213011340,2704,108,27,22,0,3,9,2875
213021341,1325,74,38,13,0,0,3,1453
213021342,2219,134,71,25,3,6,7,2456
213021343,1426,76,23,20,0,0,3,1545
213021344,2216,111,45,9,0,0,3,2382
213021345,724,42,23,8,0,0,7,809
213021346,1980,92,43,10,0,0,6,2126
213031347,1672,94,38,39,0,6,13,1859
213031348,1104,57,16,15,0,0,5,1201
213031349,1305,76,24,19,4,0,3,1421
213031350,1032,36,18,7,0,0,0,1099
213031351,1147,57,18,13,0,0,9,1234
213031352,1739,73,22,8,0,0,6,1840
213041353,2204,194,143,24,3,0,14,2597
213041355,3070,151,90,25,0,3,4,3348
213041356,1781,171,107,32,6,0,19,2123
213041357,2462,201,141,36,3,5,11,2865
213041358,1906,170,125,27,8,3,4,2247
213041359,154,13,3,4,0,0,3,179
213041360,3141,128,82,41,3,0,3,3402
213041461,632,36,23,7,0,0,8,703
213041462,962,29,27,18,0,0,3,1045
213041463,2875,161,88,35,0,3,8,3172
213051361,2478,165,101,34,3,0,9,2787
213051362,2295,144,83,35,3,3,15,2578
213051363,1065,49,27,20,0,0,5,1168
213051365,5180,248,148,101,10,4,15,5713
213051366,3345,107,70,57,4,3,10,3601
213051368,1199,82,46,10,4,0,7,1340
213051369,2881,205,156,49,5,9,10,3307
213051464,1832,108,70,21,3,0,0,2039
213051465,3632,149,105,45,3,4,6,3937
213051466,2359,106,80,27,3,0,8,2582
213051467,2042,180,101,30,0,3,3,2361
213051468,1397,117,53,16,4,3,6,1587
214011370,2073,212,136,24,5,0,11,2473
214011371,1706,187,102,21,3,0,8,2026
214011372,1368,160,114,24,3,0,15,1688
214011373,2151,194,81,18,3,0,3,2448
214011374,2775,275,155,31,5,0,11,3254
214011375,1456,146,56,11,3,0,8,1688
214011376,1761,135,95,20,7,0,8,2028
214021377,862,105,42,8,0,0,6,1020
214021378,543,38,12,0,0,0,0,599
214021379,1922,209,131,33,7,3,13,2307
214021380,2084,198,97,23,3,0,11,2420
214021381,2396,146,52,12,0,0,3,2614
214021382,2319,159,89,10,4,0,6,2579
214021383,1321,122,54,8,5,0,7,1513
214021384,1497,147,82,7,0,0,15,1747
214021385,1896,205,132,20,0,0,7,2266
215011386,555,57,50,12,0,0,7,678
215011387,273,20,9,5,0,0,0,312
215011388,1375,115,109,14,3,0,16,1629
215011389,374,17,13,0,0,0,0,414
215011390,563,40,24,0,0,0,11,643
215011391,271,18,15,0,0,0,0,300
215011392,631,59,32,9,0,0,6,736
215011393,238,19,12,0,0,0,0,272
215011394,507,25,27,3,0,3,13,571
215021395,823,54,23,12,0,0,5,910
215021396,458,43,28,5,0,0,4,545
215021398,306,29,23,3,0,0,3,360
215021399,534,60,35,3,0,0,0,634
215021469,1247,149,76,23,3,0,13,1509
215021470,1264,95,80,18,3,3,9,1470
215031400,490,32,27,0,0,0,6,561
215031401,576,34,28,5,0,0,9,657
215031402,310,14,19,4,0,0,0,351
215031403,278,16,11,5,0,0,4,311
215031404,909,72,41,16,0,0,3,1042
215031405,604,31,28,6,0,0,6,677
216011406,1230,123,66,5,0,0,9,1437
216011407,1020,69,55,6,0,0,6,1159
216011408,399,21,15,4,0,0,0,438
216011409,325,24,26,3,0,0,4,384
216011410,295,26,21,5,0,0,3,354
216021411,495,26,35,0,0,0,3,555
216021412,226,27,7,4,0,0,3,268
216021413,1096,89,49,9,3,3,13,1260
216021414,568,51,36,3,0,0,3,666
216031415,579,46,40,7,3,0,5,684
216031416,1718,119,78,20,3,0,9,1953
216031417,2237,156,102,31,3,3,18,2560
216031418,448,37,20,3,0,0,0,513
216031419,985,69,47,8,4,0,7,1125
217011420,714,71,43,3,0,3,8,844
217011421,853,55,39,8,0,0,7,966
217011422,854,88,61,3,0,0,12,1012
217011423,616,30,21,7,0,0,3,681
217031471,264,19,10,3,0,0,0,301
217031472,1019,89,50,10,0,0,3,1180
217031473,525,34,23,3,0,0,3,597
217031474,453,32,27,0,0,0,0,523
217031475,706,34,46,5,0,0,8,807
217031476,243,14,11,0,0,0,0,271
217041477,669,40,40,4,0,0,8,755
217041478,941,60,39,5,0,0,8,1057
217041479,2007,144,96,17,0,0,19,2283
217041480,1057,66,51,4,0,0,3,1183
297979799,0,0,0,0,0,0,0,0
299999499,0,0,0,0,0,0,0,0
