SA2_MAINCODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
204031074,2229,156,5,9,25,2419,2873,86,3,5,25,2997,1356,495,61,9,9,1922,302,182,9,0,0,490,341,79,14,3,3,442,22,5,0,0,0,25,189,12,0,0,0,206,27,9,3,0,0,40,2231,786,85,15,12,3130,46,3,0,0,0,49,194,45,4,0,3,244,7572,1078,97,26,66,8846
204031075,638,0,0,9,0,657,615,0,0,4,0,621,88,0,0,0,0,92,0,0,0,0,0,0,113,3,4,3,0,126,0,14,0,0,0,15,16,0,0,3,0,20,9,0,0,0,0,9,226,20,4,7,0,257,8,4,0,0,0,10,37,0,0,0,0,38,1531,24,6,21,6,1582
205011076,1849,71,61,39,9,2024,2192,31,12,4,5,2238,705,109,90,3,5,911,42,8,20,0,0,74,251,8,14,0,3,275,0,3,0,0,0,6,28,0,5,41,0,78,23,0,0,0,0,29,1059,124,133,43,6,1367,21,0,0,0,0,25,126,6,9,3,0,146,5238,239,213,95,21,5807
205011077,939,3,5,11,9,973,829,5,0,0,11,848,64,5,0,0,0,68,4,0,0,0,0,4,139,0,4,3,0,147,0,0,0,0,0,0,15,0,3,0,0,19,21,0,0,0,0,27,241,3,8,4,5,265,15,0,0,0,0,15,65,0,0,0,5,67,2096,13,14,19,30,2172
205011078,1084,12,11,0,6,1107,1066,5,3,0,0,1075,255,17,9,0,0,281,12,9,0,0,0,18,145,6,11,0,4,173,6,13,0,0,0,17,16,0,0,0,0,17,20,3,0,0,0,26,449,51,24,0,4,530,19,0,0,0,0,19,58,5,4,3,0,61,2675,66,44,3,8,2797
205011079,2282,71,266,26,7,2656,2397,20,19,3,8,2443,655,116,93,0,0,867,108,58,21,0,0,191,303,33,26,0,0,363,4,3,6,0,0,19,23,0,6,0,3,33,13,4,9,0,0,28,1119,216,156,4,6,1496,31,3,41,0,0,71,148,19,30,3,3,196,5970,330,510,35,24,6872
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,1947,56,14,10,3,2028,1602,15,3,3,4,1626,710,128,51,0,3,897,192,79,19,0,0,288,272,16,6,3,4,294,60,4,10,0,0,77,23,4,0,3,3,34,24,0,0,0,0,29,1280,234,85,9,13,1620,55,4,0,0,0,55,180,12,3,4,52,253,5058,319,107,24,77,5587
205021082,1296,5,0,69,16,1389,1011,5,0,4,4,1027,84,0,0,0,3,93,8,0,0,0,0,7,165,0,0,0,7,177,7,6,0,0,0,10,38,0,5,11,0,57,26,0,0,0,3,28,327,12,6,16,16,373,24,0,0,0,0,21,77,0,0,3,6,79,2735,25,8,93,33,2894
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,1700,21,21,47,15,1803,993,11,4,7,9,1022,377,57,29,6,11,476,94,17,8,0,3,114,180,7,3,3,6,209,7,0,0,0,0,7,49,0,3,19,3,75,23,0,0,0,0,26,734,83,41,36,24,919,13,0,0,3,7,24,109,9,3,14,10,143,3551,122,74,103,61,3908
205021085,1328,9,5,18,7,1365,596,0,0,3,13,616,122,3,18,0,0,145,55,6,18,0,0,79,177,11,3,3,7,198,11,0,3,0,0,17,53,3,0,4,0,57,33,0,3,0,0,37,451,23,39,12,9,533,27,0,0,0,0,31,88,4,8,3,0,100,2490,35,60,32,35,2648
205021086,1223,66,35,36,5,1362,607,16,4,3,3,627,272,39,15,0,4,330,0,11,0,0,0,11,116,13,4,0,0,130,0,0,0,0,0,0,12,3,0,3,0,17,17,0,3,0,0,16,420,65,18,5,4,512,11,0,0,0,0,11,53,6,3,0,0,68,2306,150,64,41,13,2577
205031087,1634,9,6,23,5,1679,989,3,3,7,3,1003,190,18,10,0,4,225,20,4,12,0,0,41,217,3,3,0,0,226,3,0,8,0,0,10,61,0,0,6,0,74,41,0,0,3,0,44,537,29,39,11,5,628,33,0,11,0,0,43,100,3,0,3,0,112,3290,45,55,48,19,3463
205031088,34,0,0,3,0,36,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,48,0,0,8,0,55
205031089,1269,29,3,12,6,1315,1275,5,3,7,5,1298,237,26,9,3,0,282,37,11,0,0,0,52,171,6,0,0,0,184,7,11,0,0,0,25,33,0,0,3,3,31,30,6,0,0,0,38,526,62,12,7,0,603,19,3,0,0,3,30,84,6,0,0,3,92,3169,111,15,24,18,3338
205031090,1636,37,54,3,5,1733,1351,11,10,3,4,1376,354,25,40,0,0,424,31,6,19,0,0,56,192,4,31,0,0,230,12,3,13,0,0,26,28,0,3,0,0,31,29,0,4,0,0,34,652,41,109,0,3,807,25,0,10,0,0,31,103,3,11,0,0,119,3767,92,184,11,17,4066
205031091,1495,159,26,3,6,1695,1166,23,10,4,9,1213,568,46,46,4,3,668,7,26,0,0,0,31,231,9,7,0,0,253,0,13,0,0,0,11,18,5,0,4,0,30,29,3,0,0,0,32,852,100,57,4,4,1025,23,5,0,0,3,33,102,22,4,0,0,130,3646,316,97,16,22,4099
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
205031093,3704,79,26,113,11,3933,2420,24,3,3,9,2470,1159,130,21,3,9,1321,94,109,10,0,0,214,501,17,14,6,3,544,25,13,9,0,0,47,52,4,3,23,0,81,74,5,0,0,0,80,1898,283,56,33,8,2280,50,3,0,0,5,56,235,11,4,13,5,272,8312,404,97,160,41,9013
205041094,1639,5,3,3,0,1649,1552,3,3,0,3,1561,351,5,4,0,0,367,92,5,27,0,0,126,179,0,6,0,0,192,15,0,3,0,0,18,7,0,0,0,0,8,17,0,0,0,0,15,654,12,43,0,5,721,16,0,0,0,0,21,99,0,4,0,17,119,3956,23,59,12,30,4070
205041095,2266,169,26,19,0,2472,1931,51,12,4,0,1997,638,243,145,0,5,1029,251,176,43,0,0,466,291,47,21,0,0,357,40,22,0,0,0,59,24,22,3,4,0,52,22,13,0,0,0,36,1258,513,208,8,13,2000,30,20,3,0,0,53,186,49,14,0,0,254,5665,806,267,29,13,6781
205041096,1865,65,63,0,3,1997,1425,14,25,0,3,1466,763,108,227,0,3,1106,197,99,57,0,0,343,259,16,21,3,4,304,27,18,18,0,0,64,23,3,3,0,4,33,23,4,4,0,0,27,1286,250,333,3,9,1880,26,0,0,0,0,27,187,19,31,0,0,241,4786,346,454,6,16,5613
205041097,2989,144,84,43,9,3266,3645,70,58,3,4,3782,1207,177,348,0,3,1737,193,24,105,0,0,322,392,37,35,0,3,475,20,17,5,0,0,47,33,10,0,9,3,62,21,4,8,0,0,32,1864,265,507,15,15,2667,24,28,6,0,0,60,212,26,31,3,13,283,8743,536,677,61,41,10058
205041098,629,0,0,0,0,635,768,0,0,0,0,767,71,0,0,0,0,71,0,0,0,0,0,0,93,0,0,0,0,94,0,0,0,0,0,0,8,0,0,0,0,6,4,0,0,0,0,4,178,0,0,0,0,183,9,0,0,0,0,9,33,0,0,0,0,38,1621,0,0,3,7,1632
205051099,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
205051100,763,0,4,8,3,773,582,0,0,0,0,587,64,0,0,0,0,64,3,0,0,0,0,3,87,0,0,0,0,86,0,0,0,0,0,0,27,0,0,0,0,28,16,0,0,0,0,16,188,0,0,0,3,194,10,0,0,0,0,12,56,0,0,0,0,57,1599,0,4,11,9,1621
205051101,2022,3,10,19,10,2071,1915,3,0,4,14,1936,461,0,25,0,4,493,83,10,12,0,0,100,258,0,0,4,3,263,8,4,0,0,0,10,66,0,0,3,0,68,40,0,0,0,0,49,912,14,41,9,5,984,40,6,0,0,0,41,129,3,3,0,0,138,5020,27,56,37,33,5174
205051102,541,0,0,0,3,542,547,0,0,3,4,556,87,0,0,0,0,91,3,0,0,0,0,3,95,0,0,0,8,100,3,0,0,0,0,3,46,0,0,0,0,47,20,0,0,0,0,25,258,0,0,3,7,265,20,0,0,0,0,20,48,0,0,0,0,47,1405,0,0,8,14,1426
205051103,1701,86,64,27,4,1881,1654,37,21,9,5,1727,776,175,159,0,3,1111,173,74,38,0,0,285,183,11,15,3,0,215,20,20,6,0,0,44,130,5,3,0,0,138,23,8,3,0,0,34,1298,290,220,11,3,1825,14,25,0,0,0,39,119,26,10,0,0,160,4784,471,320,43,10,5624
205051104,993,12,0,25,3,1033,587,0,0,5,4,598,145,11,7,0,0,169,30,11,0,0,0,43,152,3,0,0,0,162,19,0,0,0,0,19,28,3,0,11,0,48,20,0,0,0,0,24,402,30,11,20,0,458,10,0,0,0,0,10,63,0,7,4,0,70,2050,45,15,56,6,2174
206011105,1519,586,229,15,10,2363,1131,707,663,11,10,2512,664,1274,2079,41,19,4086,9,104,136,0,0,246,266,303,289,23,6,890,7,6,9,0,0,33,14,7,14,3,0,41,16,15,11,0,0,44,982,1720,2541,69,31,5340,26,15,8,0,0,47,110,82,94,0,5,293,3767,3105,3539,94,54,10560
206011106,597,316,81,4,3,1000,354,373,328,3,7,1064,215,633,1205,23,0,2079,23,48,5,0,0,73,109,138,130,8,0,381,0,9,15,0,0,20,5,5,9,0,0,18,11,3,3,0,0,11,356,838,1359,26,6,2583,4,4,3,0,0,15,39,30,31,5,4,106,1348,1566,1802,37,18,4776
206011107,1028,176,189,3,3,1406,727,307,361,4,5,1406,312,484,1263,15,4,2079,24,43,143,0,0,201,127,92,161,8,3,383,3,5,19,0,0,30,0,0,13,3,0,23,11,11,9,0,0,34,478,633,1609,21,11,2757,9,5,6,0,0,27,56,28,72,3,3,156,2302,1150,2235,40,17,5745
206011108,2671,380,39,4,7,3095,2103,650,173,3,12,2947,863,967,532,9,13,2380,43,117,28,0,0,195,303,186,59,5,5,558,11,26,18,0,0,58,18,21,4,0,3,46,26,11,9,0,0,47,1266,1326,650,9,25,3278,42,8,8,0,0,59,143,63,18,0,3,235,6226,2438,891,17,48,9610
206011109,1206,68,26,0,7,1314,1111,95,51,0,4,1263,315,120,88,5,4,526,7,8,0,0,0,20,110,14,12,0,0,136,0,0,0,0,0,3,0,0,0,0,0,3,9,0,0,0,0,9,450,141,100,3,7,704,10,0,0,0,0,12,66,7,10,0,0,83,2854,306,188,6,19,3371
206021110,788,149,63,3,5,1006,665,209,131,0,6,1006,212,320,538,3,4,1073,6,20,22,0,0,53,64,47,62,3,3,172,0,7,0,0,0,7,4,0,3,0,0,11,17,7,7,0,0,21,306,395,633,6,7,1340,9,9,0,0,0,15,42,20,21,0,3,88,1800,775,847,11,20,3450
206021111,1984,643,149,13,9,2792,1525,791,393,10,3,2722,603,951,1022,31,16,2626,24,108,211,0,0,341,206,235,126,15,3,580,10,25,12,0,0,49,8,13,8,3,0,31,22,8,7,0,0,45,879,1341,1376,46,20,3670,21,15,7,0,0,38,116,48,50,3,0,224,4525,2843,1975,72,29,9446
206021112,1580,262,110,6,7,1962,1312,399,284,4,6,2007,564,693,1155,18,15,2452,41,58,111,0,0,205,179,101,108,6,4,394,21,7,16,0,0,46,16,3,5,0,0,19,19,11,7,0,0,38,838,872,1401,24,18,3157,27,9,11,0,0,41,121,26,71,0,4,213,3872,1565,1875,42,35,7385
206031113,1005,324,115,3,6,1452,955,494,252,5,5,1709,302,357,621,9,12,1296,19,54,590,0,3,666,117,80,83,4,3,280,24,0,16,0,0,38,18,3,12,0,0,31,10,10,17,0,0,33,488,504,1335,16,17,2348,13,5,14,0,0,36,43,26,84,0,3,154,2499,1352,1802,21,27,5702
206031114,2425,438,509,3,9,3392,1895,488,492,3,9,2890,444,744,1751,11,3,2953,15,33,66,0,0,113,158,116,223,5,0,507,10,11,46,0,0,72,13,9,9,0,0,30,23,6,20,0,0,49,664,919,2114,15,7,3721,29,15,25,0,0,69,106,37,95,0,9,253,5131,1897,3234,20,34,10316
206031115,305,173,102,0,0,586,271,226,279,10,3,777,118,226,978,21,4,1348,11,92,751,0,3,852,61,59,141,3,3,265,8,11,24,0,0,36,4,0,7,0,0,16,10,5,8,0,0,25,202,389,1908,22,11,2531,6,3,12,0,0,19,29,15,123,0,0,161,814,803,2421,31,9,4083
206031116,1329,248,149,7,5,1738,1054,300,209,3,4,1569,350,307,752,8,12,1437,4,3,170,0,0,178,105,68,114,4,8,292,12,0,13,0,0,23,3,0,5,0,0,11,11,5,7,0,0,22,487,388,1061,18,20,1971,17,15,17,0,0,46,73,28,52,0,4,156,2955,974,1494,24,32,5482
206041117,21,299,505,0,4,831,14,184,467,3,4,666,31,392,3421,12,24,3875,5,42,898,0,3,941,12,184,740,6,5,956,0,11,269,0,0,287,0,6,265,0,0,277,0,13,46,0,0,69,52,648,5638,24,34,6397,0,12,67,0,0,75,7,44,241,3,5,301,87,1179,6918,30,49,8273
206041118,3,17,593,4,3,618,0,39,951,0,0,994,0,31,2426,0,11,2468,0,0,46,0,0,46,0,4,306,0,0,309,0,0,35,0,0,35,0,0,30,0,0,31,0,0,18,0,0,24,0,37,2861,0,13,2913,0,0,24,0,0,24,0,5,106,0,0,115,3,105,4538,5,18,4673
206041119,80,192,292,0,0,559,35,79,281,0,0,388,22,88,843,0,0,953,0,0,4,0,0,4,10,30,150,0,0,184,3,3,0,0,0,8,0,0,9,0,0,12,0,0,15,0,0,20,36,124,1020,0,6,1178,4,3,9,0,0,18,5,3,23,0,0,30,155,394,1616,3,6,2173
206041120,0,0,0,0,0,0,0,0,9,0,0,9,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,22
206041121,211,456,50,3,0,718,218,794,308,0,0,1316,118,714,630,9,3,1473,8,138,342,0,0,488,43,167,87,0,0,293,3,22,14,0,0,42,3,11,3,0,0,16,3,9,3,0,0,11,180,1059,1074,10,7,2329,4,17,9,0,0,28,17,41,38,0,0,99,624,2363,1482,10,11,4491
206041122,5,8,1952,4,23,1987,11,3,2159,0,27,2193,4,11,8795,3,123,8931,0,0,108,0,0,108,4,6,1780,0,18,1809,0,0,119,0,0,119,0,0,275,0,8,288,0,0,105,0,3,110,6,16,11186,5,145,11371,0,0,138,8,3,149,4,0,520,40,18,585,28,23,15951,62,218,16284
206041123,146,433,430,0,6,1015,103,505,776,4,8,1397,93,693,2736,9,9,3546,38,129,710,0,14,885,39,231,483,4,3,771,3,3,55,0,0,67,7,12,58,0,0,77,6,21,30,0,0,52,187,1090,4073,20,32,5401,9,10,39,0,0,56,16,57,170,0,7,251,456,2092,5493,24,49,8118
206041124,27,201,120,0,0,347,23,137,121,0,0,283,29,197,758,3,6,989,0,8,31,0,0,36,6,58,96,0,0,170,4,10,48,0,0,62,3,3,7,0,3,20,0,3,7,0,0,13,44,279,945,7,14,1283,8,3,19,0,0,28,6,22,22,0,9,56,102,639,1226,4,22,1997
206041125,99,130,495,0,0,722,38,53,339,0,0,426,14,52,1096,3,4,1175,0,0,0,0,0,0,16,34,203,0,0,248,0,0,0,0,0,3,3,6,9,0,3,27,4,9,13,0,0,19,37,106,1325,3,9,1474,0,4,15,0,3,17,5,12,65,0,4,84,178,304,2234,4,12,2730
206041126,7,28,1143,0,0,1178,5,30,1593,4,0,1634,3,56,4360,0,0,4428,0,0,3,0,0,3,0,31,660,0,0,685,0,0,5,0,0,5,0,0,60,0,0,60,0,3,44,0,0,50,3,92,5134,0,0,5227,0,3,37,0,0,39,0,3,167,0,0,176,14,148,8075,9,3,8251
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,343,1010,624,10,13,1985,183,710,607,3,6,1510,107,531,1471,3,7,2119,0,0,150,0,0,152,29,157,268,0,0,456,0,0,11,0,0,11,4,0,15,0,0,21,3,3,16,0,0,28,137,695,1932,4,6,2780,4,13,24,0,0,38,17,47,103,0,0,163,682,2471,3289,15,25,6481
206051129,411,331,528,0,3,1278,362,364,880,0,4,1617,96,195,2900,0,15,3202,0,18,64,0,0,84,26,42,405,0,0,470,0,0,17,0,0,15,0,0,6,0,0,7,3,0,19,0,0,25,120,264,3411,0,14,3809,4,6,24,0,0,29,23,20,119,0,4,172,930,985,4964,3,29,6910
206051130,114,979,637,0,5,1735,122,913,801,0,3,1838,72,630,1562,4,7,2275,0,283,251,0,3,539,27,181,187,4,0,396,0,3,22,0,0,27,0,0,12,0,0,11,3,14,19,0,0,35,102,1115,2048,8,8,3282,0,18,13,0,0,33,9,83,87,0,4,180,348,3097,3586,12,20,7072
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
206051132,82,554,367,7,8,1014,78,518,496,3,4,1096,57,445,1272,25,4,1802,20,161,398,0,0,584,14,121,206,4,3,359,3,8,90,0,0,102,0,6,17,0,0,29,5,16,18,0,0,38,105,761,2003,34,16,2910,0,11,26,0,0,33,11,36,90,3,0,135,271,1869,2971,42,22,5178
206051133,276,391,966,33,12,1670,246,429,1767,66,12,2517,82,306,5194,186,18,5790,3,67,431,0,3,499,31,88,773,44,3,940,3,12,142,3,0,158,4,3,42,0,0,47,3,11,51,0,0,67,122,487,6629,234,27,7505,6,6,42,0,0,59,17,37,284,7,6,359,676,1345,9693,334,56,12110
206051134,421,235,518,6,7,1185,395,363,1083,7,0,1847,140,252,2783,51,9,3237,3,11,129,0,0,144,61,87,465,5,3,625,3,10,49,0,0,56,4,4,9,0,0,21,3,8,22,0,0,31,225,371,3455,58,14,4118,6,3,27,0,0,39,25,14,117,0,8,171,1071,987,5198,72,30,7354
206061135,569,312,285,3,4,1177,329,198,310,0,3,842,112,144,1035,11,4,1311,0,28,29,0,0,55,34,44,151,3,3,238,0,5,59,0,0,62,0,4,7,0,0,11,3,4,10,0,0,19,151,228,1299,16,6,1697,9,9,3,0,0,21,26,10,46,0,0,86,1082,754,1950,17,17,3815
206061136,437,734,435,6,10,1623,260,718,873,4,13,1865,216,747,2974,12,14,3974,0,32,404,0,0,434,66,190,407,10,8,678,0,0,27,0,0,27,0,6,22,0,3,33,10,14,31,3,4,52,300,989,3872,24,21,5205,11,15,23,0,0,54,28,59,149,3,4,245,1030,2519,5350,36,47,8983
206061137,320,443,766,0,8,1536,176,322,1096,0,5,1603,137,446,4562,7,9,5150,3,6,571,0,0,578,36,147,592,5,4,777,0,0,5,0,0,5,0,5,30,0,0,41,0,11,29,0,0,45,176,616,5792,8,13,6596,5,4,39,0,0,47,13,32,188,0,3,236,684,1426,7880,13,22,10028
206061138,902,543,764,0,3,2214,521,235,421,0,0,1171,120,201,1162,0,0,1484,0,0,3,0,0,3,49,67,222,0,0,338,0,0,3,0,0,3,6,3,8,0,0,16,3,10,14,0,0,25,179,285,1408,0,4,1874,12,8,17,0,0,44,45,41,108,0,0,191,1660,1107,2723,0,7,5492
206071139,167,206,166,6,3,542,125,327,388,3,0,840,95,251,1272,5,9,1632,16,18,43,0,0,73,40,100,129,7,3,270,8,3,48,0,0,55,0,0,15,0,0,19,0,11,12,0,3,24,157,373,1514,17,15,2073,3,3,4,0,0,7,15,28,45,0,0,88,462,933,2117,22,24,3556
206071140,121,778,93,8,0,1007,64,450,88,3,4,608,62,736,369,9,5,1182,0,6,89,0,0,102,30,255,85,19,3,387,0,8,13,0,0,22,0,3,4,0,0,11,3,9,8,0,0,18,96,1021,566,29,7,1712,3,10,22,0,0,39,10,49,26,3,0,89,292,2309,804,42,14,3460
206071141,132,98,143,4,8,377,130,187,425,7,0,756,106,189,1100,25,6,1420,71,38,573,0,0,689,31,87,134,8,3,266,7,4,41,0,0,51,0,5,5,0,0,13,8,3,7,0,0,14,221,327,1862,28,8,2449,0,3,8,0,0,15,16,29,86,0,3,136,501,645,2528,46,13,3729
206071142,185,318,175,3,0,687,129,297,312,3,3,740,170,379,739,13,9,1315,10,7,728,0,0,743,70,123,152,3,5,350,0,4,85,0,0,87,3,4,10,3,0,15,0,14,10,0,0,30,255,529,1721,15,18,2537,0,3,11,0,0,16,14,35,89,0,4,142,584,1182,2302,23,28,4129
206071143,305,736,129,4,6,1183,194,663,291,3,5,1151,77,669,809,18,9,1577,10,150,257,0,0,410,43,221,119,3,8,386,48,3,32,0,0,85,17,4,10,0,0,30,7,9,8,0,0,20,195,1050,1229,24,13,2511,42,15,19,0,0,71,28,72,63,3,0,162,768,2530,1727,31,28,5085
206071144,612,1340,493,3,4,2457,468,1419,1101,6,18,3020,370,1527,2937,26,20,4878,10,138,1152,3,0,1302,117,393,415,8,7,941,7,11,52,0,0,67,12,10,21,5,6,51,3,21,20,4,0,56,517,2101,4603,42,38,7301,11,31,26,0,0,65,39,118,174,0,5,338,1651,5007,6401,52,73,13179
206071145,444,425,94,0,3,972,353,459,212,3,0,1029,99,414,435,0,6,953,0,49,51,0,0,103,48,130,65,0,0,247,3,7,4,0,0,11,0,0,0,0,0,7,6,5,3,0,0,18,155,608,553,0,3,1328,7,8,9,0,0,17,14,30,21,0,0,71,976,1527,891,7,16,3415
207011146,813,135,0,0,0,951,762,152,4,3,5,919,194,116,10,9,5,327,69,76,40,0,0,184,86,25,5,7,0,123,3,3,0,0,0,10,3,0,3,0,0,8,7,0,0,0,0,6,360,226,53,12,3,654,11,5,0,0,0,17,30,11,0,0,0,41,1978,521,64,16,6,2591
207011147,1746,603,160,4,6,2516,1144,297,121,3,5,1564,365,396,250,6,7,1022,8,4,18,0,0,27,120,99,46,0,0,263,3,29,3,0,0,36,11,7,0,0,0,18,10,7,6,0,0,28,512,543,321,4,7,1392,24,17,43,0,0,83,99,27,18,0,0,143,3521,1487,666,16,13,5700
207011148,2714,337,9,5,3,3076,1884,196,17,3,3,2107,639,236,62,0,3,944,5,0,0,0,0,5,189,46,9,0,0,251,3,3,0,0,0,9,15,0,0,0,0,15,22,0,4,0,0,23,867,288,74,6,5,1242,30,3,0,0,0,40,118,13,3,0,3,132,5616,837,111,19,13,6594
207011149,2223,575,239,8,4,3052,1632,409,137,6,10,2192,406,434,611,10,10,1471,0,3,7,0,0,9,151,107,72,4,0,341,8,17,5,0,0,30,4,7,0,0,0,14,21,8,7,0,0,35,598,579,707,14,10,1910,30,6,35,0,3,74,73,28,26,3,0,136,4547,1605,1147,24,26,7353
207011150,1873,418,81,0,3,2378,1519,317,107,6,3,1942,378,285,209,3,6,888,0,3,0,0,0,8,114,62,41,0,3,221,4,3,12,0,0,20,0,5,4,0,0,8,19,11,4,0,0,26,522,369,264,3,9,1169,19,12,0,0,0,35,70,18,5,0,0,97,3999,1131,459,8,18,5619
207011151,1139,574,613,5,5,2331,745,442,856,3,0,2042,228,390,3237,12,19,3885,0,21,64,0,0,81,71,89,501,4,3,674,5,3,49,0,0,55,7,6,44,3,3,61,11,8,24,0,3,46,321,510,3919,21,28,4804,14,7,42,0,0,70,36,34,140,0,3,218,2254,1567,5566,34,44,9470
207011152,981,374,291,0,3,1651,704,339,454,3,5,1512,206,312,1556,16,9,2102,0,0,100,0,0,103,69,75,217,0,6,361,0,3,32,0,0,36,3,3,12,0,0,18,13,0,14,0,0,26,288,397,1926,16,17,2643,6,7,16,0,0,35,40,28,147,0,0,221,2021,1153,2835,17,29,6059
207011153,2133,784,406,3,7,3329,1538,564,330,0,6,2436,464,598,1053,7,9,2132,8,5,16,0,0,32,173,129,119,4,3,436,4,14,6,0,0,19,18,4,8,0,0,22,23,18,9,0,0,46,690,767,1208,13,13,2691,19,19,13,0,3,58,91,43,58,3,0,195,4464,2169,2027,22,28,8715
207011154,690,180,27,0,3,902,578,127,48,0,0,753,133,136,134,0,0,401,0,3,9,0,0,8,37,41,20,0,0,108,0,0,6,0,0,8,0,0,0,0,0,0,6,5,0,0,0,13,183,187,164,0,0,537,6,3,0,0,0,10,25,3,4,0,0,29,1483,502,248,0,4,2240
