SA2_MAINCODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201021011,2467,2547,5013,346,409,752,51,56,105,693,820,1510,36,45,75,13,22,39,19,26,45,4,11,12,8,13,15,8,7,10,0,0,0,831,983,1820,71,70,148,23,20,44,1274,1491,2761,377,435,809,4115,4469,8585
201021012,1804,1744,3542,82,65,146,13,15,26,506,519,1032,16,18,28,5,11,13,13,3,23,7,8,8,3,3,9,0,0,4,0,0,0,567,576,1145,16,18,37,10,5,15,670,669,1341,254,234,487,2731,2645,5373
201031013,1012,991,2005,99,101,200,9,10,22,273,288,564,6,5,16,5,10,8,6,7,11,0,0,4,6,0,5,0,0,0,0,0,0,303,319,628,5,7,17,3,0,3,415,433,850,162,153,312,1587,1576,3164
201031014,1189,1155,2344,107,109,220,16,17,31,357,343,696,21,19,42,6,5,10,4,7,15,3,7,9,0,0,7,0,0,0,0,0,0,406,400,805,12,24,36,11,12,23,541,544,1082,569,173,744,2294,1875,4173
201031015,1382,1294,2676,74,79,153,13,6,21,496,456,952,24,23,48,10,10,22,6,6,15,4,3,9,0,3,0,0,0,0,0,0,0,558,517,1069,7,17,26,3,4,7,645,613,1255,144,153,301,2169,2062,4235
201031016,2117,2235,4357,462,546,1006,22,28,55,579,679,1255,22,30,56,17,13,30,20,17,32,4,3,15,7,3,14,3,4,4,0,0,0,675,785,1457,33,37,68,7,8,13,1175,1379,2549,298,335,637,3590,3954,7542
201031017,1698,1556,3257,131,137,270,29,22,47,478,426,903,28,31,57,12,11,25,7,9,22,8,14,21,3,3,8,0,0,3,0,0,0,566,511,1079,10,16,29,6,3,11,715,672,1389,222,187,406,2641,2421,5054
202011018,3298,3460,6761,417,415,833,86,94,185,1711,1860,3578,71,73,148,25,25,57,27,21,53,16,22,42,19,18,33,12,14,28,0,0,0,1978,2133,4111,181,241,419,50,37,85,2618,2825,5448,708,734,1438,6627,7023,13646
202011019,2805,2924,5733,417,437,851,48,58,107,1353,1567,2921,52,42,88,8,10,19,17,13,34,10,10,21,19,11,26,0,6,5,0,0,0,1507,1715,3224,43,60,97,40,30,73,2003,2240,4251,549,591,1143,5360,5756,11120
202011020,3238,3538,6774,380,453,834,74,87,166,1624,1874,3498,62,69,129,43,41,88,25,24,51,19,18,37,10,15,23,12,6,17,0,3,3,1876,2142,4011,134,162,296,23,22,43,2415,2773,5189,388,486,878,6043,6794,12840
202011021,1953,2152,4110,227,267,497,86,110,195,1294,1593,2888,47,45,97,23,25,45,21,28,49,3,8,17,11,8,15,3,4,9,0,0,0,1483,1831,3314,128,133,265,33,19,49,1871,2250,4125,284,296,579,4114,4700,8810
202011022,4624,5082,9707,904,1010,1912,86,91,184,1960,2291,4256,62,67,130,37,42,79,34,49,82,17,16,32,8,12,24,3,3,9,0,0,0,2212,2589,4793,162,173,337,58,37,98,3339,3808,7148,739,847,1583,8704,9738,18437
202011023,1486,1423,2914,104,88,194,11,14,26,543,599,1144,11,16,29,9,5,16,6,3,10,0,0,0,3,7,10,0,3,3,0,0,0,590,653,1235,5,25,31,0,3,0,695,769,1465,151,125,276,2331,2319,4654
202011024,2250,2269,4519,294,295,588,38,35,67,1079,1120,2200,30,31,62,13,21,29,21,21,37,6,7,15,13,12,27,7,7,7,0,0,0,1202,1245,2446,39,40,76,12,12,20,1546,1585,3129,181,168,353,3970,4023,7995
202011025,2501,2571,5073,395,452,849,52,60,112,1586,1821,3413,42,51,93,20,26,50,22,18,42,11,9,18,17,20,33,10,14,25,0,0,0,1758,2017,3772,88,83,168,20,25,45,2261,2577,4835,396,392,791,5155,5540,10700
202021026,2023,1980,4002,75,80,153,35,32,68,911,908,1821,24,27,44,14,14,28,16,14,31,3,3,8,16,11,28,3,3,8,0,0,0,1015,1015,2032,17,18,43,16,14,28,1128,1130,2254,239,213,451,3392,3318,6712
202021027,2481,2769,5245,503,592,1093,38,56,98,710,895,1606,23,28,48,19,18,38,17,11,30,3,10,13,19,26,49,9,10,17,0,0,0,834,1058,1893,94,101,189,16,23,38,1447,1773,3221,1107,510,1613,5029,5043,10078
202021028,2635,2481,5121,193,222,408,26,37,59,756,786,1542,16,25,45,15,17,34,19,17,33,4,7,17,7,4,7,4,3,9,0,0,0,838,899,1735,41,46,80,30,22,49,1101,1182,2281,350,375,727,4087,4044,8135
202021029,1256,1171,2422,109,165,278,12,19,33,456,459,915,31,32,56,10,5,19,14,17,29,10,7,19,7,6,12,0,0,0,0,0,0,539,547,1083,21,15,37,14,6,24,685,733,1417,230,245,481,2170,2154,4323
202021030,2439,2557,5002,515,563,1085,35,60,90,860,910,1776,28,31,55,9,9,15,19,11,29,3,6,7,4,3,6,3,3,3,0,0,0,958,1036,1987,87,97,185,13,21,32,1569,1718,3288,383,404,790,4398,4677,9074
202021031,1868,1964,3828,227,253,480,33,39,73,595,679,1276,22,22,43,3,3,6,9,12,25,8,8,11,3,7,6,3,3,7,0,0,0,679,774,1459,64,64,125,11,8,16,975,1102,2079,244,329,578,3093,3395,6489
202031032,1421,1348,2768,65,67,135,10,15,24,382,399,784,18,11,30,4,9,15,0,4,10,9,7,12,3,6,8,0,0,0,0,0,0,428,446,874,10,11,14,14,10,22,508,537,1044,160,132,297,2093,2018,4111
202031033,2247,2089,4339,262,274,537,25,23,52,378,388,765,42,35,73,13,15,34,6,15,27,3,6,5,4,5,9,0,0,0,0,0,0,478,489,961,35,37,73,10,9,23,786,808,1595,416,387,802,3456,3283,6738
203011034,1525,1474,3004,232,243,472,21,13,38,902,894,1798,20,18,34,9,9,11,12,15,27,3,4,10,4,3,10,0,0,0,0,0,0,960,958,1917,30,26,54,14,13,25,1235,1238,2471,196,225,419,2963,2933,5896
203011035,2055,1953,4009,153,146,298,9,10,25,738,771,1508,16,20,32,7,3,12,9,11,21,4,3,6,0,0,5,0,3,3,0,0,0,789,819,1611,30,33,63,19,13,30,985,1009,2002,213,198,410,3249,3164,6420
203011036,1808,1721,3531,170,182,347,17,12,29,490,510,1003,8,14,24,3,4,9,7,11,16,3,0,3,5,5,7,0,0,5,0,0,0,529,567,1100,23,24,42,9,14,23,738,782,1514,206,192,396,2752,2691,5443
203021037,3262,3659,6923,326,374,698,62,71,135,1713,1917,3632,45,59,100,11,20,37,29,26,58,14,17,32,17,15,30,12,16,29,0,0,0,1902,2145,4046,332,267,596,42,23,60,2606,2802,5404,398,437,834,6266,6900,13168
203021038,6819,7030,13852,1323,1586,2910,85,110,193,1799,1912,3711,81,77,153,30,31,67,24,32,55,20,11,34,10,8,22,7,9,14,0,0,0,2056,2189,4246,622,651,1271,68,46,117,4074,4477,8551,1140,1179,2318,12037,12681,24720
203021039,2889,3116,6002,303,325,629,70,80,144,1499,1679,3184,60,61,120,26,35,58,29,25,50,15,21,37,7,10,15,13,14,31,0,0,0,1718,1923,3646,290,344,635,48,29,69,2360,2621,4982,484,523,1013,5736,6266,11999
203021040,4730,5286,10013,646,682,1327,70,92,165,2046,2318,4364,70,79,152,36,29,63,34,35,69,18,21,34,12,16,29,13,12,26,0,0,0,2296,2602,4896,332,344,674,64,48,111,3337,3669,7008,547,616,1168,8613,9577,18183
203021041,5318,5838,11162,863,920,1783,78,93,173,2848,3213,6063,73,80,156,31,31,61,31,30,61,23,31,55,15,22,41,10,4,15,0,0,0,3115,3519,6632,369,289,658,55,64,120,4408,4788,9192,598,759,1364,10328,11393,21719
203021042,5227,5590,10820,791,822,1616,89,126,215,2691,2882,5568,113,108,221,40,35,68,45,39,86,20,43,59,16,23,40,15,18,31,0,0,0,3032,3265,6297,571,433,1010,20,17,40,4421,4540,8960,489,524,1013,10138,10651,20793
203021043,4477,4528,9008,1004,1097,2097,40,43,82,1551,1711,3264,55,61,114,10,11,23,27,27,55,18,15,29,9,12,15,3,3,7,0,0,0,1709,1877,3584,132,148,279,34,32,65,2878,3150,6025,1397,457,1862,8756,8139,16893
203021044,3028,3145,6167,639,700,1338,23,32,53,1486,1734,3219,48,46,92,13,15,27,15,19,31,7,11,20,0,0,3,6,8,15,0,0,0,1601,1860,3458,72,79,149,24,25,55,2332,2672,5004,353,352,699,5707,6167,11875
203021045,4012,4396,8410,521,567,1086,42,42,84,1254,1505,2762,42,51,91,11,13,24,12,13,24,9,13,26,9,7,12,3,3,9,0,0,0,1391,1648,3036,96,118,222,41,46,79,2046,2381,4427,492,529,1025,6554,7304,13856
203021046,2520,2707,5222,312,333,645,47,64,111,1128,1248,2381,26,38,64,22,22,45,25,26,50,9,5,13,5,11,24,12,15,27,0,0,0,1278,1430,2706,159,160,317,25,21,43,1775,1947,3721,298,321,622,4594,4972,9565
203021047,3823,4056,7880,399,416,817,24,38,68,1454,1593,3045,35,43,82,19,15,32,23,17,38,6,14,21,9,3,14,4,4,7,0,0,0,1584,1726,3313,230,233,462,49,87,138,2258,2466,4726,542,630,1169,6622,7151,13770
203031048,3262,3593,6856,705,797,1496,56,63,119,1367,1556,2925,43,64,106,11,11,26,35,28,55,9,5,16,8,10,24,9,8,15,0,0,0,1537,1753,3292,86,77,165,39,28,68,2363,2650,5014,355,399,756,5986,6646,12631
203031049,1385,1398,2785,256,253,506,19,13,29,434,473,905,14,12,22,14,7,22,9,3,16,5,3,7,3,4,8,0,0,0,0,0,0,491,516,1014,43,57,98,11,8,13,804,829,1637,208,223,436,2399,2457,4854
203031050,5119,5364,10485,1410,1558,2967,108,121,228,2736,3023,5757,90,96,187,27,29,58,54,57,111,10,17,35,32,23,51,16,15,35,0,0,0,3073,3380,6455,214,221,431,63,46,113,4761,5209,9961,643,659,1301,10520,11227,21753
203031051,1833,1874,3705,247,300,550,18,26,50,949,1026,1975,32,27,64,9,7,17,13,12,27,10,11,25,3,8,5,4,3,7,0,0,0,1040,1126,2161,25,30,51,9,10,19,1326,1464,2787,317,322,632,3472,3655,7128
203031052,1080,1259,2337,182,206,389,14,15,31,375,446,820,8,9,14,0,4,6,5,4,8,0,0,0,3,8,11,0,0,0,0,0,0,410,480,895,24,29,51,3,3,8,617,723,1339,164,172,339,1866,2148,4014
203031053,4124,4263,8387,1238,1343,2582,100,113,212,1900,2002,3903,71,62,139,30,36,69,47,57,105,21,19,39,12,24,40,11,15,26,0,0,0,2199,2321,4522,264,294,559,45,38,80,3755,3992,7748,446,436,883,8323,8689,17012
204011054,1790,1747,3542,346,390,736,27,35,58,465,459,926,33,27,58,7,10,20,18,15,39,4,3,5,7,4,10,0,0,0,0,0,0,566,559,1118,40,43,87,9,8,12,963,997,1955,310,282,591,3064,3026,6082
204011055,1794,1834,3632,328,333,664,48,49,99,394,463,859,32,38,63,8,8,14,20,25,49,3,3,3,3,0,11,0,0,0,0,0,0,501,593,1095,41,39,81,16,8,30,894,975,1868,255,266,522,2942,3078,6017
204011056,3531,3588,7117,731,773,1505,67,76,138,1287,1440,2728,60,42,99,15,25,38,18,24,37,13,14,28,23,13,35,10,7,16,0,0,0,1480,1644,3121,117,128,246,31,33,65,2361,2575,4936,454,498,961,6349,6662,13009
204011057,2275,2225,4497,573,582,1159,50,75,130,645,713,1353,61,47,113,15,20,36,26,24,53,7,16,26,12,9,23,0,0,0,0,0,0,822,902,1725,80,81,164,14,18,38,1499,1586,3086,429,405,828,4197,4215,8413
204011058,1100,1071,2164,165,191,358,23,25,45,349,368,720,26,13,30,5,4,9,10,8,14,3,3,10,3,3,3,0,0,3,0,0,0,412,426,839,13,36,48,11,10,26,607,660,1268,186,187,377,1895,1912,3811
204011059,1700,1740,3443,311,363,675,33,30,61,325,376,699,35,32,64,6,8,12,7,8,18,4,14,19,8,6,17,0,3,3,0,0,0,420,474,897,111,53,167,8,14,22,851,898,1757,419,403,814,2970,3047,6010
204011060,1074,965,2042,77,55,134,109,53,162,391,335,726,187,117,306,28,19,46,15,14,24,13,4,19,71,44,115,15,13,28,0,0,0,830,600,1430,31,32,66,4,3,13,943,691,1632,235,182,420,2259,1836,4094
204011061,46,45,99,0,0,3,0,0,4,14,24,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,42,0,0,3,0,0,0,25,27,53,11,14,29,83,88,172
204011062,1066,996,2058,160,141,300,12,14,26,297,309,605,3,6,9,13,4,16,3,5,6,6,5,9,0,3,7,0,3,0,0,0,0,336,349,683,6,20,31,4,6,11,505,512,1022,169,158,326,1742,1670,3409
204021063,2691,2902,5593,729,834,1559,66,79,148,628,705,1335,47,57,106,6,9,21,18,29,49,6,14,22,3,15,16,5,3,13,0,0,0,790,916,1707,37,47,89,20,20,46,1584,1815,3396,376,468,844,4648,5184,9832
204021064,1127,1062,2184,61,64,122,37,39,78,289,325,619,23,12,33,7,5,11,6,3,10,4,0,8,3,0,3,0,0,0,0,0,0,364,393,757,3,8,9,0,3,3,431,467,893,190,153,344,1743,1680,3418
204021065,1130,1141,2272,190,198,390,134,152,286,200,192,388,14,22,34,3,4,7,7,5,17,3,0,3,10,0,13,0,0,3,0,0,0,372,378,751,13,26,32,10,6,12,580,606,1189,118,115,234,1827,1868,3690
204021066,4722,5262,9986,1358,1579,2933,127,158,284,1099,1279,2383,94,99,189,22,22,43,30,27,57,18,17,30,11,24,33,8,9,13,0,0,0,1411,1628,3036,88,94,188,53,50,100,2910,3347,6261,623,799,1420,8248,9418,17667
204021067,3119,2986,6110,225,196,427,67,85,153,694,718,1418,41,38,78,6,14,18,18,22,37,0,0,0,12,11,27,3,3,3,0,0,0,853,893,1742,25,35,63,11,10,22,1110,1140,2251,382,371,750,4612,4497,9115
204031068,1109,1238,2341,239,268,510,75,87,166,282,308,584,20,25,45,3,10,12,17,13,33,5,11,19,18,20,33,11,16,29,0,0,0,432,482,915,20,34,54,3,7,14,697,795,1494,352,177,529,2157,2207,4363
204031069,2202,2197,4405,419,440,859,115,122,233,483,477,962,68,76,142,28,34,63,19,23,50,4,11,15,16,13,27,6,6,20,0,0,0,741,757,1504,68,109,179,8,11,23,1238,1326,2565,416,422,839,3856,3946,7803
204031070,918,913,1831,99,92,188,81,69,150,185,230,416,16,15,33,4,3,11,7,4,7,0,0,0,4,7,11,0,3,5,0,0,0,297,335,633,10,7,21,3,6,6,409,436,846,116,133,250,1447,1484,2929
204031071,1391,1401,2795,221,243,462,35,44,79,261,278,533,27,31,58,3,3,4,9,12,23,7,3,11,4,9,9,0,3,3,0,0,0,343,375,724,23,35,58,12,9,16,602,659,1265,183,195,377,2181,2253,4437
204031072,1853,1755,3605,239,244,482,162,176,342,274,265,538,34,29,62,7,8,11,17,16,35,0,3,3,4,10,17,7,12,16,0,0,0,515,515,1026,23,35,60,11,0,16,792,797,1584,266,217,487,2915,2762,5678
204031073,3570,3754,7323,662,709,1376,395,471,866,1241,1343,2582,171,161,334,42,50,90,23,29,48,15,22,34,28,27,54,19,27,47,0,0,0,1927,2128,4051,78,93,168,50,34,82,2717,2964,5682,421,452,873,6705,7176,13876
204031074,5179,5447,10620,1306,1378,2681,890,857,1745,1923,2013,3934,406,320,724,55,46,98,78,71,145,43,44,88,59,59,116,55,51,113,0,0,0,3509,3453,6964,217,248,461,79,58,138,5104,5135,10240,889,889,1781,11172,11472,22647
204031075,1432,1454,2888,106,136,250,96,106,200,250,286,539,21,15,41,4,5,7,16,20,35,0,8,8,5,11,15,9,5,7,0,0,0,405,454,861,17,17,30,7,19,28,542,625,1160,110,101,205,2072,2182,4258
205011076,3575,3704,7276,831,904,1733,47,48,93,1995,2223,4217,72,79,149,9,13,23,20,29,47,13,14,29,8,11,23,0,5,4,0,0,0,2168,2416,4582,82,102,186,45,27,73,3126,3451,6572,602,619,1222,7303,7773,15074
205011077,1945,1846,3793,166,160,325,9,14,20,496,520,1021,14,14,31,8,5,12,10,3,11,7,3,9,7,3,4,3,0,3,0,0,0,547,562,1109,10,22,31,13,10,25,735,760,1490,231,226,453,2909,2833,5740
205011078,2163,2135,4298,335,346,675,17,29,46,601,761,1364,26,25,55,4,6,12,23,18,43,0,0,3,0,4,8,0,0,0,0,0,0,676,840,1517,28,27,57,15,7,16,1050,1222,2274,284,320,602,3505,3679,7180
205011079,4466,4919,9384,1267,1373,2641,80,97,175,1714,1864,3577,61,71,134,22,27,49,39,38,70,20,25,46,11,11,25,4,7,5,0,0,0,1947,2133,4085,117,138,249,42,42,80,3370,3686,7053,595,657,1252,8427,9268,17694
205021080,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
205021081,3340,3686,7027,958,1145,2100,92,114,211,1001,1166,2170,90,118,212,14,11,29,48,47,93,13,20,36,18,12,31,10,14,24,0,0,0,1297,1490,2788,96,120,222,32,33,67,2391,2791,5178,738,877,1618,6466,7352,13817
205021082,2450,2211,4659,218,253,479,30,28,64,603,622,1228,53,46,100,5,10,12,20,32,50,3,3,7,3,7,16,3,3,5,0,0,0,725,757,1480,29,39,62,14,18,26,982,1070,2053,350,286,636,3785,3564,7350
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,2613,2678,5285,567,589,1158,67,62,128,720,772,1497,64,65,132,13,23,35,31,31,66,13,15,24,11,11,16,13,7,17,0,0,0,933,979,1913,31,51,85,20,13,32,1547,1640,3192,491,515,1003,4656,4832,9483
205021085,2041,1941,3978,366,378,742,62,63,124,279,264,545,32,37,67,4,3,10,13,5,19,4,0,3,10,10,22,4,4,16,0,0,0,413,400,810,16,20,37,13,11,22,802,816,1614,303,283,588,3147,3041,6187
205021086,1616,1605,3222,320,347,670,46,46,94,616,652,1274,50,41,88,14,3,16,22,15,37,3,6,10,0,3,8,4,7,17,0,0,3,759,783,1545,31,30,63,20,14,37,1133,1181,2313,263,277,547,3017,3067,6077
205031087,2468,2436,4905,476,501,973,21,33,52,573,650,1220,25,32,51,3,4,10,15,15,34,9,11,21,7,8,14,3,0,3,0,0,0,653,744,1395,33,33,67,3,12,22,1169,1292,2463,474,436,914,4111,4162,8277
205031088,37,33,77,0,3,6,0,0,0,13,10,15,0,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,8,25,3,0,0,0,0,0,17,17,35,6,4,11,61,52,112
205031089,2542,2576,5116,475,500,980,22,21,51,758,875,1632,27,27,58,4,0,3,11,15,29,0,0,0,5,3,3,0,0,0,0,0,0,830,950,1777,27,42,66,16,16,35,1347,1508,2859,302,355,652,4194,4439,8629
205031090,3037,3138,6179,678,764,1449,26,25,48,721,825,1545,37,32,73,14,15,29,24,27,50,7,11,18,6,13,19,0,0,3,0,0,0,843,941,1783,54,74,125,10,11,24,1584,1788,3380,410,460,863,5032,5393,10424
205031091,2403,2509,4915,648,736,1383,50,55,100,1037,1203,2239,47,61,109,12,14,23,29,26,57,17,14,36,9,18,25,0,6,7,0,0,0,1197,1402,2597,73,79,151,17,15,33,1942,2232,4172,380,395,774,4722,5140,9865
205031092,3,0,4,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,8,3,14
205031093,5421,5682,11107,1485,1621,3108,46,60,106,1986,2190,4171,81,95,178,15,25,44,44,54,101,9,12,22,17,9,25,10,9,17,0,0,0,2209,2460,4666,91,140,237,47,31,81,3833,4258,8089,933,959,1899,10188,10902,21088
205041094,3416,3344,6764,447,492,937,28,31,54,761,916,1677,44,50,90,5,15,23,20,33,58,6,9,17,3,8,15,0,0,3,0,0,0,869,1061,1934,83,69,155,29,30,52,1430,1654,3078,460,464,920,5300,5466,10763
205041095,4634,4820,9449,1131,1327,2459,31,39,74,892,947,1836,46,52,105,3,6,3,27,32,56,10,8,18,7,10,14,3,0,0,0,0,0,1018,1096,2113,48,74,123,43,39,83,2237,2537,4774,724,706,1433,7593,8064,15656
205041096,3643,3718,7359,785,844,1629,47,34,81,940,1006,1944,39,58,102,7,14,25,26,16,46,7,11,17,0,3,3,0,4,5,0,0,0,1073,1147,2227,83,101,185,39,32,78,1988,2126,4118,738,759,1498,6375,6603,12979
