SA2_MAINCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
212031304,30,3,126,49,39,41,28,50,3,383,0,0,0,0,0,0,0,3,0,4,7,5,11,14,4,5,13,10,0,79,7,0,27,10,23,7,24,25,33,162,414,808,952,717,554,312,461,407,70,4697
212031305,37,7,128,54,30,31,46,66,9,408,0,0,0,0,0,0,5,4,0,12,3,4,18,15,14,8,19,14,0,92,9,5,47,29,20,12,46,51,37,246,392,866,1243,999,794,370,661,679,116,6127
212031306,32,10,71,36,32,24,21,33,0,256,0,0,0,4,0,0,0,0,0,8,18,7,11,15,16,8,14,3,3,88,4,8,21,6,12,13,12,18,20,121,547,1277,711,582,687,328,352,306,93,4875
212031308,7,5,49,24,21,16,5,23,0,144,0,0,0,0,0,0,0,0,0,0,7,4,10,3,4,0,4,0,0,28,7,10,22,12,9,4,9,10,18,93,276,398,583,262,309,117,121,169,46,2281
212031457,19,11,54,26,30,29,15,12,4,203,0,0,0,0,0,0,0,0,0,3,15,9,8,9,5,3,6,3,0,57,12,8,23,4,17,9,11,14,20,115,571,970,745,462,560,257,207,206,56,4030
212031458,32,9,104,38,27,37,25,24,0,295,0,0,0,0,0,0,0,4,0,8,9,9,12,15,11,6,11,8,3,71,4,11,21,15,20,7,23,21,22,147,483,903,892,634,664,355,346,344,71,4685
212041309,20,11,83,24,19,19,9,18,0,209,0,0,0,0,0,0,0,0,0,3,7,9,15,13,9,6,3,14,0,65,8,3,19,12,17,15,5,13,18,118,367,949,552,355,517,281,159,227,57,3465
212041310,19,3,108,26,12,21,26,30,4,256,0,0,3,0,0,0,0,6,0,15,4,9,9,8,14,5,12,9,0,66,5,0,14,7,11,8,8,15,20,95,289,952,589,451,466,258,238,364,71,3681
212041311,32,4,177,62,17,23,37,77,7,425,0,0,3,4,4,0,8,16,4,33,9,15,18,11,10,8,17,18,9,113,10,8,62,26,16,19,43,63,51,302,399,1049,1191,880,644,402,608,852,149,6184
212041312,29,7,120,38,29,28,19,51,0,318,0,0,0,0,0,0,5,5,0,11,11,7,18,14,11,12,4,5,3,78,7,13,32,21,25,21,19,28,31,198,465,1132,1035,722,734,393,420,451,90,5443
