SA2_MAINCODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
201021011,3641,3976,7614,1237,675,1915,617,1086,1702,131,143,279,95,83,181,2081,1991,4067,1246,1651,2896,4.6,4.2,4.5,57.2,50.1,53.4,54.5,47.9,51.2,163,214,375,85,172,259,462,692,1158,330,493,825,821,328,1149,28,32,68,74,76,152,924,437,1361,3424,3612,7039,460,552,1011,2467,2547,5013,1274,1491,2761
201021012,2297,2259,4555,1039,494,1536,290,637,933,92,103,196,71,63,135,1501,1295,2799,602,771,1367,4.7,4.9,4.8,65.3,57.3,61.4,61.9,54.6,58.5,65,82,149,31,80,116,174,291,459,160,266,432,699,263,961,11,27,33,31,44,74,737,333,1065,2360,2299,4655,213,218,426,1804,1744,3542,670,669,1341
201031013,1402,1396,2801,457,232,695,146,273,426,49,42,86,44,53,93,704,599,1303,584,681,1270,6.3,8.8,7.1,50.2,42.9,46.5,46.5,39.2,43.1,11,17,28,8,29,37,67,133,201,77,149,229,362,139,502,10,24,38,19,39,55,398,201,595,1349,1326,2669,139,158,298,1012,991,2005,415,433,850
201031014,2061,1630,3685,628,264,889,174,430,608,63,66,129,59,39,97,927,795,1727,995,694,1688,6.4,4.9,5.6,45,48.8,46.9,42,46.6,44.1,17,27,43,18,36,57,92,163,248,93,187,283,429,182,606,17,20,39,20,43,63,467,246,712,1637,1591,3224,180,202,375,1189,1155,2344,541,544,1082
201031015,1841,1767,3602,741,330,1073,221,494,718,69,61,129,78,63,148,1118,952,2064,618,705,1321,7,6.6,7.2,60.7,53.9,57.3,56,50.1,53.3,29,45,77,26,56,80,107,179,282,116,189,311,569,261,829,27,32,61,29,39,70,625,335,957,1873,1789,3663,234,213,448,1382,1294,2676,645,613,1255
201031016,3146,3527,6677,890,463,1361,344,714,1061,81,89,170,140,90,223,1457,1355,2810,1484,1906,3389,9.6,6.6,7.9,46.3,38.4,42.1,41.8,35.9,38.8,24,25,52,26,36,64,120,233,352,124,255,383,885,418,1302,34,55,95,47,66,117,968,543,1511,2954,3220,6174,479,540,1022,2117,2235,4357,1175,1379,2549
201031017,2321,2157,4476,696,307,1006,255,467,720,60,57,115,118,83,204,1132,910,2042,1013,1106,2126,10.4,9.1,10,48.8,42.2,45.6,43.6,38.5,41.1,23,26,46,14,32,52,83,183,267,101,176,277,670,265,935,19,35,61,34,55,92,726,358,1085,2254,2087,4343,250,226,470,1698,1556,3257,715,672,1389
202011018,5824,6285,12111,2176,1284,3461,758,1483,2240,156,190,347,321,232,557,3411,3194,6604,1875,2503,4381,9.4,7.3,8.4,58.6,50.8,54.5,53.1,47,49.9,182,229,407,114,194,307,623,871,1491,351,510,862,1335,745,2088,78,108,183,77,137,215,1489,989,2479,5024,5274,10301,1125,1273,2396,3298,3460,6761,2618,2825,5448
202011019,4540,5037,9576,1713,900,2613,554,1194,1744,136,177,313,256,205,462,2654,2476,5126,1478,2141,3621,9.6,8.3,9,58.5,49.2,53.5,52.9,45.1,48.8,42,58,98,46,110,158,204,396,599,206,419,625,1275,713,1994,62,105,166,73,112,185,1410,932,2344,4368,4592,8966,746,863,1615,2805,2924,5733,2003,2240,4251
202011020,5274,6115,11385,2078,1175,3252,766,1592,2355,135,195,332,231,190,424,3209,3152,6365,1767,2623,4395,7.2,6,6.7,60.8,51.5,55.9,56.5,48.4,52.2,199,194,397,118,232,353,683,969,1646,457,587,1051,1161,572,1741,42,91,135,68,151,223,1276,819,2095,4864,5303,10162,990,1143,2135,3238,3538,6774,2415,2773,5189
202011021,3514,4136,7652,1433,871,2304,561,1219,1780,108,146,254,187,175,360,2290,2410,4702,1025,1500,2529,8.2,7.3,7.7,65.2,58.3,61.4,59.8,54.1,56.7,123,174,300,91,188,277,489,703,1189,298,396,698,781,489,1266,31,56,84,29,64,94,840,602,1442,3162,3511,6677,797,980,1776,1953,2152,4110,1871,2250,4125
202011022,7579,8668,16243,3084,1764,4846,885,2032,2913,205,232,435,329,268,600,4496,4299,8800,2504,3688,6193,7.3,6.2,6.8,59.3,49.6,54.2,55.1,46.5,50.4,123,141,266,104,201,309,512,919,1427,473,762,1232,2100,1142,3244,76,142,225,106,174,279,2287,1459,3743,7116,7840,14951,1263,1438,2696,4624,5082,9707,3339,3808,7148
202011023,1902,1866,3769,1039,439,1474,241,670,910,67,85,150,50,58,109,1397,1250,2644,406,529,938,3.6,4.6,4.1,73.4,67,70.2,70.8,64,67.2,32,44,79,37,63,104,155,291,444,134,200,334,666,253,919,10,24,34,23,53,79,704,325,1031,2138,2125,4265,202,216,424,1486,1423,2914,695,769,1465
202011024,3142,3311,6453,1621,738,2359,422,1167,1589,112,155,269,80,88,168,2242,2151,4388,755,1037,1793,3.6,4.1,3.8,71.4,65,68,68.6,62.2,65.3,119,99,218,88,157,238,429,676,1107,319,342,666,816,376,1190,26,39,65,32,69,105,871,492,1360,3509,3554,7064,506,517,1026,2250,2269,4519,1546,1585,3129
202011025,4323,4727,9056,2170,1129,3302,519,1407,1927,155,258,414,137,131,275,2984,2926,5912,1070,1513,2587,4.6,4.5,4.7,69,61.9,65.3,65.8,59.1,62.3,70,83,158,39,146,184,335,642,977,279,443,718,1305,731,2031,36,70,106,74,114,184,1412,909,2325,4311,4527,8840,875,985,1864,2501,2571,5073,2261,2577,4835
202021026,2794,2803,5598,1336,668,2007,371,900,1274,114,131,245,79,87,158,1900,1781,3679,715,854,1569,4.2,4.9,4.3,68,63.5,65.7,65.2,60.6,63,66,96,165,65,120,188,266,420,686,227,320,552,862,354,1217,17,47,67,45,59,108,927,464,1384,2959,2917,5874,353,371,720,2023,1980,4002,1128,1130,2254
202021027,4479,4508,8987,1271,756,2027,634,1167,1797,85,138,225,115,116,228,2108,2171,4274,2038,1920,3952,5.5,5.3,5.3,47.1,48.2,47.6,44.4,45.7,45.1,195,273,469,115,233,348,501,775,1273,296,468,764,821,359,1178,30,55,85,58,67,125,907,487,1387,3529,4076,7607,565,638,1198,2481,2769,5245,1447,1773,3221
202021028,3596,3618,7215,1248,651,1901,561,949,1514,106,119,227,115,85,207,2038,1809,3850,1281,1568,2850,5.6,4.7,5.4,56.7,50,53.4,53.3,47.5,50.5,117,169,290,104,191,291,374,579,951,281,424,701,972,337,1306,21,45,67,50,86,136,1042,472,1509,3526,3406,6931,349,387,739,2635,2481,5121,1101,1182,2281
202021029,1935,1918,3849,595,298,895,195,372,572,67,49,111,65,54,125,921,778,1701,831,963,1795,7.1,6.9,7.3,47.6,40.6,44.2,44.3,37.5,41,13,33,46,16,47,67,89,167,255,127,163,289,581,220,798,12,35,45,29,34,60,622,293,912,1769,1716,3490,228,255,483,1256,1171,2422,685,733,1417
202021030,3831,4123,7956,1551,797,2347,558,1137,1700,107,132,237,96,97,188,2316,2164,4482,1222,1644,2867,4.1,4.5,4.2,60.5,52.5,56.3,57.8,50.1,53.8,134,161,291,81,155,243,430,608,1045,307,427,730,937,443,1376,30,72,106,56,104,161,1024,621,1643,3662,3880,7543,564,622,1183,2439,2557,5002,1569,1718,3288
202021031,2611,2856,5465,1178,614,1792,376,815,1190,79,102,179,86,72,159,1719,1606,3323,685,969,1661,5,4.5,4.8,65.8,56.2,60.8,62.5,53.6,57.8,160,183,347,83,169,253,440,590,1031,236,315,550,564,236,798,10,34,47,37,55,89,613,320,939,2656,2805,5463,346,371,721,1868,1964,3828,975,1102,2079
202031032,1793,1738,3530,802,343,1145,201,505,698,64,60,125,52,49,96,1117,957,2070,543,675,1220,4.7,5.1,4.6,62.3,55.1,58.6,59.5,52.2,55.8,12,41,52,27,46,73,89,187,279,94,181,278,573,209,784,10,37,48,24,45,69,607,293,899,1857,1776,3633,179,186,357,1421,1348,2768,508,537,1044
202031033,3046,2888,5937,1070,487,1561,266,595,866,110,99,214,85,62,146,1538,1245,2785,1165,1319,2487,5.5,5,5.2,50.5,43.1,46.9,47.5,40.9,44.5,18,24,40,18,58,82,122,250,368,157,242,403,738,295,1034,16,51,69,40,58,97,794,410,1204,2908,2770,5678,253,248,503,2247,2089,4339,786,808,1595
203011034,2366,2393,4752,1269,537,1806,270,768,1032,86,103,193,59,55,118,1684,1464,3149,562,803,1367,3.5,3.8,3.7,71.2,61.2,66.3,68.7,58.8,63.8,29,51,83,35,58,92,183,347,524,221,267,486,778,381,1159,16,35,51,38,62,96,827,475,1308,2589,2541,5134,394,375,770,1525,1474,3004,1235,1238,2471
203011035,2716,2637,5350,1379,555,1939,323,819,1141,101,119,217,79,79,158,1876,1569,3447,688,924,1613,4.2,5,4.6,69.1,59.5,64.4,66.4,56.6,61.6,50,69,123,46,102,154,209,346,554,197,321,517,886,356,1244,26,45,66,48,70,110,954,471,1419,2915,2808,5715,311,327,635,2055,1953,4009,985,1009,2002
203011036,2351,2302,4654,1088,451,1544,357,735,1089,85,91,177,44,45,96,1574,1330,2907,622,829,1452,2.8,3.4,3.3,67,57.8,62.5,65.1,55.5,60.4,67,72,140,35,58,90,221,369,594,219,262,482,661,279,936,14,38,51,34,48,82,715,364,1076,2390,2332,4718,265,280,541,1808,1721,3531,738,782,1514
203021037,5526,6159,11684,2320,1341,3663,834,1631,2463,150,206,358,215,201,418,3518,3380,6896,1721,2449,4163,6.1,5.9,6.1,63.7,54.9,59,59.8,51.6,55.5,266,241,510,120,210,328,750,1071,1824,461,663,1124,1351,686,2036,43,77,117,68,107,169,1455,867,2325,5059,5563,10625,1046,1117,2162,3262,3659,6923,2606,2802,5404
203021038,10236,11024,21261,3372,1623,4992,1043,2178,3221,301,306,610,736,589,1318,5453,4695,10150,3922,5449,9373,13.5,12.5,13,53.3,42.6,47.7,46.1,37.3,41.5,102,95,197,41,96,138,353,577,928,463,716,1181,2202,1481,3688,122,206,325,122,228,348,2443,1915,4364,9791,10250,20037,1695,1806,3500,6819,7030,13852,4074,4477,8551
203021039,5176,5758,10929,2218,1450,3670,774,1505,2275,147,209,357,202,179,379,3346,3343,6683,1450,2020,3466,6,5.4,5.7,64.6,58.1,61.1,60.6,54.9,57.7,244,280,525,132,232,368,853,1183,2028,453,619,1065,1116,579,1695,42,45,87,72,98,171,1231,730,1962,4457,4696,9150,986,1170,2156,2889,3116,6002,2360,2621,4982
203021040,7563,8525,16088,3631,2087,5721,1011,2414,3422,227,336,564,319,267,592,5184,5112,10296,1951,2911,4856,6.2,5.2,5.7,68.5,60,64,64.4,56.7,60.3,293,361,653,156,335,488,1126,1596,2718,653,960,1615,1817,965,2785,61,101,160,96,151,243,1974,1216,3191,7022,7735,14756,1425,1597,3019,4730,5286,10013,3337,3669,7008
203021041,8906,10048,18953,4141,2131,6271,1192,2915,4111,273,322,597,347,298,649,5954,5674,11630,2475,3813,6286,5.8,5.3,5.6,66.9,56.5,61.4,62.9,53.4,57.9,268,245,518,124,258,385,1057,1523,2586,826,1183,2005,2492,1274,3766,80,130,209,123,198,317,2694,1600,4295,8179,8969,17146,2015,2073,4088,5318,5838,11162,4408,4788,9192
203021042,8671,9258,17931,3863,1902,5756,1323,2939,4263,237,355,590,341,309,651,5758,5508,11267,2532,3361,5891,5.9,5.6,5.8,66.4,59.5,62.8,62.5,56.1,59.2,619,463,1080,205,381,585,1568,1966,3534,911,1052,1962,1770,848,2613,59,92,147,119,184,305,1945,1124,3072,8291,8646,16934,1718,1786,3508,5227,5590,10820,4421,4540,8960
203021043,7569,6942,14513,3426,1678,5105,738,2005,2741,216,266,485,225,192,416,4608,4145,8755,2635,2461,5097,4.9,4.6,4.8,60.9,59.7,60.3,57.9,56.9,57.4,123,153,267,56,165,226,528,858,1381,599,778,1382,1963,988,2958,42,96,142,104,138,241,2112,1221,3340,6682,6860,13542,1028,1145,2169,4477,4528,9008,2878,3150,6025
203021044,4899,5391,10290,2261,1143,3407,575,1609,2186,145,203,343,189,159,347,3171,3110,6284,1473,2006,3484,6,5.1,5.5,64.7,57.7,61.1,60.8,54.8,57.7,88,110,194,48,110,157,347,658,1014,445,659,1102,1547,839,2389,37,75,112,94,124,216,1674,1040,2712,4924,5245,10170,725,831,1555,3028,3145,6167,2332,2672,5004
203021045,5765,6581,12340,2202,1131,3338,713,1546,2261,173,193,357,263,213,474,3347,3080,6432,2029,3064,5090,7.9,6.9,7.4,58.1,46.8,52.1,53.6,43.6,48.3,67,75,142,35,90,122,290,512,804,329,586,916,1647,947,2593,53,99,150,73,130,206,1769,1178,2947,5482,6066,11550,814,906,1715,4012,4396,8410,2046,2381,4427
203021046,3892,4321,8221,1802,1022,2830,562,1286,1845,110,124,234,142,112,254,2616,2546,5165,1038,1529,2569,5.4,4.4,4.9,67.2,58.9,62.8,63.6,56.3,59.7,290,264,556,102,238,333,847,1043,1885,358,505,864,666,345,1011,22,43,60,53,71,122,738,460,1198,3654,3917,7575,757,865,1617,2520,2707,5222,1775,1947,3721
203021047,5840,6426,12268,2352,1257,3611,668,1523,2197,163,174,331,286,206,494,3472,3163,6632,1931,2731,4657,8.2,6.5,7.4,59.5,49.2,54.1,54.5,46,50,113,135,254,69,126,202,520,700,1217,403,621,1023,1444,730,2175,50,92,137,102,121,224,1590,947,2536,5451,5826,11273,909,987,1900,3823,4056,7880,2258,2466,4726
203031048,5140,5811,10956,2081,1052,3131,630,1594,2227,161,157,316,189,168,355,3058,2976,6029,1802,2519,4326,6.2,5.6,5.9,59.5,51.2,55,55.9,48.2,51.8,108,108,220,77,163,239,443,690,1134,448,673,1118,1562,815,2374,45,87,130,87,158,242,1691,1060,2753,5014,5395,10407,866,973,1845,3262,3593,6856,2363,2650,5014
203031049,2102,2212,4308,764,397,1157,345,629,977,63,80,145,41,31,74,1208,1139,2350,722,904,1631,3.4,2.7,3.1,57.5,51.5,54.5,55.8,50,52.9,88,120,207,50,101,147,391,480,875,217,279,495,498,173,668,18,26,44,41,44,82,551,246,795,1915,1939,3851,338,339,677,1385,1398,2785,804,829,1637
203031050,8767,9556,18325,4088,2015,6097,1269,3011,4284,258,347,607,243,221,468,5867,5596,11457,2418,3493,5909,4.1,3.9,4.1,66.9,58.6,62.5,64,56.2,60,391,428,822,229,502,734,1348,1945,3292,894,1263,2160,2345,1007,3355,46,100,143,117,201,321,2510,1305,3814,8651,9045,17695,1744,1942,3689,5119,5364,10485,4761,5209,9961
203031051,3140,3358,6503,794,427,1223,350,634,987,81,83,166,119,101,216,1342,1251,2591,1534,1835,3370,8.9,8.1,8.3,42.7,37.3,39.8,39,34.1,36.5,67,82,152,44,83,130,258,355,614,249,359,607,885,330,1213,23,53,77,43,96,144,952,474,1432,2748,2900,5648,488,521,1011,1833,1874,3705,1326,1464,2787
203031052,1656,1960,3618,483,268,755,239,410,649,41,57,100,25,30,59,793,762,1556,735,1057,1792,3.2,3.9,3.8,47.9,38.9,43,46.1,37.5,41.6,114,103,217,41,102,150,308,437,744,193,267,464,292,94,386,9,24,33,32,43,75,332,161,487,1495,1736,3228,225,267,490,1080,1259,2337,617,723,1339
203031053,6874,7311,14188,3369,1660,5032,952,2397,3345,221,276,497,188,193,386,4733,4529,9259,1793,2439,4230,4,4.3,4.2,68.9,61.9,65.3,66.1,59.3,62.5,346,376,720,172,345,517,1306,1686,2987,729,986,1712,1661,651,2312,34,85,120,88,153,235,1777,890,2671,6779,7080,13859,1498,1508,3004,4124,4263,8387,3755,3992,7748
204011054,2775,2728,5510,981,488,1465,326,680,1003,101,79,180,68,65,137,1473,1313,2787,1044,1190,2236,4.6,5,4.9,53.1,48.1,50.6,50.7,45.7,48.1,41,60,97,47,65,110,179,306,484,194,281,475,800,302,1096,13,41,57,55,68,122,862,417,1281,2488,2474,4960,355,361,715,1790,1747,3542,963,997,1955
204011055,2614,2764,5376,927,520,1443,327,654,983,103,84,188,57,69,130,1417,1327,2742,981,1208,2186,4,5.2,4.7,54.2,48,51,51.9,45.5,48.6,48,41,90,35,80,111,188,311,498,181,317,501,645,307,957,11,39,52,30,66,99,694,414,1107,2478,2556,5032,312,363,675,1794,1834,3632,894,975,1868
204011056,5360,5713,11075,2455,1212,3670,565,1432,1993,192,196,388,176,190,372,3389,3031,6415,1627,2304,3930,5.2,6.3,5.8,63.2,53.1,57.9,59.9,49.7,54.6,85,93,178,52,135,196,254,554,814,358,610,971,1686,735,2424,54,95,147,85,149,236,1822,982,2801,5375,5441,10812,885,1003,1880,3531,3588,7117,2361,2575,4936
204011057,3634,3636,7274,1404,778,2177,500,986,1482,125,126,245,86,52,138,2107,1940,4049,1193,1400,2595,4.1,2.7,3.4,58,53.4,55.7,55.8,52,53.7,79,86,162,48,116,160,280,485,766,235,431,669,1169,387,1557,28,59,83,76,88,161,1275,533,1802,3306,3268,6569,639,700,1337,2275,2225,4497,1499,1586,3086
204011058,1684,1703,3389,697,346,1041,177,419,600,66,58,126,43,37,82,982,865,1849,554,691,1251,4.4,4.3,4.4,58.3,50.8,54.6,55.8,48.3,52.1,19,31,48,9,31,41,91,196,291,117,185,299,478,192,666,9,31,40,18,42,61,503,265,773,1551,1534,3076,226,252,481,1100,1071,2164,607,660,1268
204011059,2636,2722,5361,913,475,1388,293,616,904,93,78,162,91,99,189,1386,1268,2648,946,1134,2083,6.6,7.8,7.1,52.6,46.6,49.4,49.3,42.9,45.8,18,27,43,22,33,53,112,189,300,142,241,381,631,316,939,29,59,86,47,52,98,701,426,1128,2264,2387,4653,418,377,795,1700,1740,3443,851,898,1757
204011060,1968,1585,3558,1040,375,1410,196,391,591,94,56,150,41,51,93,1372,876,2251,420,558,978,3,5.8,4.1,69.7,55.3,63.3,67.6,51.9,60.5,37,43,75,19,45,63,127,206,336,160,179,341,524,200,722,22,31,54,35,39,70,575,270,848,1652,1450,3100,508,303,813,1074,965,2042,943,691,1632
204011061,76,83,157,27,10,40,6,14,27,0,5,7,3,0,3,36,33,72,31,42,68,8.3,0,4.2,47.4,39.8,45.9,43.4,34.9,47.1,0,0,0,0,4,4,4,7,12,0,10,11,19,8,25,3,3,6,3,4,3,24,14,39,61,64,130,6,10,19,46,45,99,25,27,53
204011062,1504,1465,2977,567,254,819,177,347,525,52,63,118,45,46,83,840,709,1548,519,636,1152,5.4,6.5,5.4,55.9,48.4,52,52.9,45.3,49.1,22,31,56,20,35,53,112,188,301,110,159,270,434,152,580,7,26,37,19,39,52,460,209,671,1447,1387,2830,172,178,355,1066,996,2058,505,512,1022
204021063,4093,4646,8735,1497,786,2281,422,1018,1442,119,155,272,138,111,254,2181,2065,4244,1615,2232,3846,6.3,5.4,6,53.3,44.4,48.6,49.8,42.2,45.7,52,67,121,52,104,156,226,415,642,297,466,764,1088,552,1639,34,90,121,69,91,162,1188,735,1923,3796,4145,7937,640,742,1391,2691,2902,5593,1584,1815,3396
204021064,1520,1488,3010,660,322,981,183,404,586,67,68,133,40,28,63,947,821,1766,414,535,954,4.2,3.4,3.6,62.3,55.2,58.7,59.9,53.4,56.5,18,46,62,18,47,62,113,189,302,127,165,292,457,168,623,14,36,50,26,37,60,494,241,738,1463,1409,2868,141,157,299,1127,1062,2184,431,467,893
