SA2_MAINCODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
213021346,3133,8919,598,1236,1057,2860,1651,4098,548,851,85,133,144,251,0,0,784,1234,27,34,14,21,3,3,13,25,57,79,23,46,5643,14372,613,..,6254,14372
213031347,3039,9263,1083,2444,1372,4092,2455,6535,228,418,223,442,168,340,7,14,624,1211,0,0,13,30,0,0,20,43,32,71,29,67,6176,17149,533,..,6711,17149
213031348,2220,5839,349,771,725,1805,1078,2579,1174,2575,634,1233,1233,2183,14,22,3056,6009,0,0,0,0,0,0,46,111,46,111,43,65,6441,14611,659,..,7102,14611
213031349,1495,4704,81,189,1562,4287,1639,4469,359,671,110,235,784,1400,3,3,1257,2309,0,0,0,0,0,0,0,5,0,5,7,20,4403,11509,445,..,4850,11509
213031350,2291,6086,260,509,289,653,546,1160,497,882,166,291,61,87,3,4,724,1265,0,0,0,0,0,0,23,58,23,58,29,45,3617,8617,387,..,4001,8617
213031351,2536,7051,421,854,322,857,744,1714,625,1182,277,517,86,175,15,27,998,1907,0,5,0,0,0,0,16,45,18,46,15,28,4309,10739,452,..,4753,10739
213031352,3995,10693,344,657,611,1555,953,2209,320,549,158,241,49,83,0,4,527,875,0,0,0,0,0,0,54,124,54,124,7,10,5534,13902,492,..,6029,13902
213041353,6261,17594,640,1215,75,150,715,1360,71,79,0,0,0,0,0,0,73,85,10,9,22,25,0,0,4,12,29,45,17,31,7099,19123,539,..,7639,19123
213041355,5399,17956,342,811,172,451,514,1260,67,165,10,14,0,3,0,3,77,190,0,0,0,0,0,0,0,0,0,0,17,55,6007,19464,311,..,6319,19464
213041356,5728,16024,629,1255,109,294,738,1548,8,24,0,0,0,0,0,3,10,23,0,0,0,4,3,3,3,17,6,24,14,23,6497,17641,504,..,7007,17641
213041357,7015,20480,600,1125,59,144,657,1271,40,106,0,0,4,11,0,0,46,121,0,3,0,0,0,3,4,13,7,23,27,79,7755,21969,630,..,8391,21969
213041358,4563,13809,871,2360,126,358,999,2724,14,26,0,0,0,0,0,0,14,26,0,0,0,0,0,0,4,15,4,15,4,8,5582,16581,337,..,5914,16581
213041359,475,1420,7,31,0,0,7,31,0,0,0,0,0,0,0,0,0,0,42,59,63,82,0,3,4,0,105,141,8,33,596,1625,71,..,662,1625
213041360,4541,16392,404,1090,354,1061,754,2151,32,50,9,31,0,0,0,0,42,83,0,0,0,0,0,0,0,0,0,0,4,17,5349,18635,229,..,5573,18635
213041461,1217,4108,217,374,4,20,225,387,31,40,0,0,0,0,0,0,31,40,0,0,0,0,0,0,4,10,4,10,0,3,1478,4544,117,..,1592,4544
213041462,1447,5278,85,298,87,285,175,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1625,5864,85,..,1704,5864
213041463,5260,17116,59,141,506,1434,563,1576,11,14,27,49,87,176,0,0,118,239,0,0,0,0,0,0,0,0,0,0,3,0,5942,18937,373,..,6317,18937
213051361,5073,15696,559,1587,110,312,666,1899,313,674,0,0,0,0,0,0,313,674,0,0,0,0,0,0,0,3,0,3,9,16,6060,18287,367,..,6428,18287
213051362,5475,16368,275,695,71,222,340,912,578,1276,0,0,0,0,0,0,578,1276,0,3,0,0,0,0,0,6,0,11,6,15,6398,18581,414,..,6809,18581
213051363,2321,7127,261,664,174,503,438,1169,38,96,0,0,4,8,0,0,39,103,35,42,0,0,0,0,3,15,41,57,8,22,2849,8481,386,..,3241,8481
213051365,7830,28191,1568,4736,250,713,1824,5452,43,93,21,31,0,0,0,0,63,133,0,0,0,0,0,0,0,5,0,5,16,33,9733,33809,500,..,10232,33809
213051366,4769,16995,1362,4075,238,688,1600,4765,25,61,0,5,0,3,0,0,27,71,0,0,0,0,0,0,4,5,4,5,5,10,6399,21839,441,..,6839,21839
213051368,3081,8258,702,1439,186,416,891,1856,22,41,14,32,59,95,0,0,97,167,61,95,0,4,0,0,0,0,68,98,10,12,4134,10391,525,..,4665,10391
213051369,6982,21729,214,471,27,62,233,533,11,40,0,0,0,0,0,0,11,40,0,0,0,0,0,0,0,3,0,3,9,27,7237,22336,472,..,7709,22336
213051464,3106,10117,103,298,411,1149,519,1448,39,125,0,0,3,8,0,0,37,130,0,0,0,9,0,0,0,3,3,6,7,27,3670,11724,527,..,4205,11724
213051465,5881,19703,464,1195,385,1077,850,2270,224,445,0,0,0,5,0,0,225,452,0,0,0,5,0,0,0,6,3,8,8,17,6962,22453,429,..,7392,22453
213051466,3648,12194,345,1096,279,834,622,1929,0,0,0,0,17,27,0,0,19,27,0,0,0,0,0,0,0,0,0,0,0,0,4291,14159,341,..,4634,14159
213051467,5621,16025,907,2009,140,403,1050,2413,20,33,0,0,0,0,0,0,22,39,3,3,3,8,0,0,0,3,8,14,9,21,6707,18512,426,..,7133,18512
213051468,3533,10036,404,824,99,228,503,1045,96,189,0,0,0,0,0,0,96,189,0,0,0,0,0,3,3,3,5,13,3,10,4141,11299,383,..,4524,11299
214011370,5583,15740,1175,2320,330,736,1510,3054,42,81,0,0,0,0,0,0,43,81,15,26,183,248,0,0,9,31,203,299,12,8,7347,19191,440,..,7786,19191
