SA2_MAINCODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
201021011,79,225,172,220,283,350,181,417,49,1991,3,18,12,12,7,10,0,20,0,81,0,0,0,0,0,0,0,0,0,0,3,15,14,6,16,11,3,9,0,78,0,0,0,0,0,0,0,0,0,6,0,9,7,4,5,0,0,0,0,30,0,3,3,3,0,4,3,4,0,24,4,42,41,41,17,18,6,14,0,192,8,64,48,48,18,23,11,33,3,258,3,12,3,7,8,4,3,4,0,39,0,3,0,3,4,3,0,0,0,16,0,3,7,6,6,4,0,3,0,27,3,3,10,3,0,3,0,3,0,22,3,26,15,26,10,12,9,16,0,114,3,33,20,8,8,4,3,0,3,77,10,13,20,21,26,22,10,3,0,119,16,40,40,40,34,24,12,23,0,227,41,66,96,116,53,43,10,13,3,444,3,14,9,3,3,5,3,6,0,44,3,15,5,6,6,3,0,3,0,47
201021012,50,117,90,85,220,296,163,360,42,1426,6,9,9,9,8,4,8,11,0,64,0,0,0,0,0,0,0,0,0,5,3,9,4,9,3,3,0,4,0,40,0,0,0,0,0,0,0,0,0,3,0,11,9,3,11,9,0,4,0,37,0,6,7,5,3,7,0,0,0,28,6,28,21,24,25,8,4,3,6,123,3,39,8,11,3,0,0,3,0,65,0,4,3,8,9,0,6,0,0,34,0,3,0,3,3,0,4,0,0,13,0,0,6,5,6,10,3,0,0,29,0,0,4,0,4,3,0,0,0,15,3,15,7,10,14,17,8,12,0,78,3,8,3,8,8,5,3,0,3,37,3,5,18,10,22,17,4,4,0,91,10,28,27,34,37,17,13,23,7,189,18,24,69,71,43,24,15,9,3,276,0,3,5,3,3,3,0,0,0,26,0,4,4,5,8,3,3,3,0,34
201031013,30,43,43,63,99,144,48,164,17,654,4,13,14,10,9,8,4,21,0,73,0,0,0,0,0,0,0,0,0,0,3,14,0,10,10,14,3,9,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,3,5,0,0,0,12,4,7,12,9,7,3,0,4,0,50,5,13,3,3,7,3,0,8,0,37,0,0,0,3,5,4,0,0,0,15,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,3,0,0,23,0,7,0,7,3,0,0,0,0,14,3,6,9,9,6,5,6,7,0,49,3,8,11,5,7,0,3,3,0,46,8,12,32,28,7,15,3,14,0,123,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,10
201031014,38,71,51,55,142,170,91,227,26,870,3,11,10,20,7,6,6,20,0,77,0,0,0,0,0,0,0,0,0,0,0,11,5,10,5,3,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,9,3,3,0,3,0,0,0,18,0,0,3,0,3,3,3,0,0,16,3,24,16,24,10,3,3,9,0,85,3,24,8,7,9,0,4,8,0,57,0,0,0,3,3,9,0,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,3,8,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,3,3,6,3,3,3,0,0,0,30,0,13,4,3,0,0,0,0,0,20,6,13,9,4,6,6,4,3,0,58,15,9,14,11,6,11,3,10,0,83,15,18,32,47,31,15,8,6,0,170,0,0,3,4,0,0,3,0,0,5,3,4,5,0,3,0,4,0,0,24
201031015,41,87,48,86,175,220,130,216,32,1036,4,5,4,7,0,3,0,11,0,36,0,0,0,0,0,0,0,0,0,7,6,8,3,8,7,0,0,3,0,32,0,0,0,0,0,0,0,0,0,4,0,6,3,3,0,3,0,0,0,23,0,0,4,0,0,3,0,0,0,4,4,38,21,28,14,14,0,6,0,126,0,11,17,9,3,0,0,7,0,53,0,8,0,3,9,3,3,4,0,32,3,0,0,0,3,5,5,0,0,20,0,0,3,0,4,3,0,0,0,9,0,0,0,0,4,0,0,0,0,8,0,6,15,16,0,4,0,0,0,43,0,10,9,8,3,0,0,0,0,32,5,3,8,7,15,11,3,3,0,60,0,16,17,22,18,15,6,7,0,104,11,25,44,60,40,18,5,11,0,217,3,0,8,3,0,0,0,7,0,19,0,0,7,3,0,4,0,3,0,24
201031016,48,133,85,120,311,254,135,196,38,1317,0,5,0,6,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,13,20,21,25,23,3,3,5,111,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,7,0,0,0,3,4,0,0,0,0,11,7,64,43,35,20,17,12,11,9,207,8,47,25,17,21,7,0,12,0,127,0,0,3,3,0,5,5,0,0,13,0,3,3,9,0,0,0,0,0,16,0,0,4,4,8,4,0,0,0,25,0,0,3,0,0,0,0,0,0,10,0,5,3,7,3,10,0,3,0,35,0,21,3,8,5,0,0,3,0,35,6,12,14,5,6,9,3,5,0,68,0,18,21,31,19,13,12,26,0,134,22,26,76,76,55,41,13,12,6,329,0,7,3,0,3,0,0,3,0,16,3,10,7,3,11,6,0,0,0,46
201031017,32,106,78,69,181,203,104,206,27,1010,0,3,10,8,7,12,0,11,0,58,0,0,0,0,0,0,0,0,0,3,4,3,9,4,20,12,8,3,0,66,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,7,4,44,27,23,12,5,6,3,4,120,0,26,12,6,6,3,0,5,3,62,3,0,9,4,4,3,0,3,0,19,0,0,0,0,0,4,0,0,0,7,0,0,7,0,3,0,0,0,0,15,0,0,0,0,3,0,0,0,0,3,0,5,4,9,4,5,0,7,0,30,0,9,5,6,0,3,0,0,0,20,6,3,7,11,11,10,3,0,0,51,5,12,15,17,18,5,9,12,0,94,10,16,35,50,24,18,6,8,0,175,0,3,10,4,3,0,0,0,0,18,0,6,4,0,4,3,0,3,0,24
202011018,107,278,188,294,635,654,390,486,50,3093,6,4,3,4,4,4,0,0,0,28,0,0,0,0,0,0,0,0,0,8,7,13,8,20,43,24,11,10,3,120,0,0,0,4,0,3,0,0,0,8,0,12,0,10,11,5,0,5,0,53,0,3,3,0,11,0,0,3,0,24,21,109,51,67,53,29,15,11,0,363,3,105,56,32,35,18,18,18,3,273,4,6,8,7,5,7,7,5,0,39,0,6,4,4,14,3,4,8,0,37,10,0,16,11,42,17,8,7,0,110,0,0,3,0,6,6,7,3,0,24,6,22,11,10,26,18,4,13,3,110,3,29,23,19,16,15,4,3,0,106,13,12,17,17,39,33,13,15,0,166,13,54,67,54,54,45,22,40,9,356,51,96,136,233,165,112,55,54,8,914,3,11,8,6,8,3,0,0,0,41,3,16,14,22,12,4,15,3,0,93
202011019,74,227,143,190,514,532,291,380,65,2403,0,3,8,3,0,3,0,0,0,23,0,0,0,0,0,4,0,3,0,5,13,17,17,13,39,22,12,13,0,152,0,0,0,4,3,3,3,3,0,21,3,15,3,6,3,6,3,0,0,40,0,4,0,0,5,5,0,0,0,21,9,99,67,59,52,15,14,5,3,318,11,62,39,37,16,11,17,6,4,198,0,4,10,5,4,0,3,0,0,36,3,5,0,0,0,3,0,0,0,20,5,3,8,11,33,16,4,3,0,82,0,0,5,0,9,3,0,0,0,13,9,12,8,5,26,9,3,5,0,73,10,29,22,20,15,7,0,0,0,103,8,7,17,14,34,19,9,7,0,113,5,39,26,50,45,25,19,26,3,245,48,78,106,171,122,52,31,21,7,630,0,13,3,4,7,4,0,0,0,33,5,10,6,19,12,8,3,4,0,68
202011020,102,358,160,252,557,608,352,562,36,2975,0,8,5,5,8,0,0,0,3,29,0,0,0,0,0,3,0,0,0,6,8,29,5,16,31,10,8,6,3,107,0,0,0,7,3,8,0,0,0,14,0,13,14,12,9,4,3,3,0,57,0,7,3,0,4,0,0,0,0,28,23,129,62,53,47,30,16,12,3,365,10,126,40,38,14,15,3,16,8,280,0,7,3,7,8,3,0,0,0,27,0,8,4,4,3,7,3,3,0,21,12,9,18,23,39,18,12,6,0,142,0,3,3,3,10,9,4,6,0,36,8,23,14,16,24,25,6,10,0,123,3,19,14,11,14,6,9,3,0,76,15,7,22,30,46,36,22,16,3,195,24,69,71,71,69,36,38,61,5,446,46,90,143,193,133,102,38,34,4,781,3,24,3,4,3,4,3,0,0,54,0,32,14,18,21,5,7,6,0,102
202011021,65,235,136,195,411,434,251,336,44,2105,0,3,3,0,0,0,3,0,0,17,0,0,0,0,0,4,0,0,0,8,3,11,8,8,21,8,4,0,0,73,3,0,3,0,0,3,0,0,0,12,0,8,4,5,7,9,0,3,0,35,0,3,0,3,4,0,0,0,0,15,23,111,53,47,39,17,11,5,3,310,8,110,41,23,13,10,4,7,5,223,0,0,3,0,3,3,0,0,0,15,3,7,3,6,11,0,3,0,0,31,3,0,15,10,31,12,8,11,0,95,0,0,0,4,5,6,3,4,0,27,0,6,13,17,13,12,6,11,0,79,0,14,13,10,11,4,0,3,0,57,10,7,11,14,44,20,6,3,3,112,16,70,62,39,62,39,32,46,0,368,42,64,134,166,92,83,25,29,0,618,3,14,3,4,3,3,0,5,0,41,3,10,13,18,10,3,4,0,0,69
