POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA3081,162,68,340,2444,2697,973,875,2744,1308,11042
POA3082,213,50,346,5564,5690,2454,2112,7243,1587,24647
POA3083,242,197,652,6115,6072,2576,1962,8148,2012,26892
POA3084,337,183,867,5075,6092,2733,1906,3655,1249,20716
POA3085,136,125,421,2825,3123,1389,961,2184,758,11243
POA3086,0,0,0,324,151,22,14,280,100,885
POA3087,79,27,195,1776,2077,872,674,1556,425,7378
POA3088,320,63,574,5466,6176,2890,1985,4155,1152,21822
POA3089,29,17,101,2541,2774,1221,848,1592,417,9390
POA3090,3,0,11,490,471,251,205,381,87,1888
POA3091,10,0,16,290,324,189,148,269,106,1321
POA3093,105,15,154,737,923,462,314,666,167,3270
POA3094,51,21,132,1893,2237,974,641,1125,353,7225
POA3095,110,77,317,5680,6503,3279,2055,3726,1050,22298
POA3096,50,6,58,399,436,176,160,352,96,1628
POA3097,5,3,10,258,349,172,118,159,104,1161
POA3099,17,3,46,929,1153,600,429,574,229,3920
POA3101,340,110,763,5860,5559,2232,1475,4015,1519,20655
POA3102,58,12,158,1415,1518,690,470,882,319,5294
POA3103,292,61,618,3406,3293,1627,1116,2770,677,12898
POA3104,252,72,678,4270,4156,2153,1548,3624,851,16603
POA3105,140,49,384,2220,2311,1081,782,2199,633,9232
POA3106,381,54,574,3312,3407,1708,1316,3544,744,14028
POA3107,292,57,507,2465,2883,1457,1081,2746,632,11266
POA3108,244,165,700,4252,4221,2111,1557,4740,1172,18052
POA3109,370,138,829,5704,5861,2827,2190,5872,1176,23637
POA3111,344,82,558,2421,2564,1274,968,2396,603,10235
POA3113,28,7,66,1727,1942,993,639,1075,389,6750
POA3114,13,3,38,843,798,436,337,526,123,3062
POA3115,7,3,24,819,868,429,310,550,155,3131
POA3116,63,27,159,2049,2177,968,814,1646,474,8127
POA3121,162,57,349,9882,7311,1823,1002,4831,2585,27437
POA3122,108,95,360,6483,5638,1673,1081,3966,1613,20455
POA3123,148,33,299,3631,3407,1224,738,2258,768,12030
POA3124,560,91,941,4932,5020,2339,1405,3566,959,18224
POA3125,260,93,576,3323,2961,1172,791,3979,847,13071
POA3126,200,27,330,1754,1828,836,577,1307,354,6654
POA3127,182,53,464,4209,4339,2042,1234,2536,684,15049
POA3128,201,143,540,4226,3978,1622,1049,4918,1278,17070
POA3129,169,61,437,3565,3907,1666,1158,3267,712,14270
POA3130,515,224,1262,6694,7143,3212,2293,5404,1471,26215
POA3131,356,159,831,4443,4847,2215,1553,4266,1193,18523
POA3132,99,51,299,3354,3891,1660,1144,2403,694,13140
POA3133,295,84,562,4456,4925,2460,1682,3880,756,18158
POA3134,452,108,818,6873,7324,3218,2320,5511,1401,26651
POA3135,185,65,437,4136,4615,2016,1391,3103,887,16147
POA3136,524,189,1088,9062,10288,4366,3136,7099,2259,36214
POA3137,248,64,446,2770,3054,1294,972,2423,784,11304
POA3138,102,87,299,4521,4838,2129,1550,3573,1022,17633
POA3139,40,36,146,2499,2987,1484,1205,1977,757,10911
POA3140,162,57,348,3348,3620,1614,1214,2790,874,13467
POA3141,113,57,298,8239,5779,1437,757,4533,2614,23359
POA3142,180,109,504,3338,2903,1061,738,2371,1067,11480
POA3143,95,43,237,2514,2102,722,496,1330,648,7817
POA3144,168,58,378,2607,2465,1003,667,1633,622,8997
POA3145,253,56,522,5181,5206,2095,1364,4428,1040,19311
POA3146,210,62,525,5881,5997,2525,1582,3403,1091,20484
POA3147,233,68,464,2869,3268,1391,855,2528,812,11719
POA3148,51,14,128,1895,1784,653,481,1926,566,7300
POA3149,343,124,1034,6746,7499,3500,2525,6036,1592,27906
POA3150,874,293,1818,11668,12450,6357,4684,12626,2456,50244
POA3151,125,36,269,2082,2118,1033,724,2393,459,8808
POA3152,685,129,1147,6836,7279,3217,2401,6815,1307,27857
POA3153,262,190,542,4081,4343,1802,1467,3890,1339,16918
POA3154,24,70,110,876,988,475,320,584,302,3541
POA3155,210,69,434,4482,5018,2108,1625,3896,1268,18395
POA3156,315,117,635,7619,8278,3759,2691,6548,1759,30652
POA3158,14,8,45,1332,1738,746,483,813,266,5381
POA3159,3,3,16,497,654,307,213,276,172,2116
POA3160,15,13,67,1836,2285,1041,650,1003,423,7229
POA3161,356,127,665,3655,3413,1280,742,2681,988,12760
POA3162,405,82,702,3969,3936,1522,838,3199,934,14388
POA3163,371,98,743,7468,7505,2613,1639,6577,1631,27430
POA3165,361,98,823,5510,6089,2587,1774,4569,1321,21853
POA3166,289,125,633,5060,5168,2066,1416,4842,1283,19832
POA3167,94,26,223,1897,1927,805,646,1947,524,7745
POA3168,290,98,511,4239,3444,1197,879,7148,1209,18127
POA3169,225,58,418,3654,3716,1526,1330,5683,1160,17075
POA3170,269,91,490,3558,3989,1814,1478,4124,1058,16027
POA3171,327,86,592,3630,3188,1368,1334,7123,1592,18235
POA3172,152,127,441,4186,4338,1951,1437,5748,1267,18929
POA3173,246,33,368,4628,4670,1951,1575,6728,1118,20679
POA3174,502,74,777,6384,6281,2671,2392,11430,2635,31790
POA3175,597,186,1096,8006,8141,3597,3367,15938,4388,43442
POA3177,94,51,204,1634,1607,693,691,3427,1062,9112
POA3178,163,49,380,7050,7253,3267,2289,6363,1216,27438
POA3179,14,3,25,1249,1295,581,439,1066,254,4880
POA3180,31,14,92,1537,1647,729,601,1297,335,6148
POA3181,376,67,555,6438,4695,1112,581,3716,2058,18597
POA3182,102,46,221,7055,5509,1219,625,3890,3327,21621
POA3183,106,37,263,5323,4276,1224,710,2578,1452,15567
POA3184,61,14,132,4658,3840,1082,549,1900,1372,13399
POA3185,169,35,321,3170,3048,1061,653,1860,726,10520
POA3186,459,136,953,5037,5107,2364,1512,3756,1444,19221
POA3187,403,170,873,3318,3503,1518,1039,2596,839,12810
POA3188,129,65,412,3973,4107,1795,1123,2410,1047,14468
POA3189,66,32,178,1147,1310,521,376,1099,395,4848
POA3190,121,41,310,2278,2382,985,621,1549,583,8399
POA3191,358,67,558,2186,2396,1019,617,1643,571,8437
POA3192,392,215,908,4591,5122,2033,1413,3880,1242,18280
POA3193,201,118,706,4152,4593,2297,1342,2502,996,15883
POA3194,188,95,440,2937,3134,1157,750,2166,711,10861
POA3195,348,126,773,7645,8302,3432,2172,5489,1736,28767
POA3196,318,225,747,5028,5901,2252,1609,4167,1854,20807
POA3197,117,62,269,2383,2583,1091,739,2026,794,9622
POA3198,113,94,346,3167,3706,1548,1089,2791,1431,13738
POA3199,716,254,1477,10357,12017,5154,3881,9501,4017,44925
POA3200,135,36,201,904,964,395,382,1383,669,4697
POA3201,204,135,420,3848,4202,1662,1318,4011,1499,16537
POA3202,17,47,77,545,615,247,158,488,192,2247
POA3204,338,85,717,6607,6953,2871,1806,4987,1366,24589
POA3205,139,36,234,2995,2632,707,419,1843,1064,9654
POA3206,84,39,217,2426,2560,897,581,1386,707,8555
POA3207,70,35,203,4229,4003,1185,698,2477,1379,13974
POA3211,4,0,8,190,287,134,120,204,140,1074
POA3212,139,37,257,2800,3316,1555,1314,2630,1718,13332
POA3213,11,3,30,729,805,412,362,643,243,3200
POA3214,173,94,396,3415,3919,1879,1796,5958,2351,19325
POA3215,354,271,852,3676,4334,1954,1592,4021,1701,17277
POA3216,969,293,1928,11073,12670,5849,4230,9333,3002,46155
POA3217,0,36,49,1341,1488,622,479,646,438,5013
POA3218,96,47,268,2814,3173,1263,892,2035,871,11051
POA3219,321,104,623,3615,4150,1903,1483,3934,1531,16619
POA3220,190,92,470,3483,3772,1690,1105,2507,1112,13670
POA3221,4,0,6,125,149,92,76,84,53,585
POA3222,224,67,447,2538,3166,1780,1445,2367,955,12262
POA3223,125,74,314,1087,1621,940,688,1387,774,6503
POA3224,138,53,319,2491,3146,1502,1159,2339,859,11490
POA3225,101,37,234,667,1057,530,364,573,342,3543
POA3226,171,56,353,2530,3415,1660,1149,1835,665,11260
POA3227,18,12,68,906,1125,560,383,443,314,3729
POA3228,138,32,264,3480,4125,1988,1376,2001,862,13836
POA3230,56,15,107,442,638,363,217,313,185,2160
POA3231,11,4,29,224,314,195,100,142,98,1077
POA3232,21,12,47,205,259,95,108,159,136,968
POA3233,19,8,52,318,492,265,195,288,213,1771
POA3234,0,0,0,31,53,30,16,14,15,156
POA3235,0,0,3,56,106,48,39,27,33,313
POA3236,3,0,3,28,65,28,17,40,27,205
POA3237,0,0,0,32,62,24,23,32,17,191
POA3238,0,0,0,35,58,43,16,19,21,190
POA3239,3,3,11,58,93,44,40,66,52,360
POA3240,5,0,7,349,424,269,201,223,128,1597
POA3241,53,14,91,396,527,280,263,442,211,2122
POA3242,0,0,9,125,210,100,79,94,62,667
POA3243,0,3,5,48,89,59,33,37,25,293
POA3249,16,10,43,489,692,380,340,418,252,2577
POA3250,230,82,460,1916,2473,1206,1014,2380,1040,10034
POA3251,0,4,7,95,94,50,57,75,62,438
POA3254,0,0,0,46,65,25,31,48,17,233
POA3260,66,37,149,713,984,561,442,813,442,3954
POA3264,37,20,82,335,428,218,212,431,260,1886
POA3265,8,9,29,416,510,265,266,357,246,2054
POA3266,50,16,94,495,569,308,304,581,243,2501
POA3267,0,0,0,38,47,28,26,36,26,199
POA3268,17,9,55,431,491,268,263,408,233,2095
POA3269,0,3,4,123,132,66,69,85,89,553
POA3270,4,7,9,48,50,26,25,34,20,208
POA3271,0,0,0,37,43,20,17,31,12,159
POA3272,33,16,63,214,299,163,151,289,130,1243
POA3273,0,0,3,20,28,16,17,21,18,112
POA3274,3,0,8,40,34,24,30,38,27,191
POA3275,0,0,7,78,88,52,30,66,29,340
POA3276,3,3,5,77,89,63,38,70,43,378
POA3277,4,11,32,332,388,198,176,227,195,1511
POA3278,3,0,3,37,61,43,28,39,31,241
POA3279,0,0,0,55,37,27,27,37,34,220
POA3280,444,193,953,5673,6742,3091,2372,5516,2539,25934
POA3281,3,0,11,278,380,209,161,151,125,1304
POA3282,9,7,31,364,511,290,210,323,185,1878
POA3283,3,0,12,206,306,158,138,142,114,1053
POA3284,77,30,150,494,785,432,316,508,304,2834
POA3285,3,0,14,171,257,177,121,159,113,1002
POA3286,9,3,20,82,108,61,54,92,59,457
POA3287,3,0,3,57,103,40,40,66,30,339
POA3289,23,0,34,112,136,86,90,136,52,612
POA3292,0,0,4,23,58,30,17,35,13,176
POA3293,0,0,3,33,57,35,37,42,37,241
POA3294,8,3,30,146,216,99,98,122,93,770
POA3300,148,112,404,1664,2225,1077,907,1744,816,8433
POA3301,6,4,16,197,263,134,148,131,78,950
POA3302,5,0,10,45,80,39,41,61,35,300
POA3303,0,3,3,43,56,34,35,59,36,266
POA3304,37,13,68,374,551,288,281,510,280,2285
POA3305,183,67,348,1810,2742,1429,1159,2328,1197,10673
POA3309,3,0,3,11,32,6,14,21,8,97
POA3310,0,3,8,50,68,35,33,33,29,245
POA3311,49,23,97,240,287,181,185,381,194,1467
POA3312,4,7,23,172,192,126,113,121,120,849
POA3314,3,0,3,78,117,78,63,58,39,421
POA3315,40,22,86,226,325,183,175,319,137,1367
POA3317,0,0,0,33,41,19,25,24,14,148
POA3318,19,24,62,206,266,165,118,182,136,1069
POA3319,5,0,7,59,82,30,43,68,19,305
POA3321,4,0,10,257,361,188,153,128,74,1162
POA3322,0,0,3,35,33,18,13,33,14,150
POA3323,0,0,5,8,24,13,5,19,8,76
POA3324,4,4,15,89,90,64,77,87,59,457
POA3325,4,4,21,79,90,40,54,69,52,388
POA3328,3,0,12,248,381,184,221,217,89,1333
POA3329,0,0,3,56,61,30,30,39,14,228
POA3330,0,0,3,27,33,28,28,47,13,171
POA3331,69,14,100,956,1325,580,519,764,327,4476
POA3332,3,0,4,144,209,95,110,143,78,773
POA3333,0,0,5,124,186,93,86,108,60,654
POA3334,3,3,12,77,109,52,63,90,78,462
POA3335,10,4,13,948,1087,404,386,1184,517,4522
POA3337,139,53,268,5802,6507,2914,2866,7391,2510,28005
POA3338,176,39,268,3696,4205,1859,1810,4579,1628,17774
POA3340,165,54,345,3681,4409,2095,1706,3539,1273,16707
POA3341,3,0,11,261,382,188,157,252,119,1356
POA3342,34,14,72,527,749,404,340,521,265,2805
POA3345,10,4,12,169,273,122,112,136,106,917
POA3350,666,214,1352,11076,13502,5954,4364,9375,3841,48109
POA3351,37,11,80,1255,1679,916,889,1162,584,6491
POA3352,50,37,158,2530,3381,1754,1578,2027,1342,12613
POA3355,220,90,485,1987,2503,1221,1087,2804,1149,10755
POA3356,219,74,436,2729,3285,1391,1343,3235,1225,13208
POA3357,20,11,51,607,824,455,324,398,263,2866
POA3360,4,4,9,109,154,80,95,134,80,659
POA3361,20,4,35,109,108,74,72,125,72,553
POA3363,86,42,154,492,683,381,316,610,390,2873
POA3364,7,3,31,319,462,222,238,274,262,1773
POA3370,15,10,44,228,380,240,206,294,175,1523
POA3371,7,4,22,135,190,131,107,174,136,873
POA3373,38,28,81,317,460,238,231,415,228,1882
POA3374,0,0,0,45,95,63,36,57,38,336
POA3375,0,0,0,25,37,12,34,20,29,160
POA3377,130,52,303,1399,1868,930,770,1665,1355,7978
POA3378,0,0,0,29,24,9,13,12,17,106
POA3379,12,4,14,108,126,80,79,127,145,666
POA3380,127,41,248,909,1313,615,516,1207,581,5137
POA3381,3,7,23,182,291,156,115,137,126,1016
POA3384,0,3,6,78,116,67,64,85,73,478
POA3385,0,0,7,87,121,62,71,75,23,438
POA3387,0,3,5,38,73,38,42,44,24,254
POA3388,16,4,31,95,123,65,53,103,34,475
POA3390,7,11,28,150,189,102,82,158,78,751
POA3391,3,0,6,14,35,24,22,39,9,145
POA3392,28,0,42,62,107,62,55,140,72,500
POA3393,71,28,143,405,520,312,247,495,267,2244
POA3395,7,3,13,51,82,44,51,54,39,322
POA3396,11,29,58,97,148,68,88,135,94,631
POA3400,222,83,521,2418,3069,1522,1167,2611,1068,11845
POA3401,10,9,54,687,934,587,426,585,271,3494
POA3407,3,4,10,70,99,54,43,53,39,353
POA3409,27,8,48,148,185,108,113,146,63,768
POA3412,0,0,5,48,58,44,29,51,23,260
POA3413,0,0,0,37,42,29,22,28,13,172
POA3414,37,29,92,272,366,222,191,310,217,1570
POA3415,0,0,0,9,13,3,5,9,0,37
POA3418,61,21,139,450,523,327,313,522,193,2325
POA3419,24,4,40,156,186,89,79,121,38,679
POA3420,0,0,3,51,43,24,30,32,23,213
POA3423,11,3,22,52,95,64,68,104,38,417
POA3424,18,3,34,117,157,85,98,127,59,640
POA3427,10,0,14,488,599,236,204,492,267,2294
POA3428,3,4,11,121,137,68,48,108,87,568
POA3429,290,104,607,6915,8124,3500,2751,5843,1967,29102
POA3430,0,0,0,55,73,35,30,35,36,260
POA3431,15,3,43,711,956,482,369,463,161,3133
POA3432,0,0,0,28,39,16,18,24,30,160
POA3433,0,0,4,30,53,29,19,35,20,176
POA3434,24,9,55,824,1119,536,467,710,366,4021
POA3435,12,6,42,444,626,311,295,371,262,2301
POA3437,65,53,174,1837,2316,1126,944,1267,631,8123
POA3438,33,9,55,390,529,284,213,265,118,1810
POA3440,3,0,21,347,416,257,194,226,160,1597
POA3441,4,3,14,215,336,163,131,156,68,1067
POA3442,34,50,123,1168,1755,910,645,768,666,5914
POA3444,170,38,292,1530,2072,998,842,1374,795,7603
POA3446,0,4,8,200,247,118,86,117,105,870
POA3447,3,0,4,71,122,59,52,34,42,376
POA3448,3,7,20,132,230,116,96,110,63,750
POA3450,115,115,354,1004,1681,817,627,928,719,5779
POA3451,11,17,53,747,1191,629,480,603,1140,4794
POA3453,9,5,26,257,433,222,172,221,110,1418
POA3458,18,28,57,254,489,250,172,261,251,1684
POA3460,76,26,134,449,588,306,223,440,233,2235
POA3461,26,13,59,623,1006,534,418,501,369,3446
POA3462,7,9,17,180,286,147,116,126,127,982
POA3463,52,8,98,372,586,350,278,358,222,2162
POA3464,8,3,23,176,223,131,118,172,64,884
POA3465,180,87,376,1338,1859,1111,981,2018,927,8234
POA3467,18,4,30,145,240,133,138,233,111,996
POA3468,0,3,11,33,45,26,63,66,23,249
POA3469,0,0,8,33,60,46,32,42,24,240
POA3472,15,11,32,200,300,184,164,281,160,1289
POA3475,6,3,13,42,55,37,51,74,38,301
POA3477,4,0,12,111,169,115,106,146,70,714
POA3478,51,24,116,366,521,284,282,494,191,2126
POA3480,53,29,114,250,342,176,187,354,244,1550
POA3482,0,0,3,26,19,22,23,31,24,142
POA3483,16,11,39,142,173,103,84,136,87,722
POA3485,0,3,5,49,68,34,37,50,26,260
POA3487,0,0,0,8,13,5,9,19,9,68
POA3488,0,0,0,23,21,18,10,9,8,93
POA3489,0,0,0,5,16,8,10,7,4,53
POA3490,34,16,83,190,245,149,133,252,135,1109
POA3491,0,0,7,18,25,16,21,13,10,97
POA3494,0,3,5,119,115,52,56,135,86,562
POA3496,74,43,162,907,1216,604,550,1075,663,5021
POA3498,50,21,95,833,1059,589,488,877,421,4263
POA3500,418,198,900,5139,6468,2958,2400,6430,3184,26591
POA3501,4,4,17,277,428,244,165,230,155,1498
POA3505,77,21,138,698,937,536,417,866,453,3904
POA3506,0,0,0,10,6,4,3,0,3,30
POA3507,0,3,3,19,29,19,14,28,19,122
POA3509,0,0,12,45,46,31,20,33,16,190
POA3512,3,5,8,56,67,41,51,50,34,302
POA3515,0,3,5,300,417,191,193,207,151,1455
POA3516,0,3,20,106,129,75,77,102,76,575
POA3517,43,3,57,167,261,140,155,281,194,1193
POA3518,12,9,33,151,243,127,145,271,195,1136
POA3520,3,3,9,26,22,13,19,50,24,157
POA3521,4,0,7,99,137,71,65,103,48,519
POA3522,3,0,5,42,72,36,47,53,32,287
POA3523,58,16,101,482,739,348,432,699,460,3167
POA3525,23,23,75,183,288,170,144,199,127,1111
POA3527,32,9,58,108,171,109,81,129,92,686
POA3529,0,0,0,26,21,10,8,15,7,88
POA3530,0,0,4,24,30,20,8,12,14,106
POA3531,6,3,11,27,37,18,26,39,21,159
POA3533,24,8,39,109,125,75,66,163,105,646
POA3537,27,22,70,160,195,110,128,165,107,860
POA3540,0,0,7,42,50,29,34,64,38,257
POA3542,0,0,9,22,32,18,28,25,10,128
POA3544,3,3,4,42,33,22,32,45,27,205
POA3546,7,3,17,75,52,50,34,66,51,329
POA3549,20,34,67,432,529,239,219,779,593,2786
POA3550,644,344,1449,7529,9093,3939,3056,6882,3123,33622
POA3551,69,27,214,5023,6490,3305,2568,3427,1711,22529
POA3555,286,188,668,3286,4173,1892,1578,3691,1628,16243
POA3556,101,64,258,2085,2633,1190,1114,2266,1215,10499
POA3557,0,0,8,136,164,78,78,110,51,615
POA3558,5,8,27,142,183,97,105,148,99,775
POA3559,3,0,6,98,107,71,57,66,41,442
POA3561,52,49,156,669,859,485,487,752,405,3658
POA3562,3,0,0,48,48,24,23,50,29,226
POA3563,10,3,22,117,178,94,79,129,61,655
POA3564,246,104,463,2594,3422,1565,1247,2781,1439,13050
POA3565,0,0,0,20,19,13,14,6,13,85
POA3566,0,4,9,65,125,55,53,92,66,444
POA3567,0,5,12,113,109,70,79,105,58,532
POA3568,68,14,130,494,591,336,314,522,255,2508
POA3570,7,3,16,123,130,100,96,100,63,608
POA3571,0,0,4,59,51,32,33,39,42,260
POA3572,0,0,0,24,23,24,14,20,17,113
POA3573,0,0,3,44,55,30,38,45,47,260
POA3575,17,6,35,112,153,83,77,160,71,656
POA3576,0,0,0,16,21,9,5,3,6,57
POA3579,85,50,209,789,1062,614,559,912,529,4460
POA3580,3,3,15,146,211,137,108,161,77,847
POA3581,0,0,0,27,39,20,16,26,12,141
POA3583,0,0,0,24,41,17,14,38,27,161
POA3584,3,16,20,139,205,115,105,178,161,903
POA3585,171,82,382,1787,2158,1061,864,1962,1272,9100
POA3586,3,3,5,142,152,89,76,97,111,660
POA3588,3,0,3,46,83,34,30,73,25,287
POA3589,3,0,9,55,53,31,28,60,56,281
POA3590,0,0,0,42,59,47,33,46,32,262
POA3591,0,0,4,19,35,19,11,29,22,134
POA3594,0,0,7,83,99,49,49,83,86,447
POA3595,16,3,32,58,87,51,75,158,120,552
POA3596,0,0,0,20,17,8,10,12,14,70
POA3597,4,0,8,57,83,36,40,93,62,366
POA3599,0,4,4,13,22,20,7,26,25,110
POA3607,0,0,0,16,28,15,10,16,22,106
POA3608,50,13,89,360,514,271,231,476,236,2082
POA3610,27,14,58,183,270,160,124,293,422,1452
POA3612,30,9,50,233,334,191,193,343,206,1508
POA3614,0,0,3,158,190,94,65,119,54,680
POA3616,72,30,152,791,1104,567,467,882,523,4341
POA3617,0,0,0,29,39,12,14,23,14,135
POA3618,3,0,7,99,139,70,61,134,56,560
POA3620,144,82,311,1311,1594,832,747,1467,839,6784
POA3621,52,6,80,384,448,237,209,397,198,1872
POA3622,0,0,3,66,97,67,40,68,41,375
POA3623,11,3,28,142,178,94,98,147,98,762
POA3624,3,5,13,78,126,51,55,109,36,454
POA3629,110,37,201,1447,1762,807,648,1897,899,7471
POA3630,355,203,809,4932,5612,2691,2138,6554,3012,24942
POA3631,118,40,226,1990,2394,1139,916,1959,756,9154
POA3633,0,0,4,95,127,57,57,83,44,466
POA3634,4,3,18,279,405,206,169,245,150,1449
POA3635,3,0,3,80,129,55,51,95,33,442
POA3636,82,46,180,855,1075,549,516,895,441,4331
POA3637,0,0,9,123,123,58,62,81,21,464
POA3638,39,20,82,344,415,227,189,345,189,1705
POA3639,3,0,13,73,97,64,60,112,58,466
POA3640,0,0,5,149,214,105,106,140,55,764
POA3641,6,3,6,180,252,110,119,203,110,979
POA3644,117,60,270,1424,1693,873,797,1803,986,7573
POA3646,0,0,6,91,120,72,66,86,32,466
POA3647,0,0,0,11,5,5,0,8,5,40
POA3649,3,0,13,61,90,50,36,63,47,351
POA3658,28,24,80,1025,1317,608,601,998,478,5024
POA3659,5,0,11,106,152,90,64,124,67,607
POA3660,66,81,225,1146,1464,745,648,1418,998,6416
POA3662,0,0,0,194,183,62,84,199,69,786
POA3663,3,0,3,24,33,15,18,25,23,138
POA3664,6,4,18,165,224,121,113,154,106,878
POA3665,0,0,0,45,71,52,27,58,47,309
POA3666,67,70,192,684,996,547,487,816,469,3994
POA3669,42,4,62,190,305,175,162,232,113,1172
POA3670,0,0,4,103,116,75,57,96,52,495
POA3672,206,89,485,1627,2180,1185,924,1866,958,8735
POA3673,8,3,20,259,363,210,191,238,190,1444
POA3675,7,4,19,279,412,217,201,214,158,1485
POA3677,314,318,845,2833,3894,1865,1411,3199,1647,14853
POA3678,33,11,86,947,1460,825,665,741,539,5183
POA3682,5,0,12,70,133,83,49,90,58,476
POA3683,8,11,29,277,399,199,173,261,160,1466
POA3685,30,18,86,415,665,325,231,400,218,2250
POA3687,6,3,17,203,241,101,96,190,78,910
POA3688,3,3,12,208,285,146,102,143,85,980
POA3690,288,107,610,5730,7399,3212,2490,5599,2304,26726
POA3691,116,25,174,1617,2166,1024,825,1421,598,7650
POA3694,0,0,0,22,12,0,0,44,22,90
