POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA3013,5835,6306,12141,3200,2257,5460,751,1550,2299,136,240,371,257,186,440,4343,4234,8578,1142,1686,2827,5.9,4.4,5.1,74.4,67.1,70.7,70,64.2,67,418,561,976,196,346,540,1409,1772,3179,468,610,1080,887,349,1234,27,42,76,77,94,168,989,486,1479,5550,5884,11431,1018,1115,2128,3595,3887,7484,2659,2822,5482
POA3015,6716,7102,13817,3720,2459,6187,851,1819,2668,196,276,469,251,209,464,5024,4764,9786,1376,1994,3372,5,4.4,4.7,74.8,67.1,70.8,71,64.1,67.5,498,602,1103,198,374,574,1483,1854,3338,593,725,1314,1224,487,1707,32,52,82,86,102,191,1350,634,1980,6542,6872,13410,1263,1333,2596,4179,4414,8594,3208,3371,6573
POA3016,6071,6551,12617,2904,1786,4696,795,1769,2573,166,193,354,206,212,420,4080,3960,8037,1642,2210,3849,5,5.4,5.2,67.2,60.4,63.7,63.7,57.2,60.4,542,618,1156,181,389,568,1370,1577,2941,542,648,1195,928,332,1262,28,47,76,70,112,182,1028,491,1523,5949,6187,12132,1023,1041,2062,4155,4455,8609,2599,2591,5189
POA3018,5086,5509,10589,2413,1478,3892,595,1251,1847,125,169,290,190,173,365,3328,3065,6390,1453,2119,3573,5.7,5.6,5.7,65.4,55.6,60.3,61.6,52.6,56.9,267,323,589,101,221,317,795,1013,1810,462,579,1038,1164,406,1572,17,43,61,99,116,215,1284,565,1849,4740,5104,9843,768,849,1621,3210,3413,6623,2138,2347,4487
POA3019,3769,3738,7505,1295,750,2047,621,635,1249,106,93,196,347,277,626,2365,1757,4119,1158,1718,2877,14.7,15.8,15.2,62.7,47,54.9,53.6,39.5,46.5,168,146,310,26,50,71,569,532,1101,282,265,546,389,263,657,30,26,55,48,58,112,469,357,823,3483,3452,6930,729,658,1390,2220,2321,4546,1772,1596,3374
POA3020,18840,18204,37050,6836,3622,10461,2643,3325,5970,552,471,1023,1309,1158,2465,11343,8579,19918,6113,8378,14490,11.5,13.5,12.4,60.2,47.1,53.8,53.2,40.7,47.1,627,557,1185,144,291,427,2113,2429,4546,1318,1377,2696,2614,1334,3951,143,187,327,215,287,502,2967,1804,4772,17162,17054,34220,3381,2981,6358,11232,11708,22949,8295,7319,15612
POA3021,22334,22370,44705,7345,3877,11219,3149,3811,6955,684,565,1247,1520,1380,2901,12693,9634,22323,7956,11134,19089,12,14.3,13,56.8,43.1,49.9,50,36.9,43.4,479,476,959,118,199,321,2021,2201,4222,1549,1744,3296,3350,1799,5152,171,249,419,307,373,682,3833,2416,6250,20935,21177,42104,3464,3208,6672,14816,15423,30244,8393,7795,16186
POA3022,1287,1256,2544,500,260,757,184,218,404,46,39,85,98,82,178,828,599,1425,360,554,912,11.8,13.7,12.5,64.3,47.7,56,56.7,41.2,49,41,37,77,13,28,42,111,138,253,99,126,225,249,115,360,14,20,32,25,25,44,287,152,436,1182,1225,2405,223,184,410,722,759,1483,611,581,1192
POA3023,23994,24671,48664,11309,6312,17625,2916,5600,8517,760,759,1520,1276,1261,2535,16265,13929,30193,6405,9376,15787,7.8,9.1,8.4,67.8,56.5,62,62.5,51.4,56.8,923,891,1815,246,434,677,3130,4183,7310,1936,2379,4317,4099,2213,6316,190,259,448,364,523,895,4653,2997,7652,24846,25490,50335,3509,3662,7175,16658,17190,33849,9953,10297,20247
POA3024,8487,8903,17388,4610,2382,6995,939,2111,3053,221,317,539,477,511,979,6247,5325,11571,1725,3083,4807,7.6,9.6,8.5,73.6,59.8,66.5,68,54,60.9,495,412,907,87,162,249,826,1176,2002,707,1089,1794,2036,1219,3256,66,119,185,123,184,308,2229,1517,3749,8917,9180,18103,1756,1882,3631,5061,5119,10176,4748,5119,9865
POA3025,4787,5115,9899,1934,1112,3043,525,796,1320,140,142,276,211,174,390,2801,2217,5021,1638,2514,4152,7.5,7.8,7.8,58.5,43.3,50.7,54.3,40.1,46.9,146,173,323,42,121,159,546,667,1210,295,403,701,886,364,1249,31,46,82,59,89,153,980,505,1483,4633,4837,9473,722,765,1493,3172,3382,6560,1848,1945,3795
POA3026,50,20,70,21,0,19,3,3,3,3,0,3,0,0,5,24,9,31,11,9,23,0,0,16.1,48,45,44.3,54,15,35.7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,12,0,12,34,16,50,7,3,4,19,3,22,18,9,29
POA3027,2452,2446,4897,1487,845,2337,317,525,841,71,93,164,129,177,314,2004,1646,3647,328,681,1008,6.4,10.8,8.6,81.7,67.3,74.5,76.5,59.8,68.2,403,352,754,66,70,141,618,704,1324,237,248,483,266,157,423,13,21,29,28,14,45,301,194,500,2320,2296,4609,736,722,1455,814,775,1590,1950,1944,3893
POA3028,11919,12133,24055,5502,3008,8514,1525,2681,4209,351,368,719,656,565,1220,8036,6619,14659,3171,4801,7971,8.2,8.5,8.3,67.4,54.6,60.9,61.9,49.9,55.9,502,481,989,147,260,406,1351,1779,3130,960,1171,2133,2458,1143,3596,72,144,214,164,239,405,2690,1519,4215,11371,11636,23010,1826,1822,3650,8156,8398,16553,4485,4496,8978
POA3029,35470,34945,70414,17806,9250,27059,4595,7930,12527,1126,1172,2298,1837,2040,3876,25369,20390,45764,8216,12698,20916,7.2,10,8.5,71.5,58.3,65,66.3,52.5,59.5,2778,2410,5186,453,624,1074,4741,5878,10615,3358,3798,7156,6385,3526,9903,251,372,626,465,701,1162,7097,4599,11697,35065,35129,70197,7308,7296,14602,20009,20237,40247,19172,19102,38273
POA3030,37048,38786,75828,19869,10579,30444,4362,8986,13352,1092,1180,2267,1842,2072,3911,27162,22813,49981,7857,13809,21664,6.8,9.1,7.8,73.3,58.8,65.9,68.4,53.5,60.7,2699,2378,5077,555,896,1455,5566,6933,12496,3320,4181,7498,7067,3739,10804,282,449,732,551,743,1298,7899,4936,12832,37729,38321,76047,7843,8079,15922,22108,22337,44445,20214,20942,41155
POA3031,7365,8253,15624,3497,2882,6379,1067,1753,2818,163,270,431,339,351,692,5068,5255,10316,1668,2290,3961,6.7,6.7,6.7,68.8,63.7,66,64.2,59.4,61.6,789,973,1761,225,480,701,2019,2303,4326,559,628,1194,678,428,1110,49,59,105,66,105,173,794,595,1386,6054,6688,12741,1674,1830,3508,3531,4005,7535,3936,4233,8169
POA3032,12069,12706,24774,5906,4147,10061,1775,3097,4869,286,392,682,591,548,1141,8562,8194,16755,2685,3636,6321,6.9,6.7,6.8,70.9,64.5,67.6,66,60.1,63,1151,1141,2290,312,563,875,2837,3329,6165,1064,1218,2277,1513,740,2257,67,113,183,148,217,366,1732,1078,2808,10384,10750,21138,2646,2700,5340,6276,6642,12924,6258,6403,12656
POA3033,5758,6263,12020,2573,1437,4008,635,1509,2138,165,184,346,201,173,379,3571,3295,6872,1869,2595,4462,5.6,5.3,5.5,62,52.6,57.2,58.6,50,54,211,206,419,98,160,254,819,1042,1856,468,576,1046,1241,408,1649,24,68,87,67,131,193,1329,603,1935,5789,6179,11968,688,709,1392,4305,4637,8941,1950,1971,3921
POA3034,4743,5102,9847,1877,1058,2930,559,1009,1571,134,166,297,171,139,311,2738,2373,5116,1716,2426,4144,6.2,5.9,6.1,57.7,46.5,52,54.2,43.8,48.7,173,166,335,53,101,152,646,806,1451,331,427,756,889,334,1219,23,48,75,65,102,167,974,487,1456,4612,4875,9482,609,627,1231,3446,3706,7153,1542,1602,3145
POA3036,2390,2534,4923,1138,603,1739,329,680,1006,74,71,143,52,75,129,1589,1430,3018,707,992,1698,3.3,5.2,4.3,66.5,56.4,61.3,64.5,53.4,58.7,68,87,153,33,74,107,335,430,767,235,264,496,570,184,756,20,32,47,42,40,78,629,247,878,2482,2550,5028,231,246,481,1988,2073,4056,659,685,1342
POA3037,19159,20130,39290,9851,5218,15072,2533,5153,7687,579,666,1248,990,1052,2037,13952,12089,26040,4259,6981,11242,7.1,8.7,7.8,72.8,60.1,66.3,67.7,54.8,61.1,574,648,1222,168,395,565,2272,3097,5368,1641,1989,3634,4164,1962,6131,126,253,376,263,467,730,4552,2682,7233,20935,21686,42626,2321,2418,4746,15137,15575,30714,6995,7416,14408
POA3038,11382,11511,22893,5399,2840,8240,1518,2982,4501,333,345,682,524,445,966,7772,6613,14386,3109,4432,7533,6.7,6.7,6.7,68.3,57.4,62.8,63.7,53.6,58.6,313,255,572,128,196,325,1367,1642,3008,889,1101,1993,2512,931,3442,57,127,189,163,256,419,2738,1313,4047,11707,11848,23560,967,953,1916,9766,9810,19575,2582,2640,5220
POA3039,5719,6263,11985,2926,1949,4871,779,1610,2384,130,207,337,224,199,423,4052,3963,8013,1328,1974,3306,5.5,5,5.3,70.9,63.3,66.9,67.1,60.1,63.3,498,545,1043,170,342,512,1375,1651,3024,518,598,1115,777,343,1112,28,27,56,58,98,158,857,463,1326,5147,5606,10748,1104,1160,2266,3539,3893,7428,2521,2676,5195
POA3040,10243,11418,21662,5181,3371,8551,1495,3095,4586,299,389,692,370,316,687,7341,7173,14507,2314,3582,5897,5,4.4,4.7,71.7,62.8,67,68.1,60,63.8,800,859,1660,286,512,797,2322,2843,5169,958,1136,2090,1622,638,2258,56,80,134,120,197,317,1797,917,2717,9442,10310,19748,1940,2094,4033,6457,7066,13530,4638,5065,9701
POA3041,4891,5236,10133,2574,1390,3964,624,1491,2115,110,151,266,155,162,325,3461,3199,6660,1150,1711,2861,4.5,5.1,4.9,70.8,61.1,65.7,67.6,57.9,62.6,310,275,589,132,238,369,978,1163,2144,432,555,982,934,328,1261,29,38,67,78,96,170,1038,460,1498,4797,4968,9766,790,834,1628,3488,3627,7121,1976,2047,4023
POA3042,6261,6821,13083,3022,1909,4925,668,1564,2228,194,227,416,220,180,396,4098,3874,7971,1821,2569,4392,5.4,4.6,5,65.5,56.8,60.9,62,54.2,57.9,234,249,485,80,190,268,768,1145,1911,570,736,1308,1473,525,2001,37,67,100,83,141,222,1596,731,2323,6110,6493,12601,877,957,1836,4272,4671,8947,2438,2529,4968
POA3043,7183,7592,14776,3107,1881,4992,829,1628,2459,221,230,452,333,242,578,4496,3987,8478,2243,3133,5381,7.4,6.1,6.8,62.6,52.5,57.4,57.9,49.2,53.5,155,190,343,76,153,229,669,941,1607,564,736,1301,1704,713,2419,52,93,143,96,197,290,1853,999,2850,6897,7304,14203,982,930,1912,5071,5404,10472,2512,2487,5001
POA3044,10624,11469,22096,5235,3119,8353,1327,2820,4144,273,381,655,457,393,849,7292,6711,14004,2676,4059,6734,6.3,5.9,6.1,68.6,58.5,63.4,64.3,55.1,59.5,650,734,1383,219,456,675,1957,2343,4304,928,1121,2048,1943,749,2685,47,85,135,114,208,325,2105,1046,3149,10042,10661,20704,1973,1988,3956,6772,7293,14065,4718,4827,9544
POA3045,54,47,98,16,9,21,3,0,3,0,0,0,0,0,0,14,10,30,0,5,5,0,0,0,25.9,21.3,30.6,35.2,19.1,24.5,0,0,0,0,0,0,3,0,8,0,3,3,6,0,10,0,0,0,0,0,0,10,0,5,11,11,25,3,4,4,11,12,19,3,7,11
POA3046,13781,14243,28024,5732,3304,9044,1928,2807,4741,396,389,783,709,589,1295,8765,7092,15853,4070,6222,10289,8.1,8.3,8.2,63.6,49.8,56.6,58.5,45.6,52,837,714,1551,201,356,560,1958,2275,4235,1170,1320,2494,2395,1028,3424,83,131,217,156,244,399,2643,1400,4045,12536,12935,25477,2753,2593,5351,7964,8582,16549,6520,6201,12721
POA3047,8300,7873,16175,2180,986,3162,1125,1023,2148,227,172,398,661,426,1088,4193,2610,6799,3340,4510,7845,15.8,16.3,16,50.5,33.2,42,42.6,27.7,35.3,237,171,408,45,73,120,674,655,1331,521,610,1130,1077,601,1669,76,106,185,106,116,222,1255,824,2071,7808,7501,15306,1516,1381,2897,5121,5184,10308,3527,3090,6619
POA3048,6845,7106,13950,1947,906,2858,894,1014,1916,200,154,351,469,386,853,3518,2458,5977,2821,4174,6993,13.3,15.7,14.3,51.4,34.6,42.8,44.4,29.2,36.7,107,75,184,41,68,107,450,504,953,352,561,911,952,578,1526,66,93,154,88,105,195,1109,771,1877,7167,7321,14491,949,965,1914,5297,5510,10807,2326,2307,4628
POA3049,3681,3991,7677,1798,1028,2823,448,1060,1505,132,139,266,171,132,300,2549,2354,4900,935,1408,2342,6.7,5.6,6.1,69.2,59,63.8,64.6,55.8,59.8,65,78,141,40,80,119,309,467,775,299,431,723,952,397,1348,22,50,77,55,97,151,1033,543,1576,3739,3919,7656,413,452,863,2831,2999,5831,1177,1272,2447
POA3050,58,44,100,8,6,15,3,0,4,0,10,10,3,0,3,16,16,31,12,6,24,18.8,0,9.7,27.6,36.4,31,19,36.4,29,3,0,3,0,0,0,3,7,6,3,3,5,8,0,11,0,0,0,3,3,3,12,4,11,22,20,42,5,3,7,13,16,26,12,7,25
POA3051,6402,6974,13372,2269,1961,4223,956,1311,2269,152,209,358,424,445,867,3801,3921,7721,1834,2280,4119,11.2,11.3,11.2,59.4,56.2,57.7,52.7,49.9,51.2,844,883,1729,156,254,408,1884,2134,4018,382,427,813,355,259,614,24,43,70,59,61,123,443,366,805,3918,4089,8009,2268,2613,4876,1920,1987,3912,4106,4562,8671
POA3052,2460,2818,5272,898,755,1654,391,599,987,63,77,142,140,135,276,1490,1566,3052,678,809,1495,9.4,8.6,9,60.6,55.6,57.9,55,50.8,52.8,403,476,876,54,97,152,737,824,1562,133,153,291,128,86,207,6,17,21,8,24,31,141,117,262,1486,1631,3119,796,875,1674,616,725,1344,1647,1732,3374
POA3053,7951,9489,17442,1981,1655,3637,1019,1388,2405,139,172,317,658,862,1518,3798,4080,7872,3386,4600,7990,17.3,21.1,19.3,47.8,43,45.1,39.5,33.9,36.5,870,1023,1897,131,225,358,2244,2644,4890,431,510,943,326,243,571,18,44,64,64,81,140,406,364,776,4246,4885,9132,3247,4065,7312,1558,1576,3129,5893,7325,13224
POA3054,3473,4033,7503,1699,1480,3177,622,1026,1647,80,131,215,126,118,244,2524,2755,5282,729,1017,1745,5,4.3,4.6,72.7,68.3,70.4,69.1,65.4,67.2,585,678,1266,122,255,380,1137,1399,2542,241,272,511,216,136,355,18,23,38,37,40,76,276,200,472,2773,3055,5832,806,989,1791,1623,1785,3411,1883,2206,4088
POA3055,5821,6427,12250,2664,2080,4746,952,1595,2547,147,203,352,301,227,531,4069,4114,8180,1393,1919,3316,7.4,5.5,6.5,69.9,64,66.8,64.6,60.3,62.4,598,716,1313,210,373,581,1404,1753,3158,478,538,1015,722,372,1090,27,51,75,47,87,131,797,502,1304,4854,5199,10051,1347,1484,2828,2991,3208,6200,2991,3302,6299
POA3056,10605,11257,21866,5006,4076,9085,1888,2838,4727,289,371,662,481,422,906,7663,7712,15370,2248,2884,5129,6.3,5.5,5.9,72.3,68.5,70.3,67.7,64.7,66.2,1266,1597,2862,353,649,1004,2999,3420,6420,780,850,1626,1053,469,1521,54,50,108,112,118,230,1219,638,1857,7988,8413,16402,2779,2982,5763,4428,4830,9260,6130,6409,12539
POA3057,4836,5463,10300,2499,2183,4678,744,1344,2089,120,145,269,227,201,427,3586,3878,7461,894,1251,2143,6.3,5.2,5.7,74.2,71,72.4,69.5,67.2,68.3,605,759,1371,177,343,522,1404,1789,3194,385,427,813,499,270,766,28,35,61,44,52,92,572,350,923,3421,3841,7266,1476,1643,3123,1828,2123,3954,2978,3337,6322
POA3058,13613,14581,28191,6188,3925,10110,2111,3660,5770,392,494,882,668,587,1258,9358,8662,18024,3488,5111,8603,7.1,6.8,7,68.7,59.4,63.9,63.8,55.4,59.5,1096,1274,2370,420,728,1140,2828,3376,6204,1126,1279,2403,1886,849,2736,72,111,177,146,191,338,2106,1156,3258,12436,13345,25779,2536,2540,5077,8234,9105,17339,6122,6145,12275
POA3059,6230,6179,12407,3253,1637,4887,828,1729,2550,209,206,418,210,242,452,4501,3810,8307,1500,2188,3679,4.7,6.4,5.4,72.2,61.7,67,68.9,57.8,63.3,184,185,373,63,112,170,797,972,1764,530,669,1200,1368,536,1897,34,90,121,89,159,249,1489,781,2271,6384,6295,12680,893,929,1827,4454,4385,8839,2519,2566,5083
POA3060,5585,5435,11018,1996,879,2866,818,916,1729,206,133,341,373,215,588,3391,2134,5522,1862,2960,4825,11,10.1,10.6,60.7,39.3,50.1,54.1,35.5,44.8,376,266,642,59,90,155,728,719,1441,379,381,762,754,339,1092,30,38,71,72,94,162,855,461,1322,5400,5363,10758,1080,909,1991,3490,3668,7163,2556,2151,4704
POA3061,2086,1951,4034,577,231,808,278,245,524,70,36,102,114,74,184,1038,582,1627,887,1264,2144,11,12.7,11.3,49.8,29.8,40.3,44.3,26.2,35.5,43,34,81,11,12,16,133,119,250,96,153,252,309,141,448,13,20,29,25,39,63,344,198,543,2121,2047,4167,241,238,476,1645,1597,3245,604,547,1154
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,223,240,461,118,55,177,19,69,88,8,5,13,4,5,12,151,133,285,57,91,147,2.6,3.8,4.2,67.7,55.4,61.8,65,53.8,60.3,3,7,10,3,3,5,22,19,42,11,30,42,78,23,96,4,0,0,10,10,19,92,27,120,240,266,508,17,12,28,191,202,397,63,68,130
POA3064,27540,28321,55861,12960,6624,19583,3656,6002,9666,885,854,1732,1605,1498,3104,19110,14975,34085,7011,11932,18936,8.4,10,9.1,69.4,52.9,61,63.5,47.6,55.5,1203,1218,2420,222,481,702,2867,3650,6514,2415,3005,5416,5005,2929,7936,238,356,596,398,541,934,5644,3829,9466,28504,28720,57221,6127,6139,12268,16776,16978,33758,15305,15477,30785
POA3065,4510,4743,9250,2025,1684,3704,564,861,1425,135,161,293,220,209,430,2937,2914,5850,940,1243,2181,7.5,7.2,7.4,65.1,61.4,63.2,60.4,57.1,58.6,545,674,1224,127,210,336,1264,1351,2616,302,336,637,314,217,532,22,30,57,42,60,100,378,306,684,3203,3391,6592,1053,1106,2155,1770,1888,3655,2322,2446,4767
POA3066,3735,3792,7535,1839,1485,3319,495,676,1173,110,114,220,184,175,353,2621,2444,5065,647,866,1510,7,7.2,7,70.2,64.5,67.2,65.4,60,62.5,411,420,831,98,167,267,1062,1089,2149,264,327,584,330,217,554,15,34,54,43,44,81,392,299,690,2361,2414,4777,1224,1233,2454,1156,1196,2347,2313,2332,4646
POA3067,3782,3771,7553,2091,1651,3735,487,753,1247,94,101,193,157,136,291,2820,2642,5467,603,788,1383,5.6,5.1,5.3,74.6,70.1,72.4,70.7,66.4,68.5,458,474,927,110,210,321,1210,1245,2457,317,346,659,318,175,493,12,26,35,34,38,71,369,234,601,2476,2450,4926,1155,1153,2311,1035,1047,2082,2520,2521,5043
