POA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,3,0,0,0,24
POA3051,8,28,72,24,33,13,3,0,0,185,3,41,99,58,24,21,5,9,0,265,201,1061,2818,1324,806,475,142,21,6,6856
POA3052,0,18,22,13,9,0,0,0,0,68,3,16,37,18,8,12,3,0,3,105,88,539,1120,393,293,226,103,14,3,2779
POA3053,3,28,54,22,19,22,8,0,0,148,21,58,101,29,30,15,9,0,0,261,235,1323,2772,938,547,380,135,30,0,6359
POA3054,0,15,38,15,18,11,4,0,0,98,3,17,70,28,19,22,9,0,0,174,86,602,1923,929,705,523,244,23,4,5039
POA3055,3,24,104,50,47,24,5,0,0,262,3,22,103,58,38,24,9,3,0,269,173,846,2727,1766,1243,717,164,16,0,7648
POA3056,3,49,167,93,65,46,12,0,0,432,12,56,213,90,65,33,15,3,0,484,261,1711,5890,3308,1901,1115,248,29,3,14465
POA3057,4,30,91,55,46,9,3,0,0,241,3,19,100,56,28,16,6,3,0,234,94,778,3090,1629,876,449,116,4,0,7036
POA3058,9,54,156,138,124,78,16,4,0,582,11,69,233,170,123,83,23,0,0,712,440,1591,4987,4358,3250,1762,338,31,12,16767
POA3059,6,40,71,52,88,54,18,0,0,330,15,47,85,59,106,62,10,0,0,389,465,932,1687,1467,1911,1161,209,15,3,7857
POA3060,7,19,55,55,37,24,4,0,0,194,6,33,94,80,59,36,10,6,5,335,170,518,1447,1232,933,545,62,18,9,4937
POA3061,0,12,22,28,21,5,3,0,0,99,4,20,31,19,27,10,3,5,0,109,61,181,410,301,290,144,44,3,3,1438
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,4,3,0,0,0,0,13,0,0,0,6,3,0,0,0,0,11,21,21,34,73,74,34,20,3,0,280
POA3064,41,114,359,281,215,108,15,0,0,1134,83,234,518,423,384,163,22,0,0,1821,1470,3281,8875,7937,6193,2835,375,14,3,30981
POA3065,0,8,66,37,19,16,4,0,0,146,7,26,94,60,30,19,8,3,0,252,77,498,2303,1188,754,445,140,14,3,5427
POA3066,9,12,68,24,21,11,3,0,0,149,3,18,73,41,30,21,3,0,0,197,68,421,2292,1018,544,287,69,7,3,4711
POA3067,0,22,65,20,18,18,3,0,0,146,0,29,94,39,20,16,7,0,0,199,67,500,2574,997,578,341,103,14,0,5174
POA3068,8,26,102,59,55,46,9,0,0,307,6,20,134,99,56,45,18,4,0,380,172,812,3709,2540,1791,1251,374,22,4,10671
POA3070,9,39,121,120,78,53,17,0,0,432,14,46,135,108,96,45,10,3,0,458,337,1105,4170,3317,2815,1439,286,33,4,13495
POA3071,5,29,98,80,71,31,15,0,0,319,4,43,131,96,82,37,7,3,0,408,203,846,3058,2752,1889,948,158,26,4,9887
POA3072,14,53,133,133,104,60,18,0,0,510,22,80,191,156,130,81,11,3,0,677,458,1509,4551,4071,3136,1682,276,26,3,15714
POA3073,25,71,225,180,155,83,25,4,0,767,44,118,341,276,227,141,42,10,6,1202,679,2021,6592,5233,4008,2360,464,43,17,21414
POA3074,8,41,95,76,70,34,7,0,0,325,19,68,167,126,130,80,16,4,0,616,258,802,2152,1524,1401,1022,188,15,0,7369
POA3075,12,39,97,90,70,36,17,0,0,357,20,47,172,142,120,70,14,3,0,599,354,840,2441,1965,1474,913,186,14,7,8194
POA3076,12,66,140,150,94,56,13,0,0,536,34,90,260,191,161,109,11,4,6,870,575,1405,4034,3627,2728,1722,243,19,3,14358
POA3078,3,23,49,40,38,28,4,0,0,183,8,22,69,47,43,25,9,0,0,220,219,593,1699,1372,1422,859,184,18,3,6370
POA3079,12,18,42,36,55,52,15,3,0,228,8,26,49,69,67,41,24,10,0,291,367,682,1653,1707,1957,1400,424,67,3,8266
POA3081,0,18,69,56,37,18,6,0,0,203,5,26,82,52,52,37,11,0,0,269,161,507,1733,1262,1024,722,140,16,3,5567
POA3082,14,64,136,113,113,94,12,0,0,555,30,75,157,135,206,126,26,3,0,757,732,1652,3216,2588,3530,2505,359,12,0,14594
POA3083,19,71,138,102,113,76,24,0,0,534,31,88,205,137,160,102,36,8,0,768,630,1687,3543,2862,2807,1840,414,44,3,13828
POA3084,12,29,70,68,86,74,13,9,0,363,12,28,90,104,92,70,24,9,3,427,478,1002,2336,2929,2791,1973,555,73,8,12150
POA3085,8,21,39,44,36,23,3,0,0,179,12,20,43,53,53,23,9,3,0,215,303,633,1438,1728,1516,947,214,18,0,6803
POA3086,0,3,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,8,126,168,31,10,0,0,0,0,0,334
POA3087,8,16,39,45,33,25,3,3,0,167,3,24,24,41,43,26,6,0,3,172,185,342,998,1141,890,644,153,15,3,4373
POA3088,20,45,101,92,107,92,28,0,0,490,16,39,99,106,108,80,22,5,0,475,601,1145,2747,3163,3015,2393,550,37,3,13651
POA3089,12,40,56,60,67,55,10,0,0,295,16,19,45,51,59,56,7,3,0,255,456,657,1080,1379,1629,1134,186,14,0,6536
POA3090,0,6,3,7,18,11,0,0,0,58,0,6,8,10,10,4,14,0,0,63,107,142,151,238,389,206,58,6,0,1301
POA3091,0,5,5,4,17,3,3,0,0,40,0,6,4,5,8,9,4,0,0,44,60,99,86,119,250,159,49,4,0,829
POA3093,0,3,12,20,15,11,3,4,0,71,7,8,12,20,18,17,6,0,0,91,91,166,338,408,412,352,102,20,4,1888
POA3094,3,11,43,43,29,27,7,0,0,155,8,8,33,32,30,25,9,0,0,151,179,311,891,1179,993,807,219,12,3,4593
POA3095,19,60,83,96,142,110,22,3,0,533,32,42,87,92,156,93,39,4,0,548,836,1355,1945,3080,3774,2995,711,50,5,14744
POA3096,0,3,4,3,7,6,0,0,0,35,8,8,9,3,12,3,3,0,0,37,83,109,148,167,245,199,54,3,0,998
POA3097,5,5,0,8,6,3,0,0,0,22,0,3,3,6,14,9,0,0,0,30,34,60,63,141,197,120,64,9,0,688
POA3099,3,8,17,31,32,29,4,3,0,120,3,10,6,15,26,24,10,3,0,103,155,205,336,546,619,558,133,16,0,2567
POA3101,12,37,74,46,73,41,16,0,0,306,17,39,111,104,130,83,32,14,0,530,454,1287,2707,2299,2692,1898,714,127,19,12190
POA3102,3,6,15,19,18,16,3,0,0,80,0,9,12,20,36,14,11,3,0,103,164,301,521,683,870,478,180,21,0,3223
POA3103,10,11,33,26,32,32,12,0,0,154,9,36,51,52,83,49,25,8,0,320,312,725,1166,1195,1723,1210,433,62,8,6843
POA3104,11,30,41,39,56,53,12,4,0,250,18,33,53,74,107,79,16,6,3,402,503,939,1303,1742,2652,1653,438,71,12,9322
POA3105,5,9,23,26,55,36,15,0,0,180,4,24,49,49,58,38,17,5,3,245,193,428,930,1016,1244,737,242,35,8,4836
POA3106,7,21,56,41,72,60,13,0,0,265,14,24,65,54,85,67,34,10,3,358,321,702,1325,1363,1776,1522,511,70,7,7602
POA3107,6,14,38,44,52,39,16,3,0,211,6,18,60,59,47,45,20,3,0,262,208,473,1046,1432,1474,898,331,52,3,5922
POA3108,5,26,85,64,76,43,18,3,0,327,9,38,123,77,109,62,29,8,0,454,327,792,2251,1816,1963,1333,423,90,9,9013
POA3109,13,30,87,93,129,75,27,5,0,464,10,48,118,130,116,96,28,5,0,552,520,1093,2543,2730,2939,2074,601,77,6,12588
POA3111,0,16,34,42,50,47,21,3,0,218,11,19,54,54,60,52,18,8,4,274,261,515,942,1151,1404,1037,331,59,11,5708
POA3113,10,19,13,33,38,25,9,0,0,148,10,17,25,37,59,26,15,3,0,180,270,379,504,863,1267,829,211,34,0,4361
POA3114,5,5,3,13,21,16,0,0,0,66,6,8,9,16,31,25,9,0,0,93,163,219,155,342,610,364,96,8,0,1957
POA3115,5,7,12,18,28,18,5,4,0,87,0,10,14,17,36,30,7,0,0,116,171,241,209,334,599,423,101,20,4,2095
POA3116,10,26,50,46,42,39,15,3,0,230,9,13,33,42,61,37,17,0,0,217,296,503,1059,982,1134,809,240,18,3,5040
POA3121,3,37,226,111,70,54,16,0,0,523,10,54,316,133,97,45,21,3,0,680,326,1735,8458,3889,2401,1441,465,33,12,18752
POA3122,9,51,115,42,52,30,14,3,0,314,15,61,127,78,63,44,31,9,0,427,377,1578,4602,2519,1954,1259,533,75,11,12912
POA3123,8,24,63,31,17,19,10,4,0,174,8,31,82,64,60,47,5,4,0,309,226,861,2374,1643,1283,889,320,46,5,7645
POA3124,12,32,60,42,52,40,17,0,0,252,13,37,66,72,92,62,35,6,3,387,463,1127,1898,2008,2570,1711,620,61,11,10461
POA3125,7,30,41,55,40,22,5,0,0,206,13,44,83,45,45,29,11,4,0,269,346,920,1606,1143,1202,711,166,21,3,6120
POA3126,0,6,10,14,15,23,11,0,0,86,3,10,21,20,51,24,22,3,6,158,181,398,531,618,930,737,268,33,9,3704
POA3127,17,26,31,41,66,47,18,3,0,244,15,27,38,51,98,49,15,0,0,306,439,908,1556,1896,2319,1639,464,53,14,9282
POA3128,8,39,94,63,62,63,9,0,0,345,17,50,141,71,88,45,10,6,0,430,339,1022,2581,1792,1754,1108,224,28,0,8852
POA3129,6,24,69,56,58,38,16,5,0,262,10,27,74,90,75,47,11,0,0,343,343,704,1768,1832,1906,1215,294,25,3,8098
POA3130,14,52,125,127,115,91,36,4,0,558,10,34,107,111,138,90,33,7,3,529,708,1263,2944,3484,3614,2148,568,75,15,14810
POA3131,12,43,94,89,117,56,16,0,0,429,9,40,100,96,109,57,29,6,0,449,427,831,2501,2628,2228,1345,355,51,3,10375
POA3132,5,25,68,69,50,52,11,0,0,285,3,24,99,75,60,27,12,5,0,317,332,639,2005,2061,1754,1086,294,28,0,8196
POA3133,5,32,55,89,113,65,17,3,0,377,21,32,66,109,101,64,37,5,0,435,542,896,1709,2376,2373,1682,548,54,3,10179
POA3134,16,61,123,136,154,103,24,8,0,634,21,51,148,161,145,106,42,8,0,687,844,1471,3433,3709,3685,2490,607,58,3,16300
POA3135,17,38,70,100,82,54,19,3,0,383,16,35,80,81,103,55,20,3,0,386,480,824,2042,2405,2220,1429,363,55,0,9816
POA3136,19,90,205,184,209,146,56,3,0,914,32,104,205,197,216,145,63,15,3,979,1129,2036,4940,4749,4775,3366,836,71,15,21913
POA3137,9,36,85,75,73,52,11,0,0,340,15,42,72,55,70,74,16,0,0,339,362,715,1545,1388,1492,1086,226,17,8,6842
POA3138,17,59,135,82,116,70,17,4,0,506,20,71,135,124,109,85,18,3,0,572,632,1150,2637,2326,2294,1677,391,31,0,11134
POA3139,16,35,88,88,100,56,12,3,0,393,20,34,63,102,108,79,29,4,3,444,369,660,1289,1475,1623,1231,301,40,6,6993
POA3140,17,47,77,86,90,75,22,0,0,415,22,43,77,76,96,66,21,3,0,396,516,836,1579,1708,1963,1269,293,30,3,8195
POA3141,9,53,164,63,52,24,10,0,0,366,7,43,283,100,86,64,34,12,0,633,237,1619,7089,2675,1702,1113,545,100,18,15092
POA3142,6,16,34,33,22,26,8,0,0,151,0,23,69,48,76,51,49,15,4,348,120,625,1640,1042,1134,1029,704,159,38,6483
POA3143,7,14,35,18,27,14,4,0,0,114,5,15,69,33,39,21,21,7,0,209,110,442,1561,1017,825,585,287,54,8,4890
POA3144,0,17,32,20,27,20,7,0,0,133,13,26,35,43,55,29,12,6,4,220,148,449,1207,1095,1099,813,372,71,17,5280
POA3145,8,29,67,54,61,37,12,4,0,271,11,54,94,70,109,70,28,6,0,444,418,1190,2365,2376,2590,1606,511,62,11,11125
POA3146,11,33,81,63,70,60,20,4,0,338,20,44,89,106,129,67,34,10,0,491,505,1235,2919,2759,3060,1959,614,61,3,13120
POA3147,4,16,38,40,41,26,19,0,0,191,12,15,67,72,70,29,12,0,3,279,296,601,1367,1610,1643,978,252,22,8,6782
POA3148,3,10,37,23,22,13,11,0,0,121,3,27,81,54,37,28,0,0,0,236,127,420,1398,971,702,429,107,8,0,4157
POA3149,7,47,84,104,138,83,24,6,0,498,22,71,158,139,193,107,35,19,7,738,629,1446,3062,3235,3815,2302,598,96,18,15200
POA3150,17,72,142,146,231,143,60,3,0,808,34,113,312,290,311,185,70,28,3,1345,1062,2475,4763,5626,6370,4320,1259,197,31,26092
POA3151,0,22,34,28,44,30,10,0,0,173,4,16,53,42,57,32,21,6,0,230,173,493,1013,966,929,679,191,29,0,4471
POA3152,19,61,119,127,150,113,27,3,0,611,23,73,149,158,158,151,37,7,3,760,751,1566,3248,3123,3450,3143,704,40,8,16042
POA3153,9,37,109,84,80,60,23,0,0,398,15,27,147,103,128,75,18,8,3,536,389,868,2774,2220,2008,1419,335,26,9,10049
POA3154,0,4,17,28,29,18,0,0,0,95,10,9,24,31,27,23,10,0,0,120,118,171,439,519,525,389,86,0,0,2243
POA3155,8,41,142,105,68,71,19,3,0,465,5,46,129,124,138,91,29,9,4,584,422,979,2738,2422,2109,1698,417,46,5,10838
POA3156,33,81,157,175,201,131,39,3,0,822,38,77,175,193,261,177,31,6,3,968,1079,1856,3755,4097,4629,3185,603,59,13,19257
POA3158,9,20,24,33,39,17,3,0,0,138,12,14,22,30,46,24,8,4,0,151,204,313,569,813,893,663,138,12,0,3604
POA3159,3,3,10,11,12,15,0,0,0,56,0,7,7,14,19,7,0,0,0,61,74,118,198,297,365,255,49,0,0,1354
POA3160,8,22,48,46,60,26,3,0,0,221,13,22,33,47,53,46,14,4,0,228,235,383,775,1108,1173,899,182,11,3,4774
POA3161,10,27,60,34,37,35,16,0,0,219,12,21,96,66,62,63,32,9,4,379,175,644,2150,1539,1314,1169,542,76,22,7623
POA3162,10,32,69,73,70,56,19,3,0,338,16,44,63,84,91,60,41,5,0,394,243,698,1783,1905,1890,1366,614,68,3,8562
POA3163,8,35,166,100,104,57,22,8,0,498,13,58,211,148,113,86,25,3,4,665,437,1409,5260,3919,2989,2024,468,57,13,16567
POA3165,14,38,71,113,141,95,25,0,0,504,16,32,107,126,156,70,24,3,3,540,550,983,2354,3499,3394,1926,446,42,9,13208
POA3166,9,47,91,86,88,47,8,3,0,376,14,50,141,106,109,47,18,4,4,501,443,1093,3118,2748,2439,1277,270,41,7,11445
POA3167,5,9,34,44,40,21,4,0,0,154,4,15,43,70,47,28,12,3,0,235,203,402,995,1037,959,648,141,13,3,4409
POA3168,9,41,101,43,30,14,4,0,0,238,14,63,155,68,50,29,3,0,0,379,220,1154,3125,1462,904,544,115,15,0,7533
POA3169,9,40,121,79,66,39,16,3,0,375,10,58,177,98,100,78,19,0,0,548,289,969,2679,1857,1613,1057,262,15,3,8753
POA3170,10,23,65,71,92,53,19,3,0,330,13,37,120,106,98,69,25,10,0,475,282,744,2163,2160,1828,1257,332,33,3,8813
POA3171,11,67,136,119,69,41,3,0,0,450,13,92,227,154,149,106,22,3,0,771,285,1079,2533,1633,1443,910,169,19,4,8073
POA3172,17,48,111,99,119,81,26,4,0,498,17,73,170,148,173,112,29,6,0,724,484,1059,2157,2178,2331,1668,398,40,0,10325
POA3173,10,49,121,130,108,67,19,0,0,505,21,83,188,195,188,113,25,7,0,818,421,1136,2937,2862,2462,1598,324,18,4,11760
POA3174,23,76,245,174,117,77,30,0,0,738,17,144,379,286,253,147,37,8,0,1278,494,1690,4923,3363,2731,1896,450,35,7,15587
POA3175,12,86,239,178,125,96,20,0,0,759,36,201,533,405,308,188,42,4,0,1719,670,2155,5999,4572,3430,2337,498,34,8,19702
POA3177,0,23,48,35,27,18,7,0,0,166,9,45,132,84,73,33,9,3,0,389,127,434,1144,912,652,435,89,20,0,3819
POA3178,39,89,122,166,198,134,24,0,0,769,29,77,131,186,232,158,35,7,0,855,1110,1891,3147,3665,4544,3024,521,33,3,17946
POA3179,3,15,18,24,34,21,3,0,0,121,4,11,32,41,50,25,0,3,0,174,150,264,574,724,693,476,98,3,0,2982
POA3180,6,17,35,28,37,26,5,0,0,150,5,13,28,32,45,25,4,3,0,160,170,343,762,772,805,552,136,21,0,3557
POA3181,3,42,153,70,46,33,11,0,0,357,10,50,184,100,59,30,10,0,0,445,178,1271,5676,2494,1423,905,270,30,4,12250
POA3182,5,46,172,102,77,36,3,0,0,442,14,46,237,116,83,57,16,3,0,574,153,1243,5811,3064,2016,1270,329,31,6,13930
POA3183,15,38,150,71,52,37,9,0,0,370,9,34,171,96,64,43,12,3,0,435,171,951,4135,2542,1534,926,287,36,9,10597
POA3184,4,25,101,71,52,33,5,0,0,296,3,20,133,99,59,34,8,3,0,351,127,628,3266,2418,1756,1012,237,23,7,9461
POA3185,7,9,62,36,45,30,12,0,0,205,4,11,69,64,57,22,15,3,3,257,188,481,1977,1572,1389,871,293,44,6,6811
POA3186,11,20,54,43,80,39,16,5,0,272,12,34,71,101,151,114,53,4,9,554,371,828,1578,2044,2780,2075,883,131,24,10721
POA3187,4,18,19,39,55,43,10,3,0,190,12,19,39,66,97,72,31,5,0,347,306,533,879,1603,2071,1337,458,57,8,7253
POA3188,19,17,49,46,70,40,7,0,0,241,11,16,48,79,117,67,28,8,0,374,422,678,1232,1911,2452,1434,429,39,0,8603
POA3189,4,4,23,34,15,21,9,3,0,116,3,3,28,38,19,13,6,0,3,122,106,237,636,725,601,386,111,12,6,2817
POA3190,3,11,33,48,60,26,7,3,0,181,4,15,47,51,62,38,9,0,0,227,223,317,1075,1419,1256,704,180,18,3,5196
POA3191,3,16,29,26,22,11,19,0,0,129,11,14,32,50,63,34,18,4,0,232,230,359,740,1071,1342,902,300,29,4,4977
POA3192,7,26,82,90,94,73,18,3,0,400,12,26,100,111,122,81,26,7,3,494,466,879,2304,2754,2450,1581,412,49,11,10902
POA3193,15,13,19,42,74,36,18,3,0,218,15,26,29,90,156,76,44,9,3,440,454,765,907,1805,2717,1902,618,78,9,9252
POA3194,12,18,58,52,44,31,10,0,0,226,10,12,55,55,65,37,13,3,3,256,258,565,1442,1522,1506,993,267,50,6,6605
POA3195,18,47,107,149,148,113,30,3,0,615,32,58,107,168,215,109,44,7,3,746,963,1459,3140,4511,4855,2786,577,52,11,18364
POA3196,14,47,115,90,97,75,17,0,0,456,22,46,108,157,140,80,30,3,9,590,436,911,2755,3279,2696,1792,444,37,8,12356
POA3197,10,24,34,63,47,34,11,0,0,220,3,25,47,67,75,65,21,3,3,323,242,447,1024,1314,1413,1069,277,26,3,5812
POA3198,10,35,75,73,71,50,11,0,0,320,16,37,99,94,85,73,17,3,3,425,260,569,1853,1864,1556,1247,253,26,3,7631
POA3199,29,103,206,170,209,135,46,0,0,896,52,107,254,280,287,200,60,9,8,1257,1242,2319,5219,5176,5262,4081,1013,91,18,24412
POA3200,5,7,24,15,22,8,3,0,0,80,6,15,25,28,40,23,9,0,0,148,71,185,470,333,417,293,53,3,0,1827
POA3201,16,57,123,76,96,46,11,0,0,427,15,41,132,125,146,117,21,3,0,616,530,967,2368,2280,2195,1381,247,4,0,9975
POA3202,3,5,6,17,12,4,0,0,0,43,3,11,7,18,21,10,4,0,0,72,66,96,219,396,389,185,51,3,0,1416
POA3204,8,45,93,87,147,64,13,3,0,455,15,40,109,129,166,92,30,3,4,591,649,1263,2973,3475,3936,2295,486,43,11,15128
POA3205,3,17,62,40,28,21,7,3,0,181,3,20,50,51,43,22,13,0,0,204,75,430,2061,1474,981,549,180,13,4,5770
POA3206,7,6,23,22,29,12,6,0,0,113,6,10,48,62,51,30,6,0,0,219,120,252,1000,1301,1303,799,317,39,4,5134
POA3207,6,20,78,58,50,27,15,0,0,266,4,23,99,111,76,50,28,8,0,404,155,449,2462,2468,1791,1157,417,46,5,8946
POA3211,0,3,5,4,4,11,0,0,0,26,0,0,5,9,3,6,4,0,0,23,42,56,81,125,162,125,30,3,0,622
POA3212,14,44,56,57,55,37,6,0,0,274,20,29,56,67,72,52,12,3,0,309,489,724,1572,1852,1756,1083,184,11,3,7680
POA3213,4,11,11,19,15,15,3,0,0,81,8,4,15,22,32,18,4,0,0,109,150,206,274,429,548,331,61,6,0,1993
POA3214,13,48,71,54,48,34,0,0,0,274,31,68,101,112,106,83,16,3,3,521,420,920,1722,1527,1580,1209,222,15,9,7626
POA3215,4,40,79,86,62,48,16,0,0,339,23,42,86,81,68,59,20,4,0,391,450,910,2159,1884,1882,1360,309,26,6,8990
