POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA3031,432,593,113,3,3,1140,451,995,454,8,8,1910,229,921,1074,24,6,2258,21,230,1088,0,4,1338,98,211,162,3,0,470,7,36,31,0,0,78,6,11,8,0,0,23,7,10,14,0,0,33,369,1409,2378,31,13,4195,8,19,18,0,0,41,34,55,131,0,0,226,1288,3074,3094,40,24,7516
POA3032,1728,721,267,3,6,2719,1534,1143,662,5,5,3350,496,870,1934,6,18,3321,21,55,598,0,3,682,195,195,215,4,5,614,30,7,19,0,0,53,25,16,27,3,0,65,17,17,23,0,0,50,779,1160,2805,18,21,4779,17,14,20,0,0,55,89,57,137,0,3,289,4145,3091,3889,21,36,11186
POA3033,2154,223,14,9,0,2394,1286,326,10,0,0,1633,409,237,21,5,5,675,19,9,0,0,0,29,129,36,6,0,0,179,0,0,0,0,0,0,7,9,0,0,0,17,13,3,0,0,0,16,579,301,25,11,4,916,15,6,0,0,0,24,111,21,0,0,0,137,4139,880,53,16,9,5095
POA3034,1786,333,3,7,0,2132,783,258,7,5,0,1057,373,155,9,13,3,549,13,24,0,0,0,35,104,33,0,0,0,131,0,8,0,0,0,10,13,0,0,0,0,13,8,0,0,0,0,9,508,217,9,17,3,751,18,10,0,0,0,27,103,26,0,0,0,129,3194,851,21,29,5,4109
POA3036,872,90,3,0,0,972,700,34,0,0,0,740,98,42,0,0,0,141,5,0,0,0,0,5,38,9,0,0,0,47,0,3,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,7,144,54,0,0,0,195,5,45,4,0,0,65,50,20,9,0,0,79,1774,249,19,0,0,2045
POA3037,3300,537,35,0,0,3872,6827,1011,46,0,8,7890,1035,837,88,0,5,1969,16,18,76,0,0,108,384,152,15,3,3,561,7,15,28,0,0,46,40,23,7,0,0,70,28,7,0,0,0,35,1519,1055,217,3,14,2795,54,47,6,0,0,106,305,73,19,0,0,396,11994,2722,316,3,23,15058
POA3038,3632,364,14,0,0,4010,2881,265,14,3,3,3164,517,139,12,0,0,673,128,3,0,0,0,134,217,42,3,0,0,261,3,7,0,0,0,9,27,10,0,0,0,40,21,3,0,0,0,24,911,201,16,0,0,1137,31,44,14,0,0,83,191,35,7,0,0,234,7646,911,65,9,4,8626
POA3039,1329,248,149,7,5,1738,1054,300,209,3,4,1569,350,307,752,8,12,1437,4,3,170,0,0,178,105,68,114,4,8,292,12,0,13,0,0,23,3,0,5,0,0,11,11,5,7,0,0,22,487,388,1061,18,20,1971,17,15,17,0,0,46,73,28,52,0,4,156,2955,974,1494,24,32,5482
POA3040,2424,423,421,4,7,3277,1868,485,404,3,11,2769,439,755,1362,10,3,2565,19,41,63,0,0,125,155,114,195,3,0,477,13,11,42,0,0,69,9,6,10,0,0,25,27,3,16,0,0,49,666,932,1680,17,0,3301,33,9,19,0,0,65,109,39,69,0,9,225,5096,1885,2593,27,26,9632
POA3041,1369,224,90,3,0,1697,1119,270,93,0,6,1494,237,196,401,7,3,843,0,4,0,0,0,6,96,39,33,4,0,167,0,0,7,0,0,6,3,0,0,0,0,6,9,3,3,0,0,12,343,249,446,8,5,1046,11,6,5,0,0,25,77,19,24,0,3,122,2918,773,657,17,11,4383
POA3042,1997,410,20,27,4,2455,1336,569,31,21,8,1950,502,496,53,12,6,1075,18,10,0,0,0,27,170,85,8,3,0,268,0,0,0,0,0,3,7,4,0,0,0,13,15,9,4,0,0,28,721,602,67,11,10,1414,13,7,0,0,0,24,127,36,0,6,8,178,4194,1629,117,60,24,6021
POA3043,2309,163,32,0,0,2508,1824,362,5,0,3,2196,581,528,19,0,0,1134,51,41,3,0,0,95,224,77,6,0,3,314,7,0,0,0,0,7,20,6,0,0,0,29,14,3,0,0,0,24,901,656,31,3,7,1600,56,7,10,0,0,68,129,30,6,0,0,167,5224,1221,85,3,6,6539
POA3044,2717,521,138,6,12,3381,2236,930,119,6,5,3297,719,1335,189,12,9,2268,21,57,12,8,0,95,248,182,19,3,0,450,4,3,10,0,3,22,19,10,5,0,0,33,27,15,5,0,0,43,1033,1595,243,24,7,2908,26,7,6,0,0,37,142,72,23,4,3,247,6160,3125,525,38,29,9873
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA3046,3548,405,124,3,10,4099,2446,1064,170,3,15,3693,949,1355,392,0,14,2715,197,134,67,0,0,397,380,206,57,0,3,649,11,5,4,0,0,22,58,30,10,0,3,104,41,19,3,0,0,60,1642,1746,531,7,20,3946,42,16,3,0,3,63,254,116,22,0,0,397,7935,3348,862,11,46,12204
POA3047,1497,42,83,30,6,1651,1337,141,142,24,0,1641,654,204,251,11,11,1130,346,126,155,35,0,661,354,48,67,8,7,481,12,3,34,0,0,50,100,15,37,3,3,156,30,8,10,3,0,47,1487,408,550,61,22,2525,36,5,4,0,0,49,252,23,48,12,25,362,4610,608,832,124,51,6236
POA3048,1262,80,4,0,3,1352,1699,243,11,0,0,1959,461,148,13,0,7,624,332,65,8,0,0,403,295,61,6,0,3,365,19,6,0,0,0,28,75,31,0,0,4,115,13,7,0,0,0,24,1200,314,32,0,8,1553,33,4,0,0,0,35,172,32,0,0,3,213,4372,670,44,0,22,5111
POA3049,1021,81,0,41,0,1140,1189,157,0,0,3,1354,177,137,3,0,3,323,70,6,0,0,0,77,84,22,0,0,0,109,0,0,0,0,0,0,11,0,0,24,0,35,14,3,0,0,0,18,353,173,3,30,4,563,16,0,0,0,0,15,82,15,0,5,0,103,2654,425,3,79,11,3172
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3051,128,332,296,0,5,761,88,372,452,4,3,923,77,529,1815,9,9,2448,10,124,693,0,14,833,32,178,344,3,3,561,4,3,47,0,0,55,3,11,53,0,0,64,4,15,16,0,0,33,132,857,2970,19,31,4000,4,5,27,0,0,40,17,37,122,0,7,178,369,1597,3871,24,43,5904
POA3052,27,201,120,0,0,347,23,137,121,0,0,283,29,197,758,3,6,989,0,8,31,0,0,36,6,58,96,0,0,170,4,10,48,0,0,62,3,3,7,0,0,14,0,3,7,0,0,8,44,279,945,6,8,1274,4,3,19,0,0,20,6,15,22,0,5,51,100,637,1226,3,16,1985
POA3053,21,299,492,0,4,822,14,184,461,3,4,662,31,392,3312,12,24,3770,5,42,849,0,3,902,12,182,734,8,5,942,0,11,195,0,0,214,0,6,255,0,0,264,0,13,43,0,0,66,52,647,5400,22,34,6159,0,12,64,0,0,79,7,44,233,3,5,296,87,1181,6658,31,49,8006
POA3054,121,778,93,8,0,1007,64,450,88,3,4,608,62,736,369,9,5,1182,0,6,89,0,0,102,30,255,85,19,3,387,0,8,13,0,0,22,0,3,4,0,0,11,3,9,8,0,0,18,96,1021,566,29,7,1712,3,10,22,0,0,39,10,49,26,3,0,89,292,2309,804,42,14,3460
POA3055,1053,189,193,3,3,1446,744,326,376,4,5,1459,318,507,1297,19,5,2148,24,43,143,0,0,204,128,96,167,8,3,395,3,5,19,0,0,30,3,0,13,3,0,21,17,11,9,0,0,39,491,666,1642,22,12,2838,9,5,6,0,0,27,52,29,72,3,3,156,2360,1215,2292,38,18,5923
POA3056,1492,571,216,15,10,2300,1106,681,591,11,10,2399,659,1242,1906,35,18,3862,9,103,133,0,0,244,258,299,270,23,6,860,7,6,9,0,0,33,17,7,14,3,0,41,10,15,8,0,0,43,970,1681,2341,60,25,5081,26,15,7,0,0,47,106,83,89,0,5,288,3698,3034,3253,86,46,10121
POA3057,597,326,84,4,3,1016,351,373,385,3,7,1121,215,643,1350,22,3,2232,23,48,6,0,0,74,109,138,142,8,0,398,0,9,15,0,0,20,5,5,9,0,0,18,11,3,5,0,0,17,355,846,1526,29,7,2761,4,4,3,0,0,21,39,30,37,5,4,113,1359,1580,2037,43,20,5033
POA3058,3424,467,49,11,7,3953,2825,844,192,3,8,3868,1109,1156,601,15,16,2901,93,151,57,0,3,304,401,221,64,7,11,699,10,31,18,0,0,59,28,17,4,3,3,58,37,15,11,0,0,64,1674,1604,756,24,31,4094,60,8,8,0,0,77,212,91,21,0,3,330,8189,3017,1019,40,57,12321
POA3059,1548,34,0,0,0,1579,2312,62,0,0,4,2381,231,55,0,0,0,286,0,0,0,0,0,0,66,9,0,0,0,79,3,0,0,0,0,3,7,0,0,0,0,12,10,0,0,0,0,10,317,70,4,0,0,387,20,0,0,0,0,24,82,0,0,0,0,85,4276,164,4,0,5,4458
POA3060,1706,93,3,0,3,1808,1066,125,9,0,0,1202,533,242,33,8,4,820,34,21,0,0,0,54,257,47,0,0,4,318,7,4,0,0,0,12,56,12,0,0,0,70,23,7,0,0,0,25,914,332,38,10,6,1306,26,3,0,0,0,30,146,20,3,0,0,166,3856,577,53,11,12,4511
POA3061,589,12,4,7,3,618,440,21,3,3,3,471,100,24,34,0,0,162,3,8,0,0,0,16,78,3,0,0,0,83,3,0,0,0,0,4,26,5,0,79,0,115,3,0,0,0,0,6,216,42,32,89,8,386,0,0,0,0,0,3,64,5,3,10,0,82,1309,83,44,103,8,1552
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,62,0,0,0,0,62,78,0,0,0,0,78,4,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,3,0,0,0,0,3,6,0,0,0,0,6,165,0,0,0,0,165
POA3064,3081,201,20,0,0,3306,11009,715,47,5,6,11781,2695,1020,152,0,7,3876,123,41,12,0,0,172,727,113,14,0,0,863,34,10,4,0,0,50,153,18,0,0,0,164,62,7,0,0,0,64,3790,1200,177,0,13,5185,109,19,3,0,0,134,461,71,8,3,6,550,18454,2210,255,9,29,20954
POA3065,185,318,175,3,0,687,129,297,312,3,3,740,170,379,739,13,9,1315,10,7,728,0,0,743,70,123,152,3,5,350,0,4,85,0,0,87,3,4,10,3,0,15,0,14,10,0,0,30,255,529,1721,15,18,2537,0,3,11,0,0,16,14,35,89,0,4,142,584,1182,2302,23,28,4129
POA3066,132,98,143,4,8,377,130,187,425,7,0,756,106,189,1100,25,6,1420,71,38,573,0,0,689,31,87,134,8,3,266,7,4,41,0,0,51,0,5,5,0,0,13,8,3,7,0,0,14,221,327,1862,28,8,2449,0,3,8,0,0,15,16,29,86,0,3,136,501,645,2528,46,13,3729
POA3067,167,206,166,6,3,542,125,327,388,3,0,840,95,251,1272,5,9,1632,16,18,43,0,0,73,40,100,129,7,3,270,8,3,48,0,0,55,0,0,15,0,0,19,0,11,12,0,3,24,157,373,1514,17,15,2073,3,3,4,0,0,7,15,28,50,0,0,93,462,933,2120,22,24,3562
POA3068,552,1124,181,4,8,1868,383,1078,409,5,4,1874,146,1006,1052,17,14,2236,12,194,296,0,0,499,68,336,164,3,5,585,52,14,38,0,0,102,17,9,10,0,0,31,12,11,6,0,0,32,296,1568,1564,25,18,3478,44,16,16,0,0,85,34,93,83,0,3,219,1314,3885,2259,33,35,7523
POA3070,1990,643,140,13,9,2792,1530,791,374,10,3,2701,607,955,991,31,16,2592,21,108,204,0,0,339,206,235,120,15,3,579,13,25,12,0,0,49,8,13,3,3,0,29,22,8,7,0,0,45,882,1345,1332,46,20,3627,21,15,7,0,0,38,114,48,50,3,0,216,4524,2837,1909,72,29,9379
POA3071,1577,258,120,6,7,1969,1310,401,299,4,6,2026,562,699,1190,18,15,2483,38,58,113,0,0,211,179,101,108,6,4,401,26,7,16,0,0,47,16,3,7,0,0,20,19,11,7,0,0,38,836,874,1442,24,18,3202,27,9,11,0,0,41,119,26,71,0,4,217,3870,1571,1941,42,35,7455
POA3072,2941,446,85,11,7,3489,2261,802,329,23,8,3429,1161,1031,1010,48,17,3265,143,372,126,0,0,649,421,191,102,28,5,754,14,10,32,0,0,60,26,16,10,3,0,59,37,17,10,3,0,65,1799,1643,1297,85,26,4847,37,24,4,0,0,65,212,111,50,0,11,382,7256,3027,1770,123,45,12219
POA3073,5536,691,74,3,10,6313,3422,1323,123,17,17,4899,1882,2300,353,23,21,4574,411,369,165,0,0,943,635,343,42,19,4,1042,20,31,8,0,0,60,73,44,10,0,0,129,75,32,3,0,0,105,3095,3108,579,46,21,6853,93,46,8,0,4,150,486,183,31,3,4,707,12633,5359,808,62,51,18918
POA3074,3004,57,43,0,0,3102,1482,159,67,3,4,1714,764,280,211,0,6,1257,64,6,9,0,0,82,315,48,44,0,4,410,7,3,9,0,0,23,58,9,4,0,0,71,30,4,0,0,0,38,1243,350,283,3,6,1880,26,9,3,0,0,43,254,27,10,0,4,295,6007,598,409,4,21,7037
POA3075,2967,39,55,0,4,3067,1987,116,93,0,4,2203,942,152,226,0,4,1322,48,15,24,0,0,81,309,24,28,3,0,368,6,12,0,0,0,22,61,3,5,0,0,71,30,8,6,0,0,37,1395,204,290,6,4,1895,31,0,3,0,0,39,232,18,17,0,3,267,6616,377,452,6,18,7469
POA3076,2029,373,30,0,0,2434,3787,704,24,0,3,4509,1257,754,90,0,3,2106,123,41,3,0,0,166,326,91,3,0,3,423,10,19,0,0,0,34,43,11,0,0,0,50,27,8,0,0,0,37,1790,926,98,0,3,2820,44,36,11,0,0,89,199,45,14,0,0,264,7846,2089,177,0,13,10117
POA3078,987,185,104,3,5,1289,825,251,227,0,3,1305,240,391,727,3,4,1369,6,25,31,0,0,66,85,52,84,3,3,220,0,7,0,0,0,7,4,0,3,0,0,7,16,7,10,0,0,30,355,485,849,6,8,1703,10,9,4,0,4,23,51,27,25,0,3,99,2233,952,1204,10,20,4422
