POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA3211,8,0,8,213,103,13,327,624,127,1074
POA3212,214,41,257,2970,1055,108,4133,7515,1683,13332
POA3213,29,3,30,697,292,32,1012,1963,228,3200
POA3214,311,88,396,3247,1382,152,4779,12379,2166,19325
POA3215,579,262,852,3028,1457,125,4613,11076,1584,17277
POA3216,1653,252,1928,9414,3879,357,13648,29632,2871,46155
POA3217,10,33,49,1473,393,72,1938,2654,429,5013
POA3218,214,46,268,2270,847,111,3228,6998,824,11051
POA3219,514,103,623,2774,1336,118,4225,10953,1435,16619
POA3220,376,83,470,2505,1115,104,3723,8854,1094,13670
POA3221,7,0,6,133,47,3,180,349,52,585
POA3222,378,63,447,2291,1088,119,3497,7881,877,12262
POA3223,239,65,314,746,571,31,1349,4446,709,6503
POA3224,266,57,319,2490,985,116,3588,7089,817,11490
POA3225,207,27,234,467,415,21,903,2303,338,3543
POA3226,293,55,353,2618,1047,152,3817,6816,627,11260
POA3227,57,10,68,900,402,41,1343,2076,311,3729
POA3228,230,29,264,3688,1202,174,5069,7923,838,13836
POA3230,95,15,107,376,240,13,630,1356,170,2160
POA3231,19,6,29,179,86,10,278,714,87,1077
POA3232,40,12,47,123,93,3,221,619,129,968
POA3233,35,11,52,253,136,13,403,1166,203,1771
POA3234,0,0,0,29,9,0,33,96,22,156
POA3235,3,0,3,65,27,4,100,186,27,313
POA3236,0,0,3,24,13,0,41,143,22,205
POA3237,0,0,0,22,13,3,35,133,20,191
POA3238,0,0,0,33,4,0,34,133,23,190
POA3239,5,0,11,48,34,3,86,223,48,360
POA3240,9,0,7,397,135,20,545,946,100,1597
POA3241,74,20,91,339,168,24,529,1382,209,2122
POA3242,3,0,9,129,64,7,205,398,60,667
POA3243,0,3,5,56,26,7,85,189,20,293
POA3249,30,11,43,480,247,17,747,1596,235,2577
POA3250,365,81,460,1751,877,77,2706,6351,973,10034
POA3251,4,4,7,68,41,0,107,273,55,438
POA3254,0,0,0,50,16,4,71,147,14,233
POA3260,111,31,149,679,329,28,1041,2521,396,3954
POA3264,65,17,82,296,158,14,475,1172,245,1886
POA3265,17,7,29,466,177,14,659,1186,209,2054
POA3266,84,11,94,457,169,16,640,1631,229,2501
POA3267,0,0,0,40,25,3,64,108,22,199
POA3268,46,14,55,403,131,12,556,1332,216,2095
POA3269,5,0,4,113,51,7,175,298,83,553
POA3270,8,3,9,30,23,0,51,135,23,208
POA3271,0,0,0,28,3,0,38,108,10,159
POA3272,47,10,63,206,93,6,306,822,111,1243
POA3273,0,0,3,21,7,0,34,69,20,112
POA3274,5,0,8,35,12,0,48,121,22,191
POA3275,4,0,7,89,32,0,119,194,26,340
POA3276,6,3,5,75,28,0,105,232,38,378
POA3277,25,4,32,313,125,31,472,856,176,1511
POA3278,3,0,3,45,17,0,65,148,27,241
POA3279,0,0,0,47,15,3,66,117,39,220
POA3280,751,192,953,4833,2068,221,7126,16442,2361,25934
POA3281,11,0,11,332,86,23,434,753,114,1304
POA3282,27,6,31,410,163,13,586,1099,185,1878
POA3283,13,0,12,223,89,9,322,635,98,1053
POA3284,130,24,150,515,230,31,776,1770,291,2834
POA3285,7,0,14,197,77,11,279,614,105,1002
POA3286,16,3,20,92,20,0,117,291,48,457
POA3287,3,0,3,73,21,0,98,210,27,339
POA3289,30,3,34,105,49,3,161,408,43,612
POA3292,4,0,4,17,16,0,34,127,12,176
POA3293,7,0,3,41,12,0,59,152,37,241
POA3294,21,3,30,150,50,12,208,473,87,770
POA3300,298,104,404,1405,660,72,2133,5573,725,8433
POA3301,18,3,16,218,61,5,289,588,73,950
POA3302,10,0,10,56,15,0,74,196,36,300
POA3303,0,0,3,64,17,3,86,138,36,266
POA3304,47,17,68,338,159,24,524,1513,253,2285
POA3305,285,60,348,1867,829,76,2768,6807,1095,10673
POA3309,3,0,3,18,8,0,29,66,10,97
POA3310,3,8,8,31,17,5,48,171,27,245
POA3311,76,25,97,178,69,9,251,1036,176,1467
POA3312,20,6,23,153,56,7,212,532,102,849
POA3314,3,0,3,84,40,4,127,266,30,421
POA3315,60,22,86,223,95,3,319,914,135,1367
POA3317,0,0,0,33,4,0,45,100,6,148
POA3318,38,23,62,168,62,8,236,712,122,1069
POA3319,9,0,7,35,20,0,57,231,12,305
POA3321,7,0,10,323,99,9,429,663,64,1162
POA3322,0,0,3,26,8,0,31,107,12,150
POA3323,0,0,5,6,8,0,17,55,13,76
POA3324,12,3,15,63,43,0,106,296,55,457
POA3325,16,5,21,58,31,3,94,250,40,388
POA3328,8,0,12,337,121,18,473,794,72,1333
POA3329,3,0,3,54,23,6,81,133,11,228
POA3330,3,0,3,33,3,0,43,118,15,171
POA3331,93,4,100,1287,365,44,1697,2460,311,4476
POA3332,5,0,4,190,54,3,253,449,74,773
POA3333,3,0,5,145,53,6,203,399,56,654
POA3334,7,3,12,78,36,0,120,284,64,462
POA3335,9,4,13,1157,282,20,1465,2564,495,4522
POA3337,219,46,268,6406,2266,257,8932,16719,2355,28005
POA3338,230,37,268,4429,1288,139,5857,10421,1493,17774
POA3340,292,49,345,3760,1331,149,5240,10280,1181,16707
POA3341,5,0,11,283,90,15,387,851,115,1356
POA3342,54,15,72,587,205,17,817,1737,250,2805
POA3345,8,4,12,185,70,6,263,564,97,917
POA3350,1136,203,1352,9570,3974,500,14051,30350,3717,48109
POA3351,61,17,80,1345,622,74,2040,3905,543,6491
POA3352,124,33,158,2850,1097,123,4074,7291,1256,12613
POA3355,393,81,485,1739,909,87,2734,6979,1048,10755
POA3356,362,67,436,2535,1142,124,3805,8260,1145,13208
POA3357,41,11,51,677,277,23,972,1630,258,2866
POA3360,9,3,9,103,44,3,146,437,68,659
POA3361,33,7,35,87,28,4,111,373,63,553
POA3363,122,37,154,462,271,18,756,1761,362,2873
POA3364,21,4,31,304,147,10,465,1061,246,1773
POA3370,35,6,44,219,115,10,342,1024,154,1523
POA3371,18,8,22,84,70,4,160,589,122,873
POA3373,55,28,81,300,151,15,470,1212,202,1882
POA3374,0,0,0,54,26,3,83,227,24,336
POA3375,0,0,0,40,22,0,59,67,30,160
POA3377,243,59,303,1167,625,66,1857,4815,1303,7978
POA3378,0,0,0,27,13,0,44,49,18,106
POA3379,16,4,14,93,32,0,121,403,138,666
POA3380,212,34,248,763,397,47,1202,3407,534,5137
POA3381,15,4,23,171,59,11,237,655,122,1016
POA3384,6,0,6,64,31,3,95,310,70,478
POA3385,7,0,7,68,31,3,102,305,31,438
POA3387,5,3,5,47,27,0,75,165,16,254
POA3388,31,4,31,71,30,6,107,336,38,475
POA3390,21,8,28,142,51,4,204,491,64,751
POA3391,5,0,6,27,6,0,38,97,3,145
POA3392,36,4,42,66,32,0,92,347,57,500
POA3393,115,27,143,324,167,22,510,1482,250,2244
POA3395,13,4,13,41,25,0,64,224,34,322
POA3396,26,29,58,74,40,3,119,421,93,631
POA3400,428,78,521,2213,914,114,3238,7634,974,11845
POA3401,44,9,54,804,263,31,1102,2135,254,3494
POA3407,5,7,10,58,25,4,87,236,34,353
POA3409,43,10,48,154,71,6,229,489,51,768
POA3412,3,0,5,36,15,0,54,185,25,260
POA3413,0,0,0,45,11,3,61,90,13,172
POA3414,64,29,92,201,86,13,295,1069,208,1570
POA3415,0,0,0,4,0,0,10,24,0,37
POA3418,119,22,139,381,155,17,557,1589,182,2325
POA3419,33,3,40,116,47,3,162,487,32,679
POA3420,3,0,3,51,19,0,69,120,25,213
POA3423,20,3,22,48,22,0,79,301,32,417
POA3424,32,4,34,95,49,0,144,441,51,640
POA3427,13,0,14,415,158,16,592,1466,234,2294
POA3428,10,4,11,101,49,0,156,321,86,568
POA3429,504,89,607,6588,2467,260,9314,17968,1819,29102
POA3430,0,0,0,37,30,5,69,157,38,260
POA3431,41,3,43,743,283,37,1067,1914,160,3133
POA3432,0,0,0,32,9,3,43,78,29,160
POA3433,4,0,4,33,15,0,48,112,17,176
POA3434,44,7,55,908,301,32,1247,2448,334,4021
POA3435,32,6,42,483,164,27,667,1390,245,2301
POA3437,117,54,174,2045,655,88,2797,4742,580,8123
POA3438,43,9,55,514,127,19,664,1037,103,1810
POA3440,16,3,21,357,149,21,525,912,159,1597
POA3441,7,0,14,240,109,6,360,640,67,1067
POA3442,64,56,123,1399,438,71,1906,3388,620,5914
POA3444,254,32,292,1347,543,80,1962,4896,738,7603
POA3446,4,3,8,166,86,14,258,514,101,870
POA3447,4,0,4,62,21,6,87,251,45,376
POA3448,16,7,20,122,46,18,184,498,71,750
POA3450,238,113,354,953,423,80,1454,3642,679,5779
POA3451,33,13,53,747,381,62,1188,2494,1110,4794
POA3453,19,4,26,289,121,12,423,891,103,1418
POA3458,29,24,57,218,116,16,346,1090,244,1684
POA3460,108,21,134,311,136,16,469,1553,215,2235
POA3461,42,13,59,581,258,30,872,2235,345,3446
POA3462,13,9,17,164,78,9,248,623,113,982
POA3463,93,5,98,284,152,10,447,1508,209,2162
POA3464,16,3,23,197,52,0,254,580,58,884
POA3465,295,75,376,1252,574,52,1878,5518,842,8234
POA3467,31,0,30,153,68,9,231,662,101,996
POA3468,7,0,11,29,19,0,49,181,20,249
POA3469,7,0,8,30,26,0,54,162,28,240
POA3472,22,6,32,155,65,5,227,926,140,1289
POA3475,9,4,13,34,12,0,48,224,28,301
POA3477,12,0,12,101,48,9,158,501,58,714
POA3478,97,19,116,287,112,9,412,1541,179,2126
POA3480,84,32,114,218,111,17,341,985,221,1550
POA3482,3,0,3,22,8,0,28,94,22,142
POA3483,27,11,39,130,48,6,188,454,82,722
POA3485,3,3,5,40,14,0,54,183,28,260
POA3487,0,0,0,13,4,0,14,45,10,68
POA3488,0,0,0,16,11,0,30,54,3,93
POA3489,0,0,0,10,4,0,12,37,4,53
POA3490,64,13,83,141,76,8,219,758,131,1109
POA3491,7,0,7,21,4,0,31,62,9,97
POA3494,5,3,5,76,42,3,121,361,85,562
POA3496,117,42,162,915,389,33,1340,3060,621,5021
POA3498,75,12,95,866,334,23,1227,2645,390,4263
POA3500,707,184,900,4597,1909,212,6714,16886,2995,26591
POA3501,18,0,17,350,122,16,495,873,129,1498
POA3505,113,13,138,721,320,44,1078,2388,435,3904
POA3506,0,0,0,7,3,0,4,24,5,30
POA3507,3,3,3,16,14,0,35,77,14,122
POA3509,12,0,12,25,20,3,49,129,13,190
POA3512,6,3,8,53,22,4,82,192,34,302
POA3515,7,3,5,381,122,19,525,799,137,1455
POA3516,15,3,20,97,37,5,141,365,62,575
POA3517,56,3,57,168,92,3,257,751,181,1193
POA3518,18,8,33,132,45,5,183,765,188,1136
POA3520,6,3,9,14,11,5,27,101,27,157
POA3521,5,0,7,121,33,4,149,323,44,519
POA3522,3,0,5,48,23,0,70,182,29,287
POA3523,84,19,101,355,201,10,571,2178,416,3167
POA3525,49,18,75,155,89,8,253,751,115,1111
POA3527,44,15,58,76,50,7,138,455,89,686
POA3529,0,0,0,17,7,0,24,51,7,88
POA3530,0,0,4,18,3,0,20,72,9,106
POA3531,3,3,11,33,22,0,49,90,19,159
POA3533,35,9,39,100,33,5,141,411,96,646
POA3537,53,21,70,125,78,3,206,555,100,860
POA3540,3,0,7,25,15,3,47,179,33,257
POA3542,4,0,9,22,10,0,30,87,9,128
POA3544,4,3,4,38,19,0,57,120,27,205
POA3546,13,3,17,39,14,3,60,224,49,329
POA3549,27,35,67,453,155,16,623,1611,558,2786
POA3550,1132,312,1449,5640,2797,296,8735,21967,2917,33622
POA3551,180,24,214,5967,2025,242,8236,12688,1603,22529
POA3555,484,181,668,2919,1372,136,4434,10276,1535,16243
POA3556,190,62,258,1940,999,100,3040,6322,1142,10499
POA3557,8,0,8,149,65,4,219,354,43,615
POA3558,24,8,27,106,55,3,164,506,102,775
POA3559,5,0,6,96,35,3,127,268,45,442
POA3561,104,51,156,609,299,22,929,2362,369,3658
POA3562,0,0,0,46,17,0,67,128,30,226
POA3563,25,3,22,108,57,3,166,438,47,655
POA3564,362,97,463,2279,1015,116,3415,8300,1343,13050
POA3565,0,0,0,11,9,0,18,58,14,85
POA3566,7,3,9,78,42,4,117,270,60,444
POA3567,10,4,12,96,47,3,141,340,54,532
POA3568,115,14,130,359,194,21,569,1707,234,2508
POA3570,13,6,16,120,54,8,175,376,50,608
POA3571,4,0,4,44,12,3,60,164,38,260
POA3572,0,0,0,28,14,0,43,58,14,113
POA3573,3,0,3,55,28,0,80,142,34,260
POA3575,30,4,35,101,36,3,147,443,68,656
POA3576,0,0,0,4,12,0,18,34,9,57
POA3579,168,38,209,709,296,35,1040,2927,497,4460
POA3580,10,3,15,128,47,9,181,598,71,847
POA3581,0,0,0,28,9,0,41,92,11,141
POA3583,0,0,0,31,6,3,44,92,19,161
POA3584,9,10,20,171,70,3,245,504,155,903
POA3585,302,79,382,1609,692,70,2371,5534,1196,9100
POA3586,0,3,5,119,47,5,167,382,107,660
POA3588,3,0,3,57,28,3,89,184,16,287
POA3589,9,0,9,47,16,4,75,164,43,281
POA3590,0,0,0,67,17,0,93,147,27,262
POA3591,4,0,4,20,3,3,28,86,20,134
POA3594,3,0,7,52,21,3,74,295,84,447
POA3595,24,3,32,62,27,9,101,336,121,552
POA3596,0,0,0,18,3,0,22,38,13,70
POA3597,8,0,8,56,26,0,85,229,55,366
POA3599,0,4,4,21,5,0,18,66,25,110
POA3607,0,0,0,17,3,0,21,56,23,106
POA3608,78,14,89,295,158,6,459,1406,221,2082
POA3610,41,14,58,206,76,7,285,759,409,1452
POA3612,39,10,50,178,115,3,297,1020,192,1508
POA3614,3,0,3,142,42,13,204,434,43,680
POA3616,120,30,152,808,305,29,1141,2715,481,4341
POA3617,0,0,0,19,8,0,30,88,14,135
POA3618,7,0,7,103,50,6,164,344,51,560
POA3620,231,71,311,1233,522,41,1797,4210,780,6784
POA3621,68,10,80,378,167,15,558,1145,169,1872
POA3622,4,0,3,66,34,0,103,234,42,375
POA3623,24,3,28,98,46,6,152,508,97,762
POA3624,7,5,13,83,32,3,117,310,26,454
POA3629,170,30,201,1275,558,76,1915,4717,834,7471
POA3630,630,173,809,4717,1669,204,6593,15564,2786,24942
POA3631,188,38,226,2057,620,64,2741,5707,704,9154
POA3633,4,0,4,113,35,3,149,280,37,466
POA3634,15,3,18,305,125,19,449,864,138,1449
POA3635,3,0,3,61,40,3,105,315,25,442
POA3636,143,38,180,738,359,33,1127,2796,408,4331
POA3637,9,0,9,99,58,0,165,282,19,464
POA3638,67,18,82,305,145,13,460,1074,168,1705
POA3639,5,0,13,45,29,3,77,332,53,466
POA3640,3,0,5,180,56,4,244,476,46,764
POA3641,4,3,6,194,80,7,273,604,101,979
POA3644,209,56,270,1237,481,29,1744,4933,901,7573
POA3646,6,0,6,92,49,6,153,282,33,466
POA3647,0,0,0,3,0,0,5,27,5,40
POA3649,10,0,13,62,24,7,89,223,45,351
POA3658,57,23,80,1009,371,46,1429,3150,446,5024
POA3659,9,0,11,96,54,4,157,391,66,607
POA3660,145,77,225,895,481,30,1402,4106,901,6416
POA3662,0,0,0,270,12,7,292,427,67,786
POA3663,3,0,3,24,13,0,40,74,18,138
POA3664,13,7,18,173,96,4,275,517,88,878
POA3665,0,0,0,46,21,0,68,196,44,309
POA3666,129,60,192,558,314,24,901,2667,428,3994
POA3669,60,4,62,150,87,6,239,831,99,1172
POA3670,8,0,4,63,27,0,99,351,48,495
POA3672,396,79,485,1238,717,55,2010,5837,884,8735
POA3673,21,3,20,242,106,3,355,904,187,1444
POA3675,15,4,19,285,121,11,414,937,138,1485
POA3677,548,292,845,2631,1232,135,3998,9354,1498,14853
POA3678,73,11,86,998,450,31,1475,3201,510,5183
POA3682,11,0,12,101,39,7,144,271,58,476
POA3683,24,6,29,245,121,11,383,933,160,1466
POA3685,70,16,86,394,195,19,604,1456,190,2250
POA3687,15,3,17,175,70,10,260,583,70,910
POA3688,11,3,12,228,98,7,337,574,71,980
POA3690,502,94,610,5480,2234,263,7977,16562,2187,26726
POA3691,150,18,174,1747,590,61,2389,4686,573,7650
POA3694,0,0,0,3,0,0,4,63,22,90
POA3695,5,0,5,80,39,0,120,238,17,378
POA3697,14,3,16,68,31,9,109,348,30,487
POA3698,7,4,17,116,51,10,179,495,57,731
POA3699,30,6,27,156,65,7,231,576,116,923
POA3700,51,4,57,180,83,8,270,726,97,1090
POA3701,16,0,16,152,79,5,231,568,86,893
