POA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
POA3013,11,43,22,7,22,13,7,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,75,42,33,50,26,13,257,0,3,0,0,3,0,0,9,0,3,4,3,8,0,0,17,0,3,4,0,8,0,0,23,20,75,43,32,60,27,13,282,24,27,18,8,11,4,3,109,0,0,0,0,0,0,0,3,48,106,63,40,74,30,18,385
POA3015,23,49,24,16,28,14,9,165,0,4,0,0,0,4,0,12,0,0,0,0,0,0,0,0,55,101,54,49,77,46,18,396,0,5,0,0,3,3,3,11,0,4,3,0,4,0,0,18,0,5,4,3,5,3,3,31,56,108,61,51,82,45,22,425,23,20,7,7,14,9,6,82,3,0,0,0,0,0,0,5,84,127,68,60,98,55,26,513
POA3016,7,32,17,19,37,9,11,129,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,22,72,51,45,89,39,25,342,3,0,3,0,0,3,0,5,3,5,6,4,3,0,0,21,4,4,5,4,3,3,0,25,26,75,60,49,90,42,24,375,34,45,12,12,15,10,0,133,0,0,0,0,0,0,0,4,64,119,72,61,113,54,23,508
POA3018,14,39,16,11,14,7,6,114,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,5,28,75,44,28,46,29,21,273,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,11,32,83,44,28,49,30,21,285,31,24,22,15,10,12,3,108,0,0,0,0,0,0,0,6,64,108,68,48,58,37,21,394
POA3019,17,30,18,13,26,11,6,122,0,0,0,0,0,0,0,0,0,3,8,3,5,3,0,20,27,53,40,22,53,32,22,248,6,10,6,4,6,3,0,37,4,19,3,4,3,8,8,40,6,27,8,5,11,8,5,78,39,83,49,30,62,38,29,324,70,64,42,32,45,27,17,295,0,4,0,0,0,0,0,4,103,149,93,63,100,66,40,622
POA3020,59,95,73,70,62,48,21,430,9,3,3,6,3,4,3,30,10,4,8,0,3,0,0,27,142,206,155,123,164,108,60,956,17,36,29,28,28,18,10,164,14,48,36,18,28,18,11,171,33,85,61,43,52,37,28,331,176,293,215,167,213,148,88,1289,304,288,135,117,139,77,55,1105,20,11,4,6,4,0,0,50,498,590,353,287,360,220,141,2446
POA3021,64,145,92,96,131,60,36,627,16,0,3,0,3,0,0,28,16,19,14,5,21,10,0,84,165,278,216,172,258,137,87,1316,28,46,30,17,35,25,9,187,34,64,48,26,34,12,7,224,64,108,72,45,66,33,17,412,227,388,288,220,320,174,107,1728,472,456,242,187,216,121,72,1768,14,17,8,6,8,5,3,65,717,856,549,412,542,301,185,3559
POA3022,7,3,5,6,6,0,0,27,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,13,16,8,10,11,6,3,75,0,3,3,5,0,3,0,13,0,0,0,0,3,5,0,9,0,3,3,5,3,5,0,22,13,23,14,18,16,12,3,94,19,16,13,6,3,0,3,61,0,0,0,0,0,0,0,3,37,40,22,24,25,14,3,159
POA3023,100,219,136,90,135,81,33,796,11,11,8,8,10,3,3,57,3,12,9,4,10,0,0,38,201,437,311,209,328,195,90,1774,10,36,19,19,20,7,6,113,9,45,32,23,22,14,3,155,22,83,50,42,42,22,14,264,225,514,361,256,365,213,103,2038,356,366,183,102,151,82,37,1283,10,6,6,0,0,0,0,27,593,892,549,363,522,297,139,3347
POA3024,68,140,84,51,49,29,8,433,11,0,0,0,0,0,0,13,4,4,3,3,0,4,0,25,138,231,161,104,121,67,18,840,4,21,11,8,3,3,0,48,14,40,21,14,6,5,0,93,16,56,30,22,12,9,0,142,157,291,184,120,134,69,18,979,200,212,103,47,56,23,12,655,7,11,3,3,3,3,0,33,363,515,296,173,195,93,36,1668
POA3025,10,30,19,14,18,11,4,103,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,22,64,39,32,45,29,14,238,0,0,3,6,0,5,0,14,3,6,3,4,4,0,3,23,3,7,7,5,4,4,3,40,25,68,44,43,50,32,17,279,42,48,34,30,29,16,12,206,0,0,0,0,0,0,0,0,70,123,74,69,74,50,28,488
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA3027,8,9,3,3,4,4,0,34,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,6,27,32,22,8,15,16,4,123,0,8,3,0,3,0,0,20,3,0,4,0,0,3,0,14,4,11,5,3,3,3,0,29,31,42,25,14,16,16,3,152,21,22,15,9,14,0,0,78,0,0,0,0,0,0,0,0,53,62,43,24,29,16,3,232
POA3028,38,82,57,45,61,20,15,318,7,0,0,0,6,0,0,13,3,4,0,0,0,0,0,11,77,146,113,77,134,66,49,669,7,11,10,5,5,6,3,48,6,17,7,10,5,0,0,50,11,30,15,15,16,11,3,96,82,178,132,87,146,76,56,759,142,133,66,49,58,12,12,473,0,5,3,3,0,0,0,8,226,310,199,136,212,91,63,1237
POA3029,137,243,164,105,138,58,29,876,19,10,5,4,4,4,5,51,17,24,13,5,9,7,3,70,329,513,368,267,384,203,105,2168,28,66,35,27,27,15,4,207,39,68,35,11,27,16,3,196,64,134,76,41,55,28,8,412,397,649,441,307,439,227,117,2578,546,522,250,158,202,83,34,1794,19,9,3,6,3,3,0,46,965,1186,691,475,649,317,150,4422
POA3030,163,260,181,115,161,65,37,986,28,15,15,4,8,4,0,80,12,12,8,13,13,3,0,56,347,587,425,284,463,216,110,2431,28,57,35,21,36,14,9,197,31,58,39,19,21,3,4,179,63,116,73,36,58,20,7,375,407,704,498,317,525,233,123,2803,508,441,244,172,192,79,43,1682,21,11,7,7,8,4,0,59,940,1164,748,498,723,317,161,4547
POA3031,28,38,24,21,35,21,11,169,0,3,3,0,0,0,0,8,0,3,3,3,0,0,0,12,43,75,46,36,58,30,29,315,3,0,0,3,0,9,3,22,3,15,3,3,4,5,5,40,11,11,4,8,4,12,9,65,52,88,52,43,60,42,40,375,104,96,74,53,47,30,20,417,0,0,3,0,0,0,0,4,154,184,125,95,109,71,59,794
POA3032,33,52,36,22,34,21,11,207,0,3,0,0,3,0,0,11,0,0,0,0,3,3,0,11,65,97,83,51,84,63,48,495,6,9,3,3,8,5,0,31,3,13,5,4,0,4,0,24,13,20,7,6,6,11,0,57,79,117,87,57,92,76,45,553,103,97,47,26,41,26,14,350,5,6,3,3,3,0,0,19,186,217,134,84,132,102,64,926
POA3033,15,41,32,18,36,24,15,179,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,31,74,53,44,74,48,35,351,0,3,0,3,3,0,3,11,7,9,3,3,0,0,0,17,3,13,3,5,5,0,4,34,36,85,58,45,77,44,34,383,27,13,14,11,10,8,4,89,0,0,0,0,0,0,0,0,62,103,71,61,87,57,37,470
POA3034,10,25,30,14,15,11,9,112,0,3,0,4,0,0,0,10,0,3,0,4,0,3,0,13,14,41,41,31,42,32,20,226,0,0,0,0,0,3,3,11,0,5,3,4,0,0,0,18,0,4,4,3,0,3,3,27,17,49,47,36,44,34,23,256,22,20,17,11,16,8,7,93,0,0,0,0,0,0,0,0,41,67,61,49,58,40,31,345
POA3036,9,7,12,20,10,11,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,23,28,27,25,25,8,146,0,0,0,0,0,0,0,0,0,4,7,0,4,0,0,10,0,4,7,3,4,0,0,11,10,20,32,29,32,25,8,154,6,15,3,0,4,0,4,43,0,0,0,0,0,0,0,4,15,39,32,32,35,21,15,201
POA3037,71,147,93,59,93,47,30,554,8,8,3,3,0,5,3,29,4,4,3,0,3,3,0,25,116,264,208,146,254,130,90,1210,14,12,8,12,11,11,3,78,16,32,22,13,26,6,3,116,30,48,34,25,32,19,6,187,146,310,238,166,292,151,96,1403,187,203,91,57,77,42,11,672,4,10,3,4,5,3,0,28,344,526,334,229,376,190,104,2111
POA3038,26,48,39,40,48,25,11,227,3,0,3,0,5,0,0,19,0,3,3,0,0,0,0,8,43,93,79,68,135,76,43,542,3,13,4,10,11,7,0,43,8,16,8,5,14,3,0,56,9,32,16,14,20,10,0,100,50,122,100,87,157,87,47,644,84,88,46,26,53,24,23,350,0,0,3,0,0,0,0,5,140,206,148,115,210,107,65,994
POA3039,7,27,14,9,14,8,6,92,0,0,4,0,0,0,0,4,0,0,0,3,0,0,0,3,13,50,44,24,34,27,15,208,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,3,0,0,0,6,0,0,11,17,54,44,27,39,28,12,213,11,14,9,3,11,5,3,53,0,0,0,0,0,0,0,0,32,64,51,30,44,27,15,270
POA3040,21,52,36,23,47,19,18,212,3,4,0,0,0,0,0,12,0,3,4,0,3,3,0,14,38,111,79,58,98,67,49,495,4,6,0,0,3,3,0,17,0,8,4,3,3,0,0,18,5,13,4,4,11,3,3,42,45,123,82,58,104,70,51,538,32,37,26,13,24,8,3,155,0,0,0,0,0,0,0,3,75,166,107,80,136,82,56,699
POA3041,8,12,19,10,15,11,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,36,28,51,34,21,226,0,3,0,0,0,4,0,9,0,0,0,0,0,0,0,7,0,3,3,5,3,4,0,15,14,43,40,32,55,38,21,237,13,9,8,4,8,3,4,47,0,3,0,0,0,0,0,3,25,61,47,41,65,39,22,294
POA3042,20,36,34,16,31,19,9,161,3,0,0,0,0,0,0,4,0,0,0,4,4,3,0,9,31,76,59,60,83,46,31,396,0,0,0,0,8,0,0,5,0,3,5,4,4,0,0,21,0,8,5,4,7,0,0,29,33,86,65,61,92,46,34,422,32,29,25,13,22,3,5,127,0,0,0,0,0,0,0,7,60,113,90,78,115,53,37,549
POA3043,33,61,33,26,31,12,5,192,4,3,0,0,3,0,0,15,3,4,3,3,6,5,0,27,50,118,68,56,79,46,33,448,0,0,0,3,3,3,0,14,6,13,10,0,3,3,0,39,6,13,11,3,6,3,0,47,54,131,74,56,83,57,34,489,71,77,38,19,33,19,5,266,6,8,5,0,0,0,0,19,137,209,116,79,113,72,40,773
POA3044,35,76,48,25,28,40,11,264,3,4,0,0,4,0,0,14,0,5,0,0,0,0,0,11,55,134,98,71,95,73,36,560,0,8,5,0,5,7,3,28,5,6,4,5,7,0,0,28,3,19,12,9,11,5,3,61,59,151,106,75,107,85,33,619,49,49,27,25,32,21,16,213,0,3,0,3,0,0,0,7,103,200,135,101,142,103,52,837
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,34,68,50,36,55,28,11,287,3,5,0,7,4,3,0,23,3,3,0,0,4,0,0,14,75,133,106,75,126,75,39,620,3,8,3,3,9,0,3,31,11,10,10,7,7,4,3,46,12,22,13,10,18,4,3,78,88,148,116,85,142,74,41,706,121,119,105,60,86,41,16,543,7,3,3,4,3,0,0,25,215,270,226,147,229,117,59,1274
POA3047,25,29,37,22,27,9,7,161,3,0,0,3,0,0,0,11,0,5,7,5,0,3,3,22,45,74,63,45,67,31,19,351,9,13,8,3,7,0,3,51,10,11,13,7,5,3,3,56,20,30,21,10,16,4,7,101,67,97,85,59,85,39,24,451,210,215,142,72,108,50,32,831,3,0,5,3,0,0,0,15,273,317,227,136,191,87,61,1296
POA3048,25,47,31,23,33,20,9,189,0,3,3,3,3,3,0,19,3,3,8,3,3,0,4,19,46,84,68,52,70,42,25,381,7,12,3,12,5,3,0,45,11,17,4,9,9,5,0,57,13,36,13,17,13,5,0,96,60,121,80,69,85,51,25,477,154,154,107,67,99,46,28,651,3,12,3,0,0,0,3,19,215,281,190,130,184,101,48,1145
POA3049,17,25,30,19,25,15,12,142,6,0,0,0,0,0,0,7,0,0,0,0,3,0,0,4,27,46,52,31,60,27,32,279,0,10,0,4,0,3,0,15,0,4,3,0,5,0,0,20,6,13,3,0,5,3,0,35,33,57,53,39,67,33,32,310,29,38,36,20,21,3,4,155,0,3,0,0,0,0,0,5,64,98,94,58,86,40,37,469
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3051,8,29,17,7,19,12,12,99,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,30,49,31,19,30,19,22,206,0,5,0,3,5,0,3,19,3,13,4,0,0,3,0,24,3,15,10,3,10,3,3,46,34,62,40,29,42,27,27,247,66,54,29,15,25,15,8,226,4,5,0,3,0,0,0,11,103,125,72,39,68,43,34,485
POA3052,3,3,4,0,3,0,5,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,4,0,7,9,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,0,7,9,8,39,9,8,4,0,4,12,4,44,0,0,0,0,0,0,0,0,15,17,9,6,11,17,13,77
POA3053,5,9,14,4,13,10,10,68,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,18,25,16,19,30,24,12,138,0,5,3,3,5,3,0,20,4,12,8,7,6,3,0,37,4,21,7,7,13,5,4,61,21,47,26,28,37,24,18,196,56,70,28,19,25,31,14,248,5,7,3,0,0,0,0,11,82,113,57,51,65,57,28,456
POA3054,8,8,4,9,8,3,0,41,5,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,21,20,21,13,24,20,10,130,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,3,4,0,0,0,0,0,10,23,27,20,19,24,16,10,138,14,7,9,0,11,0,4,45,0,0,0,0,0,0,0,0,36,38,32,20,31,19,19,189
POA3055,18,32,26,9,14,9,4,117,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,30,56,42,25,35,24,12,230,0,0,0,0,0,0,0,4,4,3,3,5,0,0,0,14,7,3,3,5,3,3,0,21,35,60,49,28,36,28,14,250,27,20,18,11,14,11,3,91,0,0,0,0,0,0,0,0,60,74,62,37,43,37,18,340
POA3056,21,31,20,14,15,16,7,131,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,35,63,41,34,47,36,15,273,0,0,3,0,4,0,0,9,0,5,0,0,3,0,0,20,4,7,3,0,8,3,0,25,35,73,42,41,53,36,21,301,34,13,15,6,13,10,5,99,0,0,0,0,0,0,0,0,68,86,56,49,71,51,25,404
POA3057,10,22,10,10,19,5,8,82,4,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,25,37,36,23,37,13,12,173,0,3,3,0,0,0,0,4,0,5,3,0,0,0,0,4,0,5,4,0,0,0,0,14,23,45,35,23,37,13,8,183,10,6,6,6,5,5,7,47,0,0,0,0,0,0,0,0,32,50,48,29,45,20,17,230
POA3058,37,56,42,25,25,27,9,223,4,7,8,0,0,3,0,22,0,0,3,0,0,0,3,13,55,103,90,66,78,71,25,494,4,4,3,6,3,0,0,25,0,14,6,0,3,5,0,36,3,21,10,6,3,5,0,55,57,129,100,69,85,77,26,552,60,49,52,25,36,17,16,247,0,0,0,0,0,0,0,8,118,176,153,98,121,93,42,802
POA3059,15,41,23,18,27,10,6,133,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,30,75,58,49,57,45,20,338,0,3,7,0,0,4,0,14,0,0,0,0,0,0,0,4,0,3,7,3,3,3,0,24,30,82,63,50,63,46,23,356,32,35,22,12,11,15,7,134,0,0,0,0,0,0,0,0,63,124,82,63,75,59,26,499
POA3060,11,40,22,9,16,8,8,124,4,0,0,0,0,0,0,3,0,3,0,3,0,0,0,7,27,61,39,28,45,28,15,237,3,7,7,3,5,0,0,21,0,7,4,4,3,3,0,26,5,14,4,10,12,0,0,49,35,78,44,31,54,26,15,285,43,54,33,22,35,14,5,207,8,0,0,0,0,0,0,9,80,136,78,52,88,42,23,502
POA3061,4,3,4,0,7,3,3,24,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,8,16,11,11,10,3,3,64,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,8,8,18,11,10,14,3,6,75,33,31,19,16,20,15,3,131,0,0,0,0,0,0,0,0,37,49,29,27,33,19,14,205
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,18
