POA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3013,3595,3887,7484,358,427,779,118,128,243,1521,1578,3107,78,100,177,23,24,53,47,34,77,12,8,18,6,15,19,32,25,60,0,0,0,1835,1912,3753,418,449,866,53,37,84,2659,2822,5482,407,439,848,6662,7148,13810
POA3015,4179,4414,8594,481,549,1027,104,116,217,1905,1954,3862,80,100,185,30,39,72,54,44,97,17,26,51,10,17,29,19,22,36,0,0,0,2222,2318,4545,455,457,906,52,50,97,3208,3371,6573,418,425,845,7802,8208,16016
POA3016,4155,4455,8609,655,668,1319,86,109,201,1332,1295,2628,68,53,122,24,27,58,46,44,86,19,12,27,3,4,12,11,14,24,0,0,0,1588,1560,3151,337,336,671,16,23,42,2599,2591,5189,444,462,913,7199,7506,14707
POA3018,3210,3413,6623,368,390,761,60,61,122,1211,1369,2580,50,42,89,26,23,49,25,31,62,14,21,26,4,6,7,10,12,23,0,0,0,1395,1566,2964,340,377,719,28,14,50,2138,2347,4487,385,411,798,5732,6176,11906
POA3019,2220,2321,4546,199,202,397,23,23,46,772,698,1470,21,9,32,13,13,27,17,10,26,8,8,10,4,0,4,3,8,9,0,0,0,861,768,1634,689,598,1289,23,26,48,1772,1596,3374,332,324,656,4326,4244,8571
POA3020,11232,11708,22949,1072,1061,2136,132,101,235,3748,3424,7174,109,93,209,47,37,79,48,50,93,28,38,66,19,10,31,12,9,27,3,0,7,4148,3765,7915,2917,2373,5288,158,117,269,8295,7319,15612,1677,1487,3161,21207,20513,41721
POA3021,14816,15423,30244,1059,1015,2077,137,133,267,4086,3870,7960,89,85,167,50,30,79,39,37,77,18,17,33,13,20,31,14,13,22,0,0,0,4445,4194,8640,2762,2471,5229,131,108,237,8393,7795,16186,2191,2058,4247,25397,25276,50675
POA3022,722,759,1483,37,43,81,18,15,33,354,349,705,9,11,15,5,3,9,4,3,5,3,0,3,0,0,0,0,0,0,0,0,0,396,380,772,167,125,293,16,28,43,611,581,1192,104,99,208,1441,1436,2879
POA3023,16658,17190,33849,1421,1447,2870,230,258,480,5880,6036,11916,122,139,258,99,88,183,66,58,122,44,55,97,31,28,64,20,24,46,3,4,5,6498,6677,13181,1937,2083,4022,92,82,173,9953,10297,20247,2475,2134,4605,29083,29615,58698
POA3024,5061,5119,10176,826,899,1726,138,134,271,2852,2975,5828,89,99,186,46,40,84,48,40,88,31,28,61,26,26,51,8,8,14,0,0,0,3231,3352,6583,620,811,1433,68,58,120,4748,5119,9865,691,644,1336,10497,10884,21375
POA3025,3172,3382,6560,355,357,710,42,41,91,1027,1086,2116,39,45,81,11,13,27,16,28,40,4,3,9,0,0,0,4,4,8,0,0,0,1144,1224,2372,280,283,568,65,82,142,1848,1945,3795,414,447,863,5441,5779,11219
POA3026,19,3,22,0,0,0,0,0,0,15,4,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,21,5,0,5,0,0,0,18,9,29,11,3,22,56,20,73
POA3027,814,775,1590,87,87,172,57,55,110,1223,1161,2384,35,35,69,25,18,45,12,8,21,19,18,38,10,4,11,8,5,14,0,0,0,1381,1304,2685,469,541,1009,17,10,24,1950,1944,3893,138,145,285,2906,2866,5770
POA3028,8156,8398,16553,619,682,1309,94,111,200,2324,2269,4594,82,92,170,35,39,78,36,45,86,27,30,59,14,12,29,12,14,23,0,0,0,2621,2614,5238,1177,1140,2314,66,62,124,4485,4496,8978,892,860,1751,13527,13761,27286
POA3029,20009,20237,40247,1907,1915,3819,577,561,1134,11252,10631,21882,295,304,598,177,155,334,158,142,306,73,76,146,52,47,101,63,54,115,3,0,3,12650,11979,24627,4414,5015,9429,202,192,397,19172,19102,38273,3478,2377,5853,42654,41716,84373
POA3030,22108,22337,44445,2271,2381,4645,748,760,1507,11198,11203,22399,558,552,1107,231,213,449,202,226,422,105,109,210,47,62,110,110,127,234,0,0,0,13192,13252,26448,4536,5123,9655,221,185,405,20214,20942,41155,2543,2671,5218,44864,45950,90819
POA3031,3531,4005,7535,430,486,918,147,191,341,2070,2179,4247,128,134,259,69,75,144,81,87,171,29,50,81,14,16,30,54,37,93,0,0,0,2596,2762,5356,839,914,1751,76,73,146,3936,4233,8169,766,810,1580,8231,9047,17283
POA3032,6276,6642,12924,595,587,1189,227,221,445,3404,3395,6800,165,178,348,78,83,162,76,97,175,36,43,77,22,18,37,64,60,117,0,0,3,4071,4098,8164,1496,1628,3129,92,82,176,6258,6403,12656,961,1049,2005,13494,14089,27584
POA3033,4305,4637,8941,367,388,756,32,34,63,1224,1245,2471,37,36,67,21,17,36,10,11,17,0,6,7,3,3,10,6,5,10,0,0,0,1334,1358,2685,226,218,442,20,14,33,1950,1971,3921,377,452,824,6629,7062,13685
POA3034,3446,3706,7153,346,362,707,27,30,60,859,856,1722,17,28,41,10,5,14,11,9,23,4,0,5,4,5,8,4,0,6,0,0,0,932,940,1870,252,284,538,15,18,38,1542,1602,3145,349,341,691,5337,5654,10998
POA3036,1988,2073,4056,106,109,220,4,8,12,472,492,967,6,9,12,3,0,3,16,9,22,0,4,4,4,0,4,3,0,5,0,0,0,502,527,1028,36,42,74,8,15,24,659,685,1342,139,143,277,2783,2900,5679
POA3037,15137,15575,30714,830,858,1687,159,145,301,4526,4812,9330,73,79,153,52,48,94,35,35,72,15,18,27,10,11,28,20,19,33,0,0,0,4876,5161,10037,1203,1332,2530,78,67,145,6995,7416,14408,1187,1222,2409,23316,24215,47532
POA3038,9766,9810,19575,356,332,691,42,61,103,1644,1715,3361,41,41,85,22,23,44,15,9,29,8,10,16,8,7,17,9,5,12,0,0,0,1791,1867,3659,404,412,815,31,25,55,2582,2640,5220,625,622,1251,12974,13068,26043
POA3039,3539,3893,7428,220,251,472,85,101,185,1471,1511,2980,87,96,180,29,28,54,37,42,80,19,18,41,7,14,25,6,17,21,0,0,0,1742,1826,3565,512,565,1075,39,40,78,2521,2676,5195,402,436,834,6455,7001,13454
POA3040,6457,7066,13530,676,789,1466,99,111,213,2761,2975,5734,112,152,262,42,50,91,53,52,106,28,31,57,13,13,27,29,35,63,0,0,0,3134,3424,6550,773,805,1577,59,49,111,4638,5065,9701,690,760,1450,11792,12896,24685
POA3041,3488,3627,7121,257,269,522,45,34,76,1315,1344,2658,44,54,99,14,18,30,15,15,28,5,8,10,9,5,12,9,3,13,0,0,0,1460,1474,2931,253,276,529,15,25,42,1976,2047,4023,306,349,650,5775,6025,11801
POA3042,4272,4671,8947,285,293,579,43,41,86,1707,1836,3538,40,43,89,13,13,28,22,14,40,7,3,14,11,14,28,4,6,6,0,0,0,1849,1969,3823,261,241,504,34,29,63,2438,2529,4968,413,446,855,7123,7648,14771
POA3043,5071,5404,10472,357,368,726,28,30,55,1605,1603,3216,40,34,75,10,19,25,13,19,34,10,7,17,18,11,21,0,3,7,0,0,0,1725,1723,3443,398,364,764,36,28,69,2512,2487,5001,572,570,1138,8155,8466,16619
POA3044,6772,7293,14065,567,568,1139,105,135,240,2884,2955,5847,101,91,197,45,50,94,51,51,99,23,27,47,13,14,23,23,33,61,0,0,0,3237,3354,6598,856,847,1699,56,54,108,4718,4827,9544,812,842,1654,12299,12963,25264
POA3045,11,12,19,0,0,0,3,0,3,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,0,0,0,3,7,11,39,29,72,57,47,104
POA3046,7964,8582,16549,879,843,1717,118,115,236,3302,3272,6573,84,70,151,37,47,88,52,56,110,21,14,40,16,3,20,12,22,27,0,0,0,3637,3598,7240,1904,1619,3524,104,136,237,6520,6201,12721,1179,1170,2354,15670,15951,31620
POA3047,5121,5184,10308,506,490,994,73,62,133,1489,1361,2852,32,32,63,28,32,57,18,14,30,12,14,22,5,0,9,0,0,0,0,0,0,1644,1513,3154,1333,1064,2396,39,26,71,3527,3090,6619,1168,1051,2221,9819,9325,19143
POA3048,5297,5510,10807,383,384,769,50,51,97,1080,1120,2195,20,15,43,11,17,26,10,20,31,4,10,13,3,3,3,0,0,3,0,0,0,1187,1233,2418,717,666,1385,38,20,61,2326,2307,4628,644,611,1257,8260,8425,16690
POA3049,2831,2999,5831,281,308,587,19,32,53,720,747,1466,18,21,41,6,8,17,10,9,21,0,0,0,0,3,3,0,0,9,0,0,0,779,829,1604,110,129,237,12,11,18,1177,1272,2447,234,284,517,4242,4555,8793
POA3050,13,16,26,0,0,0,0,0,0,9,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16,9,3,10,0,0,0,12,7,25,30,21,53,58,44,100
POA3051,1920,1987,3912,338,316,653,138,187,326,1549,1674,3220,118,139,260,50,54,108,66,93,157,46,47,92,10,20,32,46,47,95,0,0,0,2036,2261,4292,1681,1943,3618,59,42,100,4106,4562,8671,888,882,1771,6914,7436,14347
POA3052,616,725,1344,88,93,180,68,94,164,686,706,1398,66,96,164,28,28,59,46,54,99,28,22,52,11,4,24,28,28,57,0,0,0,962,1038,2002,572,583,1154,16,24,39,1647,1732,3374,308,464,773,2570,2923,5492
POA3053,1558,1576,3129,282,350,634,186,230,409,1409,1532,2940,121,149,273,61,65,122,112,143,251,41,53,94,22,29,49,55,73,122,0,0,0,1994,2267,4262,3562,4639,8199,57,62,123,5893,7325,13224,857,895,1754,8308,9799,18102
POA3054,1623,1785,3411,141,174,318,99,124,227,1067,1204,2273,69,86,158,26,35,58,35,41,79,10,15,26,7,12,28,32,42,78,0,0,0,1349,1569,2916,363,436,800,26,31,56,1883,2206,4088,255,290,546,3758,4282,8047
POA3055,2991,3208,6200,178,203,379,121,166,289,1654,1740,3394,114,131,246,51,58,108,72,77,152,27,31,64,9,7,19,27,44,78,0,0,0,2073,2256,4330,679,789,1464,63,54,115,2991,3302,6299,416,469,883,6403,6980,13383
POA3056,4428,4830,9260,537,557,1091,363,375,738,2960,3099,6062,255,280,533,100,95,191,148,138,288,65,71,137,21,29,54,101,116,214,0,0,0,4021,4201,8222,1455,1551,3003,119,107,223,6130,6409,12539,793,776,1568,11349,12016,23368
POA3057,1828,2123,3954,154,162,321,188,187,376,1536,1732,3267,135,143,275,56,56,109,83,77,164,16,28,47,3,7,14,55,48,102,0,0,0,2076,2281,4361,693,845,1541,53,48,99,2978,3337,6322,370,380,756,5183,5841,11023
POA3058,8234,9105,17339,547,528,1076,249,262,506,3302,3471,6772,166,188,347,79,82,159,104,105,205,49,44,94,23,21,38,46,45,84,0,0,0,4017,4202,8221,1443,1307,2742,121,109,229,6122,6145,12275,913,1023,1933,15275,16271,31548
POA3059,4454,4385,8839,375,381,758,46,53,100,1808,1826,3637,31,26,56,14,9,24,16,7,19,3,5,6,7,4,10,7,3,12,0,0,0,1926,1941,3868,210,233,440,13,6,22,2519,2566,5083,291,276,563,7265,7224,14486
POA3060,3490,3668,7163,551,509,1061,61,58,116,1017,910,1925,31,25,56,20,17,34,7,10,17,4,0,4,10,3,10,13,8,23,0,0,0,1150,1032,2187,827,596,1424,23,17,40,2556,2151,4704,485,529,1013,6532,6352,12880
POA3061,1645,1597,3245,105,117,227,13,8,17,279,253,536,6,6,12,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,276,576,183,149,335,13,4,19,604,547,1154,195,140,335,2439,2291,4732
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,191,202,397,0,3,8,0,0,0,51,57,102,0,0,5,3,3,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,56,61,119,0,7,5,0,0,0,63,68,130,15,11,28,272,282,555
POA3064,16776,16978,33758,1349,1314,2657,424,435,858,9547,9506,19049,181,205,387,105,88,194,82,81,164,22,23,40,27,25,51,25,22,46,0,0,0,10409,10376,20785,3393,3650,7042,157,145,301,15305,15477,30785,1804,1856,3658,33883,34317,68199
POA3065,1770,1888,3655,226,220,445,111,147,252,1173,1207,2376,84,106,192,36,30,72,75,76,152,11,14,23,10,8,15,37,31,71,0,0,0,1539,1618,3155,528,582,1107,32,30,60,2322,2446,4767,762,719,1480,4854,5048,9899
POA3066,1156,1196,2347,126,134,262,135,137,271,1176,1134,2307,100,111,212,45,36,80,74,75,146,16,24,33,11,4,15,23,27,51,0,0,0,1573,1545,3121,572,621,1195,35,34,63,2313,2332,4646,553,538,1091,4019,4064,8079
POA3067,1035,1047,2082,81,95,173,112,121,231,1378,1304,2682,91,94,191,50,40,91,57,54,110,24,31,51,3,5,7,28,32,62,0,0,0,1741,1683,3420,650,715,1367,55,31,82,2520,2521,5043,389,366,751,3951,3929,7880
POA3068,3879,4318,8193,350,369,717,183,234,408,2162,2434,4599,138,151,286,34,58,96,81,100,189,27,32,61,20,22,39,59,56,115,0,0,0,2707,3093,5796,637,808,1443,50,72,119,3744,4338,8081,694,766,1460,8316,9422,17740
POA3070,5717,6442,12158,505,558,1063,182,268,454,2501,2829,5332,154,196,350,47,75,123,74,90,165,30,35,67,17,25,41,42,56,98,0,0,0,3046,3573,6620,703,884,1591,83,114,198,4335,5132,9467,756,811,1567,10809,12384,23190
POA3071,4259,4770,9024,315,317,630,129,176,301,2108,2377,4485,93,130,224,32,48,78,37,49,84,22,33,56,8,6,14,29,33,68,0,0,0,2458,2856,5315,533,590,1122,61,69,126,3368,3827,7191,579,634,1217,8203,9228,17434
POA3072,7701,8374,16073,486,451,936,183,208,391,3340,3436,6773,175,178,351,88,74,157,83,69,149,30,44,78,15,20,39,34,42,74,3,0,3,3946,4079,8026,1574,1497,3074,120,117,235,6123,6145,12272,1257,1261,2520,15082,15785,30862
POA3073,12382,13367,25749,1065,1049,2116,199,183,387,4788,4771,9556,134,134,269,56,71,119,70,57,123,19,33,57,24,30,56,24,27,50,0,0,3,5314,5303,10613,2272,2202,4475,129,136,266,8782,8691,17478,1870,1991,3856,23034,24050,47081
POA3074,6032,6233,12263,380,351,731,48,39,90,1559,1465,3019,32,29,62,19,19,34,11,15,25,0,0,0,3,4,11,0,3,3,0,0,0,1672,1576,3245,895,890,1790,33,22,53,2981,2832,5812,603,598,1205,9612,9672,19287
POA3075,5998,6139,12139,549,516,1061,73,62,133,2075,2060,4143,41,38,78,24,26,49,19,16,35,5,11,19,3,0,3,7,5,9,0,0,0,2246,2220,4463,914,906,1820,47,36,88,3751,3683,7434,719,712,1433,10471,10538,21011
POA3076,8087,8309,16398,379,363,739,129,128,259,3717,3635,7358,74,87,162,49,38,91,54,43,99,19,6,27,14,5,23,8,20,28,0,0,0,4067,3966,8035,1187,1355,2547,58,33,86,5690,5724,11412,829,932,1762,14601,14967,29564
POA3078,2741,2949,5693,166,173,341,85,118,202,1474,1573,3047,54,63,115,12,23,39,30,38,60,14,14,28,8,12,15,15,15,32,0,0,0,1689,1844,3538,340,374,710,35,32,69,2232,2429,4663,354,352,712,5329,5734,11059
POA3079,4174,4629,8806,369,380,750,84,86,168,1632,1780,3419,51,46,101,19,29,50,21,29,49,6,6,13,3,0,3,19,6,22,0,0,0,1834,1989,3828,419,488,908,44,57,104,2666,2923,5591,368,394,761,7212,7947,15163
POA3081,2986,3276,6263,382,424,809,44,44,88,1337,1364,2697,40,45,84,16,19,28,25,23,48,6,5,13,3,3,3,14,7,20,0,0,0,1481,1516,2990,522,436,962,44,49,92,2431,2425,4851,616,706,1325,6034,6399,12441
POA3082,9431,9748,19175,325,293,626,79,73,155,2333,2486,4820,67,52,121,37,34,70,20,23,42,13,11,31,5,11,15,5,4,12,0,0,0,2565,2694,5265,786,773,1561,44,54,96,3723,3822,7542,621,712,1329,13775,14277,28050
POA3083,8005,8367,16378,319,330,642,120,108,228,2938,2956,5900,78,95,170,45,42,86,38,27,68,36,49,84,12,11,26,21,20,44,0,0,0,3290,3305,6597,2296,2147,4446,80,44,124,5985,5828,11812,846,865,1716,14837,15061,29903
POA3084,7124,7627,14754,514,493,1007,94,86,178,2469,2616,5084,59,71,136,22,31,56,25,41,67,14,18,29,11,13,18,19,19,40,0,0,0,2713,2908,5619,592,698,1291,43,33,78,3867,4133,7999,561,618,1181,11557,12378,23932
POA3085,3701,3932,7631,235,253,491,110,79,188,1317,1399,2714,158,83,241,33,23,55,25,32,60,18,9,27,36,25,59,27,22,53,0,0,0,1716,1675,3392,317,350,663,35,28,63,2303,2306,4608,321,370,692,6329,6611,12935
POA3086,18,13,29,0,3,10,21,55,79,130,266,401,8,12,19,0,5,3,4,4,7,5,19,29,3,10,15,0,6,8,0,0,0,190,376,558,116,93,206,0,0,0,304,471,771,43,55,93,359,539,894
POA3087,2708,2870,5582,113,104,214,30,24,52,888,864,1755,23,20,43,9,7,18,4,11,18,6,3,5,0,7,3,0,0,3,0,0,0,963,929,1900,147,171,313,17,15,28,1238,1221,2457,191,204,395,4135,4296,8435
POA3088,8104,8600,16702,434,474,907,71,70,143,2545,2806,5348,51,53,110,18,19,41,22,28,51,12,18,32,3,8,13,19,18,33,0,0,0,2749,3016,5766,338,390,727,44,36,82,3561,3921,7477,474,511,987,12137,13029,25162
POA3089,3716,3736,7446,317,329,650,15,27,44,1039,1083,2121,31,39,70,0,7,6,9,8,22,3,5,12,3,8,11,5,5,10,0,0,0,1108,1181,2290,109,109,216,18,14,27,1550,1632,3188,202,201,409,5472,5575,11043
POA3090,738,753,1488,56,57,112,0,0,3,267,255,527,9,9,15,0,3,7,3,3,6,0,3,9,0,0,0,0,0,0,0,0,0,281,273,556,16,15,27,3,3,8,356,348,702,49,43,91,1147,1139,2287
POA3091,558,512,1067,17,23,37,0,3,3,159,150,317,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,152,321,4,8,8,3,3,10,191,187,376,50,36,88,792,730,1530
POA3093,1066,1162,2230,66,78,145,10,10,19,469,511,980,13,14,20,0,0,3,3,3,5,5,3,3,0,3,4,0,0,4,0,0,0,498,542,1045,48,66,110,4,8,14,619,698,1315,66,73,134,1750,1931,3683
POA3094,2570,2755,5319,229,239,465,18,27,51,882,933,1815,14,29,46,16,16,28,8,6,16,0,0,0,8,9,17,0,4,4,0,0,0,953,1031,1986,99,109,209,13,17,30,1292,1397,2686,149,179,325,4002,4325,8330
POA3095,8924,9320,18241,582,578,1162,71,73,141,2198,2341,4539,71,76,148,25,38,60,35,46,78,16,10,26,7,8,18,17,21,38,0,0,0,2438,2617,5061,341,380,724,30,33,62,3394,3611,7007,471,521,993,12796,13451,26245
POA3096,645,660,1304,42,57,94,0,3,3,147,182,326,11,7,11,0,0,0,4,0,6,0,0,0,0,0,0,3,4,4,0,0,0,164,190,353,14,20,28,3,4,4,217,264,490,41,48,90,910,968,1881
POA3097,432,422,852,31,32,58,8,5,9,158,139,299,5,4,10,0,0,3,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,172,157,333,22,15,36,0,0,0,219,209,429,52,51,101,707,678,1384
POA3099,1600,1621,3226,81,73,156,7,10,13,452,463,916,10,12,17,0,0,0,4,3,10,0,0,3,0,3,3,3,3,3,0,0,0,478,493,966,28,32,56,7,3,6,580,600,1185,104,131,235,2290,2352,4640
POA3101,5764,6322,12089,655,769,1424,185,200,384,2662,2829,5494,106,144,252,50,56,100,56,58,108,34,27,62,4,9,10,28,24,43,0,0,0,3126,3339,6467,848,1101,1950,44,46,91,4672,5257,9926,749,773,1526,11189,12354,23538
POA3102,1871,1996,3867,107,101,212,31,29,60,670,673,1345,25,25,45,11,13,20,8,6,18,6,3,8,0,0,0,3,4,12,0,0,0,754,752,1501,167,165,334,12,12,28,1041,1036,2074,164,159,324,3071,3185,6261
POA3103,3776,4295,8076,358,386,747,46,65,113,1586,1751,3337,39,42,84,22,28,49,18,19,39,11,3,11,11,10,15,11,10,23,0,0,0,1741,1932,3672,672,878,1551,29,33,64,2801,3236,6030,281,355,635,6858,7886,14741
POA3104,5831,6190,12022,496,478,976,65,68,130,1830,1870,3700,47,49,94,16,24,38,35,34,67,14,13,20,3,5,4,9,12,20,0,0,0,2003,2077,4082,774,912,1691,30,24,51,3303,3485,6794,378,388,771,9515,10064,19582
