SUA_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
2010,5344,12723,2081,1276,1680,1339,903,1176,344,26874,10726,29445,6444,1622,3884,2940,2494,2715,962,61238,27646,36794,67505,4215,8751,6887,16050,14178,2426,184449,11413,6573,44252,1133,2160,1775,3434,6539,886,78169,2167,1575,5188,512,714,624,1033,1829,202,13845,2720,24491,1482,5200,1065,944,868,1127,353,38249,3338,15754,1024,1860,954,700,766,764,203,25357,45332,48114,7034,6954,21680,15624,8868,7586,2307,163500,9331,23702,2767,11988,5689,3286,2701,3172,981,63620,3958,14283,4012,2245,2358,2972,1330,1913,358,33427,3975,797,13351,2478,1349,1889,2873,2858,270,29854,96,78,170,77,65,89,168,260,53,1048,2035,2551,1697,1118,1060,722,1353,942,435,11921,2074,1807,4352,1022,992,1220,2516,2459,3060,19496,130150,218689,161371,41703,52404,41016,45361,47524,12834,751038,3662,12211,2646,2335,4101,2025,179,847,334,28328,2336,7421,1000,1116,3169,1065,151,689,262,17215,2255,5704,1719,1173,2272,1253,651,1458,212,16696,1081,4765,1430,447,1275,936,46,212,76,10273,785,1335,1176,561,1052,597,98,568,87,6258
2011,25,38,23,11,9,6,13,5,5,134,58,152,59,12,35,20,39,23,10,414,245,182,1272,83,138,90,404,262,32,2711,102,23,759,17,21,17,127,165,26,1251,15,13,68,9,8,9,37,27,4,191,16,105,18,53,11,10,11,4,0,234,13,141,17,32,15,6,12,8,0,243,258,174,73,71,214,106,225,82,18,1214,60,69,29,201,56,23,54,56,10,555,15,48,34,8,12,20,28,17,3,178,38,9,144,32,20,18,71,46,8,374,3,0,3,0,0,0,9,0,4,23,17,10,23,19,16,3,34,10,11,149,25,11,81,28,18,14,74,54,57,363,881,968,2603,569,578,350,1134,771,186,8041,20,37,37,11,28,10,3,5,0,158,9,32,3,9,32,7,3,7,0,101,13,14,15,11,27,9,17,25,0,137,3,7,8,0,8,9,0,3,0,51,8,7,14,5,17,9,0,8,0,67
2012,36,49,8,3,0,3,8,14,0,124,19,26,32,9,9,8,0,4,0,106,264,141,929,37,51,78,220,166,22,1905,157,29,453,18,7,19,49,84,10,830,143,70,79,17,17,26,54,88,10,506,29,178,12,63,8,6,8,7,9,325,54,232,8,25,11,7,12,7,7,356,236,214,32,45,87,93,55,53,13,823,44,102,14,177,18,12,17,33,9,435,14,49,15,15,7,10,6,13,0,120,60,8,158,20,7,25,27,49,0,351,0,0,5,3,0,0,5,0,0,18,8,13,10,15,3,5,16,6,3,71,47,9,70,14,6,26,51,54,37,318,1107,1118,1837,453,234,314,524,587,120,6295,13,28,20,9,14,4,0,3,0,92,0,0,0,0,6,0,0,3,0,20,10,9,8,3,10,16,10,9,0,67,3,3,9,0,11,0,0,3,3,34,22,18,14,10,11,18,7,12,0,118
2013,0,8,3,0,0,3,4,0,0,15,6,14,13,0,8,3,0,4,0,50,57,49,501,21,32,18,99,82,17,881,28,4,183,4,3,10,31,61,8,330,5,3,23,0,3,0,8,13,0,66,3,25,3,19,0,0,0,0,0,55,12,39,6,3,3,0,3,3,0,73,38,43,15,8,21,15,8,11,0,169,9,19,3,63,8,0,4,10,3,119,3,7,6,3,5,3,3,3,0,39,0,0,37,8,9,3,10,18,0,84,0,0,0,0,0,0,0,0,0,3,3,0,6,3,0,0,3,0,0,25,3,4,31,8,6,6,14,20,14,104,179,216,836,143,91,68,185,236,50,2014,0,11,3,5,3,3,0,0,0,31,0,0,0,0,0,3,0,0,0,9,0,0,9,0,13,0,0,8,0,28,0,3,11,0,4,6,0,0,0,19,4,0,5,0,3,3,0,0,0,12
2014,3,10,0,0,0,0,3,3,0,15,3,3,5,0,3,0,0,0,0,16,44,46,311,5,15,10,97,58,11,593,21,5,93,4,6,0,45,27,3,213,16,10,12,4,0,0,14,8,3,71,13,40,5,16,0,0,6,3,0,72,7,46,0,0,3,0,5,0,0,66,33,27,5,3,10,4,10,17,4,116,10,18,0,27,10,0,0,0,0,57,3,3,4,0,0,0,0,5,0,22,6,3,30,3,3,3,12,6,0,68,0,0,0,0,0,0,0,5,0,7,0,3,5,3,0,0,4,0,0,14,6,5,11,3,0,0,25,17,3,79,159,212,489,63,54,24,223,151,24,1398,0,6,3,0,0,3,0,0,0,17,0,0,3,0,3,0,0,0,0,9,3,0,0,0,3,3,4,6,0,23,0,0,0,0,0,0,0,0,0,4,6,3,0,3,0,0,3,5,0,18
2015,6,21,0,3,0,0,0,0,0,40,9,19,18,0,0,3,3,3,3,60,86,114,362,27,26,15,48,43,13,733,32,3,143,3,10,12,25,50,4,281,11,6,26,5,4,5,9,17,0,82,9,87,5,23,0,0,3,0,0,122,21,69,3,12,4,3,4,3,0,115,83,72,22,15,22,30,11,17,0,269,22,44,3,53,3,7,4,16,0,148,3,16,9,0,0,0,3,3,0,38,21,3,72,4,0,3,9,16,3,125,0,0,0,0,0,0,0,0,0,3,11,4,5,3,0,0,3,3,3,33,8,0,15,8,3,4,10,13,11,61,330,452,681,159,79,78,125,178,32,2114,8,9,3,5,0,6,0,3,0,29,0,0,0,0,6,0,0,3,0,11,0,15,3,0,0,0,3,0,3,25,0,3,3,0,3,0,0,0,0,10,3,5,3,0,3,0,3,3,0,26
2016,23,38,7,3,4,5,7,10,3,108,19,51,25,4,11,17,8,12,3,152,267,163,930,42,68,63,210,206,18,1965,160,11,436,14,18,16,50,116,4,830,70,38,69,12,17,14,24,51,0,289,13,325,6,76,10,0,11,18,0,457,46,234,7,22,8,3,3,10,0,339,263,245,46,18,89,91,51,56,13,877,39,117,16,127,18,20,13,51,6,411,14,32,21,3,3,13,9,10,0,101,45,3,152,12,5,25,39,55,3,336,3,0,4,0,0,0,0,6,0,9,10,16,15,4,6,8,7,13,0,90,32,16,62,6,8,22,42,57,43,291,1002,1299,1801,351,262,287,471,661,105,6243,22,50,17,9,12,4,0,4,0,122,5,6,8,4,13,8,0,3,0,44,14,18,18,0,7,8,5,25,3,99,3,10,7,0,3,3,0,0,0,39,8,15,8,4,18,11,3,11,0,79
2017,3,4,0,0,0,0,0,0,0,9,4,3,8,3,0,0,0,4,0,24,48,21,234,3,12,19,42,43,9,437,58,3,90,3,0,3,9,19,3,198,30,30,24,3,3,8,20,25,4,149,5,40,3,21,3,0,0,3,0,77,11,70,3,3,0,0,0,0,0,88,56,53,0,8,19,24,3,9,0,178,9,17,0,26,3,4,6,3,4,77,4,5,6,0,0,4,0,0,0,19,7,0,41,0,3,7,3,19,5,77,0,0,0,0,0,0,0,0,0,3,5,5,3,0,0,0,3,0,0,21,14,3,9,3,3,0,7,24,10,75,272,259,421,76,55,72,99,148,32,1433,0,10,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,12,0,0,0,0,0,0,0,0,0,3,8,3,7,3,7,0,0,0,0,36
2018,20,38,6,4,4,6,3,0,0,80,18,58,35,3,18,6,5,7,0,159,230,217,1216,41,75,36,272,187,42,2312,107,10,366,20,12,15,100,156,9,797,25,20,32,3,7,8,16,25,0,139,21,225,11,37,7,4,7,3,5,319,23,121,17,15,0,3,6,5,3,192,164,133,27,21,87,60,44,41,6,587,24,62,7,129,26,14,15,15,7,304,16,29,8,13,5,15,7,8,0,92,29,5,116,14,11,19,22,34,3,252,0,0,0,0,0,0,0,0,0,6,12,10,12,10,10,7,6,12,6,81,29,8,54,7,10,14,32,43,29,222,720,941,1920,320,274,204,534,537,115,5557,8,36,15,6,17,14,0,3,0,97,0,6,6,0,6,0,0,0,3,28,8,15,19,10,16,3,3,11,0,78,5,6,6,3,11,0,0,0,0,35,10,9,8,6,0,3,0,5,0,47
2019,10,26,4,6,3,4,3,3,0,56,12,15,15,0,3,6,0,3,0,56,84,48,321,16,25,33,85,70,10,684,76,7,224,18,7,11,33,42,4,424,28,24,31,4,5,10,9,19,3,140,13,126,6,36,4,4,3,10,0,199,22,93,7,16,4,8,3,9,0,158,85,70,16,11,41,36,13,16,3,300,16,40,10,66,6,9,10,14,0,171,8,11,9,0,0,7,3,7,0,37,16,0,67,9,0,16,10,18,0,150,0,0,0,0,0,0,0,5,0,5,4,5,4,6,3,0,4,8,0,34,10,3,19,0,3,4,25,11,12,89,378,457,738,196,109,149,204,236,40,2508,3,22,9,3,3,3,0,5,0,49,0,3,0,0,4,3,0,0,0,11,6,0,5,3,7,3,3,5,0,35,6,3,3,0,0,4,0,0,0,21,4,8,0,0,8,5,0,3,0,29
2020,20,36,4,3,9,3,0,7,0,88,29,45,29,0,4,8,4,9,0,122,260,139,819,29,43,64,220,175,21,1770,133,8,479,6,10,10,53,121,18,843,111,27,79,10,12,11,45,70,3,367,12,127,5,35,3,3,0,8,0,197,52,199,21,20,13,3,6,7,3,318,171,163,36,21,63,54,23,31,5,577,33,99,17,96,18,12,7,21,3,311,16,23,24,3,10,3,7,4,3,86,19,3,83,3,4,8,17,28,0,176,3,0,0,0,0,0,3,0,0,8,10,7,15,12,5,0,11,15,7,74,29,7,48,15,5,11,23,35,22,185,892,891,1657,260,203,192,425,525,81,5123,12,37,15,9,16,3,0,3,0,106,3,8,7,0,10,0,0,4,0,32,7,9,3,4,6,7,7,21,0,62,3,5,7,3,3,10,0,4,0,38,34,19,18,9,11,9,3,27,0,129
2021,26,58,9,11,5,6,0,3,0,118,15,28,22,3,9,3,5,7,3,96,115,106,622,25,49,40,130,145,12,1239,158,23,463,16,13,28,49,78,14,841,59,32,62,13,10,20,39,37,4,273,17,235,10,50,3,8,5,7,4,335,48,211,23,30,12,3,10,8,3,346,192,217,41,21,65,75,38,40,5,690,25,101,11,116,11,19,12,34,0,322,15,31,15,9,3,8,3,17,0,111,37,5,132,8,6,14,24,46,0,268,0,5,6,0,0,0,0,4,0,10,9,10,9,8,4,4,14,14,0,80,20,9,38,13,6,11,26,33,18,173,734,1071,1461,326,193,247,351,469,62,4904,18,47,18,7,22,3,0,8,0,121,8,3,0,3,7,3,0,0,0,26,5,11,8,3,15,5,5,16,0,73,0,15,11,0,3,3,0,0,0,32,11,22,9,8,11,6,0,16,0,85
