SUA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
2010,24029,722,213,942,24966,3926,97,28989,155168,19288,1698,1166,177317,4478,1008,5489,182808,10774,211,193785,247058,29785,2602,2196,281639,3988,868,4857,286496,9266,316,296073,20764,2325,2755,229,26078,320,55,371,26447,725,26,27199,3131,531,55,3089,6806,189,45,236,7044,464,230,7741,426118,51921,7114,6679,491840,8981,1969,10950,502784,21232,778,524797,6517,1243,120,180,8062,1717,142,1860,9920,802,25,10745,12794,1987,108,284,15177,1310,543,1855,17034,937,29,17997,19311,3229,229,462,23233,3032,683,3716,26951,1735,60,28745,445436,55154,7349,7140,515072,12007,2653,14662,529735,22974,839,553541,153345,25913,3095,4391,186743,7253,1727,8981,195730,35132,661,231519,972,223,17,798,2016,45,12,58,2070,236,1924,4231,599753,81294,10463,12331,703836,19310,4387,23700,727535,58337,3426,789292
2011,151,8,3,15,158,20,0,181,1985,144,23,19,2181,60,14,73,2258,162,0,2423,2729,289,40,33,3093,56,18,72,3163,152,4,3317,312,42,35,3,388,0,5,7,393,9,0,403,47,0,0,43,91,10,0,10,101,16,3,120,5077,475,100,101,5753,124,35,162,5910,344,9,6262,119,19,0,5,139,63,0,64,204,13,0,215,222,33,3,3,266,14,16,34,298,13,3,310,342,51,3,9,407,75,20,97,502,21,3,529,5419,530,104,108,6162,203,56,253,6413,359,16,6789,2626,434,79,110,3248,195,42,238,3491,762,31,4276,17,0,0,3,20,0,0,0,20,0,52,72,8057,966,183,229,9429,401,95,499,9924,1123,92,11143
2012,52,0,0,3,57,8,0,65,1468,184,17,9,1678,33,4,46,1719,77,0,1795,2585,245,49,22,2898,61,4,68,2966,112,4,3079,201,26,25,7,261,6,0,6,271,6,0,276,42,3,0,40,86,0,0,0,86,5,4,95,4296,462,94,79,4928,103,17,116,5046,199,5,5255,43,4,0,0,45,25,7,29,79,11,0,89,81,12,4,0,96,30,4,28,126,13,0,139,120,11,4,4,142,52,8,58,198,29,0,224,4414,476,95,83,5071,151,21,177,5248,226,5,5476,1239,196,29,47,1508,123,36,159,1669,468,0,2141,16,0,0,3,20,4,0,4,23,4,27,59,5669,672,126,138,6596,278,64,338,6939,699,35,7678
2013,31,3,0,3,28,8,0,35,259,28,6,0,284,9,0,9,299,20,0,317,715,97,11,3,823,28,9,37,859,61,0,924,77,0,10,3,88,5,0,5,95,4,0,94,9,0,0,11,19,3,0,3,15,0,0,19,1055,120,19,17,1214,44,9,55,1270,89,0,1359,14,5,0,0,16,11,0,11,21,8,0,26,20,9,4,0,36,6,0,3,40,6,4,52,31,15,4,0,55,10,0,17,65,14,4,80,1092,133,27,17,1267,55,12,68,1334,99,3,1442,319,68,18,15,415,39,0,39,450,103,0,554,6,0,0,0,6,0,0,0,6,0,12,18,1415,201,43,25,1685,98,12,106,1788,204,16,2009
2014,5,0,0,0,5,0,0,10,212,17,4,3,240,5,0,5,245,15,0,261,516,61,4,6,592,5,0,10,595,21,0,621,34,12,11,0,59,0,0,0,59,0,0,59,0,0,0,16,14,3,0,3,21,0,0,23,768,87,21,25,903,13,0,18,920,39,0,956,12,0,0,0,12,0,0,0,8,8,0,14,13,0,0,0,9,0,0,0,9,7,0,13,21,0,0,0,18,3,0,3,22,11,0,32,789,87,21,24,924,17,0,21,940,52,0,989,273,57,11,10,344,12,3,23,370,65,0,427,4,0,0,0,4,0,0,0,4,5,8,20,1067,143,28,32,1275,29,7,36,1311,118,8,1435
2015,14,0,0,0,14,0,0,14,344,34,13,4,399,3,0,7,407,17,0,419,744,68,23,3,841,19,4,25,864,35,0,897,76,15,7,0,97,0,0,0,97,0,0,97,22,3,0,13,37,0,0,0,37,0,0,37,1187,115,39,21,1363,29,11,32,1398,46,0,1451,12,14,0,0,22,3,0,3,28,0,0,28,33,4,5,0,46,4,3,9,52,4,0,55,45,15,5,0,71,11,3,12,80,4,0,82,1229,133,44,23,1433,35,14,46,1481,48,0,1532,531,38,21,16,602,21,0,26,624,74,0,702,7,7,0,0,12,0,0,0,12,0,5,13,1769,176,66,41,2049,58,13,72,2116,123,6,2251
2016,53,4,3,3,64,17,0,76,1531,181,22,8,1738,38,12,54,1791,116,0,1902,2471,294,41,29,2838,34,3,39,2876,96,0,2978,216,17,40,0,268,3,0,10,274,10,0,282,26,8,0,38,72,3,0,3,75,7,4,77,4241,493,105,75,4916,81,21,105,5014,225,4,5247,61,9,3,0,79,32,3,38,115,12,0,124,108,7,3,5,124,10,0,13,131,0,0,133,167,16,7,5,195,42,5,46,246,8,0,258,4405,516,106,78,5112,124,28,152,5261,238,4,5501,1316,329,48,56,1750,104,40,146,1895,877,6,2783,13,0,0,9,32,0,0,0,32,4,28,64,5735,848,161,141,6888,226,66,292,7182,1123,42,8344
2017,14,0,0,0,12,0,0,12,309,40,4,0,357,17,0,17,373,24,7,403,574,55,4,3,637,0,4,11,646,11,0,657,57,0,16,0,70,0,0,0,70,4,0,77,14,3,0,9,25,0,0,0,25,0,3,29,952,104,26,10,1093,16,4,23,1116,39,8,1162,3,5,0,0,7,0,0,0,6,5,0,7,22,0,0,0,22,0,0,0,18,3,0,24,22,5,0,0,25,0,0,0,27,3,0,30,975,104,26,10,1116,22,4,28,1145,49,8,1197,305,33,9,7,352,7,0,7,357,53,0,405,3,0,0,0,3,0,0,0,3,0,4,7,1280,135,34,24,1475,22,4,30,1499,97,15,1612
2018,50,0,0,0,51,8,3,69,904,111,10,8,1029,41,16,56,1085,59,0,1147,2113,187,39,28,2370,54,3,56,2429,90,0,2519,193,31,26,5,251,9,0,9,263,0,0,259,28,3,0,16,45,0,0,0,48,8,0,52,3237,330,71,59,3703,105,16,121,3818,160,3,3978,39,11,0,0,47,16,0,15,68,10,0,73,97,18,0,3,110,11,7,27,134,4,0,144,130,30,0,3,164,31,13,45,200,14,0,219,3367,361,74,58,3858,133,28,160,4026,174,3,4198,952,107,25,45,1123,94,23,120,1245,271,5,1516,3,0,0,9,10,0,0,0,10,6,6,19,4325,467,97,109,4992,229,51,284,5277,443,13,5735
2019,18,0,0,0,18,3,0,20,511,54,10,3,572,0,0,0,572,37,3,610,1064,139,19,11,1234,6,4,12,1237,32,0,1278,79,3,16,0,101,0,0,0,100,3,0,103,18,0,0,17,35,0,0,0,35,0,0,35,1668,196,46,31,1938,8,4,10,1948,69,3,2021,11,3,3,0,17,0,0,0,17,0,0,17,38,9,0,0,49,5,0,5,56,0,0,56,47,17,3,0,70,5,0,5,71,0,0,71,1719,209,48,37,2004,9,4,16,2019,69,3,2092,437,41,9,5,496,21,3,23,520,104,0,628,10,0,0,3,16,0,0,0,16,0,21,32,2166,247,51,42,2512,38,4,44,2553,176,17,2752
2020,74,0,0,0,74,10,0,80,939,94,13,7,1053,6,10,13,1066,79,3,1155,2285,230,29,19,2563,13,3,13,2577,82,0,2665,204,27,23,4,256,0,0,0,256,5,0,265,19,7,0,23,42,0,0,0,42,8,3,48,3450,358,57,51,3918,18,11,29,3942,176,6,4129,42,3,0,0,42,5,0,5,48,3,0,50,99,11,0,0,109,8,3,14,116,4,0,127,142,7,0,0,152,11,3,16,165,9,0,177,3589,364,57,51,4066,30,14,44,4113,186,6,4303,1236,166,36,36,1468,33,11,42,1513,196,0,1714,3,0,0,6,8,0,0,0,8,4,4,16,4831,533,91,89,5542,64,29,92,5639,387,11,6033
2021,52,0,0,0,52,4,0,56,864,136,7,9,1014,8,7,19,1031,72,0,1103,2284,242,45,16,2593,10,4,17,2604,66,0,2675,171,22,25,0,220,7,4,13,233,4,0,237,20,0,0,15,37,0,0,0,37,0,0,37,3341,401,77,43,3863,24,14,42,3899,145,0,4048,23,7,0,0,24,12,3,13,37,10,3,52,47,7,3,0,63,3,0,3,67,0,0,70,71,14,3,0,87,16,3,14,104,15,3,124,3410,414,82,41,3951,43,15,56,4009,158,3,4169,787,112,21,28,952,26,3,27,978,117,9,1105,4,0,0,3,6,0,0,0,6,0,3,10,4202,532,102,69,4908,65,21,87,4993,275,12,5281
