SUA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
2010,396,50,55,48,130787,131334,4707,228,152,104,158452,163639,126489,4298,4571,289,214261,349913,196002,9272,14907,586,83707,304468,180355,12515,28284,1570,52002,274722,150474,9572,29391,3664,26576,219682,114286,5604,18195,6684,10819,155579,62556,2097,6359,10248,3867,85128,18423,507,1287,10717,1422,32353,853684,44139,103209,33905,681890,1716829,609,63,62,63,126431,127227,10992,559,320,122,148392,160384,159394,7007,7823,545,186024,360791,199234,13175,23267,1713,75518,312904,181240,15643,42828,5172,45201,290080,146086,11030,43079,13593,22983,236763,102737,5582,28078,28161,9051,173605,45422,1770,9644,44226,3773,104837,9292,301,2453,40363,2137,54543,855004,55115,157552,133950,619501,1821126,1009,113,121,106,257215,258561,15700,781,473,228,306845,324024,285884,11306,12396,832,400283,710699,395231,22447,38171,2298,159225,617372,361593,28160,71114,6745,97203,564806,296562,20601,72475,17253,49552,456448,217021,11182,46272,34843,19867,329185,107978,3868,16007,54474,7640,189963,27709,802,3744,51082,3558,86899,1708685,99256,260763,167860,1301394,3537956
2011,5,0,0,3,1902,1909,65,5,0,0,1886,1955,1738,113,78,0,2594,4520,2463,267,299,9,1225,4263,2025,222,480,33,678,3437,1988,180,505,70,279,3028,1563,107,306,126,107,2207,475,30,84,110,25,733,76,5,17,84,9,191,10403,925,1766,446,8706,22233,4,0,3,0,1778,1793,164,18,0,0,1825,2007,2326,230,124,13,2353,5042,2384,311,416,31,1158,4301,2009,290,681,77,539,3587,2030,247,748,248,185,3453,1223,111,412,404,69,2215,285,15,101,390,17,808,45,3,17,277,3,350,10467,1216,2511,1432,7924,23553,8,0,4,3,3681,3700,230,20,3,0,3703,3965,4064,341,201,11,4948,9565,4850,574,718,41,2383,8557,4034,506,1162,106,1210,7016,4018,423,1252,318,466,6479,2784,222,720,528,176,4430,767,46,193,495,43,1541,125,3,34,361,16,541,20869,2143,4273,1873,16633,45789
2012,3,0,0,0,1705,1713,51,0,3,3,1402,1459,1021,49,39,0,1882,2994,1564,124,180,10,892,2773,1833,195,427,30,676,3159,2041,184,529,67,391,3210,1812,95,364,121,190,2578,941,28,111,193,58,1325,279,5,13,158,15,472,9540,682,1677,577,7218,19686,3,0,3,0,1555,1563,103,7,3,0,1408,1519,1234,104,60,3,1738,3134,1726,181,258,31,790,2987,1934,252,590,65,541,3377,2017,191,599,199,244,3247,1627,86,385,490,68,2653,736,16,116,758,44,1675,150,4,32,593,15,795,9520,847,2039,2141,6407,20954,9,0,3,0,3259,3271,146,6,7,3,2813,2975,2250,159,101,3,3620,6132,3291,306,439,36,1685,5758,3768,449,1015,87,1216,6536,4052,381,1126,266,636,6454,3441,180,753,608,258,5239,1678,47,223,954,106,3002,432,4,43,753,35,1275,19057,1531,3721,2718,13623,40649
2013,0,0,0,0,534,532,23,0,0,0,526,552,257,9,20,0,610,898,378,47,58,8,370,859,513,66,177,5,277,1033,652,71,228,35,173,1153,587,46,152,56,84,932,325,14,57,78,34,510,107,3,7,60,3,185,2841,261,696,252,2614,6650,0,0,0,0,462,460,23,6,0,0,530,555,357,42,17,6,560,986,415,73,78,3,323,891,558,79,235,40,200,1106,661,104,241,90,100,1194,528,46,195,177,32,977,265,8,59,284,16,632,58,3,9,274,9,354,2870,358,838,874,2230,7166,0,0,0,0,992,990,43,6,0,0,1056,1104,616,58,36,6,1172,1882,791,119,132,12,694,1754,1066,141,415,45,472,2145,1307,169,467,124,281,2350,1119,89,347,234,115,1906,598,29,111,361,44,1141,166,4,23,330,8,537,5708,619,1532,1123,4839,13818
2014,0,0,0,0,353,353,6,0,0,0,297,305,141,10,5,0,343,493,276,25,28,0,258,597,421,42,113,3,209,789,490,42,134,15,117,792,417,26,93,42,39,621,235,8,34,44,10,331,56,0,9,47,3,122,2039,156,416,157,1638,4404,0,0,0,0,317,319,13,3,0,0,256,265,193,20,21,4,301,539,356,38,58,0,198,655,410,43,132,18,145,751,508,44,182,61,77,872,361,10,106,94,22,594,177,7,39,153,0,378,32,0,6,174,0,217,2045,163,550,506,1322,4582,0,0,0,0,673,678,16,3,0,0,550,572,335,25,29,4,640,1034,631,64,90,0,462,1249,835,89,246,21,356,1542,996,87,313,79,190,1667,770,37,204,142,64,1209,414,10,74,194,14,704,91,0,9,223,3,333,4088,326,965,662,2957,8988
2015,0,0,0,0,472,472,12,0,0,0,416,423,364,16,13,0,489,882,518,33,50,0,231,837,521,44,103,6,196,871,576,37,138,18,96,864,502,27,86,36,44,691,264,7,32,69,18,395,82,0,8,63,6,159,2834,167,429,196,1962,5595,3,0,0,0,422,427,19,3,0,0,362,385,426,38,13,0,485,966,520,59,91,4,229,903,563,84,192,24,173,1036,601,50,200,73,65,997,436,28,113,154,24,755,187,5,47,246,8,490,52,0,17,212,5,297,2815,273,677,707,1780,6250,3,0,0,0,900,901,33,3,0,0,778,808,786,55,32,0,972,1845,1044,96,141,4,457,1743,1080,132,290,31,366,1906,1179,88,338,91,163,1860,941,47,194,190,70,1439,453,17,78,314,33,885,136,0,24,274,12,448,5650,443,1104,905,3741,11842
2016,3,0,3,0,1728,1730,72,0,3,0,1380,1455,1258,61,40,3,1767,3131,1753,144,175,13,844,2920,1906,202,376,23,632,3138,1852,136,448,57,320,2816,1596,107,283,126,144,2255,887,27,97,194,58,1265,253,0,17,144,14,434,9579,680,1449,556,6885,19150,12,0,0,3,1623,1639,188,6,3,0,1275,1477,1495,92,68,4,1627,3296,1787,233,321,19,744,3106,1914,263,521,67,507,3271,1811,185,593,208,237,3032,1466,77,385,405,90,2423,662,33,125,643,28,1482,141,5,27,588,22,780,9473,901,2049,1928,6148,20494,18,0,5,3,3349,3374,262,11,3,3,2653,2934,2753,156,113,8,3392,6431,3535,369,500,32,1588,6027,3820,468,899,87,1134,6404,3662,320,1047,265,556,5844,3067,181,666,529,234,4677,1553,59,220,829,84,2751,392,10,45,729,38,1210,19053,1581,3493,2488,13031,39647
2017,0,0,0,0,346,346,13,0,0,0,333,344,260,10,4,0,434,710,379,33,32,4,164,616,415,21,84,3,127,654,435,12,81,13,74,609,338,15,74,26,40,491,241,5,20,43,17,329,84,3,3,46,10,139,2173,110,304,131,1535,4248,0,0,0,0,353,354,32,4,0,0,294,333,306,25,15,4,353,704,405,38,52,5,136,643,398,43,94,17,112,667,402,38,108,32,60,647,318,12,86,118,16,550,190,6,37,216,15,463,45,0,3,185,7,243,2101,173,399,587,1343,4602,0,0,0,0,700,702,46,3,0,0,627,676,568,40,21,4,786,1414,789,73,83,8,301,1257,811,67,177,27,234,1320,839,49,190,40,133,1255,662,27,162,147,60,1049,430,10,58,265,28,792,130,4,5,231,14,385,4268,282,706,720,2874,8849
2018,3,0,3,0,1212,1213,43,6,0,0,1227,1274,790,55,32,3,1680,2559,1182,137,152,9,783,2268,1358,167,401,14,612,2551,1555,137,460,30,339,2527,1283,100,295,99,136,1906,764,23,104,150,40,1076,205,3,22,139,17,388,7172,633,1467,453,6039,15764,5,0,0,0,1132,1133,72,15,0,0,1263,1344,1025,124,66,4,1606,2827,1296,185,227,25,719,2445,1376,193,553,69,483,2670,1567,154,536,196,186,2639,1205,81,327,432,60,2108,566,29,118,656,21,1393,103,3,30,532,6,679,7212,783,1856,1922,5481,17251,9,0,3,0,2338,2348,108,16,0,0,2488,2615,1819,177,100,11,3284,5390,2481,316,373,35,1506,4712,2729,357,955,86,1094,5228,3121,292,1000,231,525,5166,2484,184,616,532,199,4014,1327,54,225,810,63,2473,311,8,57,673,23,1068,14381,1415,3324,2369,11522,33011
2019,0,0,0,0,536,542,12,5,0,0,453,470,290,13,11,0,625,945,568,59,59,5,324,1016,651,62,157,8,251,1127,706,63,169,30,154,1122,658,31,113,66,82,950,425,22,46,83,24,603,150,3,3,117,15,288,3455,260,568,313,2468,7060,3,0,0,0,550,554,17,5,0,0,459,487,398,30,25,0,576,1031,595,71,105,3,337,1120,648,100,239,25,230,1237,746,82,248,96,119,1293,665,38,183,207,75,1162,336,14,71,387,32,843,80,0,13,452,23,570,3489,338,892,1175,2397,8290,3,0,0,0,1088,1094,31,10,0,0,919,959,689,45,41,3,1198,1977,1163,135,166,13,659,2132,1297,164,397,32,477,2366,1452,144,424,119,274,2415,1323,64,294,272,153,2110,756,31,116,472,59,1446,227,3,18,573,35,856,6944,602,1457,1482,4863,15346
2020,0,0,0,0,1120,1120,35,3,0,0,930,961,758,47,37,3,1127,1963,1103,87,106,4,516,1817,1378,115,270,11,392,2166,1445,88,322,51,200,2111,1493,57,213,69,89,1923,766,15,90,142,45,1065,176,3,14,90,15,295,7152,415,1042,377,4428,13415,3,0,0,0,1078,1080,62,5,0,3,864,935,929,71,45,0,1042,2086,1229,131,182,23,499,2062,1479,173,401,56,337,2443,1484,95,462,129,187,2359,1401,57,289,302,68,2114,524,15,101,464,33,1130,87,4,16,414,22,542,7196,550,1496,1380,4128,14752,3,0,0,0,2200,2197,96,12,0,3,1791,1898,1683,118,77,4,2168,4050,2331,215,290,21,1013,3874,2856,283,670,64,729,4605,2929,186,784,181,392,4471,2892,114,503,370,153,4033,1292,28,189,613,77,2198,264,4,27,507,31,835,14351,966,2540,1759,8553,28164
2021,3,0,3,0,1133,1139,25,3,0,0,1139,1169,602,33,31,4,1349,2011,1082,66,132,3,605,1892,1325,120,234,15,405,2106,1353,93,280,37,261,2027,1217,66,176,75,94,1631,619,18,45,120,39,846,198,5,13,100,20,343,6428,404,926,358,5051,13165,4,0,0,0,1119,1119,38,9,0,0,1033,1072,756,56,62,4,1218,2099,1160,140,173,6,596,2079,1401,161,385,57,408,2409,1364,121,446,117,231,2278,1123,59,262,288,76,1809,463,14,100,546,36,1165,112,4,15,468,39,633,6421,559,1448,1490,4749,14664,8,0,7,0,2250,2263,66,7,0,0,2166,2240,1358,91,87,9,2560,4110,2242,209,304,13,1206,3977,2728,281,624,68,816,4521,2718,210,733,156,496,4307,2345,124,439,357,171,3436,1087,31,148,664,77,2009,307,10,33,572,54,978,12846,963,2371,1849,9797,27830
