SUA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
2010,1716829,1821126,3537956,802104,468899,1271003,230176,440792,670966,45454,54856,100311,76849,72108,148960,1154588,1036652,2191237,459958,677907,1137871,6.7,7,6.8,67.3,56.9,61.9,62.8,53,57.7,115689,115293,230980,32893,59237,92134,302006,362689,664700,147528,187561,335083,301285,143074,444356,10301,17635,27938,22165,34567,56731,333748,195279,529030,1611892,1683132,3295019,319053,332332,651386,1053535,1108521,2162053,797561,830539,1628098
2011,22233,23553,45789,10556,5417,15971,2302,5160,7460,699,732,1434,1191,1188,2385,14751,12499,27254,5982,9486,15467,8.1,9.5,8.8,66.3,53.1,59.5,61,48,54.3,426,415,842,156,365,524,1342,2134,3480,1547,2357,3905,5877,3331,9202,226,417,650,398,574,969,6500,4324,10826,22166,22971,45131,4174,4467,8637,13793,14020,27806,10798,11671,22460
2012,19686,20954,40649,7900,4530,12434,2126,4890,7011,584,652,1242,953,730,1689,11564,10802,22366,6291,8362,14660,8.2,6.8,7.6,58.7,51.6,55,53.9,48.1,50.9,205,273,475,177,415,586,1198,2099,3293,1100,1820,2924,4694,2505,7194,215,374,591,293,416,711,5200,3296,8499,18334,19233,37570,3434,3615,7042,12419,12868,25284,8276,8970,17247
2013,6650,7166,13818,2294,1048,3338,690,1652,2341,183,223,410,477,333,812,3639,3256,6901,2480,3401,5881,13.1,10.2,11.8,54.7,45.4,49.9,47.6,40.8,44.1,52,71,122,41,97,147,254,521,771,369,563,935,2121,1004,3123,68,129,195,112,159,265,2302,1291,3589,6299,6656,12950,881,1026,1904,4634,4820,9449,2237,2537,4774
2014,4404,4582,8988,1684,724,2403,509,1168,1683,174,184,358,196,142,340,2572,2218,4788,1482,1993,3482,7.6,6.4,7.1,58.4,48.4,53.3,53.7,45.3,49.4,42,38,82,36,94,133,224,405,632,193,421,611,1244,595,1845,40,88,125,71,96,171,1361,776,2137,4217,4290,8507,564,628,1199,3049,3038,6088,1507,1648,3150
2015,5595,6250,11842,2378,1215,3593,615,1564,2183,182,198,383,241,206,445,3412,3192,6600,1736,2595,4330,7.1,6.5,6.7,61,51.1,55.7,56.7,47.6,52,110,145,253,82,180,266,455,768,1223,427,597,1025,1536,775,2303,51,88,134,65,136,193,1648,990,2637,5285,5680,10968,1003,1166,2170,3404,3706,7111,2563,2824,5380
2016,19150,20494,39647,7959,4387,12350,2092,4820,6903,598,651,1249,874,668,1540,11520,10519,22043,5985,8253,14230,7.6,6.4,7,60.2,51.3,55.6,55.6,48.1,51.7,373,371,740,252,517,768,1276,2153,3430,1153,1877,3029,4379,2355,6733,144,309,454,219,363,581,4748,3021,7773,18288,18937,37221,3256,3537,6797,12371,12834,25201,8112,8643,16758
2017,4248,4602,8849,1848,985,2837,455,1081,1530,141,153,297,141,101,236,2582,2317,4899,1202,1805,3003,5.5,4.4,4.8,60.8,50.3,55.4,57.5,48.2,52.7,31,53,85,43,90,133,261,469,728,262,370,628,1015,518,1533,27,79,107,47,84,135,1089,678,1767,3911,4192,8100,705,717,1426,2556,2728,5283,1771,1898,3677
2018,15764,17251,33011,6417,3193,9608,1582,4178,5752,492,529,1019,979,719,1701,9462,8616,18079,4920,7074,11986,10.3,8.3,9.4,60,49.9,54.8,53.9,45.8,49.6,256,259,512,166,343,510,1060,1695,2757,972,1452,2426,4704,2225,6929,146,291,442,225,332,555,5074,2848,7929,14888,15656,30542,2478,2784,5256,10358,10823,21186,6226,6890,13118
2019,7060,8290,15346,2891,1542,4430,814,2114,2927,224,282,504,227,217,447,4166,4142,8308,2357,3436,5791,5.4,5.2,5.4,59,50,54.1,55.7,47.5,51.2,128,150,274,111,199,315,513,942,1454,489,810,1295,1884,1022,2913,72,124,192,102,183,289,2055,1329,3389,6798,7611,14410,1155,1334,2487,4722,5262,9986,2910,3347,6261
2020,13415,14752,28164,6032,2859,8891,1542,3793,5335,393,510,907,434,472,910,8406,7633,16041,4095,6103,10198,5.2,6.2,5.7,62.7,51.7,57,59.4,48.5,53.7,275,321,599,211,416,621,1019,1700,2726,921,1583,2503,3993,1975,5970,94,251,340,177,358,535,4261,2587,6844,12742,13633,26368,2448,2758,5208,8044,8621,16659,6493,7141,13634
2021,13165,14664,27830,5756,2994,8747,1849,4204,6057,440,532,979,450,415,868,8495,8153,16645,3684,5405,9087,5.3,5.1,5.2,64.5,55.6,59.8,61.1,52.7,56.7,262,311,570,196,402,601,1208,1949,3159,858,1437,2295,3309,1801,5110,109,248,352,160,287,445,3579,2330,5905,12329,13341,25672,2326,2539,4861,8296,8943,17243,5759,6375,12131
