SUA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
2010,5192,10770,7793,5574,7690,3951,1989,42966,672,437,301,240,333,216,148,2345,288,382,308,224,330,224,125,1894,9953,20084,15527,11895,18353,10526,5842,92188,595,1164,771,571,877,488,246,4716,912,1862,1136,712,800,421,211,6057,1509,3031,1907,1283,1685,912,456,10773,11463,23116,17433,13175,20037,11435,6299,102966,14391,13833,7874,5318,7048,3666,2175,54306,322,369,239,179,155,73,43,1377,26177,37315,25541,18678,27235,15181,8525,158651
2011,141,214,142,97,127,43,12,778,28,9,6,4,7,8,3,66,0,11,0,3,4,0,0,23,277,408,271,195,311,112,39,1616,32,64,37,17,23,7,0,177,44,86,42,21,33,3,7,236,67,147,82,42,58,14,9,419,343,561,352,238,367,128,41,2038,738,666,330,151,194,58,41,2176,16,17,5,3,3,3,0,44,1098,1243,692,396,568,184,85,4261
2012,104,189,141,87,129,24,7,680,10,4,3,0,3,0,0,22,0,10,9,3,3,0,0,26,178,313,252,188,285,78,14,1313,13,29,15,6,11,0,0,84,20,42,15,15,15,0,0,116,31,72,31,24,27,7,0,197,213,392,291,209,308,84,20,1509,401,372,151,101,103,19,4,1150,14,16,8,8,3,0,0,42,619,772,451,316,417,102,20,2705
2013,41,72,47,44,49,5,3,262,8,8,3,0,0,0,0,20,3,3,3,0,0,0,0,7,61,112,70,63,88,25,3,416,11,22,18,8,15,3,0,67,5,22,18,6,9,0,0,56,19,46,30,14,21,3,0,131,77,153,97,72,111,24,4,548,167,134,70,53,54,11,0,495,3,8,3,4,0,0,0,20,244,299,168,133,166,39,7,1059
2014,18,27,24,22,42,8,0,136,3,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,24,49,52,37,73,18,4,259,0,9,0,4,4,0,0,17,3,14,5,0,4,0,0,32,3,18,13,8,11,0,0,45,25,70,65,44,79,17,4,306,79,58,29,18,16,3,0,205,0,0,0,0,0,0,0,0,111,127,90,63,98,17,3,515
2015,39,64,25,25,47,17,0,221,3,3,8,0,0,0,0,11,0,0,0,0,0,0,0,9,62,100,62,58,97,27,0,407,4,3,6,3,7,0,0,18,7,16,9,0,3,0,0,34,11,22,16,4,7,0,0,55,75,116,74,63,109,27,0,466,90,94,39,33,37,14,0,307,0,4,0,0,0,0,0,5,164,210,115,98,146,38,0,775
2016,98,194,132,92,145,27,7,703,12,15,11,3,11,5,3,50,0,7,6,4,7,0,0,31,177,333,251,187,333,73,23,1379,13,29,15,14,14,3,0,89,31,62,26,15,14,6,0,152,49,84,40,29,23,7,0,243,228,424,293,220,358,82,22,1619,394,324,178,120,117,28,13,1174,3,8,9,4,3,0,0,32,622,754,477,342,475,112,36,2830
2017,36,60,25,21,23,4,0,166,3,0,0,3,0,0,0,9,3,3,0,0,0,0,0,10,49,78,55,44,61,21,4,308,3,3,3,3,4,0,0,17,6,9,0,0,3,0,0,21,5,10,7,5,7,0,0,31,61,90,58,44,68,21,4,345,68,57,33,29,20,3,0,206,3,0,0,0,0,0,0,6,131,148,87,77,90,21,4,562
2018,78,183,106,99,110,22,8,600,19,11,3,9,8,0,0,51,3,6,6,0,3,0,0,19,143,283,200,187,239,62,27,1127,14,38,32,18,21,9,0,136,25,62,40,17,25,7,0,179,46,99,69,35,51,17,0,319,182,383,266,219,292,76,28,1443,385,278,132,98,84,24,6,1009,12,9,3,3,0,0,0,22,577,673,404,320,377,97,30,2483
2019,41,98,47,44,59,16,4,301,8,15,4,0,4,0,0,26,0,0,0,3,0,0,0,3,63,141,83,82,102,30,7,512,4,12,12,3,6,0,0,38,10,20,12,3,3,0,0,43,14,32,23,8,5,0,0,78,77,174,99,89,114,29,7,586,120,99,67,42,54,7,3,387,9,4,6,3,0,0,0,16,196,284,172,135,166,37,7,999
2020,53,149,101,59,83,18,10,477,7,11,0,5,5,0,0,30,3,3,0,0,3,3,0,9,89,220,158,121,207,63,13,879,0,17,8,6,9,3,0,41,11,19,11,6,10,3,0,58,15,36,12,8,11,3,0,101,110,251,172,135,224,66,13,978,191,196,98,50,75,27,3,650,0,3,0,0,0,0,0,7,303,453,276,186,301,101,20,1631
2021,73,170,124,82,109,31,7,590,19,7,5,6,12,0,0,51,0,6,0,0,3,0,0,15,113,241,191,138,235,58,12,990,4,8,6,8,5,3,0,34,3,24,12,6,7,4,0,56,6,30,24,13,14,4,0,94,126,275,207,151,245,63,12,1084,199,159,71,40,49,13,3,536,9,9,3,0,4,3,0,22,325,442,283,196,299,84,15,1645
