SUA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
2010,55,321,195,3227,888,730,678,451,199,6738,36,207,451,2596,2399,5148,8468,8033,3270,30607,67,316,424,971,334,165,124,26,6,2428,75,486,1223,3466,688,282,111,42,6,6382,47,163,367,2749,1971,1517,1096,395,97,8407,306,1208,4333,8495,2545,2724,1668,560,123,21962,6,23,61,305,551,1802,2817,1557,301,7410,4,145,403,2030,862,1008,662,323,102,5535,30,378,957,2414,651,280,150,106,28,4982,25,166,1103,3401,155,75,32,4,0,4962,27,148,118,715,528,1053,1849,1099,447,5997,697,4056,5192,15485,5777,4029,1876,657,183,37961,4,50,55,514,361,359,443,255,79,2125,329,1051,2324,7533,819,346,166,36,11,12617,9,27,62,386,252,86,37,7,3,874,203,1358,2453,7756,3117,1930,785,168,52,17827,11,38,92,1275,615,1418,1130,509,526,5617,25,235,318,1932,1719,1912,1920,1080,383,9512,179,841,1487,2385,826,683,355,137,22,6910,66,649,1362,4188,2277,1528,986,377,120,11563
2011,0,4,0,11,7,13,26,3,0,66,0,0,4,6,15,52,55,21,4,158,0,0,0,3,0,0,0,0,0,3,0,4,3,9,3,0,0,0,0,20,0,0,7,9,10,4,12,0,0,41,5,10,3,22,7,10,3,0,0,62,3,13,11,25,47,112,131,44,0,381,0,0,0,14,4,3,3,0,0,31,0,13,27,30,10,5,0,0,0,83,0,0,13,9,0,0,0,0,0,22,0,0,0,5,6,14,33,8,4,70,42,134,146,270,100,54,35,4,3,779,0,0,0,3,8,5,12,6,3,34,0,9,3,52,9,10,0,0,0,81,0,0,0,0,3,0,0,0,0,4,4,43,53,144,68,18,12,0,0,349,0,0,0,21,9,21,12,8,0,66,3,3,3,18,21,43,44,20,4,161,0,3,0,11,5,10,4,0,0,31,0,3,12,35,10,9,10,0,0,84
2012,0,0,0,3,5,0,4,0,5,15,0,3,4,15,15,49,90,84,42,299,0,0,3,3,0,0,0,0,0,12,0,4,11,16,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,4,3,28,81,7,0,0,0,0,126,0,0,0,0,0,3,5,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,14,0,0,0,3,3,7,23,3,0,47,3,12,32,53,34,27,25,6,0,201,0,3,0,3,3,0,0,0,0,13,0,4,3,11,3,0,0,0,0,22,0,0,0,0,3,0,0,0,0,5,0,12,16,25,8,3,0,0,0,62,0,0,0,0,0,3,3,0,0,12,0,0,0,12,13,11,18,9,0,59,0,0,0,0,0,3,0,0,0,3,0,4,8,6,7,5,4,0,0,31
2013,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,8,5,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,16,35,25,5,90,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,15,38,43,7,109,0,0,7,24,13,12,12,8,0,73,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,12,0,0,0,0,3,3,0,0,3,11,0,0,0,3,3,10,28,14,6,69,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,9
2014,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,5,5,25,0,3,3,19,18,14,9,3,0,65,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,4,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,3,0,26,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10
2015,0,0,0,4,0,3,0,0,0,9,0,3,0,0,0,4,10,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,14,5,0,0,0,0,24,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,4,18,18,4,46,0,3,5,24,11,11,3,9,0,70,0,0,0,0,0,3,5,0,0,10,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,7,7,12,4,4,0,0,0,40,0,0,0,3,0,3,0,0,0,10,0,0,0,5,6,4,6,0,0,18,0,7,0,3,3,0,0,0,0,14,0,3,0,9,3,3,3,0,0,22
2016,0,9,0,8,0,8,3,6,0,30,0,0,0,7,15,48,102,97,33,306,0,0,0,8,0,0,0,0,0,10,0,0,3,10,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,4,3,8,11,56,6,7,0,0,0,98,0,0,0,0,0,6,4,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,3,0,0,0,14,0,0,0,0,0,6,25,17,9,62,13,44,48,65,44,26,23,9,0,275,0,0,0,4,0,3,6,3,0,16,0,35,15,72,15,5,0,0,0,138,0,0,0,0,3,3,0,0,0,5,3,21,18,67,3,6,0,0,0,112,0,0,0,3,3,0,0,0,3,5,0,0,0,12,8,9,21,6,0,53,0,0,0,3,7,0,0,0,0,11,0,12,11,14,13,3,0,3,0,64
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,22,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,5,20,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,26,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,4,7,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9
2018,0,0,0,10,4,15,10,4,4,54,0,0,0,0,20,49,73,72,42,255,0,0,0,6,0,0,0,0,0,17,0,3,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,9,0,0,0,24,0,0,0,3,0,14,39,13,9,80,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,13,0,0,5,3,7,25,61,37,12,153,0,5,9,54,30,37,26,7,0,171,0,0,0,0,0,7,15,4,3,27,0,0,0,12,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,6,0,9,9,27,15,10,3,0,0,74,0,0,0,5,0,10,4,0,3,26,0,0,3,8,15,36,43,26,4,142,0,0,4,3,0,0,0,0,0,8,0,10,3,14,11,12,3,4,0,58
2019,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,12,52,32,15,127,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,18,0,0,0,0,3,0,20,6,7,39,0,0,7,15,10,8,10,0,0,53,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,5,7,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,5,11,3,0,30,0,0,0,0,0,3,0,0,0,3,0,0,5,10,6,7,3,0,0,29
2020,0,0,0,9,4,4,3,10,4,30,0,0,0,0,8,9,23,18,3,64,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,5,0,0,21,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,9,18,54,34,9,131,0,10,21,55,36,16,29,4,3,176,0,0,0,3,4,3,5,4,3,25,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,7,0,0,4,12,0,3,0,0,0,16,0,0,0,4,0,5,0,3,0,15,0,0,0,3,10,13,24,13,3,73,0,0,0,3,0,0,0,0,0,7,0,11,7,22,12,7,9,0,0,57
2021,0,4,0,9,10,0,3,0,3,27,0,0,3,4,0,0,4,3,0,18,0,0,0,7,0,0,0,0,0,8,0,0,29,41,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,3,0,3,5,13,0,5,0,0,0,28,0,0,0,0,0,0,7,0,0,10,0,0,0,4,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,8,19,12,3,52,3,21,16,55,29,28,11,4,0,177,0,0,0,0,4,3,9,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,11,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,7,0,0,0,7,3,9,12,10,3,50,0,0,0,0,0,0,0,0,0,8,0,4,6,8,5,3,0,0,0,26
