SUA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
2010,3685,7795,7404,6966,5884,4058,1471,513,37779,5285,25465,24201,10651,4865,1345,170,25,72011,13940,49347,47877,50941,42655,29893,15266,5205,255116,9979,26410,19397,17359,12230,7714,4564,1306,98956,1365,4355,4123,3424,2206,1164,518,164,17320,2863,12153,10051,8406,6549,3712,1767,654,46154,1106,6390,6138,6156,7373,5315,2243,590,35308,15800,56899,48747,36509,24436,13623,4837,1553,202410,7798,20220,17344,14846,12130,7567,2583,723,83209,6311,15215,9439,5305,3343,1819,663,215,42305,3904,13006,8157,5884,3359,1879,933,263,37391,761,451,276,270,301,291,277,81,2708,1191,3679,3756,3234,2266,1341,625,285,16385,21277,28621,22649,19904,16240,13702,10536,5464,138401,95276,270010,229556,189858,143836,93430,46456,17040,1085461,4978,11839,10306,6962,3992,1768,615,218,40678,1233,9162,8014,4029,1949,541,67,18,25021,1922,7895,6345,4592,3000,2060,1855,778,28447,1524,5063,3296,2225,1034,403,120,48,13712,1074,2544,2314,1533,856,291,120,35,8769,10126,40529,30302,26126,20940,11709,5909,2113,147758,4904,23675,22623,22896,22274,14243,5427,1610,117647,20885,74029
2011,15,43,47,29,29,23,3,0,188,46,184,175,50,35,6,0,0,498,219,748,763,682,684,480,152,22,3757,242,508,316,207,158,95,31,10,1579,26,76,49,47,23,16,3,0,242,23,74,73,56,47,31,7,4,303,7,71,71,54,78,51,13,3,342,145,459,421,207,174,90,15,3,1527,96,196,192,117,97,41,21,0,757,48,89,56,15,14,13,4,0,243,69,147,97,68,46,35,10,0,472,10,12,7,7,8,11,4,0,45,3,42,55,46,28,13,7,0,196,365,414,364,316,305,243,106,23,2148,1325,3065,2675,1908,1723,1140,375,80,12294,26,92,75,31,16,4,0,0,244,6,72,61,17,7,8,0,0,173,23,59,66,37,32,27,9,11,266,11,18,28,9,3,0,0,0,70,11,29,42,10,4,3,0,0,106,102,401,290,235,189,83,18,9,1330,81,379,335,207,162,62,12,4,1237,252,792
2012,4,38,22,40,37,13,3,0,158,33,50,37,13,7,5,4,0,150,213,535,417,475,475,360,166,36,2679,78,250,193,198,195,119,60,21,1109,38,113,158,156,94,52,18,6,628,13,67,87,81,90,53,13,3,402,15,60,98,97,103,77,24,5,483,94,190,234,218,183,81,26,8,1030,70,127,117,111,82,47,17,4,575,33,47,36,23,18,16,3,0,174,50,102,83,104,72,33,17,3,475,9,9,3,5,3,7,3,0,43,15,18,22,17,20,9,8,3,120,412,388,291,349,391,370,240,107,2546,1062,2000,1804,1899,1769,1243,610,196,10585,6,29,43,26,16,3,3,0,132,4,6,8,7,5,0,0,0,39,12,15,20,30,21,20,9,3,121,10,15,7,10,0,4,0,0,47,13,43,46,27,19,8,0,0,164,122,354,266,338,333,194,96,20,1718,72,245,280,291,218,144,55,7,1315,196,449
2013,0,3,3,3,7,13,0,0,36,19,27,17,10,3,3,0,0,76,82,193,170,330,311,242,120,35,1474,55,106,90,69,83,46,36,12,500,13,31,22,15,8,3,7,3,100,5,12,11,14,30,9,10,3,99,3,19,17,15,35,25,10,3,121,29,45,59,35,41,31,14,6,254,20,34,32,35,37,18,8,3,182,13,13,14,4,15,11,0,0,69,10,25,28,19,15,11,9,0,115,0,0,0,0,0,0,0,0,3,3,0,4,6,18,3,5,6,43,122,89,92,115,127,151,90,48,838,370,590,552,667,734,561,310,108,3897,0,10,6,13,12,4,0,0,42,0,7,7,3,0,0,0,0,14,8,12,11,13,7,5,4,3,59,3,10,6,9,0,0,0,0,23,3,7,8,4,0,3,0,0,30,49,90,58,70,112,72,34,6,490,17,48,58,69,70,40,18,11,338,61,163
2014,3,8,5,5,5,0,0,3,27,0,10,7,6,3,3,0,0,29,51,126,157,195,158,90,40,14,829,32,58,42,47,65,38,17,3,316,8,12,23,25,19,13,4,0,98,3,13,16,17,29,7,4,0,89,0,10,23,17,18,27,9,3,101,9,25,24,30,35,20,11,0,152,5,14,18,11,15,19,5,0,82,7,9,3,4,3,5,0,3,35,9,27,16,8,20,12,11,0,104,4,5,0,0,3,0,0,0,6,0,4,4,3,6,8,3,0,26,81,52,61,80,88,77,57,24,513,221,354,390,451,460,321,161,54,2413,0,5,0,5,7,0,0,0,22,4,3,4,0,0,0,0,0,12,5,7,3,8,8,7,6,0,33,0,0,0,0,0,0,0,0,7,3,7,0,7,6,0,0,0,31,20,83,61,90,106,59,18,15,448,13,41,69,48,47,35,17,5,279,21,59
2015,3,11,15,9,13,10,0,0,53,3,29,25,3,6,0,0,0,74,64,170,198,199,199,142,72,24,1074,35,97,60,57,55,47,12,3,374,13,24,17,18,21,13,4,3,107,9,37,33,22,26,13,3,0,147,4,33,27,34,30,21,8,0,159,17,59,87,67,48,28,14,3,325,18,44,32,39,32,17,8,0,195,16,11,8,4,4,7,0,0,49,21,43,33,27,25,13,4,3,172,0,3,0,0,0,0,0,0,9,0,7,10,10,5,3,6,0,42,90,74,85,88,92,84,75,31,611,310,640,629,575,556,391,211,78,3391,6,13,14,8,9,0,0,0,46,4,3,3,7,6,3,0,0,28,6,13,8,4,5,4,0,3,45,0,5,3,0,0,0,0,0,8,6,12,6,7,3,0,0,0,42,24,152,115,97,129,81,41,9,653,16,89,82,107,76,44,15,10,444,39,146
2016,20,29,30,33,26,18,7,0,156,15,72,53,17,8,3,0,0,174,191,500,485,507,473,292,160,38,2648,140,244,178,215,157,105,49,13,1100,21,82,78,80,58,36,14,10,380,27,148,102,112,82,47,10,3,535,17,87,66,82,110,92,42,14,508,82,242,228,195,200,96,17,12,1074,66,134,117,109,79,53,17,7,581,27,38,18,20,18,25,0,0,151,77,125,82,62,53,42,13,0,456,6,3,0,7,3,3,7,3,35,3,27,33,27,14,16,11,0,133,317,345,296,356,313,310,214,79,2230,1007,2072,1783,1812,1600,1131,564,184,10155,24,50,51,27,15,10,0,0,177,6,25,14,11,13,4,0,0,64,16,26,39,22,31,19,10,3,160,13,8,12,7,8,0,0,0,45,12,39,36,23,11,5,3,0,123,141,448,342,312,321,145,83,31,1824,76,239,231,227,249,144,44,25,1245,137,465
2017,0,3,3,3,4,0,0,0,11,3,16,5,3,0,3,0,0,30,60,120,87,100,91,67,20,5,557,37,67,32,38,37,19,15,0,236,16,50,37,36,23,15,5,3,189,4,21,21,17,21,12,0,0,92,3,25,21,18,22,14,9,0,117,6,55,53,36,35,16,3,0,216,8,25,24,19,14,3,0,0,93,8,6,6,0,5,0,0,0,27,14,26,22,16,10,5,3,3,106,3,0,0,0,0,0,3,0,9,3,5,9,5,8,5,3,3,34,98,87,81,86,73,88,64,32,607,270,494,405,383,349,251,126,58,2326,0,9,3,5,4,0,0,0,22,0,3,0,0,0,0,0,0,11,3,3,3,0,3,0,4,3,23,0,0,0,0,0,0,0,0,4,7,15,8,8,5,5,0,0,43,21,85,62,60,71,38,28,3,376,17,94,59,46,52,36,15,15,335,52,94
2018,6,21,20,22,19,17,12,0,120,24,76,55,21,18,9,3,0,207,224,609,518,704,644,475,193,63,3435,110,258,195,190,218,106,70,22,1165,16,51,40,45,17,9,11,3,194,25,88,73,81,74,27,11,0,378,11,48,46,53,64,46,25,8,289,65,169,185,142,104,72,31,5,776,45,95,89,93,81,30,15,3,449,31,45,30,16,14,8,3,3,160,35,88,61,66,30,31,14,4,344,0,0,0,0,0,4,8,0,21,3,15,27,29,21,13,5,0,128,273,260,238,276,300,258,207,93,1899,884,1841,1563,1736,1599,1118,604,209,9561,21,46,27,28,17,3,0,0,139,8,14,14,11,10,3,0,0,59,3,25,42,28,16,21,16,7,156,3,12,13,15,0,4,0,4,46,11,23,19,14,9,0,0,0,78,141,359,224,210,238,153,74,21,1421,47,198,181,202,202,115,47,16,1012,159,424
2019,8,11,19,16,21,6,4,3,90,12,18,20,11,13,0,0,0,76,77,168,154,175,179,160,79,29,1029,57,109,95,89,107,65,24,12,564,10,26,50,41,22,14,5,3,177,10,61,41,46,51,15,7,5,241,9,29,43,42,51,34,24,9,235,24,60,80,79,74,43,25,8,384,27,37,39,51,43,24,9,4,237,14,15,12,10,14,3,3,0,59,27,52,49,38,20,19,8,0,204,3,0,0,0,0,3,3,0,12,0,3,17,7,7,10,3,0,50,91,70,94,87,112,102,121,94,766,377,663,708,696,711,501,322,162,4128,15,14,18,11,13,6,0,3,79,0,3,5,7,3,3,0,0,23,5,8,9,11,16,3,6,3,65,0,6,5,3,4,0,0,0,22,8,12,14,8,3,3,0,0,50,60,193,137,152,175,117,60,28,929,33,91,87,76,90,95,51,15,540,46,137
2020,11,26,17,13,28,24,11,0,128,19,47,38,25,28,18,3,0,173,151,427,387,507,429,391,178,47,2520,129,281,180,187,137,103,61,15,1097,30,103,100,103,59,41,14,7,455,10,43,41,53,62,37,15,3,259,6,55,65,69,129,107,37,0,468,30,144,148,135,137,118,37,9,748,40,76,66,79,79,60,21,4,433,18,30,31,19,17,15,3,0,135,29,51,57,36,31,35,21,4,265,3,3,0,0,0,0,0,0,9,4,19,17,17,19,16,3,5,106,173,153,154,203,175,193,139,46,1237,653,1455,1303,1459,1333,1150,549,151,8051,10,33,34,33,22,4,3,0,145,0,10,6,14,12,7,0,0,53,9,13,26,19,13,14,7,4,116,11,21,9,6,3,4,0,0,50,24,43,44,31,18,7,3,0,182,94,269,230,261,257,188,66,32,1401,36,192,208,229,265,174,68,13,1185,122,348
2021,13,33,32,19,28,18,8,0,154,12,30,34,23,14,3,0,0,114,122,324,320,302,268,227,123,37,1722,123,271,191,162,149,90,37,12,1052,30,78,77,72,42,31,14,3,340,17,66,80,86,110,41,14,7,423,23,69,83,88,110,75,32,13,489,52,154,173,196,145,89,22,3,839,55,94,82,61,81,51,17,4,447,27,33,45,24,23,19,5,0,174,38,75,86,63,42,36,7,3,349,5,5,3,7,4,0,3,0,25,5,18,29,22,16,12,3,3,110,209,154,148,207,194,192,135,81,1323,732,1405,1382,1335,1235,877,425,166,7557,16,29,53,30,18,6,3,0,153,0,5,5,6,13,5,0,0,37,4,20,24,22,9,12,9,3,103,3,3,16,9,0,0,0,0,34,21,31,33,15,14,6,3,0,127,99,343,268,312,303,158,86,25,1597,36,196,202,211,205,150,57,26,1074,108,293
