SUA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
2010,477,415,394,382,245,1951,82769,19960,2630,3460,920,924,1128,1127,1074,1035,2307,34574,628,48,29,4,13,5,4,6,5,90,831,91857,7206,6139,1392,1418,1555,1524,1460,1283,4347,118179,158,7,5,0,0,0,0,3,0,151,335,153289,10193,7881,1722,1700,1818,1747,1653,1398,6076,187492,57986,937,709,144,114,105,91,124,63,1508,61773,57370,968,876,217,232,196,188,200,130,1645,62027,20314,1349,2048,499,478,502,480,525,455,1363,28019,699,13,19,3,3,3,3,3,9,85,843,78388,2338,2944,724,716,697,667,730,595,3095,90882,219,7,6,0,0,0,0,0,0,133,361,136587,3284,3660,866,826,800,758,858,657,4734,153023,28308,473,356,41,37,45,41,37,17,1050,30396,34225,327,351,63,47,56,49,38,24,1140,36307,23822,994,960,188,161,152,136,96,79,1271,27847,552,9,5,0,0,0,0,0,0,104,674,58597,1325,1323,252,205,202,181,133,105,2511,64831,223,0,0,0,0,0
2011,3,9,0,8,0,19,773,98,15,12,3,5,7,9,5,3,11,181,8,3,0,0,0,0,0,0,0,0,10,735,72,52,8,12,16,11,12,3,31,966,0,0,0,0,0,0,0,0,0,0,0,1705,99,80,14,17,18,16,20,5,60,2036,986,8,6,0,3,0,0,5,0,37,1043,496,7,11,0,4,0,0,0,3,18,547,110,11,17,0,4,4,7,7,4,10,167,6,0,0,0,0,0,0,0,0,0,9,614,24,23,6,4,4,6,5,6,31,721,3,0,0,0,0,0,0,0,0,3,4,1601,24,30,9,11,5,10,6,6,70,1772,363,3,6,0,0,0,0,0,0,13,385,188,0,0,0,0,0,0,0,0,9,193,71,4,6,0,0,0,0,0,0,4,87,0,0,0,0,0,0,0,0,0,0,0,264,4,6,0,0,0,0,0,0,13,284,3,0,0,0,0,0
2012,4,4,0,3,3,6,208,44,11,14,9,10,3,3,6,7,10,110,4,0,0,0,0,0,0,0,0,0,3,218,18,22,8,14,8,3,10,5,17,329,0,0,0,0,0,0,0,0,0,0,0,551,26,36,8,19,4,3,12,5,44,703,412,7,4,0,0,3,3,0,0,8,446,245,4,6,0,0,0,3,0,4,17,270,76,3,4,0,7,0,0,0,4,7,108,3,0,0,0,0,0,0,0,0,0,3,325,3,5,0,10,3,3,0,7,30,382,4,0,0,0,0,0,0,0,0,3,3,742,13,10,0,5,4,4,0,7,42,834,170,7,0,0,0,0,0,0,0,12,186,201,0,0,0,0,0,0,0,0,13,219,97,0,0,0,0,0,0,0,0,8,108,4,0,0,0,0,0,0,0,0,0,4,306,4,0,0,0,0,0,0,0,17,334,6,0,0,0,0,0
2013,0,0,0,0,0,0,59,9,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,3,81,5,0,0,0,0,0,0,0,0,0,5,350,4,7,0,3,0,0,0,0,7,378,436,0,0,0,0,0,0,0,0,16,456,128,0,0,0,0,0,0,0,0,0,127,17,5,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,145,5,0,0,0,0,0,0,0,0,151,6,0,0,0,0,0,0,0,0,0,6,585,6,3,3,0,0,0,0,0,16,615,238,0,0,0,0,0,0,0,0,13,245,129,0,0,0,0,0,0,0,0,7,130,21,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,12,163,3,0,0,0,0,0
2014,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,7,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,157,10,10,4,0,0,0,0,0,12,187,119,3,4,0,0,0,0,0,0,3,129,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,139,3,4,0,0,0,0,0,0,3,145,67,3,0,0,0,0,0,0,0,3,74,16,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
2015,0,0,0,0,0,3,57,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,49,3,5,3,0,0,0,0,0,3,70,0,0,0,0,0,0,0,0,0,0,0,206,9,12,7,0,3,0,5,4,10,255,239,4,0,0,0,0,0,3,0,9,256,45,3,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,3,3,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,284,6,5,0,0,0,0,4,0,9,311,121,6,0,0,0,0,0,0,0,7,130,30,0,0,0,0,0,0,0,0,0,34,7,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,3,43,0,0,0,0,0,0
2016,4,3,3,3,0,16,296,51,21,26,7,6,11,4,5,12,3,146,4,0,0,0,0,0,0,0,0,0,5,268,53,43,10,11,11,10,10,14,20,451,3,0,0,0,0,0,0,0,0,0,4,608,65,57,8,13,12,10,12,14,31,834,431,5,4,0,0,0,0,3,0,15,464,209,7,6,0,0,0,0,0,0,6,232,61,16,10,3,0,11,3,0,4,11,126,8,0,0,0,0,0,0,0,0,7,10,279,19,12,3,0,10,3,0,4,23,366,3,0,0,0,0,0,0,0,0,0,5,713,28,14,5,0,16,4,6,4,43,833,191,5,0,3,0,0,0,0,0,11,204,192,0,0,0,0,0,0,0,0,7,193,87,6,5,0,0,3,0,0,0,14,114,3,0,0,0,0,0,0,0,0,0,3,285,5,5,0,0,3,0,0,0,17,317,0,0,0,0,0,0
2017,0,0,0,0,0,3,33,0,0,3,3,4,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,25,3,5,3,4,0,0,3,0,4,51,0,0,0,0,0,0,0,0,0,0,0,63,9,12,3,4,3,0,3,0,3,99,47,3,0,0,0,0,0,0,0,0,54,29,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,4,3,42,0,0,0,0,0,0,0,0,0,0,0,82,3,0,0,0,0,0,0,4,4,96,25,0,0,0,0,0,0,0,0,0,31,32,0,0,0,0,0,0,0,0,0,33,16,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
2018,0,0,0,3,0,12,235,19,3,9,0,3,0,4,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,210,19,19,3,6,3,3,3,0,10,276,3,0,0,0,0,0,0,0,0,0,4,704,41,32,4,3,8,7,3,6,42,844,767,9,3,3,0,0,0,0,0,22,804,236,4,0,0,0,0,0,0,0,13,254,33,0,5,4,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,274,3,5,4,0,0,0,0,0,14,304,0,0,0,0,0,0,0,0,0,3,3,1040,13,12,3,0,0,0,0,0,39,1106,395,3,0,0,0,0,0,0,0,11,413,223,0,3,0,0,0,0,0,0,6,229,84,0,3,0,0,0,0,0,0,3,94,7,0,0,0,0,0,0,0,0,0,7,309,0,3,0,0,0,0,0,0,9,329,4,0,0,0,0,0
2019,0,0,0,0,0,0,51,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,49,7,7,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,3,195,14,7,0,0,0,0,0,0,6,225,239,3,3,0,3,0,0,0,0,3,255,85,0,0,0,0,0,0,0,0,3,86,17,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3,110,3,0,0,0,0,0,0,0,0,3,4,342,3,3,0,3,0,0,6,0,7,367,116,0,0,0,0,0,0,0,0,3,120,50,0,0,0,0,0,0,0,0,3,56,27,0,0,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,79,3,0,0,0,0,0,0,0,3,91,3,0,0,0,0,0
2020,0,0,0,0,0,0,110,3,0,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,104,4,3,3,0,0,0,0,4,5,122,0,0,0,0,0,0,0,0,0,0,5,601,26,15,6,3,3,0,0,4,14,666,692,11,4,5,3,3,0,0,0,20,741,117,3,3,0,0,0,0,0,0,4,129,9,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,129,4,3,0,0,0,0,3,0,3,144,0,0,0,0,0,0,0,0,0,0,0,822,14,7,5,3,3,0,4,0,22,885,353,0,0,0,0,0,0,0,0,8,370,101,0,0,0,0,0,0,0,0,3,99,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,120,0,0,0,0,0,0,0,0,3,120,3,0,0,0,0,0
2021,0,0,0,0,3,0,46,0,3,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,35,9,6,0,3,0,0,0,4,0,58,0,0,0,0,0,0,0,0,0,0,0,258,19,15,0,3,0,0,3,7,8,317,274,15,6,0,0,0,0,0,0,12,304,31,0,0,0,0,0,0,0,3,0,41,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,3,0,0,3,3,0,43,3,0,0,0,0,0,0,0,0,0,3,310,16,8,0,7,0,0,3,3,7,346,138,6,0,0,0,0,0,0,0,3,146,19,0,0,0,0,0,0,0,0,0,22,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,34,0,0,0,0,0,0
