SUA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
2010,0,0,33,484,631,843,668,533,113,3304,216,1546,2817,12343,4429,3299,2195,804,221,27866,59,111,494,2238,223,235,147,22,8,3530,162,715,1115,2246,253,106,63,11,4,4673,10,65,199,1499,1614,1989,1838,749,169,8118,37,108,311,2323,2224,1331,783,339,71,7519,267,1127,1015,2782,1264,776,565,139,44,7983,213,833,3087,12136,8198,6953,2431,836,354,35036,11,56,69,477,379,299,283,159,69,1811,11,71,246,929,351,189,76,16,3,1880,1014,4201,7701,28562,12468,9929,7875,4819,1931,78499,7218,11663,15851,42459,17489,14849,11634,7618,3397,132181,141530,261203,294981,654376,274722,219682,155579,85128,32353,2119559,68,517,1539,3021,741,340,162,52,14,6447,119811,202499,190092,347705,162870,123580,81648,44220,26907,1299325,59,216,341,2165,329,151,30,8,0,3300,4,23,224,1420,914,763,377,254,44,4025,36,136,630,3063,1400,1113,535,209,89,7217,84,224,434,2024,589,392,166,63,40,4017,20,44,98,1183,770,685,618,191,65,3669
2011,0,0,0,3,12,18,11,10,3,62,0,14,7,79,20,17,10,3,0,148,0,0,0,8,0,0,0,0,0,11,3,12,8,8,3,0,0,0,0,35,0,0,0,27,20,16,13,3,0,81,0,0,0,12,14,7,3,3,0,36,0,10,3,24,7,4,3,0,0,52,4,9,6,45,23,18,5,0,0,103,0,0,0,5,8,4,0,0,0,22,0,0,0,15,8,0,0,0,0,27,11,142,215,457,204,145,112,40,10,1339,198,297,258,704,295,256,187,82,15,2292,2669,4467,3866,8783,3437,3028,2207,733,191,29371,0,0,0,3,0,0,0,0,0,3,2364,3534,2918,6125,2227,2074,1156,386,174,20960,0,8,0,36,0,3,0,0,0,45,0,0,5,28,18,5,9,0,0,61,0,0,0,3,4,3,0,0,0,11,0,0,3,20,0,3,0,0,0,28,0,3,8,17,20,13,10,3,0,66
2012,0,0,0,0,0,10,10,3,3,24,0,3,3,24,9,0,4,0,0,40,0,0,4,23,0,0,0,0,0,31,4,7,4,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,6,27,52,20,18,8,0,136,0,0,3,7,8,3,0,0,0,18,0,0,3,16,12,16,10,0,0,62,0,0,0,0,0,0,6,0,0,7,0,0,0,3,3,0,0,0,0,5,5,20,25,109,39,48,29,22,4,312,98,227,270,565,342,373,310,186,67,2451,1602,3304,3170,5764,3159,3210,2578,1325,472,24594,0,16,19,40,12,5,3,0,0,91,1421,2798,2592,4747,2669,2559,1948,1145,566,20447,0,0,0,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,3,0,0,0,16,0,0,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3
2013,0,0,0,4,0,4,7,3,0,12,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,4,0,0,11,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,3,3,0,0,11,0,0,0,3,0,0,0,0,0,3,0,3,8,19,6,16,33,14,9,119,20,64,80,152,108,108,117,79,33,761,433,937,1080,1758,1033,1153,932,510,185,8022,0,0,0,0,0,0,0,0,0,0,432,827,907,1554,861,892,567,346,180,6568,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,7,0,4,0,9,4,7,11,4,3,37,19,43,55,98,73,87,67,49,16,511,292,635,660,1093,789,792,621,331,122,5325,0,0,0,0,0,0,0,0,0,0,293,530,518,986,622,677,446,273,172,4515,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,3,0,0,0,25,0,0,0,4,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,0,0,8,3,3,36,0,0,0,9,5,3,0,0,0,13,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,6,3,11,4,13,10,11,0,53,32,54,59,161,75,86,70,47,17,602,498,952,901,1718,871,864,691,395,159,7041,0,0,0,0,0,0,0,0,0,0,432,792,709,1473,799,746,526,349,221,6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,4,0,0,12,0,0,0,0,0,0,0,0,0,3
2016,0,0,0,0,0,0,3,0,0,9,4,11,3,28,13,7,0,0,0,66,0,0,6,28,0,0,0,0,0,33,0,0,3,3,0,0,3,0,0,13,0,0,0,0,0,12,11,9,0,31,0,7,6,32,45,16,6,4,0,111,0,3,3,12,0,3,0,0,0,29,0,0,0,12,3,3,0,0,0,14,0,0,0,0,0,3,3,0,0,3,0,3,3,3,3,0,0,0,0,14,5,63,107,210,86,62,27,20,14,593,132,232,215,580,334,288,259,155,59,2250,1718,3455,3190,6056,3138,2816,2255,1265,434,24328,0,27,115,124,30,3,6,0,0,298,1474,2701,2392,4302,2498,2320,1713,1032,519,18953,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,4,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,7,10,0,5,0,0,0,24,39,61,63,146,85,82,78,57,24,642,391,670,691,1327,654,609,491,329,139,5307,0,4,9,12,3,3,0,0,0,38,324,539,549,990,510,497,425,345,196,4379,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,4,5,0,7,0,3,3,21,5,5,4,0,0,48,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,9,4,0,0,0,0,21,0,0,0,13,3,0,0,0,0,15,0,0,0,3,3,0,0,0,0,9,0,0,0,8,5,0,0,0,0,10,4,35,40,78,48,36,45,32,14,327,90,184,215,415,233,280,217,137,57,1830,1340,2598,2487,4824,2551,2527,1906,1076,388,19709,0,0,0,0,0,0,0,0,0,0,1109,2170,2135,4208,2079,1945,1302,807,363,16105,0,4,0,12,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,5,0,0,4,9,8,3,3,0,0,22,0,0,0,0,0,3,0,0,0,7
2019,0,0,0,0,0,0,3,0,0,3,0,6,0,6,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,3,0,3,3,15,3,10,14,7,3,63,31,53,62,129,78,100,83,69,48,647,536,1187,1015,1957,1127,1122,950,603,288,8791,0,0,0,0,0,0,0,0,0,0,477,1053,933,1845,1045,1064,879,632,385,8319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,15,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,3,0,3,3,0,12,0,3,0,18,4,4,4,0,0,37,0,0,4,16,0,0,0,0,0,21,4,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,5,3,8,9,8,14,0,0,42,0,0,0,7,3,0,0,0,0,8,0,0,3,0,0,0,8,4,0,19,0,0,3,8,0,3,0,0,0,12,0,6,13,35,27,21,27,17,6,159,55,124,115,257,195,174,178,114,37,1242,1086,2316,2079,3777,2166,2111,1923,1065,295,16812,0,0,0,0,0,0,0,0,0,0,1039,2093,1805,3413,1904,1799,1488,764,404,14703,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,8,0,0,3,12,0,0,0,3,0,0,0,0,0,5
