SUA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
2010,6608,8730,11602,17108,41159,64044,37792,80855,2658,270564,17659,39703,45735,54562,93692,125853,55922,79247,4597,516976,5777,13972,16847,19955,58369,69990,29396,35382,4542,254234,7933,45444,36392,36493,31591,22795,11278,12539,3678,208149,9147,30221,34943,35943,72909,56805,21179,18952,2914,283011,5989,56077,30430,23920,28453,23772,11325,15564,2992,198523,2869,6811,8390,10046,29543,23881,12305,16019,2484,112338,4370,35022,25645,19844,32450,22908,9116,10312,3607,163277,1372,2774,2132,2218,5255,5438,1721,3187,11115,35208,61717,238761,212122,220080,393418,415480,190036,272063,38591,2042271
2011,74,66,78,139,453,513,296,541,32,2193,124,179,251,319,660,635,273,347,25,2817,104,141,155,268,990,1207,489,543,75,3967,133,471,450,620,567,454,159,222,54,3126,156,273,395,470,1064,832,307,262,53,3809,102,692,382,358,432,282,135,155,46,2583,102,144,147,220,746,704,402,614,61,3138,82,515,295,349,594,440,190,226,51,2742,16,38,18,30,74,84,23,45,173,500,885,2524,2177,2766,5595,5156,2269,2955,550,24867
2012,71,141,104,174,380,563,351,895,46,2736,144,203,360,439,761,651,344,505,29,3436,68,155,123,214,683,749,312,493,58,2852,139,380,379,516,467,260,135,136,42,2436,80,268,260,403,689,428,148,141,27,2443,95,721,303,335,406,197,127,152,31,2367,48,73,77,72,262,284,171,368,36,1394,91,554,323,367,488,388,159,213,66,2644,23,23,11,37,43,32,16,35,143,363,767,2523,1934,2557,4188,3553,1763,2921,476,20681
2013,18,19,32,33,90,91,42,101,4,431,35,66,106,108,151,133,64,75,10,757,32,61,55,76,307,306,150,174,12,1181,40,162,162,183,133,59,45,40,18,836,45,93,106,115,207,110,43,40,5,765,19,239,99,97,97,49,37,35,20,695,18,25,23,23,110,91,62,82,12,449,44,181,114,122,114,111,49,76,17,833,11,14,7,3,21,15,0,14,56,138,255,869,702,768,1237,970,494,641,152,6085
2014,15,23,25,36,43,89,50,137,0,414,41,52,86,91,95,127,58,94,14,663,34,42,42,54,165,195,66,92,14,707,36,117,100,113,63,33,24,17,15,528,21,64,62,81,91,72,25,31,7,451,12,122,62,67,41,25,16,19,9,383,34,33,34,25,87,81,150,144,13,596,40,169,87,72,91,60,46,45,13,626,5,3,4,11,11,12,6,4,28,76,240,630,500,552,681,702,445,580,120,4446
2015,21,29,41,44,90,123,98,251,0,698,60,89,120,164,181,280,126,211,11,1245,47,50,46,70,241,228,104,179,19,986,37,131,128,143,122,83,66,66,9,783,28,61,96,100,148,115,59,54,5,662,24,219,100,79,83,58,33,27,15,633,16,25,12,22,51,57,41,64,11,289,26,193,95,100,98,100,51,78,13,761,6,12,3,4,11,15,4,10,30,99,263,803,653,727,1020,1053,582,938,115,6155
2016,79,76,94,163,399,517,382,762,37,2503,177,215,368,510,757,748,416,446,33,3679,69,112,128,197,718,813,357,374,53,2830,116,381,346,469,402,260,108,148,50,2275,82,286,336,389,616,426,163,148,20,2478,83,706,256,343,336,211,118,170,41,2269,64,81,82,92,304,294,163,272,26,1372,102,524,305,382,546,461,215,178,61,2765,18,28,10,21,36,44,15,27,136,335,789,2400,1938,2565,4117,3769,1932,2536,456,20507
2017,20,26,13,43,82,153,87,218,11,651,35,37,67,93,158,186,101,101,12,785,19,33,29,37,181,177,80,96,13,666,37,103,66,100,97,52,22,32,12,523,26,54,54,84,154,121,35,29,3,560,18,149,63,74,83,60,40,45,11,538,11,13,19,20,55,54,20,58,7,254,15,142,78,97,105,79,34,34,9,606,6,7,3,6,10,5,0,5,28,75,190,576,406,550,905,882,418,630,108,4666
2018,42,60,44,117,281,334,210,468,16,1570,114,215,292,357,539,494,278,402,23,2707,111,126,124,171,665,699,326,492,37,2743,85,398,315,363,288,183,113,123,32,1903,133,252,327,379,634,347,137,103,18,2323,69,592,256,225,241,120,77,116,25,1721,56,57,57,65,248,203,246,263,21,1217,79,437,238,244,281,225,166,180,46,1896,17,18,19,20,42,37,29,21,92,298,710,2139,1676,1934,3217,2634,1580,2171,315,16376
2019,23,29,31,52,119,166,106,271,16,801,65,76,177,261,253,270,148,198,15,1458,34,51,66,80,243,316,130,147,21,1084,69,192,174,188,182,92,52,53,21,1027,32,107,131,174,228,153,62,58,6,953,46,258,127,134,114,95,64,59,19,920,17,21,36,51,130,106,54,106,11,547,45,250,106,149,169,133,45,47,27,962,4,6,8,7,15,17,3,14,37,109,335,980,858,1087,1456,1360,659,953,166,7862
2020,57,106,80,141,243,375,245,780,26,2051,127,248,331,357,406,444,244,399,23,2582,66,147,115,181,510,648,337,447,40,2494,97,331,323,308,221,167,102,77,26,1660,76,276,247,265,358,254,122,109,17,1729,58,371,185,146,190,150,81,124,19,1320,38,52,61,84,156,191,163,251,22,1034,87,440,227,240,384,249,163,176,43,2010,15,24,14,18,29,36,9,32,80,256,613,1997,1591,1747,2513,2516,1464,2394,292,15136
2021,66,81,73,117,231,336,232,510,28,1669,148,208,358,469,523,529,300,419,20,2974,79,132,125,176,498,603,270,316,20,2223,103,361,290,390,281,193,90,77,34,1823,82,244,269,293,430,273,100,92,11,1799,63,678,255,272,266,150,73,132,36,1926,46,51,45,75,144,168,154,211,19,907,82,542,237,277,447,294,204,130,37,2248,5,17,6,14,23,36,6,16,82,210,679,2319,1658,2074,2844,2579,1431,1900,300,15780
