SUA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
2010,8976,1525,30078,1280,424,4728,3024,3738,666,13863,1931,986,6350,1898,1293,267,12726,4699,1806,14982,6119,4187,965,32758,1062,345,3968,2655,3328,615,11972,12101,4059,33517,9500,6295,1546,67033,2011,955,8108,5258,5580,1084,23004,6164,4007,15319,7356,6508,991,40351,22437,15153,44872,13310,9797,2004,107569,19300,12480,62581,31398,31091,5630,162481,1337,766,5200,2455,2510,389,12659,1655,853,5377,5984,9995,923,24789,2332,696,7433,4153,4256,3414,22280,88643,46461,267052,125957,126032,25314,679466,582,174,1896,1110,1925,337,6022,576,129,1333,347,895,88,3369,8272,2142,28086,16263,38768,3682,97217,2262,585,5480,2147,4102,407,14986,3263,1063,16061,13018,76787,3691,113887,5112,1360,16415,8092,12511,1536,45021,8325,2233,36900,21670,30362,4753,104247,4419,835,20046,15762,19689,2960,63711,5016,1366,15894,12137,19922,2981,57313,5665,1930,15870,5449,4799,853,34568,12077,4038,34712,12536,7453,1903,72721,2478,734,8602,5054,7285,1065,25223,32163,8307,82951,20082,13184,3658,160348,4161,1574,15311,9424,13254,2020,45744,12003,6610,28254,15559,16129,2039,80594,37203
2011,185,19,320,7,0,40,78,146,20,288,7,3,29,13,19,3,68,15,6,74,58,98,12,257,3,3,19,23,57,3,104,27,9,95,88,84,16,316,7,7,55,66,118,11,271,20,18,98,114,182,14,448,77,110,447,169,206,24,1024,76,97,434,522,625,63,1818,3,4,18,25,42,10,96,4,4,21,58,157,9,249,9,0,40,61,87,46,238,300,295,1603,1602,2554,331,6683,3,3,7,22,35,3,77,0,0,3,6,28,0,41,29,9,125,172,776,52,1152,7,0,27,34,124,5,201,3,3,80,135,1377,89,1685,20,3,67,77,279,15,453,40,17,185,219,611,69,1141,20,3,66,113,306,38,545,44,12,144,232,770,97,1297,10,7,65,45,65,5,207,36,11,127,111,131,17,436,3,3,28,46,116,10,201,79,23,223,170,164,28,686,16,11,81,117,250,21,491,58,40,193,246,458,44,1044,120
2012,197,31,334,0,0,15,8,39,6,75,0,3,11,4,12,3,37,0,0,16,34,46,3,104,0,0,12,25,46,12,95,12,11,97,51,72,11,265,7,8,39,43,131,25,245,26,25,128,124,138,16,451,61,168,532,200,194,24,1188,105,112,571,430,562,71,1852,3,3,8,19,26,0,56,0,0,15,42,137,12,216,5,0,14,32,61,50,158,230,360,1682,1289,2215,372,6157,15,12,131,121,382,75,742,4,0,15,14,93,3,123,11,12,93,89,481,44,719,9,0,23,31,133,9,207,3,3,30,57,835,38,963,3,4,44,39,194,17,294,10,6,111,131,651,94,1009,4,7,69,107,381,43,604,0,0,29,47,276,31,390,0,4,33,11,64,4,118,8,6,42,72,61,6,200,0,0,22,30,90,17,170,24,26,235,104,138,23,555,6,8,55,71,242,33,416,41,39,201,259,308,33,877,94
2013,73,6,97,0,0,0,9,10,0,20,0,0,0,3,3,0,13,0,0,7,15,30,4,50,0,0,0,3,23,0,30,3,0,18,18,23,0,66,0,0,3,10,23,10,49,3,6,34,62,75,8,188,20,36,102,59,60,3,284,19,25,150,125,245,31,600,0,0,3,4,11,3,19,0,3,3,17,49,5,77,0,0,6,9,18,17,49,53,79,356,385,784,106,1773,0,0,5,3,37,3,54,0,0,0,8,54,7,68,0,0,18,21,188,16,242,0,3,29,42,230,17,328,3,0,4,17,367,11,407,0,0,0,11,29,3,51,0,4,22,36,162,24,254,0,0,21,19,110,8,162,0,0,4,8,72,6,93,0,0,7,8,17,0,32,0,0,11,22,33,4,67,0,0,3,8,37,3,46,5,3,33,33,66,6,145,0,3,5,16,69,12,96,8,10,48,79,122,13,284,27
2014,56,8,79,0,0,3,7,8,0,19,0,0,4,3,3,0,10,0,0,4,9,7,0,23,0,0,0,5,12,0,15,4,3,16,7,14,3,41,0,0,3,3,15,0,25,0,5,19,28,38,3,94,12,25,99,38,37,0,220,13,34,111,100,183,16,459,0,0,0,6,6,0,16,0,0,3,11,34,3,59,0,0,8,5,9,8,29,31,76,297,266,533,61,1272,0,3,8,14,55,3,86,0,0,0,0,9,0,9,9,6,46,26,325,24,435,0,0,3,3,15,3,26,0,3,4,4,166,3,183,0,0,7,11,32,0,48,0,0,14,23,83,19,140,0,3,9,16,96,9,131,0,0,13,22,107,16,156,0,0,9,3,12,0,18,0,0,4,5,13,0,27,0,0,4,5,25,0,35,5,3,27,13,42,5,94,0,0,4,3,29,4,46,7,12,32,58,61,9,169,21
2015,58,9,91,0,0,5,4,11,3,24,0,0,3,0,3,3,8,0,0,7,7,12,0,23,0,0,3,10,11,0,27,5,0,35,14,24,4,79,0,3,3,7,16,3,38,18,14,57,50,44,6,188,14,61,153,53,55,3,347,69,58,216,126,173,28,665,0,0,6,6,7,0,14,0,0,9,28,48,3,87,0,0,0,4,20,4,35,113,141,561,385,622,95,1905,3,0,11,33,50,20,117,3,3,20,19,108,3,163,0,0,13,22,129,3,168,0,5,9,12,44,0,76,0,0,36,33,303,13,390,0,0,6,8,24,3,48,6,0,35,47,154,17,253,3,0,22,17,137,14,198,4,0,13,16,42,8,83,0,0,7,3,8,3,19,0,3,16,16,20,0,54,0,0,3,9,29,0,47,7,4,75,31,51,10,179,3,3,7,17,41,5,77,48,21,145,152,148,17,543,33
2016,141,14,262,0,0,5,12,27,4,52,3,3,16,15,19,0,62,3,3,18,48,28,3,104,0,0,18,20,40,7,85,17,11,121,59,58,7,273,3,5,31,39,55,13,154,15,27,93,110,98,10,357,91,198,419,150,168,18,1046,118,149,649,529,632,78,2145,0,0,9,19,20,0,46,3,11,20,59,155,8,259,3,3,18,32,69,40,169,307,427,1660,1362,1984,313,6054,11,4,81,79,143,34,360,0,0,0,0,16,0,20,26,15,130,146,696,60,1071,34,19,81,66,133,11,344,7,3,54,76,923,44,1113,8,0,27,34,117,14,198,16,8,101,150,538,74,896,12,0,51,108,276,32,484,6,3,26,43,217,30,319,11,3,36,36,63,4,148,6,8,48,88,47,9,207,0,0,28,26,82,12,146,46,37,280,129,129,14,627,11,6,51,59,145,26,291,44,46,157,183,213,15,653,140
2017,65,9,105,0,0,3,3,7,0,14,0,0,0,3,4,0,8,0,3,14,9,3,3,31,0,0,3,0,11,0,18,4,9,21,11,17,3,52,0,0,5,3,28,4,41,0,4,18,21,25,3,77,12,42,135,32,43,4,264,16,19,127,93,126,17,393,0,0,4,4,8,0,9,0,0,3,13,43,0,61,0,0,8,7,16,4,35,38,69,382,254,497,66,1309,0,0,22,43,74,11,149,0,0,0,0,8,0,11,0,0,13,24,135,25,188,0,0,3,0,22,3,28,0,0,6,11,198,7,225,0,0,12,8,54,6,79,0,0,23,39,122,16,200,3,0,21,26,105,19,169,3,0,3,13,59,3,81,0,0,5,3,12,0,25,0,3,17,24,8,4,56,0,0,10,3,13,0,30,8,11,58,18,29,6,124,0,0,8,7,40,4,63,3,6,40,52,62,3,160,18
2018,148,16,238,0,0,8,9,28,3,47,3,0,7,10,15,3,38,0,0,11,42,47,4,103,0,0,3,18,43,3,71,4,12,52,35,51,7,155,0,3,16,27,63,9,121,12,24,136,178,237,28,620,66,123,349,103,122,33,795,101,104,523,326,475,77,1594,0,0,13,13,23,0,49,6,3,9,38,136,9,199,0,0,13,12,32,24,82,209,290,1302,994,1785,250,4830,0,0,14,20,104,19,159,0,0,21,23,139,7,192,21,4,87,75,574,19,778,22,14,122,124,415,22,725,4,6,40,77,828,37,991,0,0,9,14,100,10,137,9,10,100,124,456,41,740,12,7,45,78,278,32,447,0,6,37,41,172,23,279,5,3,19,22,41,8,98,3,5,38,75,60,4,187,4,0,11,31,77,9,135,13,23,160,84,136,14,433,0,5,24,39,137,20,234,34,42,226,264,370,37,967,102
2019,95,10,151,0,0,3,6,10,0,20,0,0,10,3,11,0,22,0,0,14,14,16,0,40,0,0,8,14,9,4,35,8,4,36,20,35,3,102,0,0,10,16,30,4,63,15,20,66,56,56,6,214,33,54,178,52,73,9,400,51,75,295,215,264,37,948,0,0,6,9,12,0,32,3,3,6,19,58,0,96,3,0,7,12,17,8,44,117,162,710,545,891,98,2536,0,0,17,15,51,6,94,0,0,0,0,10,0,9,10,7,45,68,275,16,429,0,0,9,3,35,0,49,0,3,8,30,359,11,419,0,0,17,9,42,4,74,8,4,44,59,271,21,411,0,0,26,56,157,13,251,0,0,8,19,92,15,129,0,0,12,10,28,3,55,4,4,21,31,23,0,83,0,0,11,18,29,5,72,17,4,84,31,56,6,201,0,6,18,27,94,10,156,30,24,99,104,143,10,404,52
2020,173,13,255,3,0,7,10,20,3,44,0,7,10,18,9,0,43,3,3,15,33,35,6,94,0,3,4,19,46,3,75,22,4,87,60,81,8,256,0,3,9,35,56,8,112,25,34,93,83,70,9,318,103,151,407,161,164,20,1003,71,87,365,290,409,51,1266,3,0,8,16,24,5,55,4,8,27,47,112,9,198,3,7,14,32,38,25,111,249,314,1244,1037,1622,213,4680,19,13,111,99,307,47,593,0,0,5,5,36,0,53,6,11,64,94,488,19,682,10,3,34,19,104,0,175,5,3,40,80,1030,45,1206,3,5,24,42,148,10,228,14,3,91,118,333,44,597,0,4,40,61,248,11,373,6,0,15,30,198,22,275,0,14,25,23,45,10,114,6,3,44,60,45,12,172,0,3,14,21,78,6,128,43,17,203,129,136,16,545,0,3,19,58,114,10,206,46,50,167,163,169,28,622,166
2021,147,19,286,0,0,3,10,17,3,38,0,3,10,8,20,0,39,6,0,18,21,32,5,85,0,0,12,13,29,0,57,4,10,96,40,53,5,207,0,3,22,21,60,7,111,14,28,84,96,87,11,318,100,89,402,97,133,11,834,96,150,578,355,452,74,1703,3,3,16,17,27,3,65,0,3,17,52,140,13,218,3,4,19,14,38,19,94,239,315,1489,967,1613,222,4859,11,0,43,53,152,10,273,0,0,0,9,32,0,50,23,15,141,92,448,41,764,9,8,37,27,90,3,179,3,3,33,54,754,38,885,7,4,32,28,157,22,241,8,13,104,131,442,42,746,3,3,82,95,280,36,504,5,0,22,31,146,12,223,0,8,16,13,48,0,90,8,7,51,65,54,6,187,0,7,21,20,66,7,121,25,20,242,84,88,11,471,3,3,34,40,115,12,208,17,44,154,161,188,21,585,156
