SUA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
2010,2119559,2203512,4323072,141530,134228,275764,261203,248158,509361,131334,127227,258561,163639,160384,324024,349913,360791,710699,304468,312904,617372,274722,290080,564806,219682,236763,456448,155579,173605,329185,85128,104837,189963,32353,54543,86899,2036368,2123233,4159603,83193,80277,163475,10127,10179,20301,558,542,1095,266,303,569,10944,11022,21969,1261363,1299325,2560690,726024,767870,1493895,1304412,1341919,2646330,693971,740222,1434193,1679112,1748151,3427265,27859,26702,54560,239526,228332,467860,106651,107481,214130,78944,81539,160482,76470,107683,184155,1015176,1106260,2121438,181453,173516,354969,204243,189619,393866,85717,83185,168907,81816,105035,186853,20159,27666,47827,1963677,2041766,4005439,142325,151256,293584
2011,29371,30523,59887,2669,2626,5293,4467,4336,8810,1909,1793,3700,1955,2007,3965,4520,5042,9565,4263,4301,8557,3437,3587,7016,3028,3453,6479,2207,2215,4430,733,808,1541,191,350,541,28324,29561,57890,1045,955,2003,415,473,879,13,15,24,3,7,12,432,492,919,20275,20960,41230,6804,7199,14009,21654,22298,43949,5730,6165,11891,24606,25341,49943,434,455,889,3968,3839,7801,1306,1312,2615,409,512,922,616,1207,1823,8682,10423,19107,3379,3206,6581,4727,4341,9066,2045,1839,3882,1253,1398,2646,207,271,479,27455,28438,55888,1700,1837,3539
2012,24594,25645,50239,1602,1565,3170,3304,3117,6420,1713,1563,3271,1459,1519,2975,2994,3134,6132,2773,2987,5758,3159,3377,6536,3210,3247,6454,2578,2653,5239,1325,1675,3002,472,795,1275,22964,24277,47241,1638,1361,2996,1110,1247,2353,28,32,55,22,22,44,1157,1300,2458,19430,20447,39872,2717,2747,5467,20091,21138,41225,2371,2430,4800,21194,22306,43501,362,311,668,2928,2768,5699,1118,1094,2216,234,375,614,398,775,1177,6121,7684,13800,2927,3021,5943,4384,4047,8426,1932,1851,3782,1696,1710,3404,250,202,456,21890,23004,44892,2746,2643,5391
2013,8022,8527,16551,433,463,894,937,894,1835,532,460,990,552,555,1104,898,986,1882,859,891,1754,1033,1106,2145,1153,1194,2350,932,977,1906,510,632,1141,185,354,537,7521,8064,15585,506,463,962,139,125,264,0,5,7,10,3,9,152,132,287,6247,6568,12816,1018,1176,2188,6972,7344,14315,439,561,1003,7098,7562,14664,44,66,117,847,809,1656,350,329,680,83,117,205,97,240,334,1882,2295,4175,1166,1202,2369,1577,1419,2991,682,727,1407,529,657,1188,29,47,73,7268,7745,15011,563,610,1167
2014,5325,5473,10800,292,316,608,635,576,1209,353,319,678,305,265,572,493,539,1034,597,655,1249,789,751,1542,792,872,1667,621,594,1209,331,378,704,122,217,333,4910,5084,9999,412,384,804,122,138,258,3,3,9,12,4,15,138,144,284,4416,4515,8933,399,448,846,4773,4907,9680,126,152,277,4755,4874,9628,56,62,113,558,515,1079,238,222,458,41,50,90,67,170,234,1189,1574,2765,806,799,1609,1031,911,1942,495,405,907,407,366,772,17,19,29,4691,4786,9475,490,526,1013
2015,7041,7602,14646,498,468,964,952,885,1841,472,427,901,423,385,808,882,966,1845,837,903,1743,871,1036,1906,864,997,1860,691,755,1439,395,490,885,159,297,448,6476,7120,13598,565,483,1050,97,131,227,3,0,4,5,0,5,103,134,233,5615,6042,11660,828,966,1792,6107,6596,12702,385,475,862,6145,6669,12813,108,83,191,872,804,1676,333,324,649,70,86,151,106,282,384,2112,2576,4687,900,1016,1914,1143,1126,2272,468,495,968,354,384,736,38,32,71,6211,6803,13016,744,645,1390
2016,24328,25342,49672,1718,1650,3373,3455,3191,6646,1730,1639,3374,1455,1477,2934,3131,3296,6431,2920,3106,6027,3138,3271,6404,2816,3032,5844,2255,2423,4677,1265,1482,2751,434,780,1210,22904,23953,46850,1426,1387,2819,867,931,1797,26,22,52,35,24,60,924,981,1906,17949,18953,36904,4128,4087,8211,18052,19042,37086,4255,4226,8480,20154,21270,41420,251,241,492,3036,2815,5848,1225,1233,2455,284,386,668,434,934,1367,6486,8057,14548,3013,2988,6006,3679,3587,7265,1857,1639,3493,1598,1624,3221,381,344,721,21834,22670,44499,2268,2332,4599
2017,5307,5596,10905,391,370,762,670,626,1292,346,354,702,344,333,676,710,704,1414,616,643,1257,654,667,1320,609,647,1255,491,550,1049,329,463,792,139,243,385,4927,5254,10184,387,338,722,172,202,376,3,3,13,3,4,10,180,211,395,4103,4379,8484,562,548,1116,4201,4545,8747,546,481,1022,4419,4747,9166,53,59,114,577,551,1135,219,239,459,54,75,129,92,146,240,1344,1694,3039,661,719,1380,839,783,1629,338,334,675,355,373,733,91,56,148,4619,4873,9488,711,676,1389
2018,19709,20891,40601,1340,1212,2550,2598,2437,5032,1213,1133,2348,1274,1344,2615,2559,2827,5390,2268,2445,4712,2551,2670,5228,2527,2639,5166,1906,2108,4014,1076,1393,2473,388,679,1068,18459,19720,38177,1254,1173,2421,285,335,620,16,13,28,12,8,26,309,359,675,15411,16105,31523,2466,2791,5260,16503,17418,33924,1555,1700,3258,17121,18101,35228,197,178,377,2333,2195,4527,827,792,1622,212,376,590,353,669,1021,5389,6558,11951,2829,2683,5508,3234,3158,6389,1301,1475,2778,1166,1308,2474,90,106,199,17544,18525,36072,1859,2105,3970
2019,8791,9922,18710,536,507,1045,1187,1123,2314,542,554,1094,470,487,959,945,1031,1977,1016,1120,2132,1127,1237,2366,1122,1293,2415,950,1162,2110,603,843,1446,288,570,856,8227,9337,17562,559,585,1149,132,139,271,3,7,17,0,0,5,142,151,295,7381,8319,15701,759,842,1599,7709,8633,16341,461,523,984,7907,8978,16882,90,91,182,1092,1037,2124,373,384,759,88,112,200,121,309,430,2397,3129,5528,1187,1374,2554,1565,1548,3109,631,665,1291,535,652,1189,32,36,68,8008,8893,16899,685,896,1576
2020,16812,18153,34970,1086,1114,2204,2316,2286,4599,1120,1080,2197,961,935,1898,1963,2086,4050,1817,2062,3874,2166,2443,4605,2111,2359,4471,1923,2114,4033,1065,1130,2198,295,542,835,15800,17154,32961,1014,998,2009,194,184,378,6,10,14,0,3,5,197,201,398,13714,14703,28421,1852,2083,3937,15028,16220,31254,706,777,1484,15044,16233,31280,194,204,397,2105,2078,4184,797,853,1652,205,254,459,252,670,922,4693,6241,10939,2206,2352,4552,3098,2666,5763,1287,1197,2490,886,920,1800,61,66,122,15262,16413,31672,1062,1247,2309
2021,16341,17675,34021,1032,952,1983,2153,2060,4207,1139,1119,2263,1169,1072,2240,2011,2099,4110,1892,2079,3977,2106,2409,4521,2027,2278,4307,1631,1809,3436,846,1165,2009,343,633,978,15216,16641,31859,1125,1037,2165,280,262,541,5,9,13,0,0,0,294,265,558,13728,14841,28576,1335,1414,2750,14461,15676,30135,729,736,1474,14411,15699,30109,152,129,281,1950,1899,3848,771,815,1592,225,324,545,301,630,933,5010,6372,11381,2287,2437,4722,2478,2300,4776,1199,1059,2254,865,952,1819,55,38,90,14604,15816,30423,1417,1538,2954
