SUA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
2010,78678,12840,16684,19322,19699,19396,11097,5880,239417,24,26,50,7,8,14,12,10,12,556,723,45446,37055,92456,17153,21417,23742,23847,23445,13453,8337,306356,32346,12311,11994,2458,2235,1739,1448,1368,648,1631,68183,46046,34747,43556,5763,6381,5755,5008,4735,2418,2334,156752,3717,3584,5970,1250,1656,2080,1594,1580,997,872,23301,330,249,304,23,40,53,33,25,17,75,1156,50099,38585,49825,7036,8083,7891,6629,6345,3433,3281,181201,48,38,27,4,10,9,5,3,3,300,447,82488,50929,61848,9506,10320,9641,8089,7713,4086,5214,249835,54730,8481,6444,1076,977,679,605,490,293,1715,75484,67960,14792,13370,1832,1808,1563,1247,1098,571,2001,106248,12538,3728,4991,1065,1298,1491,1227,1242,874,1496,29935,549,128,96,12,20,14,17,9,5,84,931,81043,18636,18458,2915,3120,3070,2492,2347,1444,3576,137113,75,16,21,0,0,7,0,4,3,216,344,135847,27138,24918,3991,4105,3756,3094,2843,1737,5516,212940,61274,2983,1740,325,284,265,225,192,108,1583,68978,71272,4524,2643,463
2011,729,110,90,108,104,76,43,38,1795,0,0,0,0,0,0,0,0,0,3,3,415,350,847,129,118,125,128,98,50,55,2325,333,108,135,20,26,20,9,4,4,26,681,384,369,526,51,51,44,38,38,13,29,1548,22,35,46,11,10,7,12,9,4,3,161,6,6,6,0,3,0,0,0,0,0,24,412,403,586,61,61,51,53,49,15,37,1729,0,0,0,0,0,0,0,0,0,0,5,742,515,719,83,83,71,64,50,21,65,2411,689,70,93,11,10,9,3,3,0,37,943,482,177,193,17,20,11,12,21,5,17,957,49,31,34,6,8,11,6,11,8,5,182,4,0,3,0,3,0,0,0,0,0,9,534,206,230,28,26,25,24,34,15,29,1144,0,0,0,0,0,0,0,0,0,3,4,1231,284,325,37,40,33,22,34,12,65,2096,971,32,23,3,8,0,3,7,0,29,1072,625,53,42,3
2012,185,36,75,53,67,80,61,63,737,0,0,0,0,0,0,0,0,3,4,8,108,78,245,53,90,71,75,94,71,77,977,100,40,27,10,5,8,4,4,0,11,208,94,68,114,20,15,21,16,13,7,4,372,24,13,28,14,7,9,5,14,3,12,119,0,0,0,0,0,0,0,0,0,0,3,118,76,139,31,17,34,17,23,13,16,492,0,0,0,0,0,0,0,0,0,0,0,210,116,164,41,22,37,21,29,17,30,699,265,18,19,3,8,5,6,7,0,14,341,147,38,36,3,0,3,6,3,4,14,261,42,13,29,16,14,15,0,8,3,3,137,0,0,0,0,0,0,0,0,0,0,0,191,52,63,16,16,17,7,4,9,20,398,3,0,0,0,0,0,0,0,0,0,3,462,75,81,17,25,25,10,17,9,32,744,333,4,12,0,0,0,0,0,0,22,376,165,12,10,0
2013,32,9,7,6,8,3,0,0,74,0,0,0,0,0,0,0,0,0,0,0,25,7,42,10,6,11,11,4,0,4,120,59,11,9,3,0,3,0,0,0,3,83,27,7,20,0,0,0,3,0,0,3,62,3,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,26,8,24,0,0,3,3,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,83,22,32,3,0,3,7,3,0,3,161,129,5,5,0,0,0,0,0,0,4,146,38,9,7,0,0,0,0,3,0,3,58,4,0,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,38,9,12,0,0,0,3,3,0,5,71,0,0,0,0,0,0,0,0,0,0,0,170,12,17,0,0,0,0,3,0,11,223,276,6,3,0,0,0,0,0,0,9,293,62,0,0,0
2014,15,3,3,6,3,7,5,0,36,0,0,0,0,0,0,0,0,0,0,0,14,5,24,3,4,9,5,7,3,3,69,31,3,16,0,0,3,0,0,0,0,55,6,7,15,0,3,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,0,3,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,40,13,31,3,4,3,0,0,0,3,92,75,3,10,0,0,0,0,0,0,0,92,16,3,0,3,9,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,4,0,3,4,0,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,86,8,11,3,8,0,0,0,0,3,129,138,7,5,0,0,0,0,0,0,6,164,21,3,7,0
2015,66,9,15,17,22,15,7,8,174,0,0,0,0,0,0,0,0,0,0,0,32,12,89,13,22,14,25,18,8,8,254,45,22,20,3,3,9,4,3,0,9,115,15,14,59,5,5,12,7,9,0,0,130,0,0,3,0,5,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,15,63,5,11,12,9,9,4,0,146,0,0,0,0,0,0,0,0,0,0,0,62,39,85,11,12,19,12,11,4,8,259,122,8,19,7,0,3,3,3,0,12,173,26,10,15,0,0,0,0,0,0,3,50,6,3,0,0,3,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,32,12,17,0,4,3,0,0,0,3,70,0,0,0,0,0,0,0,0,0,0,0,150,22,32,5,4,9,3,5,0,12,242,158,0,11,3,0,3,0,4,0,8,187,43,3,5,0
2016,536,70,120,124,129,146,56,56,1479,0,0,0,0,0,0,0,0,0,0,0,156,176,590,82,129,134,146,154,59,59,1689,88,35,38,4,8,7,19,6,0,11,212,105,159,303,43,33,56,39,29,19,16,799,30,45,73,14,23,53,24,10,15,6,289,0,3,8,0,0,0,0,0,0,0,16,143,206,383,55,51,106,64,37,29,16,1095,0,0,0,0,0,0,0,0,0,0,4,226,242,419,66,64,110,79,49,30,30,1312,215,37,29,4,3,5,4,7,0,12,318,214,89,114,19,20,13,18,10,3,12,502,46,43,50,6,19,15,11,8,5,3,212,4,3,0,0,0,0,0,0,0,0,10,266,137,167,30,33,33,24,15,9,16,723,0,0,0,0,0,0,0,0,0,0,7,477,170,200,28,37,41,31,24,14,28,1047,342,11,10,0,0,0,0,3,0,7,384,211,30,25,0
2017,75,14,23,22,26,21,8,7,216,0,0,0,0,0,0,0,0,0,0,0,12,19,91,17,27,28,26,22,11,7,246,14,6,6,0,0,4,3,0,0,0,35,4,21,59,6,11,10,11,0,3,8,124,0,9,16,3,14,5,0,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,5,25,76,11,19,12,10,5,3,4,172,0,0,0,0,0,0,0,0,0,0,0,21,27,78,13,19,19,15,3,3,4,206,34,5,0,0,0,4,0,0,0,0,48,13,14,10,6,0,3,0,0,0,0,51,3,3,11,12,9,3,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,10,22,18,18,9,8,3,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,50,31,21,18,9,9,3,0,0,3,147,41,3,0,0,0,0,0,0,0,0,48,20,4,3,0
2018,149,10,19,32,25,29,10,11,349,0,0,0,0,0,0,0,0,0,0,0,87,64,176,15,31,43,30,33,15,15,518,132,20,34,13,4,3,8,7,3,3,233,40,60,125,8,25,11,15,3,10,8,311,3,4,8,4,0,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,42,66,136,14,26,11,21,9,11,13,340,0,0,0,0,0,0,0,0,0,0,0,176,92,173,26,35,15,26,10,11,14,571,278,26,22,12,3,3,3,0,3,17,360,93,40,54,3,7,8,5,3,0,6,224,4,9,12,3,0,0,3,5,0,3,37,0,0,0,0,0,0,0,0,0,0,4,97,49,64,9,3,6,4,9,3,14,264,0,0,0,0,0,0,0,0,0,0,0,378,70,90,14,9,10,14,9,5,31,628,488,16,16,7,0,5,0,3,0,22,565,192,14,11,3
2019,61,3,4,11,8,6,5,7,128,0,0,0,0,0,0,0,0,0,0,0,21,18,77,6,7,14,11,13,7,10,175,40,12,15,3,0,3,3,4,0,6,92,7,20,34,3,4,0,3,0,0,6,86,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,20,34,3,4,3,3,0,0,4,88,0,0,0,0,0,0,0,0,0,0,0,53,40,52,4,4,6,9,3,4,9,183,94,10,12,0,0,0,0,0,0,3,124,22,9,10,3,0,0,0,0,0,0,44,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,26,9,10,3,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,123,18,17,3,0,0,0,0,0,3,176,145,8,3,0,0,0,0,0,0,3,158,43,7,7,0
2020,88,14,8,9,21,22,9,14,229,0,0,0,0,0,0,0,0,0,0,0,79,50,132,18,23,14,27,27,7,23,400,147,41,35,8,8,6,4,3,0,10,259,42,32,44,6,3,0,7,3,0,4,148,3,0,5,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,47,33,50,6,6,0,7,3,0,10,160,0,0,0,0,0,0,0,0,0,0,4,191,77,86,10,16,6,9,10,3,20,430,331,43,41,3,10,0,3,0,0,18,446,73,14,20,4,3,4,0,0,0,5,124,3,0,3,5,0,0,3,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,77,11,21,4,3,4,4,4,0,8,141,0,0,0,0,0,0,0,0,0,0,0,409,49,63,6,14,3,9,4,0,19,579,498,18,12,3,3,0,0,0,0,10,538,100,4,3,3
2021,69,16,19,13,54,72,68,46,404,0,0,0,0,0,0,0,0,0,0,0,80,50,97,23,28,21,67,86,69,48,578,87,36,24,16,5,5,0,3,0,7,182,15,46,72,6,7,4,3,7,7,0,174,0,3,5,0,0,0,3,0,0,3,21,0,0,0,0,0,0,0,0,0,0,3,19,49,82,6,11,4,9,11,8,3,201,0,0,0,0,0,0,0,0,0,0,0,104,89,104,22,14,16,9,11,10,11,389,182,27,24,11,6,5,0,0,0,8,267,41,22,29,4,3,0,0,4,3,0,109,4,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,43,22,40,4,3,0,0,4,3,0,125,0,0,0,0,0,0,0,0,0,0,0,227,51,64,12,11,3,0,3,3,6,389,228,10,5,0,0,0,0,3,0,12,261,35,6,4,0
