SUA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
2010,1412,3704,9440,8311,8289,4904,1464,348,116,37992,44453,96608,247852,215774,204493,126359,26368,2227,410,964541,272,908,2305,2375,2507,1821,785,234,37,11239,12,120,1011,1226,1036,629,142,13,7,4199,3528,9025,31560,39247,41027,26326,5142,470,63,156394,138,1027,6044,5675,4522,2573,434,30,9,20447,5117,17641,46484,38085,33135,19191,4052,372,63,164141,1149,4682,16411,18673,18109,10699,2336,253,34,72350,23504,38538,49005,35782,33285,21141,5322,540,73,207184,28231,28985,34527,17582,13855,8168,1638,174,25,133192,921,5863,24029,23755,24443,16759,3710,246,33,99751,1163,3424,13212,12764,9170,4427,800,60,19,45026,401,5207,28863,27929,19192,9087,2081,238,73,93073,592,3216,10238,8054,6880,4310,1542,264,41,35137,1215,12511,57958,51128,35825,20960,7124,844,102,187669,1107,6768,19700,16398,15442,10520,2918,292,28,73171,795,4857,23250,26277,25862,16831,3511,373,44,101792,3878,12155,41759,40396,40683,30639,6586,512,67,176673,2240,16812,62874,55875,55720,41315,9765,778,98,245482,4316,6937,11301,8097,6232,3738,1274,196,32,42125
2011,22,71,106,108,96,61,10,3,0,476,695,1176,2928,2528,2209,1546,210,10,4,11314,0,3,31,44,29,26,7,0,0,149,0,3,20,26,20,12,3,0,0,76,60,127,452,538,451,340,55,3,0,2023,3,30,107,77,72,44,6,0,0,342,142,383,775,640,439,233,37,0,0,2652,7,53,241,236,202,134,27,6,0,904,316,451,672,558,450,315,62,3,0,2817,467,243,268,166,130,96,17,0,0,1385,27,160,687,698,627,490,79,0,0,2764,23,29,111,83,42,34,3,0,0,317,3,40,238,199,121,69,10,0,0,688,7,34,104,80,63,40,12,0,0,350,21,67,305,245,157,123,24,0,0,950,13,85,219,225,195,142,23,0,0,903,10,73,358,385,364,264,55,0,0,1509,30,97,460,414,319,278,32,3,0,1638,28,221,709,642,561,415,71,0,0,2651,45,63,87,96,64,42,7,0,0,407
2012,17,25,53,69,65,60,23,9,0,322,680,936,1910,2024,2345,1768,367,29,7,10074,22,118,298,304,370,343,171,43,9,1679,0,6,46,50,42,36,4,0,0,194,55,85,242,283,298,206,42,7,3,1222,3,15,49,53,78,73,10,0,0,280,68,147,371,292,307,240,30,0,0,1457,26,49,126,115,99,96,23,3,0,549,462,332,464,393,465,370,74,5,0,2578,377,273,310,192,209,176,49,3,0,1588,13,57,139,175,260,243,54,0,0,939,20,33,38,45,44,22,7,0,0,215,6,26,81,78,95,54,3,3,0,348,3,20,49,56,57,42,20,0,3,247,18,62,186,176,142,115,42,9,0,743,17,69,166,187,236,185,37,0,0,895,8,56,221,292,307,233,57,9,0,1178,20,100,331,458,502,371,67,6,0,1855,42,219,583,578,701,563,106,4,3,2799,40,24,32,53,42,29,8,0,0,234
2013,13,5,9,12,24,22,6,4,0,91,187,322,582,526,678,503,104,9,0,2920,7,16,33,25,20,27,3,0,0,128,0,8,26,21,19,20,3,0,0,96,26,44,86,92,88,66,7,0,0,415,0,17,62,55,150,123,21,0,0,424,24,80,146,139,109,84,15,0,0,590,3,8,15,25,22,14,5,0,0,99,129,100,129,114,139,85,17,7,0,722,120,81,71,64,38,22,9,0,0,414,6,11,26,39,61,65,8,0,0,219,3,6,11,6,15,12,0,0,0,47,0,10,38,27,26,11,3,0,0,120,0,13,13,21,15,15,3,0,0,78,0,25,41,34,42,46,10,4,0,195,11,13,34,47,46,40,4,0,0,187,3,38,85,83,102,67,19,0,0,405,4,29,73,104,120,112,23,0,0,461,10,96,182,145,213,203,50,3,0,901,8,7,24,7,13,10,3,0,0,72
2014,6,8,4,11,12,15,5,6,0,65,153,148,307,444,510,415,85,12,4,2074,7,25,28,36,33,32,24,10,0,182,0,0,4,3,0,0,0,0,0,10,14,33,99,160,253,156,16,3,0,731,0,0,12,9,17,7,0,0,0,54,8,29,62,40,60,50,7,3,0,259,0,10,12,19,22,22,3,0,0,96,87,42,58,72,78,61,10,0,0,405,103,59,51,49,61,35,15,0,0,383,5,17,52,64,72,76,24,0,0,311,0,5,10,3,5,5,0,0,0,31,0,4,6,13,11,10,0,0,0,48,3,5,7,10,17,10,3,3,0,55,3,3,23,29,27,29,13,0,0,138,0,7,13,29,26,22,11,5,0,113,4,11,32,55,71,61,12,0,0,237,7,9,54,100,98,64,16,0,0,339,8,36,104,132,160,176,26,4,0,645,15,4,5,12,5,4,7,0,0,47
2015,9,9,16,7,18,22,0,0,0,74,197,248,618,614,676,534,83,9,3,2981,4,26,83,44,34,45,11,0,0,246,0,0,33,58,67,37,3,0,0,209,18,37,56,52,56,53,5,3,0,280,0,4,10,23,32,20,6,0,0,101,19,70,144,112,129,60,17,3,0,555,3,6,24,24,16,11,4,0,0,86,138,84,103,134,119,111,29,0,0,721,134,83,83,55,47,49,9,0,0,471,3,10,24,25,44,37,9,3,0,159,0,10,9,8,3,6,3,0,0,42,0,3,15,26,27,16,0,0,0,92,0,8,15,6,16,21,5,0,0,76,10,15,42,61,43,45,10,4,0,221,7,3,26,34,50,42,7,0,0,171,10,26,193,185,159,108,17,3,0,702,15,26,122,130,167,96,18,0,0,572,7,57,209,204,232,205,31,0,0,947,9,9,11,11,15,12,7,0,0,68
2016,21,38,75,58,60,50,20,4,3,328,710,879,2009,2003,2252,1649,320,24,10,9855,21,56,215,203,204,148,83,20,0,958,0,3,16,7,10,7,4,0,0,39,82,168,384,460,467,363,41,4,0,1965,6,26,114,111,124,78,12,0,0,480,82,208,427,330,355,243,57,8,0,1710,17,33,83,105,120,80,24,3,0,467,440,289,482,401,453,319,84,7,0,2471,394,189,215,158,155,108,31,0,0,1258,13,38,115,164,221,197,82,8,3,836,13,26,64,33,46,36,11,3,0,236,6,31,71,91,83,66,11,0,0,356,6,24,40,42,64,35,13,3,0,229,26,86,210,173,188,142,41,3,0,864,13,53,153,129,178,112,36,0,0,674,9,46,159,228,220,186,38,3,0,889,49,100,366,381,428,337,57,4,0,1725,36,227,742,741,747,697,128,10,0,3323,33,15,41,35,31,22,9,0,0,190
2017,3,11,10,15,9,15,3,0,0,70,163,226,467,426,474,390,64,11,0,2218,4,20,62,64,60,56,27,5,0,303,0,0,6,9,5,0,0,0,0,17,35,40,104,78,98,52,12,0,0,409,0,3,8,10,17,11,0,0,0,45,27,53,108,59,47,48,8,3,0,346,3,20,40,32,34,19,0,0,0,157,82,67,89,96,115,107,11,0,0,567,100,66,74,58,51,44,9,0,0,401,3,6,39,33,53,52,12,0,0,204,6,7,9,7,13,3,0,0,0,45,0,11,28,31,9,14,5,0,0,99,3,7,6,8,11,8,0,0,0,44,8,15,44,37,31,32,4,0,0,174,3,12,25,28,40,21,3,0,0,137,3,13,44,54,70,55,10,0,0,239,7,21,118,87,94,89,21,0,0,438,6,54,116,124,144,128,20,0,0,604,4,9,15,9,14,3,3,0,0,54
2018,10,15,34,25,39,35,12,3,0,184,486,837,1755,1618,1692,1248,232,31,0,7893,9,28,59,64,57,38,32,13,0,298,0,3,74,53,81,47,15,0,0,276,28,91,240,291,304,266,30,0,0,1250,8,36,159,161,310,227,34,3,0,930,46,180,396,298,263,199,36,0,0,1420,4,26,66,76,58,26,5,0,0,269,292,272,447,356,317,234,50,8,0,1988,371,207,209,139,140,114,37,3,0,1221,8,28,98,104,159,142,28,0,0,563,14,34,43,32,26,24,3,0,0,180,0,32,79,70,78,32,7,0,0,308,4,18,46,42,42,35,12,0,0,197,10,45,174,122,115,76,20,3,0,565,5,38,76,100,120,88,25,0,0,462,9,126,352,336,320,232,33,3,0,1406,11,83,248,283,303,234,43,0,0,1208,30,217,599,509,545,474,100,13,0,2478,23,25,30,32,29,22,3,5,0,162
2019,9,9,18,13,23,17,4,0,0,96,301,329,708,798,904,746,125,16,0,3930,0,12,27,25,34,24,19,11,0,151,0,0,3,3,5,0,3,0,0,12,22,67,159,181,205,147,9,3,0,788,0,3,12,16,23,17,0,0,0,64,36,64,140,125,123,78,16,0,0,580,11,12,40,40,39,28,8,0,0,187,160,118,168,174,166,144,44,4,0,973,196,95,94,83,85,57,13,0,0,632,5,8,47,53,100,84,24,0,0,321,3,9,19,20,22,17,3,0,0,93,3,11,30,37,39,19,6,0,0,140,3,7,16,25,19,15,5,0,0,84,3,17,53,61,48,50,13,0,0,249,14,22,54,68,70,57,20,0,0,302,4,19,73,122,157,111,13,0,0,497,11,39,126,153,162,149,16,0,0,651,23,88,269,279,355,356,52,10,0,1430,16,11,21,10,22,11,0,0,0,89
2020,11,20,27,36,63,41,21,7,0,220,455,625,1402,1366,1752,1277,248,43,3,7162,30,66,204,187,216,199,119,54,6,1084,0,4,17,16,22,15,0,0,0,77,52,105,249,227,305,177,36,4,0,1161,3,5,36,32,74,57,12,0,0,225,109,233,480,343,341,227,49,0,3,1783,12,27,87,90,123,80,21,3,0,443,173,182,276,218,280,194,39,4,0,1382,335,166,137,118,101,81,18,0,0,961,5,22,78,96,166,155,45,3,0,574,12,13,50,34,35,29,4,0,0,179,3,19,70,61,75,37,11,0,0,285,3,21,45,45,36,20,18,3,0,194,12,53,150,163,137,137,41,3,0,710,17,23,61,84,99,81,18,5,0,391,3,26,166,167,209,145,34,4,3,755,33,66,272,330,428,366,64,5,0,1563,29,139,346,347,493,405,69,3,0,1831,20,19,37,27,28,33,9,4,0,187
2021,19,19,22,29,51,24,11,7,0,193,614,760,1465,1515,1828,1300,213,26,4,7730,26,54,99,85,93,81,57,17,6,523,0,3,17,23,12,13,3,0,0,63,49,160,392,281,356,211,33,4,0,1480,8,13,59,60,60,28,4,0,0,231,63,169,309,245,248,155,26,0,0,1209,15,69,118,102,111,80,28,0,0,522,364,293,353,298,355,267,46,4,0,1985,441,249,208,188,139,109,38,3,3,1362,11,32,86,85,150,133,34,3,0,528,13,22,34,21,32,16,3,0,0,146,3,15,55,76,71,49,7,0,0,285,8,15,33,48,40,28,15,0,3,183,9,59,135,136,158,94,21,3,0,618,7,19,73,86,110,97,21,3,0,423,8,43,133,186,243,145,33,4,0,788,55,76,242,360,394,299,36,0,0,1468,38,159,496,535,686,620,70,3,0,2602,28,35,50,33,42,39,21,3,0,253
